physw_event_table dump (50 entries printed, may not all be valid)
address    info       event      index bit        non-inverted
0xfc4d3e34 0x01010200 0x00000100 0     0x00000001 1
0xfc4d3e3c 0x01010201 0x00000101 0     0x00000002 1
0xfc4d3e44 0x01010202 0x00000000 0     0x00000004 1
0xfc4d3e4c 0x01010203 0x00000001 0     0x00000008 1
0xfc4d3e54 0x01010208 0x00000002 0     0x00000100 1
0xfc4d3e5c 0x01010209 0x0000000b 0     0x00000200 1
0xfc4d3e64 0x0101020d 0x0000000c 0     0x00002000 1
0xfc4d3e6c 0x0101020e 0x00000006 0     0x00004000 1
0xfc4d3e74 0x0101020f 0x00000007 0     0x00008000 1
0xfc4d3e7c 0x01010210 0x00000009 0     0x00010000 1
0xfc4d3e84 0x01010211 0x00000008 0     0x00020000 1
0xfc4d3e8c 0x01010212 0x0000000a 0     0x00040000 1
0xfc4d3e94 0x03008121 0xffffffff 1     0x00000002 0
0xfc4d3e9c 0x03008122 0xffffffff 1     0x00000004 0
0xfc4d3ea4 0x03008123 0xffffffff 1     0x00000008 0
0xfc4d3eac 0x03008124 0xffffffff 1     0x00000010 0
0xfc4d3eb4 0x02008028 0xffffffff 1     0x00000100 0
0xfc4d3ebc 0x02008029 0xffffffff 1     0x00000200 0
0xfc4d3ec4 0x0200802a 0xffffffff 1     0x00000400 0
0xfc4d3ecc 0x0200802b 0xffffffff 1     0x00000800 0
0xfc4d3ed4 0x0200802c 0xffffffff 1     0x00001000 0
0xfc4d3edc 0x0101022f 0x00000200 1     0x00008000 1
0xfc4d3ee4 0x01010237 0x00000209 1     0x00800000 1
0xfc4d3eec 0x0101023c 0x00000300 1     0x10000000 1
0xfc4d3ef4 0x0100023d 0x0000020a 1     0x20000000 0
0xfc4d3efc 0x04010145 0xffffffff 2     0x00000020 1
0xfc4d3f04 0x01000249 0x00000205 2     0x00000200 0
0xfc4d3f0c 0x00000254 0x80000401 2     0x00100000 0
0xfc4d3f14 0x00000255 0x80000400 2     0x00200000 0
0xfc4d3f1c 0x00000256 0x80000405 2     0x00400000 0
0xfc4d3f24 0x0100025c 0x00000202 2     0x10000000 0
0xfc4d3f2c 0x0500015e 0xffffffff 2     0x40000000 0
0xfc4d3f34 0x0000025f 0x0000020f 2     0x80000000 0
0xfc4d3f3c 0x00000003 0xc0000c03 0     0x00000008 0
0xfc4d3f44 0x00000005 0xc0000c16 0     0x00000020 0
0xfc4d3f4c 0x0000000b 0xc0000c04 0     0x00000800 0
0xfc4d3f54 0x0000000c 0xc0000c17 0     0x00001000 0
0xfc4d3f5c 0x0000000d 0xc0000c16 0     0x00002000 0
0xfc4d3f64 0x0000000e 0xc0000c08 0     0x00004000 0
0xfc4d3f6c 0x0000000f 0xc0000c18 0     0x00008000 0
0xfc4d3f74 0x00000013 0xc0000c02 0     0x00080000 0
0xfc4d3f7c 0x00000015 0xc0000c01 0     0x00200000 0
0xfc4d3f84 0x00000016 0xc0000c01 0     0x00400000 0
0xfc4d3f8c 0x00000017 0xc0000c01 0     0x00800000 0
0xfc4d3f94 0x00000019 0xc0000c11 0     0x02000000 0
0xfc4d3f9c 0x0000001b 0xc0000c00 0     0x08000000 0
0xfc4d3fa4 0x0000001d 0xc0000c0e 0     0x20000000 0
0xfc4d3fac 0x0000001e 0xc0000c08 0     0x40000000 0
0xfc4d3fb4 0x0000001f 0xc0000c1a 0     0x80000000 0
0xfc4d3fbc 0x0000000b 0xc0000706 0     0x00000800 0
