physw_event_table dump (50 entries printed, may not all be valid)
address    info       event      index bit        non-inverted
0xfc5693dc 0x01010200 0x00000100 0     0x00000001 1
0xfc5693e4 0x01010201 0x00000101 0     0x00000002 1
0xfc5693ec 0x01010202 0x00000000 0     0x00000004 1
0xfc5693f4 0x01010203 0x00000001 0     0x00000008 1
0xfc5693fc 0x01010208 0x00000002 0     0x00000100 1
0xfc569404 0x01010209 0x0000000e 0     0x00000200 1
0xfc56940c 0x0101020d 0x0000000d 0     0x00002000 1
0xfc569414 0x0101020e 0x00000006 0     0x00004000 1
0xfc56941c 0x0101020f 0x00000007 0     0x00008000 1
0xfc569424 0x01010210 0x00000009 0     0x00010000 1
0xfc56942c 0x01010222 0x00000008 1     0x00000004 1
0xfc569434 0x01010223 0x0000000a 1     0x00000008 1
0xfc56943c 0x01010224 0x0000000f 1     0x00000010 1
0xfc569444 0x01010225 0x00000103 1     0x00000020 1
0xfc56944c 0x0101022f 0x00000200 1     0x00008000 1
0xfc569454 0x01010237 0x00000209 1     0x00800000 1
0xfc56945c 0x0101023c 0x00000300 1     0x10000000 1
0xfc569464 0x0100023d 0x0000020a 1     0x20000000 0
0xfc56946c 0x02008040 0xffffffff 2     0x00000001 0
0xfc569474 0x03008141 0xffffffff 2     0x00000002 0
0xfc56947c 0x03008142 0xffffffff 2     0x00000004 0
0xfc569484 0x03008143 0xffffffff 2     0x00000008 0
0xfc56948c 0x03008144 0xffffffff 2     0x00000010 0
0xfc569494 0x04010145 0xffffffff 2     0x00000020 1
0xfc56949c 0x02008048 0xffffffff 2     0x00000100 0
0xfc5694a4 0x02008049 0xffffffff 2     0x00000200 0
0xfc5694ac 0x0200804a 0xffffffff 2     0x00000400 0
0xfc5694b4 0x0200804b 0xffffffff 2     0x00000800 0
0xfc5694bc 0x00000254 0x8000040a 2     0x00100000 0
0xfc5694c4 0x00000255 0x80000401 2     0x00200000 0
0xfc5694cc 0x00000256 0x80000400 2     0x00400000 0
0xfc5694d4 0x00000257 0x80000405 2     0x00800000 0
0xfc5694dc 0x0000025a 0x00000205 2     0x04000000 0
0xfc5694e4 0x0100025c 0x00000202 2     0x10000000 0
0xfc5694ec 0x0500015e 0xffffffff 2     0x40000000 0
0xfc5694f4 0x0000025f 0x0000020f 2     0x80000000 0
0xfc5694fc 0x00000006 0xc0000c09 0     0x00000040 0
0xfc569504 0x00000007 0xc0000c08 0     0x00000080 0
0xfc56950c 0x0000000a 0xc0000c04 0     0x00000400 0
0xfc569514 0x0000000b 0xc0000c07 0     0x00000800 0
0xfc56951c 0x0000000d 0xc0000c06 0     0x00002000 0
0xfc569524 0x0000000f 0xc0000c07 0     0x00008000 0
0xfc56952c 0x00000013 0xc0000c02 0     0x00080000 0
0xfc569534 0x00000016 0xc0000c0a 0     0x00400000 0
0xfc56953c 0x00000017 0xc0000c01 0     0x00800000 0
0xfc569544 0x00000018 0xc0000c05 0     0x01000000 0
0xfc56954c 0x0000001a 0xc0000c04 0     0x04000000 0
0xfc569554 0x0000001b 0xc0000c03 0     0x08000000 0
0xfc56955c 0x0000001c 0xc0000c05 0     0x10000000 0
0xfc569564 0x0000001d 0xc0000c06 0     0x20000000 0
