physw_event_table dump (50 entries printed, may not all be valid)
address    info       event      index bit        non-inverted
0xfc5bfa68 0x01010200 0x00000100 0     0x00000001 1
0xfc5bfa70 0x01010201 0x00000101 0     0x00000002 1
0xfc5bfa78 0x01010202 0x00000000 0     0x00000004 1
0xfc5bfa80 0x01010203 0x00000001 0     0x00000008 1
0xfc5bfa88 0x04010105 0xffffffff 0     0x00000020 1
0xfc5bfa90 0x01010208 0x00000002 0     0x00000100 1
0xfc5bfa98 0x01010209 0x00000014 0     0x00000200 1
0xfc5bfaa0 0x0101020d 0x0000000d 0     0x00002000 1
0xfc5bfaa8 0x0101020e 0x00000006 0     0x00004000 1
0xfc5bfab0 0x0101020f 0x00000007 0     0x00008000 1
0xfc5bfab8 0x01010210 0x00000009 0     0x00010000 1
0xfc5bfac0 0x01010222 0x00000008 1     0x00000004 1
0xfc5bfac8 0x01010223 0x0000000a 1     0x00000008 1
0xfc5bfad0 0x01010225 0x00000103 1     0x00000020 1
0xfc5bfad8 0x01000228 0x0000020a 1     0x00000100 0
0xfc5bfae0 0x01010229 0x00000300 1     0x00000200 1
0xfc5bfae8 0x0101022a 0x0000000f 1     0x00000400 1
0xfc5bfaf0 0x0101022f 0x00000200 1     0x00008000 1
0xfc5bfaf8 0x0101023d 0x00000209 1     0x20000000 1
0xfc5bfb00 0x02008040 0xffffffff 2     0x00000001 0
0xfc5bfb08 0x03008141 0xffffffff 2     0x00000002 0
0xfc5bfb10 0x03008142 0xffffffff 2     0x00000004 0
0xfc5bfb18 0x03008143 0xffffffff 2     0x00000008 0
0xfc5bfb20 0x03008144 0xffffffff 2     0x00000010 0
0xfc5bfb28 0x02008048 0xffffffff 2     0x00000100 0
0xfc5bfb30 0x02008049 0xffffffff 2     0x00000200 0
0xfc5bfb38 0x0200804a 0xffffffff 2     0x00000400 0
0xfc5bfb40 0x0200804b 0xffffffff 2     0x00000800 0
0xfc5bfb48 0x00000250 0x8000040d 2     0x00010000 0
0xfc5bfb50 0x00000251 0x8000040b 2     0x00020000 0
0xfc5bfb58 0x00000252 0x80000401 2     0x00040000 0
0xfc5bfb60 0x00000253 0x80000400 2     0x00080000 0
0xfc5bfb68 0x00000255 0x00000205 2     0x00200000 0
0xfc5bfb70 0x01000256 0x00000202 2     0x00400000 0
0xfc5bfb78 0x05000157 0xffffffff 2     0x00800000 0
0xfc5bfb80 0x00000258 0x0000020f 2     0x01000000 0
0xfc5bfb88 0x00000006 0xc0000c09 0     0x00000040 0
0xfc5bfb90 0x00000007 0xc0000c08 0     0x00000080 0
0xfc5bfb98 0x0000000a 0xc0000c04 0     0x00000400 0
0xfc5bfba0 0x0000000b 0xc0000c07 0     0x00000800 0
0xfc5bfba8 0x0000000d 0xc0000c06 0     0x00002000 0
0xfc5bfbb0 0x0000000f 0xc0000c07 0     0x00008000 0
0xfc5bfbb8 0x00000013 0xc0000c02 0     0x00080000 0
0xfc5bfbc0 0x00000016 0xc0000c0a 0     0x00400000 0
0xfc5bfbc8 0x00000017 0xc0000c01 0     0x00800000 0
0xfc5bfbd0 0x00000018 0xc0000c05 0     0x01000000 0
0xfc5bfbd8 0x0000001a 0xc0000c04 0     0x04000000 0
0xfc5bfbe0 0x0000001b 0xc0000c03 0     0x08000000 0
0xfc5bfbe8 0x0000001c 0xc0000c05 0     0x10000000 0
0xfc5bfbf0 0x0000001d 0xc0000c06 0     0x20000000 0
