0xff82af74,_GetSystemTime
0xffa93ecc,_log
0xffa92e10,_log10
0xffa92f80,_pow
0xffa95234,_sqrt
0xff81dae8,_uartr_req
0xff82a80c,AcquireRecursiveLock
0xff8f03c4,add_ptp_handler
0xff9c48a0,AddItemToDialogBox_FW
0xffa410a8,AllocateMemory
0xffa410a8,AllocateMemory_FW
0xff82acd4,AllocateUncacheableMemory
0xff9cae4c,apex2us
0xffa64b88,atol_FW
0xff872424,CancelHPTimer
0xff82b190,CancelTimer
0xff8b3b44,Capture.Create_FW
0xff8b3adc,Capture.Delete_FW
0xff82a0c0,CheckAllEventFlag
0xff82a078,CheckAnyEventFlag
0xff873528,CheckSumAll_FW
0xff82a2a8,ClearEventFlag
0xff860894,ClearISIComponent_FW
0xff8608a8,ClearISZData_FW
0xff825cc4,Close
0xff81a018,close
0xff825cc4,Close_FW
0xff81d64c,CloseConsole_FW
0xffa279d0,closedir
0xff860140,CommunicateISCPU_FW
0xff9c58a8,ControlEventHandler_FW
0xff81d3ec,CPrintf_FW
0xff81d448,CPutChar_FW
0xff81b62c,CreateBinarySemaphore
0xff81bc50,CreateBinarySemaphoreStrictly
0xff875938,CreateController_FW
0xff81b694,CreateCountingSemaphore
0xff81b694,CreateCountingSemaphore_FW
0xff81bc74,CreateCountingSemaphoreStrictly
0xff9c44a4,CreateDialogBox_FW
0xff9c56f8,CreateDialogItem_FW
0xff89f068,CreateDpConnectController_FW
0xff829fd0,CreateEventFlag
0xff81bc2c,CreateEventFlagStrictly
0xffa12320,CreateJumptable
0xff82a3e4,CreateMessageQueue
0xff81bc08,CreateMessageQueueStrictly
0xff8940ec,CreatePlayMyColController_FW
0xff81c848,CreateProxyOfEventProcedure_FW
0xff82a76c,CreateRecursiveLock
0xff81bc98,CreateRecursiveLockStrictly
0xff81b8fc,CreateTask
0xff81b8fc,CreateTask_FW
0xff81bbd4,CreateTaskStrictly
0xff8acedc,DBG_changeTraceLevel_FW
0xff81bccc,DebugAssert
0xff860194,DelaySet_FW
0xff8759ec,DeleteController_FW
0xff9c4148,DeleteDialogBox_FW
0xff9c47cc,DeleteDialogBoxAfterGetTopOfControl_FW
0xff9c57cc,DeleteDialogItem_FW
0xff825610,DeleteDirectory_Fut
0xff89edcc,DeleteDpConnectController_FW
0xff82a028,DeleteEventFlag
0xff82552c,DeleteFile_Fut
0xff9c49b4,DeleteItemFromDialogBox_FW
0xff82a468,DeleteMessageQueue
0xff9c61fc,DeletePalette_FW
0xff8942ac,DeletePlayMyColController_FW
0xff81c8a0,DeleteProxyOfEventProcedure_FW
0xff82a7bc,DeleteRecursiveLock
0xff81b6ec,DeleteSemaphore
0xff81b6ec,DeleteSemaphore_FW
0xff877c78,DisableAutoShutdown_FW
