physw_event_table dump (47 entries printed, may not all be valid)
address    info       event      index bit        non-inverted
0xfc613714 0x01010200 0x00000001 0     0x00000001 1
0xfc61371c 0x01010201 0x00000004 0     0x00000002 1
0xfc613724 0x01010202 0x00000003 0     0x00000004 1
0xfc61372c 0x01010203 0x00000002 0     0x00000008 1
0xfc613734 0x01010204 0x00000014 0     0x00000010 1
0xfc61373c 0x01010205 0x00000006 0     0x00000020 1
0xfc613744 0x01010206 0x00000007 0     0x00000040 1
0xfc61374c 0x01010207 0x00000009 0     0x00000080 1
0xfc613754 0x01010208 0x00000008 0     0x00000100 1
0xfc61375c 0x01010209 0x0000000a 0     0x00000200 1
0xfc613764 0x0101020a 0x0000000b 0     0x00000400 1
0xfc61376c 0x0101020b 0x00000101 0     0x00000800 1
0xfc613774 0x0100020e 0x00000300 0     0x00004000 0
0xfc61377c 0x01010210 0x00000103 0     0x00010000 1
0xfc613784 0x01010211 0x00000100 0     0x00020000 1
0xfc61378c 0x01010212 0x00000000 0     0x00040000 1
0xfc613794 0x0400821c 0xffffffff 0     0x10000000 0
0xfc61379c 0x02008020 0xffffffff 1     0x00000001 0
0xfc6137a4 0x02008021 0xffffffff 1     0x00000002 0
0xfc6137ac 0x03008122 0xffffffff 1     0x00000004 0
0xfc6137b4 0x02008025 0xffffffff 1     0x00000020 0
0xfc6137bc 0x02008026 0xffffffff 1     0x00000040 0
0xfc6137c4 0x03008128 0xffffffff 1     0x00000100 0
0xfc6137cc 0x03008129 0xffffffff 1     0x00000200 0
0xfc6137d4 0x0300812a 0xffffffff 1     0x00000400 0
0xfc6137dc 0x0300812b 0xffffffff 1     0x00000800 0
0xfc6137e4 0x0101022f 0x00000200 1     0x00008000 1
0xfc6137ec 0x01010237 0x00000209 1     0x00800000 1
0xfc6137f4 0x0100023d 0x0000020a 1     0x20000000 0
0xfc6137fc 0x05010145 0xffffffff 2     0x00000020 1
0xfc613804 0x00000253 0x8000040d 2     0x00080000 0
0xfc61380c 0x00000254 0x8000040b 2     0x00100000 0
0xfc613814 0x00000255 0x80000401 2     0x00200000 0
0xfc61381c 0x00000256 0x80000400 2     0x00400000 0
0xfc613824 0x00000257 0x80000406 2     0x00800000 0
0xfc61382c 0x0000025a 0x00000205 2     0x04000000 0
0xfc613834 0x0100025c 0x00000202 2     0x10000000 0
0xfc61383c 0x0600015e 0xffffffff 2     0x40000000 0
0xfc613844 0x0000025f 0x0000020f 2     0x80000000 0
0xfc61384c 0x00000002 0xc0000c03 0     0x00000004 0
0xfc613854 0x00000003 0xc0000c04 0     0x00000008 0
0xfc61385c 0x00000020 0xc0000c08 1     0x00000001 0
0xfc613864 0x00000021 0xc0000c09 1     0x00000002 0
0xfc61386c 0x00000022 0xc0000c02 1     0x00000004 0
0xfc613874 0x00000040 0xc0000c06 2     0x00000001 0
0xfc61387c 0x00000041 0xc0000c05 2     0x00000002 0
0xfc613884 0x00000043 0xc0000c04 2     0x00000008 0
