physw_event_table dump (47 entries printed, may not all be valid)
address    info       event      index bit        non-inverted
0xfc637e18 0x01010200 0x0000030e 0     0x00000001 1
0xfc637e20 0x03008101 0xffffffff 0     0x00000002 0
0xfc637e28 0x03008102 0xffffffff 0     0x00000004 0
0xfc637e30 0x03008103 0xffffffff 0     0x00000008 0
0xfc637e38 0x03008104 0xffffffff 0     0x00000010 0
0xfc637e40 0x01010205 0x00000015 0     0x00000020 1
0xfc637e48 0x01010206 0x00000006 0     0x00000040 1
0xfc637e50 0x01010207 0x00000007 0     0x00000080 1
0xfc637e58 0x01010208 0x00000009 0     0x00000100 1
0xfc637e60 0x01010209 0x0000000a 0     0x00000200 1
0xfc637e68 0x0101020a 0x00000008 0     0x00000400 1
0xfc637e70 0x0101020b 0x00000101 0     0x00000800 1
0xfc637e78 0x0101020c 0x0000000b 0     0x00001000 1
0xfc637e80 0x0101020d 0x00000002 0     0x00002000 1
0xfc637e88 0x08010210 0x00000103 0     0x00010000 1
0xfc637e90 0x01010211 0x00000100 0     0x00020000 1
0xfc637e98 0x02008020 0xffffffff 1     0x00000001 0
0xfc637ea0 0x02008021 0xffffffff 1     0x00000002 0
0xfc637ea8 0x02008022 0xffffffff 1     0x00000004 0
0xfc637eb0 0x02008025 0xffffffff 1     0x00000020 0
0xfc637eb8 0x02008026 0xffffffff 1     0x00000040 0
0xfc637ec0 0x01010227 0x00000400 1     0x00000080 1
0xfc637ec8 0x0601022a 0x00000000 1     0x00000400 1
0xfc637ed0 0x0701022b 0x00000001 1     0x00000800 1
0xfc637ed8 0x01010237 0x00000309 1     0x00800000 1
0xfc637ee0 0x0100023d 0x0000030a 1     0x20000000 0
0xfc637ee8 0x04010145 0xffffffff 2     0x00000020 1
0xfc637ef0 0x00000250 0x8000050e 2     0x00010000 0
0xfc637ef8 0x00000251 0x8000050d 2     0x00020000 0
0xfc637f00 0x00000252 0x8000050f 2     0x00040000 0
0xfc637f08 0x00000253 0x8000050c 2     0x00080000 0
0xfc637f10 0x00000254 0x80000501 2     0x00100000 0
0xfc637f18 0x00000255 0x80000500 2     0x00200000 0
0xfc637f20 0x00000256 0x00000305 2     0x00400000 0
0xfc637f28 0x01000257 0x00000302 2     0x00800000 0
0xfc637f30 0x01000258 0x00000308 2     0x01000000 0
0xfc637f38 0x05000159 0xffffffff 2     0x02000000 0
0xfc637f40 0x0000025a 0x0000030d 2     0x04000000 0
0xfc637f48 0x00000003 0xc0000e05 0     0x00000008 0
0xfc637f50 0x00000021 0xc0000e05 1     0x00000002 0
0xfc637f58 0x00000023 0xc0000e05 1     0x00000008 0
0xfc637f60 0x00000025 0xc0000e08 1     0x00000020 0
0xfc637f68 0x00000026 0xc0000e03 1     0x00000040 0
0xfc637f70 0x00000027 0xc0000e04 1     0x00000080 0
0xfc637f78 0x00000043 0xc0000e05 2     0x00000008 0
0xfc637f80 0x00000045 0xc0000e07 2     0x00000020 0
0xfc637f88 0x00000047 0xc0000e06 2     0x00000080 0
