physw_event_table dump (50 entries printed, may not all be valid)
address    info       event      index bit        non-inverted
0xfc571968 0x01010201 0x00000004 0     0x00000002 1
0xfc571970 0x01010202 0x00000003 0     0x00000004 1
0xfc571978 0x01010203 0x00000002 0     0x00000008 1
0xfc571980 0x01010204 0x0000000b 0     0x00000010 1
0xfc571988 0x01010205 0x00000006 0     0x00000020 1
0xfc571990 0x01010206 0x00000007 0     0x00000040 1
0xfc571998 0x01010207 0x00000009 0     0x00000080 1
0xfc5719a0 0x01010208 0x00000008 0     0x00000100 1
0xfc5719a8 0x01010209 0x0000000a 0     0x00000200 1
0xfc5719b0 0x0101020a 0x0000001a 0     0x00000400 1
0xfc5719b8 0x0101020b 0x00000014 0     0x00000800 1
0xfc5719c0 0x0101020c 0x0000001b 0     0x00001000 1
0xfc5719c8 0x0101020d 0x00000018 0     0x00002000 1
0xfc5719d0 0x01010210 0x00000101 0     0x00010000 1
0xfc5719d8 0x01010211 0x00000100 0     0x00020000 1
0xfc5719e0 0x01010212 0x00000000 0     0x00040000 1
0xfc5719e8 0x01010213 0x00000001 0     0x00080000 1
0xfc5719f0 0x02008020 0xffffffff 1     0x00000001 0
0xfc5719f8 0x02008021 0xffffffff 1     0x00000002 0
0xfc571a00 0x02008022 0xffffffff 1     0x00000004 0
0xfc571a08 0x02008023 0xffffffff 1     0x00000008 0
0xfc571a10 0x01000224 0x00000204 1     0x00000010 0
0xfc571a18 0x03008128 0xffffffff 1     0x00000100 0
0xfc571a20 0x03008129 0xffffffff 1     0x00000200 0
0xfc571a28 0x0300812a 0xffffffff 1     0x00000400 0
0xfc571a30 0x0300812b 0xffffffff 1     0x00000800 0
0xfc571a38 0x0300812c 0xffffffff 1     0x00001000 0
0xfc571a40 0x0101022f 0x00000200 1     0x00008000 1
0xfc571a48 0x01010231 0x00000300 1     0x00020000 1
0xfc571a50 0x01010237 0x00000209 1     0x00800000 1
0xfc571a58 0x0100023d 0x0000020a 1     0x20000000 0
0xfc571a60 0x04010145 0xffffffff 2     0x00000020 1
0xfc571a68 0x01000249 0x00000205 2     0x00000200 0
0xfc571a70 0x00000254 0x80000401 2     0x00100000 0
0xfc571a78 0x00000255 0x80000400 2     0x00200000 0
0xfc571a80 0x00000256 0x80000405 2     0x00400000 0
0xfc571a88 0x0100025c 0x00000202 2     0x10000000 0
0xfc571a90 0x0500015e 0xffffffff 2     0x40000000 0
0xfc571a98 0x0000025f 0x0000020f 2     0x80000000 0
0xfc571aa0 0x00000002 0xc0000c16 0     0x00000004 0
0xfc571aa8 0x00000003 0xc0000c08 0     0x00000008 0
0xfc571ab0 0x00000004 0xc0000c02 0     0x00000010 0
0xfc571ab8 0x00000005 0xc0000c03 0     0x00000020 0
0xfc571ac0 0x00000006 0xc0000c0e 0     0x00000040 0
0xfc571ac8 0x00000008 0xc0000c09 0     0x00000100 0
0xfc571ad0 0x00000009 0xc0000c0a 0     0x00000200 0
0xfc571ad8 0x0000000b 0xc0000c08 0     0x00000800 0
0xfc571ae0 0x0000000c 0xc0000c01 0     0x00001000 0
0xfc571ae8 0x0000000d 0xc0000c04 0     0x00002000 0
0xfc571af0 0x0000000e 0xc0000c00 0     0x00004000 0
