CAMERA,FIRMWARE,BETA_STATUS,SOURCE_FIRMWARE,SKIP_AUTOBUILD
a1000,100a,,,
a1000,100b,,,
a1100,100c,,,
a1100,100b,,100c,
a1200,100b,,,
a1200,100a,,100b,
a1200,100c,,,
a1300,100b,,,
a1300,100d,,,
a1300,100e,,,
a1400,100b,ALPHA,,
a2000,100c,,,
a2000,100a,,100c,
a2000,100b,,100c,
a2100,100a,ALPHA,,
a2200,100b,,,
a2200,100c,,100b,
a2200,100d,,,
a2300,100c,,,
a2300,100e,,,
a2300,100f,,,
a2400,100c,,,
a2400,100d,,,
a2400,100e,,,
a2500,100a,ALPHA,,
a2600,100c,ALPHA,,
a2600,100d,ALPHA,100c,
a3000,100b,,,
a3000,100c,,,
a3000,100d,,,
a3100,100a,,,
a3100,100b,,,
a3100,100d,,,
a3200,100a,,,
a3200,100c,,100a,
a3200,100d,,,
a3300,100a,,,
a3300,100c,,100a,
a3300,100d,,,
a3400,100f,ALPHA,,
a3400,101a,ALPHA,,
a3400,101b,ALPHA,,
a4000,100c,ALPHA,,
a4000,101a,ALPHA,,
a4000,101b,ALPHA,,
a4000,102a,ALPHA,101b,
a410,100f,,,
a410,100e,,100f,
a420,100b,,,
a430,100b,,,
a450,100d,,,
a460,100d,,,
a470,100e,,,
a470,101b,,,
a470,101a,,101b,
a470,102c,,,
a480,100b,,,
a490,100d,,,
a490,100e,,,
a490,100f,,,
a495,100d,,,
a495,100e,,,
a495,100f,,,
a530,100a,,,
a540,100b,,,
a550,100c,,,
a560,100a,,,
a570,100e,,,
a570,101a,,,
a580,100c,,,
a580,101b,,,
a590,100e,,,
a590,101b,,,
a610,100e,,,
a610,100d,,100e,
a610,100f,,,
a620,100f,,,
a630,100c,,,
a640,100b,,,
a650,100d,,,
a700,100b,,,
a710,100a,,,
a720,100c,,,
a800,100b,,,
a800,100c,,,
a810,100b,,,
a810,100d,,,
a810,100e,,,
d10,100a,,,
d10,100b,,100a,
d20,100b,,,
d30,100a,,,
g10,102a,,,
g10,103b,,,
g10,104a,,,
g11,100f,,,
g11,100j,,,
g11,100h,,100j,
g11,100k,,100j,
g11,100l,,,
g12,100c,,,
g12,100e,,,
g12,100f,,,
g12,100g,,,
g15,100b,,,
g15,100e,,,
g16,100h,,,
g16,101a,,,
g16,101b,,,
g16,101c,,,
g1x,100e,,,
g1x,100f,,,
g1x,100g,,,
g1x,101a,,,
g7,100e,,,
g7,100g,,,
g7,100i,,,
g7,100j,,,
g9,100d,,,
g9,100g,,,
g9,100f,,100g,
g9,100i,,,
g9,100h,,100i,
ixus1000_sd4500,100d,,,
ixus1000_sd4500,100b,,100d,
ixus1000_sd4500,100f,,,
ixus1000_sd4500,101a,,,
ixus1000_sd4500,102b,,,
ixus1000_sd4500,102d,,,
ixus1000_sd4500,102e,,,
ixus100_sd780,100b,,,
ixus100_sd780,100c,,,
ixus105_sd1300,100b,,,
ixus105_sd1300,100c,,,
ixus105_sd1300,100d,,,
ixus110_sd960,100b,BETA,,
ixus110_sd960,101d,BETA,,
ixus110_sd960,101f,BETA,,
ixus110_sd960,101g,BETA,101f,
ixus115_elph100hs,100c,,,
ixus115_elph100hs,101a,,,
ixus115_elph100hs,101b,,,
ixus115_elph100hs,101c,,101b,
ixus120_sd940,100e,,,
ixus120_sd940,101a,,,
ixus120_sd940,102c,,,
ixus120_sd940,103b,,,
ixus120_sd940,103c,,,
ixus125_elph110hs,100d,ALPHA,,
ixus125_elph110hs,100e,ALPHA,,
ixus125_elph110hs,101a,ALPHA,,
ixus130_sd1400,100a,,,
ixus130_sd1400,100c,,,
ixus132_elph115,100b,ALPHA,,
