physw_event_table dump (50 entries printed, may not all be valid)
address    info       event      index bit        non-inverted
0xfc5cfb64 0x01010200 0x00000001 0     0x00000001 1
0xfc5cfb6c 0x01010201 0x00000012 0     0x00000002 1
0xfc5cfb74 0x01010202 0x00001300 0     0x00000004 1
0xfc5cfb7c 0x01010203 0x00000002 0     0x00000008 1
0xfc5cfb84 0x01010204 0x00000014 0     0x00000010 1
0xfc5cfb8c 0x01010205 0x00000006 0     0x00000020 1
0xfc5cfb94 0x01010206 0x00000007 0     0x00000040 1
0xfc5cfb9c 0x01010207 0x00000009 0     0x00000080 1
0xfc5cfba4 0x01010208 0x00000008 0     0x00000100 1
0xfc5cfbac 0x01010209 0x0000000a 0     0x00000200 1
0xfc5cfbb4 0x0101020a 0x00000011 0     0x00000400 1
0xfc5cfbbc 0x0101020b 0x00000010 0     0x00000800 1
0xfc5cfbc4 0x0101020c 0x00000212 0     0x00001000 1
0xfc5cfbcc 0x0101020d 0x00000103 0     0x00002000 1
0xfc5cfbd4 0x0101020e 0x0000000f 0     0x00004000 1
0xfc5cfbdc 0x01010210 0x00000101 0     0x00010000 1
0xfc5cfbe4 0x01010211 0x00000100 0     0x00020000 1
0xfc5cfbec 0x01010212 0x00000000 0     0x00040000 1
0xfc5cfbf4 0x0400821c 0xffffffff 0     0x10000000 0
0xfc5cfbfc 0x02008020 0xffffffff 1     0x00000001 0
0xfc5cfc04 0x02008021 0xffffffff 1     0x00000002 0
0xfc5cfc0c 0x02008024 0xffffffff 1     0x00000010 0
0xfc5cfc14 0x02008025 0xffffffff 1     0x00000020 0
0xfc5cfc1c 0x0100022b 0x00000204 1     0x00000800 0
0xfc5cfc24 0x0101022f 0x00000200 1     0x00008000 1
0xfc5cfc2c 0x04008236 0xffffffff 1     0x00400000 0
0xfc5cfc34 0x04008237 0xffffffff 1     0x00800000 0
0xfc5cfc3c 0x0101023c 0x00000209 1     0x10000000 1
0xfc5cfc44 0x0100023d 0x0000020a 1     0x20000000 0
0xfc5cfc4c 0x03008141 0xffffffff 2     0x00000002 0
0xfc5cfc54 0x03008142 0xffffffff 2     0x00000004 0
0xfc5cfc5c 0x03008143 0xffffffff 2     0x00000008 0
0xfc5cfc64 0x03008144 0xffffffff 2     0x00000010 0
0xfc5cfc6c 0x05010145 0xffffffff 2     0x00000020 1
0xfc5cfc74 0x0101024a 0x00000300 2     0x00000400 1
0xfc5cfc7c 0x0200804c 0xffffffff 2     0x00001000 0
0xfc5cfc84 0x00000252 0x8000040d 2     0x00040000 0
0xfc5cfc8c 0x00000254 0x8000040b 2     0x00100000 0
0xfc5cfc94 0x00000255 0x80000401 2     0x00200000 0
0xfc5cfc9c 0x00000256 0x80000400 2     0x00400000 0
0xfc5cfca4 0x00000257 0x80000406 2     0x00800000 0
0xfc5cfcac 0x0000025a 0x00000205 2     0x04000000 0
0xfc5cfcb4 0x0100025c 0x00000202 2     0x10000000 0
0xfc5cfcbc 0x0600015e 0xffffffff 2     0x40000000 0
0xfc5cfcc4 0x0000025f 0x0000020f 2     0x80000000 0
0xfc5cfccc 0x00000003 0xc0000c05 0     0x00000008 0
0xfc5cfcd4 0x00000011 0xc0000c04 0     0x00020000 0
0xfc5cfcdc 0x00000013 0xc0000c04 0     0x00080000 0
0xfc5cfce4 0x00000023 0xc0000c06 1     0x00000008 0
0xfc5cfcec 0x00000030 0xc0000c0a 1     0x00010000 0
