NAME,P1,P2,P3,P6,P4,P5,P8,P7,P9,P10,P13,P11,P12
PROPCASE_AE_LOCK,,3,,3,3,3,3,3,3,3,3,3,3
PROPCASE_AF_ASSIST_BEAM,63,5,5,5,5,5,5,5,5,5,5,5,5
PROPCASE_AF_FRAME,64,8,8,8,8,8,8,8,8,8,8,8,8
PROPCASE_AF_LOCK,193,11,11,11,11,11,11,11,11,11,11,11,11
PROPCASE_ASPECT_RATIO,,294,298,299,300,300,304,307,307,309,310,311,312
PROPCASE_AV,68,23,23,23,23,23,23,23,23,23,23,23,23
PROPCASE_AV2,,,,22,22,22,22,22,22,22,22,22,22
PROPCASE_BRACKET_MODE,36,29,29,29,29,29,29,33,33,33,33,33,33
PROPCASE_BV,71,34,34,34,34,34,35,38,38,40,40,40,40
PROPCASE_CONTINUOUS_AF,,12,12,12,12,12,12,12,12,12,12,12,12
PROPCASE_CUSTOM_BLUE,208,175,,176,177,177,179,182,182,184,,185,186
PROPCASE_CUSTOM_COLORTONE,,,,,,,,,,,514,,
PROPCASE_CUSTOM_CONTRAST,4,59,,59,59,59,61,64,502,66,512,67,67
PROPCASE_CUSTOM_GREEN,209,176,,177,178,178,180,182,182,185,,186,187
PROPCASE_CUSTOM_RED,207,177,,178,179,179,181,184,184,186,,187,188
PROPCASE_CUSTOM_SATURATION,3,55,,55,55,55,57,60,503,62,513,63,63
PROPCASE_CUSTOM_SHARPNESS,2,225,,228,229,229,231,234,501,236,,238,239
PROPCASE_CUSTOM_SHARPNESS_FINENESS,,,,,,,,,,,510,,
PROPCASE_CUSTOM_SHARPNESS_STRENGTH,,,,,,,,,,,509,,
PROPCASE_CUSTOM_SHARPNESS_THRESHOLD,,,,,,,,,,,511,,
PROPCASE_CUSTOM_SKIN_TONE,210,178,,179,180,180,182,185,185,187,,188,189
PROPCASE_DATE_STAMP,190,66,66,66,66,66,68,,,,,,74
PROPCASE_DELTA_SV,70,79,79,79,79,79,81,84,84,86,86,87,87
PROPCASE_DIGITAL_ZOOM_MODE,,91,91,91,91,91,94,97,97,99,99,100,100
PROPCASE_DIGITAL_ZOOM_POSITION,57,95,95,95,95,95,98,101,101,103,103,104,104
PROPCASE_DIGITAL_ZOOM_STATE,58,94,94,94,94,94,97,,,,,104,
PROPCASE_DISPLAY_MODE,181,105,105,105,105,105,108,111,111,113,113,114,114
PROPCASE_DRIVE_MODE,6,102,102,102,102,102,105,108,108,110,110,111,111
PROPCASE_EV_CORRECTION_1,25,107,107,107,107,107,110,113,113,115,115,116,116
PROPCASE_EV_CORRECTION_2,26,207,209,210,211,211,213,216,216,218,218,219,220
PROPCASE_EXPOSURE_LOCK,,,208,209,210,210,212,215,215,217,217,218,219
PROPCASE_EXT_FLASH_EXP_COMP,,,,,289,,,,,,,,
PROPCASE_FLASH_ADJUST_MODE,15,121,121,121,121,121,122,127,127,129,129,130,130
PROPCASE_FLASH_EXP_COMP,,,,127,127,127,130,133,133,135,135,136,136
PROPCASE_FLASH_FIRE,79,122,122,122,122,122,125,128,128,130,130,131,131
PROPCASE_FLASH_MANUAL_OUTPUT,29,141,141,141,141,141,144,147,147,149,149,150,150
PROPCASE_FLASH_MODE,16,143,143,143,143,143,146,149,149,151,151,152,152
PROPCASE_FLASH_SYNC_CURTAIN,20,64,64,64,64,64,66,69,69,71,71,72,72
PROPCASE_FOCUS_MODE,12,133,133,133,133,133,136,139,139,141,141,142,142
PROPCASE_FOCUS_STATE,67,18,18,18,18,18,18,18,18,18,18,18,18
PROPCASE_GPS,,,,357,359,358,,,,,,,
PROPCASE_IMAGE_FORMAT,,,,213,214,214,216,219,219,221,221,222,223
PROPCASE_ISO_MODE,21,149,149,149,149,149,152,155,155,157,157,158,158
PROPCASE_IS_FLASH_READY,221,208,210,211,212,212,214,217,217,219,219,220,221
PROPCASE_IS_MODE,229,145,145,145,145,145,148,151,151,153,153,154,154
PROPCASE_JPEG_WITH_RAW,,280,284,,,,,,,,,,
PROPCASE_LANGUAGE,196,61,61,61,61,61,63,66,66,68,68,69,69
PROPCASE_METERING_MODE,9,155,155,157,157,157,160,163,163,165,165,166,167
PROPCASE_MIN_AV,77,25,25,25,25,25,25,28,28,28,28,28,28
PROPCASE_MY_COLORS,206,184,,187,188,188,190,193,193,195,,196,197
PROPCASE_ND_FILTER_STATE,,192,194,195,196,196,,201,201,203,203,204,205
PROPCASE_OPTICAL_ZOOM_POSITION,99,195,197,198,199,199,201,204,204,206,206,207,208
PROPCASE_ORIENTATION_SENSOR,37,219,221,222,223,223,225,228,228,230,230,231,232
PROPCASE_OVEREXPOSURE,76,103,103,103,103,103,106,109,109,111,111,112,112
PROPCASE_QUALITY,23,57,57,57,57,57,59,62,62,64,64,65,65
PROPCASE_REAL_FOCUS_MODE,11,6,6,6,6,6,6,6,6,6,6,6,6
PROPCASE_RESOLUTION,24,218,220,221,222,222,224,227,227,229,229,230,231
PROPCASE_REVIEW_TIME,,,,363,,364,,371,371,373,374,,376
PROPCASE_SERVO_AF,,293,297,298,299,299,303,306,306,308,309,310,311
PROPCASE_SHOOTING,205,206,301,302,303,303,307,1001,1001,1001,1001,1001,1001
PROPCASE_SHOOTING_MODE,0,49,49,49,49,49,50,53,53,55,55,56,56
PROPCASE_SHOOTING_STATE,,,,,,,,359,359,361,362,363,364
PROPCASE_STITCH_DIRECTION,52,233,,236,237,237,239,,,,,,
PROPCASE_STITCH_SEQUENCE,48,238,,241,242,242,244,,,,,,
PROPCASE_SUBJECT_DIST1,65,245,247,248,249,249,251,254,254,256,257,258,259
PROPCASE_SUBJECT_DIST2,66,65,65,65,65,65,67,70,254,72,72,73,73
PROPCASE_SV,73,247,249,346,347,347,351,354,354,356,357,358,359
PROPCASE_SV_MARKET,72,246,248,249,250,250,252,255,255,257,258,259,260
PROPCASE_TIMER_DELAY,,,,227,,228,230,233,233,235,236,237,238
PROPCASE_TIMER_MODE,,223,225,226,227,227,229,232,232,234,235,236,237
PROPCASE_TIMER_SHOTS,,,336,376,378,377,381,384,384,386,387,388,388
PROPCASE_TV,69,262,264,265,266,266,269,272,272,274,275,276,277
PROPCASE_TV2,,,,264,265,265,268,271,271,273,274,275,276
PROPCASE_USER_AV,39,26,26,26,26,26,26,29,29,29,29,29,29
PROPCASE_USER_TV,40,264,266,267,268,268,271,274,274,276,276,278,279
PROPCASE_VIDEO_FRAMERATE,,,,167,168,168,170,173,173,175,175,175,177
PROPCASE_VIDEO_RESOLUTION,,169,169,170,171,171,173,176,176,178,178,179,180
PROPCASE_WB_ADJ,100,269,271,272,273,273,277,280,280,282,283,284,285
PROPCASE_WB_MODE,5,268,270,271,272,272,276,279,279,281,282,283,284

Generated file - run 'perl tools/propset_values.pl > doc/propset_values.csv' to update
