physw_event_table dump (47 entries printed, may not all be valid)
address    info       event      index bit        non-inverted
0xfc6136e8 0x01010200 0x00000001 0     0x00000001 1
0xfc6136f0 0x01010201 0x00000004 0     0x00000002 1
0xfc6136f8 0x01010202 0x00000003 0     0x00000004 1
0xfc613700 0x01010203 0x00000002 0     0x00000008 1
0xfc613708 0x01010204 0x00000014 0     0x00000010 1
0xfc613710 0x01010205 0x00000006 0     0x00000020 1
0xfc613718 0x01010206 0x00000007 0     0x00000040 1
0xfc613720 0x01010207 0x00000009 0     0x00000080 1
0xfc613728 0x01010208 0x00000008 0     0x00000100 1
0xfc613730 0x01010209 0x0000000a 0     0x00000200 1
0xfc613738 0x0101020a 0x0000000b 0     0x00000400 1
0xfc613740 0x0101020b 0x00000101 0     0x00000800 1
0xfc613748 0x0100020e 0x00000300 0     0x00004000 0
0xfc613750 0x01010210 0x00000103 0     0x00010000 1
0xfc613758 0x01010211 0x00000100 0     0x00020000 1
0xfc613760 0x01010212 0x00000000 0     0x00040000 1
0xfc613768 0x0400821c 0xffffffff 0     0x10000000 0
0xfc613770 0x02008020 0xffffffff 1     0x00000001 0
0xfc613778 0x02008021 0xffffffff 1     0x00000002 0
0xfc613780 0x03008122 0xffffffff 1     0x00000004 0
0xfc613788 0x02008025 0xffffffff 1     0x00000020 0
0xfc613790 0x02008026 0xffffffff 1     0x00000040 0
0xfc613798 0x03008128 0xffffffff 1     0x00000100 0
0xfc6137a0 0x03008129 0xffffffff 1     0x00000200 0
0xfc6137a8 0x0300812a 0xffffffff 1     0x00000400 0
0xfc6137b0 0x0300812b 0xffffffff 1     0x00000800 0
0xfc6137b8 0x0101022f 0x00000200 1     0x00008000 1
0xfc6137c0 0x01010237 0x00000209 1     0x00800000 1
0xfc6137c8 0x0100023d 0x0000020a 1     0x20000000 0
0xfc6137d0 0x05010145 0xffffffff 2     0x00000020 1
0xfc6137d8 0x00000253 0x8000040d 2     0x00080000 0
0xfc6137e0 0x00000254 0x8000040b 2     0x00100000 0
0xfc6137e8 0x00000255 0x80000401 2     0x00200000 0
0xfc6137f0 0x00000256 0x80000400 2     0x00400000 0
0xfc6137f8 0x00000257 0x80000406 2     0x00800000 0
0xfc613800 0x0000025a 0x00000205 2     0x04000000 0
0xfc613808 0x0100025c 0x00000202 2     0x10000000 0
0xfc613810 0x0600015e 0xffffffff 2     0x40000000 0
0xfc613818 0x0000025f 0x0000020f 2     0x80000000 0
0xfc613820 0x00000002 0xc0000c03 0     0x00000004 0
0xfc613828 0x00000003 0xc0000c04 0     0x00000008 0
0xfc613830 0x00000020 0xc0000c08 1     0x00000001 0
0xfc613838 0x00000021 0xc0000c09 1     0x00000002 0
0xfc613840 0x00000022 0xc0000c02 1     0x00000004 0
0xfc613848 0x00000040 0xc0000c06 2     0x00000001 0
0xfc613850 0x00000041 0xc0000c05 2     0x00000002 0
0xfc613858 0x00000043 0xc0000c04 2     0x00000008 0
