physw_event_table dump (50 entries printed, may not all be valid)
address    info       event      index bit        non-inverted
0xfc569720 0x01010200 0x00000100 0     0x00000001 1
0xfc569728 0x01010201 0x00000101 0     0x00000002 1
0xfc569730 0x01010202 0x00000000 0     0x00000004 1
0xfc569738 0x01010203 0x00000001 0     0x00000008 1
0xfc569740 0x01010208 0x00000002 0     0x00000100 1
0xfc569748 0x01010209 0x0000000e 0     0x00000200 1
0xfc569750 0x0101020d 0x0000000d 0     0x00002000 1
0xfc569758 0x0101020e 0x00000006 0     0x00004000 1
0xfc569760 0x0101020f 0x00000007 0     0x00008000 1
0xfc569768 0x01010210 0x00000009 0     0x00010000 1
0xfc569770 0x01010222 0x00000008 1     0x00000004 1
0xfc569778 0x01010223 0x0000000a 1     0x00000008 1
0xfc569780 0x01010224 0x0000000f 1     0x00000010 1
0xfc569788 0x01010225 0x00000103 1     0x00000020 1
0xfc569790 0x0101022f 0x00000200 1     0x00008000 1
0xfc569798 0x01010237 0x00000209 1     0x00800000 1
0xfc5697a0 0x0101023c 0x00000300 1     0x10000000 1
0xfc5697a8 0x0100023d 0x0000020a 1     0x20000000 0
0xfc5697b0 0x02008040 0xffffffff 2     0x00000001 0
0xfc5697b8 0x03008141 0xffffffff 2     0x00000002 0
0xfc5697c0 0x03008142 0xffffffff 2     0x00000004 0
0xfc5697c8 0x03008143 0xffffffff 2     0x00000008 0
0xfc5697d0 0x03008144 0xffffffff 2     0x00000010 0
0xfc5697d8 0x04010145 0xffffffff 2     0x00000020 1
0xfc5697e0 0x02008048 0xffffffff 2     0x00000100 0
0xfc5697e8 0x02008049 0xffffffff 2     0x00000200 0
0xfc5697f0 0x0200804a 0xffffffff 2     0x00000400 0
0xfc5697f8 0x0200804b 0xffffffff 2     0x00000800 0
0xfc569800 0x00000254 0x8000040a 2     0x00100000 0
0xfc569808 0x00000255 0x80000401 2     0x00200000 0
0xfc569810 0x00000256 0x80000400 2     0x00400000 0
0xfc569818 0x00000257 0x80000405 2     0x00800000 0
0xfc569820 0x0000025a 0x00000205 2     0x04000000 0
0xfc569828 0x0100025c 0x00000202 2     0x10000000 0
0xfc569830 0x0500015e 0xffffffff 2     0x40000000 0
0xfc569838 0x0000025f 0x0000020f 2     0x80000000 0
0xfc569840 0x00000006 0xc0000c09 0     0x00000040 0
0xfc569848 0x00000007 0xc0000c08 0     0x00000080 0
0xfc569850 0x0000000a 0xc0000c04 0     0x00000400 0
0xfc569858 0x0000000b 0xc0000c07 0     0x00000800 0
0xfc569860 0x0000000d 0xc0000c06 0     0x00002000 0
0xfc569868 0x0000000f 0xc0000c07 0     0x00008000 0
0xfc569870 0x00000013 0xc0000c02 0     0x00080000 0
0xfc569878 0x00000016 0xc0000c0a 0     0x00400000 0
0xfc569880 0x00000017 0xc0000c01 0     0x00800000 0
0xfc569888 0x00000018 0xc0000c05 0     0x01000000 0
0xfc569890 0x0000001a 0xc0000c04 0     0x04000000 0
0xfc569898 0x0000001b 0xc0000c03 0     0x08000000 0
0xfc5698a0 0x0000001c 0xc0000c05 0     0x10000000 0
0xfc5698a8 0x0000001d 0xc0000c06 0     0x20000000 0
