0x000c3654,task_AdditionAgent
0x003f1b9c,DisableDispatch_low
0x003f1bc8,EnableDispatch_low
0x003f1c1c,get_self_task_id
0x003f2e10,get_task_properties
0x003f6848,RegisterInterruptHandler
0x003f686c,UnregisterInterruptHandler
0x003f6884,GetSRAndDisableInterrupt
0x003f6888,SetSR
0x003f68a8,EnableInterrupt
0x003f68b0,CreateTask
0x003f68b0,CreateTask_FW
0x003f6b40,ExitTask
0x003f6b40,ExitTask_FW
0x003f6c28,DebugAssert
0x003f7304,CreateMessageQueue
0x003f7388,DeleteMessageQueue
0x003f7418,ReceiveMessageQueue
0x003f74e0,TryReceiveMessageQueue
0x003f7564,PostMessageQueue
0x003f761c,TryPostMessageQueue
0x003f765c,GetNumberOfPostedMessages
0x003f76c8,CreateBinarySemaphore
0x003f7730,CreateCountingSemaphore
0x003f7730,CreateCountingSemaphore_FW
0x003f7788,DeleteSemaphore
0x003f7788,DeleteSemaphore_FW
0x003f77e0,TryTakeSemaphore
0x003f7834,TakeSemaphore
0x003f7834,TakeSemaphore_FW
0x003f7904,GiveSemaphore
0x003f7904,GiveSemaphore_FW
0x003f793c,GetSemaphoreValue
0x003f79a4,DisableDispatch
0x003f7bb0,SleepTask
0x003f7bb0,SleepTask_FW
0x003f7bf8,EnableDispatch
0x003f7c50,CreateTaskStrictly
0x003f7c84,CreateMessageQueueStrictly
0x003f7ca8,CreateEventFlagStrictly
0x003f7ccc,CreateBinarySemaphoreStrictly
0x003f7cf0,CreateCountingSemaphoreStrictly
0x003f7d14,CreateRecursiveLockStrictly
0x003f7d38,TakeSemaphoreStrictly
0x003f7d64,ReceiveMessageQueueStrictly
0x003f7d90,PostMessageQueueStrictly
0x003f7dbc,WaitForAnyEventFlagStrictly
0x003f7de8,WaitForAllEventFlagStrictly
0x003f7e14,AcquireRecursiveLockStrictly
0x003faac0,CreateEventFlag
0x003fab18,DeleteEventFlag
0x003fab68,CheckAnyEventFlag
0x003fabb0,CheckAllEventFlag
0x003fabf8,WaitForAnyEventFlag
0x003facdc,WaitForAllEventFlag
0x003fad9c,SetEventFlag
0x003fadd0,ClearEventFlag
0x003fae08,GetEventFlagValue
0x003faf88,CreateRecursiveLock
0x003fafd8,DeleteRecursiveLock
0x003fb028,AcquireRecursiveLock
0x003fb148,ReleaseRecursiveLock
0x003fb2e8,LocalTime
0x003fb790,time
0x003fb840,GetTimeOfSystem_FW
0x003fc870,_divmod_signed_int
0x003fcd08,_divmod_unsigned_int
0x003fd0b0,_log
0x003fd5f0,_log10
0x003fd768,_pow
0x003fe718,_safe_sqrt
0x003fe764,_dadd
0x003fea3c,_ddiv
0x003fef08,_dfix
0x003fefb8,_dfixu
0x003ff040,_dflt
0x003ff070,_dfltu
0x003ff07c,_dcmp
0x003ff104,_dmul
0x003ff2d4,_dcmp_reverse
0x003ff374,_drsb
0x003ff38c,_sqrt
0x003ff500,_dsub
0x003ff884,_f2d
0x003ffa08,_fdiv
0x003ffbec,_ffix
0x003ffc60,_ffixu
0x003ffcc0,_fflt
0x003ffcf4,_ffltu
0x003ffcfc,_fmul
0x004001fc,_scalbn
0xff810d80,memShow_FW
0xff812c94,strncpy
0xff812cd0,strncmp
0xff812d1c,strchr
0xff812d40,strrchr
0xff812d68,strlen
0xff812d68,strlen_FW
0xff812e50,malloc
0xff812ea8,free
0xff814230,drysh_FW
0xff8142ac,err_init_task
0xff814408,task_ClockSave
0xff814f68,get_self_task_errno_pointer
0xff814fcc,GetMemInfo
0xff815834,open
0xff8158e4,close
0xff815a88,Read
0xff815a88,Read_FW
0xff819304,task_ConsoleSvr
0xff819910,RotateConsoleZOder_FW
0xff8199a0,task_LowConsole
0xff819b20,CPrintf_FW
0xff819b78,CPutChar_FW
0xff819ba0,GetCh_FW
0xff819bf0,GetStringWithPrompt_FW
0xff819c90,OpenConsole_FW
0xff819dbc,CloseConsole_FW
0xff81a194,task_Startup
0xff81a2e4,_uartr_req
0xff81a374,task_UartLog
0xff81a518,StartRedirectUART_FW
0xff81a62c,StopRedirectUART_FW
0xff81a78c,sprintf_FW
0xff81a7d0,vsprintf
0xff81a920,strcpy
0xff81a920,strcpy_FW
0xff81a938,memcmp
0xff81a938,memcmp_FW
0xff81aa34,j_strcmp_FW
0xff81aa34,strcmp
0xff81aa5c,strcmp_FW
0xff828748,task_StartupImage
0xff8297bc,task_BatteryTask
0xff829cb0,GetVBatVoltage_FW
0xff829cb0,VbattGet
0xff829cb0,VbattGet_FW
0xff82a704,kbd_p2_f
0xff82aa68,task_PhySw
0xff82ae64,GetSwitchStatus_FW
0xff82aed0,GetSDDetect_FW
0xff82aed8,GetSDProtect
0xff82aed8,GetSDProtect_FW
0xff82aefc,GetDialEventId_FW
0xff82af04,GetLcdPosition_FW
0xff82af0c,GetBatteryCoverClose_FW
0xff82af14,IsHvSensorExist_FW
0xff82af1c,kbd_read_keys
0xff82af6c,kbd_p1_f
0xff82af78,kbd_p1_f_cont
0xff82bd8c,EngDrvOut
0xff82bda4,EngDrvIn
0xff82bdac,EngDrvRead
0xff82bdc0,EngDrvBits
0xff82bfe4,DisplayFactoryMode_FW
0xff82bff0,UndisplayFactoryMode_FW
0xff82bffc,task_bomStopPTPIPTask
0xff82c028,StopPtpipServiceForFAWLAN_FW
0xff82c0e8,SetWLANFactoryMode_FW
0xff82c0f0,ClearWLANFactoryMode_FW
0xff82c0f8,SetSSIDForFAWLAN_FW
0xff82c438,SetDurianMode_FW
0xff82c478,ClearDurianMode_FW
0xff82c478,ClearFactoryMode_FW
0xff82c4b8,SetFactoryMode_FW
0xff82c4f8,ClearDUIDFixFlag_FW
0xff82c530,SetDUIDFixFlag_FW
0xff82c64c,ClearFactoryMasterFlag_FW
0xff82c658,SetFactoryMasterFlag_FW
0xff82c664,ClearFactoryMasterROMProtection_FW
0xff82c688,SetFactoryMasterROMProtection_FW
0xff82c6ac,IsFactoryMode_FW
0xff82c714,IsDUIDFixFlag_FW
0xff82c75c,IsNormalCameraMode_FW
0xff82c774,StartFactoryModeController_FW
