0x003fe764,_dadd
0x003ff07c,_dcmp
0x003ff2d4,_dcmp_reverse
0x003fea3c,_ddiv
0x003fef08,_dfix
0x003fefb8,_dfixu
0x003ff040,_dflt
0x003ff070,_dfltu
0x003fc870,_divmod_signed_int
0x003fcd08,_divmod_unsigned_int
0x003ff104,_dmul
0x003ff374,_drsb
0x003ff500,_dsub
0x003ff884,_f2d
0x003ffa08,_fdiv
0x003ffbec,_ffix
0x003ffc60,_ffixu
0x003ffcc0,_fflt
0x003ffcf4,_ffltu
0x003ffcfc,_fmul
0xff831d10,_GetSystemTime
0x003fd0b0,_log
0x003fd5f0,_log10
0x003fd768,_pow
0x003fe718,_safe_sqrt
0x004001fc,_scalbn
0x003ff38c,_sqrt
0xff81a2e4,_uartr_req
0xff9448a4,AbortAEIntegralValue_FW
0x003fb028,AcquireRecursiveLock
0x003f7e14,AcquireRecursiveLockStrictly
0xff946cc0,ActivateAdjLog_FW
0xff8f4094,ActivateImager_FW
0xff8f412c,ActivateImagerXOne_FW
0xffa3375c,add_ptp_handler
0xff98dde0,add_ui_to_dialog
0xff9816b8,AdditionAgentRAM_FW
0xffa66138,AddTransparentMemory_FW
0xffb1621c,AdjAEWithAperturePriority_FW
0xffb161c4,AfAEWithAperturePriority_FW
0xffb163cc,AfAEWithCompensation_FW
0xffa24348,AFTool.GetEVal_FW
0xffa99f28,AllocateMemory
0xffa99f28,AllocateMemory_FW
0xff831fc4,AllocateUncacheableMemory
0xff9ef420,apex2us
0xff8a1f88,atol_FW
0xff9457a8,AttachIntegCrawData_FW
0xffa66170,AttachToTransparentMemory_FW
0xffb01fa0,Bat_Calc_FW
0xffb17aa8,Bat_Save_FW
0xffb17a94,Bat_VIN_FW
0xff8603e8,BeepDrive_FW
0xff860408,BeepDriveComp_FW
0xffb11e90,CalcLog10
0xffb11ecc,CalcLog10_FW
0xffb11fbc,CalcSqrt_FW
0xffb01fa0,CalculateBatSenseOffset_FW
0xffb15174,CalculateInterpolationByLS_FW
0xffb11e6c,CalculateLog2ToApex_FW
0xffb11e34,CalculatePeakFromLeastSquareResult_FW
0xffb15114,CalculatePeakPosByLS_FW
0xffb11e80,CalculatePow2FromApex_FW
0xff870ce8,CalculateTestRecYUVData_FW
0xffb15ffc,CancelAdj_AEMode_FW
0xffb1086c,CancelAdjCdsMode_FW
0xffb13afc,CancelBPFilterForBP_FW
0xffb158c4,CancelExStrobeMode_FW
0xffa94e80,CancelFocusLensMaxSpeedLimit_FW
0xff88b328,CancelHPTimer
