0xffc01e34,wrapped_malloc
0xffc0223c,printclock_FW
0xffc02340,StopClockSaver_FW
0xffc0235c,SetLClk72MHz_FW
0xffc0236c,SetLClk36MHz_FW
0xffc0237c,SetLClk18MHz_FW
0xffc0245c,SetHClk72MHz_FW
0xffc024b8,SetHClk36MHz_FW
0xffc024ec,SetHClk18MHz_FW
0xffc02548,SetMClk72MHz_FW
0xffc025a4,SetMClk36MHz_FW
0xffc025d8,SetMClk18MHz_FW
0xffc03398,_GetSystemTime
0xffc034ec,SetTimerAfter
0xffc03588,SetTimerWhen
0xffc03600,CancelTimer
0xffc03de8,SetHPTimerAfterNow
0xffc03e74,SetHPTimerAfterTimeout
0xffc0425c,CancelHPTimer
0xffc04564,RegisterEventProcedure_FW
0xffc04670,ExecuteEventProcedure
0xffc04670,ExecuteEventProcedure_FW
0xffc04fd8,ExportToEventProcedure_FW
0xffc04ff0,CreateProxyOfEventProcedure_FW
0xffc05078,DeleteProxyOfEventProcedure_FW
0xffc054bc,LogCameraEvent
0xffc0558c,PutsCameraLogEvent_FW
0xffc05694,ShowCameraLogInfo_FW
0xffc05738,ShowCameraLog_FW
0xffc05a18,StopCameraLog_FW
0xffc07950,StartWDT_FW
0xffc079cc,StopWDT_FW
0xffc07b40,GetBuildDate_FW
0xffc07b58,GetBuildTime_FW
0xffc07b7c,GetFirmwareVersion_FW
0xffc07d24,RomCheckSum_FW
0xffc07db8,CheckSumAll_FW
0xffc07f60,SystemEventDelete_FW
0xffc08060,Dump32_FW
0xffc08174,FreeMemory
0xffc08174,FreeMemory_FW
0xffc08188,AllocateMemory
0xffc08188,AllocateMemory_FW
0xffc08198,Wait_FW
0xffc081ac,Poke32_FW
0xffc081c0,Poke16_FW
0xffc081d4,Poke8_FW
0xffc081e8,Peek32_FW
0xffc081f4,Peek16_FW
0xffc08208,Peek8_FW
0xffc0821c,EraseSignature_FW
0xffc0824c,GetSystemTime_FW
0xffc0826c,MonSelEvent_FW
0xffc082a4,exec_FW
0xffc08cb4,RotateConsoleZOder_FW
0xffc08d5c,CPrintf_FW
0xffc08dc0,CPutChar_FW
0xffc08df4,GetCh_FW
0xffc08e58,GetStringWithPrompt_FW
0xffc08edc,OpenConsole_FW
0xffc09024,CloseConsole_FW
0xffc0c434,MakeBootDisk_FW
0xffc0c448,MakeScriptDisk_FW
0xffc0cfc4,StartUARTRedirect_FW
0xffc0cfdc,StopUARTRedirect_FW
0xffc0d02c,ExMem.AllocUncacheable_FW
0xffc0d044,ExMem.FreeUncacheable_FW
0xffc0d058,ExMem.AllocCacheable_FW
0xffc0d070,ExMem.FreeCacheable_FW
0xffc0e004,exmem_free
0xffc0e0a8,AllocateUncacheableMemory
0xffc0eb64,UI_ShowStateOfRecMode_FW
0xffc0ecdc,UIFS_SetDialStillRec_FW
0xffc0ecec,UIFS_SetDialMovieRec_FW
0xffc0ecfc,UIFS_SetDialPlay_FW
0xffc0ed0c,UIFS_OpenPopupStrobe_FW
0xffc0ed40,UIFS_ClosePopupStrobe_FW
0xffc0ed74,UIFS_MountExtFlash_FW
0xffc0eda8,UIFS_UnmountExtFlash_FW
0xffc0eddc,UIFS_PressTeleButton_FW
0xffc0ee10,UIFS_PressWideButton_FW
0xffc0ee40,ModeLevelStillRecForScript_FW
0xffc0ee4c,ModeLevelMovieRecForScript_FW
0xffc0ee58,ModeLevelPlayForScript_FW
0xffc0ee64,UIFS_StopPostingUIEvent_FW
0xffc0ee70,UIFS_RestartPostingUIEvent_FW
0xffc0ee7c,UIFS_SetCaptureModeToP_FW
0xffc0eeb8,UIFS_SetCaptureModeToM_FW
0xffc0eef4,UIFS_SetCaptureModeToMacro_FW
0xffc0ef08,UIFS_Capture_FW
0xffc0ef18,UIFS_CaptureNoneStop_FW
0xffc0ef24,UIFS_StartMovieRecord_FW
0xffc0ef30,UIFS_StopMovieRecord_FW
0xffc0ef3c,UIFS_SetCradleSetting_FW
0xffc11500,PB2Rec
0xffc11540,Rec2PB
0xffc1424c,ExecuteResetFactoryWithRomWrite_FW
0xffc17b90,SetCurrentCaptureModeType
0xffc17b90,SetCurrentCaptureModeType_FW
0xffc17be0,GetCurrentCaptureModeType_FW
0xffc2d604,StartSwitchViewFinder_FW
0xffc2d658,StopSwitchViewFinder_FW
0xffc2d684,SwitchViewFinder_FW
0xffc2e3b8,TurnOnBackLight
0xffc2e3e8,TurnOffBackLight
0xffc5900c,TerminateDpofUI_FW
0xffc5d7a4,StartDpofPlayLoading_FW
0xffc5d98c,StopDpofPlayLoading_FW
0xffc5d9b4,SyncStopDpofPlayLoading_FW
0xffc609e8,StartRecModeMenu
0xffc66df8,ShutdownRecAllMenu_FW
0xffc66e70,ShutdownPlayAllMenu_FW
0xffc6f67c,FmtMenu_ExecuteQuickFormat_FW
0xffc7307c,StartDtConfirmMenu_FW
0xffc7315c,StoptDtConfirmMenu_FW
0xffc73924,StartDtExecuteMenu_FW
0xffc73a6c,StoptDtExecuteMenu_FW
0xffc76e5c,StartDpConnect_FW
0xffc770d0,StopDpConnect_FW
0xffc7748c,CreateDpConnectController_FW
0xffc776fc,DeleteDpConnectController_FW
0xffc777e4,shutdownDirectPrintUI_FW
0xffc81744,StartDpsDpofMenu_FW
0xffc87f40,StartDpsMainMenu_FW
0xffc8dcf0,StartDpsStop_FW
0xffc96b88,DBG_changeTraceLevel_FW
0xffc96d78,StartDpMovieMenu_FW
0xffca7f9c,UiMemory_Show_FW
0xffcad240,LCDMsg_SetStr_FW
0xffcad398,LCDMsg_SetXPos_FW
0xffcad3b8,LCDMsg_SetYPos_FW
0xffcad3d8,LCDMsg_DispSw_FW
0xffcae4a8,CreateDialogBox_FW
0xffcae6a4,DeleteDialogBox_FW
0xffcae748,MoveViewPortPosition_FW
0xffcae7ac,ResizeVirtualWindow_FW
0xffcae7d8,MoveDialogBoxPosition_FW
0xffcae878,ResizeDialogBox_FW
0xffcae8c4,DeleteDialogBoxAfterGetTopOfControl_FW
0xffcae8e8,SetPropertyToDialogItemWithID_FW
0xffcae918,GetPropertyFromDialogItemWithID_FW
0xffcae9b0,AddItemToDialogBox_FW
0xffcaea84,DeleteItemFromDialogBox_FW
0xffcaeb70,SetFocusDirectionToDialogItem_FW
0xffcaeb80,SetFocusItemToDialogItem_FW
0xffcaec94,GetFocusedItemIDOfDialogItem_FW
0xffcaeccc,GetItemHandleOfDialogBox_FW
0xffcaed6c,DisplayDialogBox_FW
0xffcaed94,UndisplayDialogBox_FW
0xffcaedbc,SetBackgroundColorToDialogBox_FW
0xffcaee10,RefreshRectangleToDialog_FW
0xffcaee98,RegisterRefreshToDialog_FW
0xffcaef5c,RefreshRegistedRectangleToDialog_FW
0xffcaefd0,FillRectangleToDialog_FW
0xffcaf030,DrawStringToDialog_FW
0xffcaf090,TransferRectangleToDialog_FW
0xffcaf100,TransferBitmapToDialog_FW
0xffcaf180,DrawBinaryBitmapToDialog_FW
0xffcaf1e8,GetDialogBoxWindow_FW
0xffcaf228,SetFocusScopeToDialog_FW
0xffcaf298,GetFocusScopeToDialog_FW
0xffcaf2e4,MoveDialogControllerToTopOfZOrder_FW
0xffcaf308,MoveDialogItemPositionToDialog_FW
0xffcaf33c,ResizeDialogItemToDialog_FW
0xffcaf370,GetDialogItemPositionToDialog_FW
0xffcaf3a4,GetDialogItemResolutionToDialog_FW
0xffcaf3d8,SetOriginTypeToDialog_FW
0xffcaf3fc,SetDefaultMovingFocusToDialog_FW
0xffcaf420,LockRefreshDialog_FW
0xffcaf464,UnlockRefreshDialog_FW
0xffcaf524,KeepDefaultMoveFocusEventToDialog_FW
0xffcaf84c,InstallDialogItem_FW
0xffcaf928,CreateDialogItem_FW
0xffcafa18,DeleteDialogItem_FW
0xffcafa98,DrawDialogItem_FW
0xffcafb30,ControlEventHandler_FW
0xffcafbac,SetPropertyToDialogItem_FW
0xffcafc20,GetPropertyFromDialogItem_FW
0xffcafc94,SetAttributeToDialogItem_FW
0xffcafd08,GetAttributeFromDialogItem_FW
0xffcafd74,MoveDialogItemPosition_FW
0xffcafde8,ResizeDialogItem_FW
0xffcafe68,GetDialogItemPosition_FW
0xffcafee8,GetDialogItemResolution_FW
0xffcb137c,StartGUISystem_FW
0xffcb15e0,DeletePalette_FW
0xffcb1658,SetYUVPaletteIndex_FW
0xffcb1798,SetPaletteToPhysicalScreen_FW
0xffcb17f0,GetPaletteFromPhysicalScreen_FW
0xffcb4bfc,SetCurrentPalette_FW
0xffcb4c0c,SetSystemColorMode_FW
0xffcb90f4,LockPhysicalScreen_FW
0xffcb9188,RefreshPhysicalScreen
0xffcb9188,RefreshPhysicalScreen_FW
0xffcb925c,EnableRefreshPhysicalScreen_FW
0xffcb9270,DisableRefreshPhysicalScreen_FW
0xffcb9284,IsEnableRefreshPhysicalScreen_FW
0xffcb9bac,PrintBmpVramInfo_FW
0xffcb9bdc,PrintCurrPalette_FW
0xffcbd0cc,_pow
0xffcbee54,_sqrt
0xffcc0cf4,isalpha
0xffcc0d24,isdigit
0xffcc0d54,islower
0xffcc0d84,ispunct
0xffcc0d9c,isspace
0xffcc0db4,isupper
0xffcc0dcc,isxdigit
0xffcc0de4,tolower
0xffcc0df4,toupper
0xffcc3a68,atol_FW
0xffcc41b4,qsort
0xffcc41d8,rand
0xffcc41fc,srand
0xffcc45f0,strtol
0xffcc4798,strtoul
0xffcc4920,memchr
0xffcc4954,memcmp
0xffcc4954,memcmp_FW
0xffcc4990,memcpy
0xffcc4990,memcpy_FW
0xffcc4a08,memset
0xffcc4a08,memset_FW
0xffcc4a28,strcat
0xffcc4a54,strchr
0xffcc4a78,strcmp
0xffcc4a78,strcmp_FW
0xffcc4c0c,strcpy
0xffcc4c0c,strcpy_FW
0xffcc4d70,strlen
0xffcc4d70,strlen_FW
0xffcc4dd4,strncmp
0xffcc4e18,strncpy
0xffcc4e60,strpbrk
0xffcc4e9c,strrchr
0xffcc573c,mktime
0xffcc6294,strftime
0xffcc62c0,time
0xffcc7370,errnoOfTaskGet
0xffcc84c4,vsprintf
0xffcc8528,sprintf_FW
0xffcc967c,sscanf_FW
0xffcc971c,close
0xffcc977c,read
0xffcc9860,lseek
0xffcc9d60,open
0xffcca914,iosDevDelete
0xffcca93c,iosDevAdd
0xffccac00,iosDrvInstall
0xffccc75c,malloc_alt
0xffcccb6c,memShow_FW
0xffcccb7c,memPartInfoGet
0xffccf2f8,taskDeleteHookAdd
0xffccf3bc,taskCreateHookAdd
0xffcd679c,taskName
0xffcd69ac,taskSuspend
0xffcd6b80,taskResume
0xffcd6f60,taskLock
0xffcd7008,taskUnlock
0xffcdb7b4,OutPort_FW
0xffcdb7c8,InPort_FW
0xffcdb890,Capture.Delete_FW
0xffcddbe4,apex2us
0xffd45b60,IsStrobeChargeCompleted
