0xffc033c0,_GetSystemTime
0xffebc690,_log
0xffebbb10,_log10
0xffcb8ab8,_pow
0xffcba840,_sqrt
0xffe84b68,AcquireRecursiveLock
0xffcaa394,AddItemToDialogBox_FW
0xffc081b0,AllocateMemory
0xffc081b0,AllocateMemory_FW
0xffc0e0d0,AllocateUncacheableMemory
0xffcd95d0,apex2us
0xffcbf454,atol_FW
0xffdc675c,BatVoltageToAd_FW
0xffc04284,CancelHPTimer
0xffc03628,CancelTimer
0xffcd727c,Capture.Delete_FW
0xffe82080,CheckAllEventFlag
0xffe82070,CheckAnyEventFlag
0xffc07de0,CheckSumAll_FW
0xffe82480,ClearEventFlag
0xffe221a0,Close
0xffcc5108,close
0xffe221a0,Close_FW
0xffc0904c,CloseConsole_FW
0xffebdd50,closedir
0xffcab514,ControlEventHandler_FW
0xffc08d84,CPrintf_FW
0xffc08de8,CPutChar_FW
0xffe831e8,CreateBinarySemaphore
0xffe84d38,CreateBinarySemaphoreStrictly
0xffe9cd78,CreateController_FW
0xffe832d0,CreateCountingSemaphore
0xffe832d0,CreateCountingSemaphore_FW
0xffe84d64,CreateCountingSemaphoreStrictly
0xffca9e8c,CreateDialogBox_FW
0xffcab30c,CreateDialogItem_FW
0xffc72454,CreateDpConnectController_FW
0xffe81dc4,CreateEventFlag
0xffe84d0c,CreateEventFlagStrictly
0xffe826b0,CreateMessageQueue
0xffe84ce0,CreateMessageQueueStrictly
0xffc05018,CreateProxyOfEventProcedure_FW
0xffe849b4,CreateRecursiveLock
0xffe84d90,CreateRecursiveLockStrictly
0xffe83c00,CreateTask
0xffe83c00,CreateTask_FW
0xffe84ca0,CreateTaskStrictly
0xffc91570,DBG_changeTraceLevel_FW
0xffe8fb40,DebugAssert
0xffe9ce3c,DeleteController_FW
0xffcaa088,DeleteDialogBox_FW
0xffcaa2a8,DeleteDialogBoxAfterGetTopOfControl_FW
0xffcab3fc,DeleteDialogItem_FW
0xffc726c4,DeleteDpConnectController_FW
0xffe81ed0,DeleteEventFlag
0xffe1d778,DeleteFile_Fut
0xffcaa468,DeleteItemFromDialogBox_FW
0xffe82800,DeleteMessageQueue
0xffcacfc4,DeletePalette_FW
0xffc050a0,DeleteProxyOfEventProcedure_FW
