0xffc01e30,wrapped_malloc
0xffc02274,printclock_FW
0xffc02378,StopClockSaver_FW
0xffc02394,SetLClk72MHz_FW
0xffc023a4,SetLClk36MHz_FW
0xffc023b4,SetLClk18MHz_FW
0xffc02494,SetHClk72MHz_FW
0xffc024f0,SetHClk36MHz_FW
0xffc02524,SetHClk18MHz_FW
0xffc02580,SetMClk72MHz_FW
0xffc025dc,SetMClk36MHz_FW
0xffc02610,SetMClk18MHz_FW
0xffc036e8,_GetSystemTime
0xffc0383c,SetTimerAfter
0xffc038d8,SetTimerWhen
0xffc03950,CancelTimer
0xffc04158,SetHPTimerAfterNow
0xffc041e4,SetHPTimerAfterTimeout
0xffc04640,CancelHPTimer
0xffc04948,RegisterEventProcedure_FW
0xffc04a54,ExecuteEventProcedure
0xffc04a54,ExecuteEventProcedure_FW
0xffc053bc,ExportToEventProcedure_FW
0xffc053d4,CreateProxyOfEventProcedure_FW
0xffc0545c,DeleteProxyOfEventProcedure_FW
0xffc058a0,LogCameraEvent
0xffc05970,PutsCameraLogEvent_FW
0xffc05a78,ShowCameraLogInfo_FW
0xffc05b1c,ShowCameraLog_FW
0xffc05dfc,StopCameraLog_FW
0xffc07d34,StartWDT_FW
0xffc07db0,StopWDT_FW
0xffc07f24,GetBuildDate_FW
0xffc07f3c,GetBuildTime_FW
0xffc07f60,GetFirmwareVersion_FW
0xffc08108,RomCheckSum_FW
0xffc0819c,CheckSumAll_FW
0xffc08344,SystemEventDelete_FW
0xffc08460,Dump_FW
0xffc0863c,Dump32_FW
0xffc0864c,FreeMemory
0xffc0864c,FreeMemory_FW
0xffc08660,AllocateMemory
0xffc08660,AllocateMemory_FW
0xffc08670,Wait_FW
0xffc08684,Poke32_FW
0xffc08698,Poke16_FW
0xffc086ac,Poke8_FW
0xffc086c0,Peek32_FW
0xffc086cc,Peek16_FW
0xffc086e0,Peek8_FW
0xffc086f4,EraseSignature_FW
0xffc08724,GetSystemTime_FW
0xffc08744,MonSelEvent_FW
0xffc0877c,exec_FW
0xffc091a8,RotateConsoleZOder_FW
0xffc09250,CPrintf_FW
0xffc092b4,CPutChar_FW
0xffc092e8,GetCh_FW
0xffc0934c,GetStringWithPrompt_FW
0xffc093d0,OpenConsole_FW
0xffc09518,CloseConsole_FW
0xffc0bb5c,SetPropertyCase
0xffc0c92c,MakeBootDisk_FW
0xffc0c940,MakeScriptDisk_FW
0xffc0d4bc,StartUARTRedirect_FW
0xffc0d4d4,StopUARTRedirect_FW
0xffc0d524,ExMem.AllocUncacheable_FW
0xffc0d53c,ExMem.FreeUncacheable_FW
0xffc0d550,ExMem.AllocCacheable_FW
0xffc0d568,ExMem.FreeCacheable_FW
0xffc0e4fc,exmem_free
0xffc0e5a0,AllocateUncacheableMemory
0xffc0f05c,UI_ShowStateOfRecMode_FW
0xffc0f1e0,UIFS_SetDialStillRec_FW
0xffc0f1f0,UIFS_SetDialMovieRec_FW
0xffc0f200,UIFS_SetDialPlay_FW
0xffc0f210,UIFS_OpenPopupStrobe_FW
0xffc0f244,UIFS_ClosePopupStrobe_FW
0xffc0f278,UIFS_MountExtFlash_FW
0xffc0f2ac,UIFS_UnmountExtFlash_FW
0xffc0f2e0,UIFS_PressTeleButton_FW
0xffc0f314,UIFS_PressWideButton_FW
0xffc0f344,ModeLevelStillRecForScript_FW
0xffc0f350,ModeLevelMovieRecForScript_FW
0xffc0f35c,ModeLevelPlayForScript_FW
0xffc0f368,UIFS_StopPostingUIEvent_FW
0xffc0f374,UIFS_RestartPostingUIEvent_FW
0xffc0f380,UIFS_SetCaptureModeToP_FW
0xffc0f3bc,UIFS_SetCaptureModeToM_FW
0xffc0f3f8,UIFS_SetCaptureModeToMacro_FW
0xffc0f40c,UIFS_Capture_FW
0xffc0f41c,UIFS_CaptureNoneStop_FW
0xffc0f428,UIFS_StartMovieRecord_FW
0xffc0f434,UIFS_StopMovieRecord_FW
0xffc0f440,UIFS_SetCradleSetting_FW
0xffc119b8,PB2Rec
0xffc119f8,Rec2PB
0xffc14688,ExecuteResetFactoryWithRomWrite_FW
0xffc17d10,SetCurrentCaptureModeType
0xffc17d10,SetCurrentCaptureModeType_FW
0xffc17d60,GetCurrentCaptureModeType_FW
0xffc30894,StartSwitchViewFinder_FW
0xffc308e8,StopSwitchViewFinder_FW
0xffc30914,SwitchViewFinder_FW
0xffc34d40,TurnOnBackLight
0xffc34d70,TurnOffBackLight
0xffc61080,TerminateDpofUI_FW
0xffc64e4c,StartDpofPlayLoading_FW
0xffc65038,StopDpofPlayLoading_FW
0xffc65060,SyncStopDpofPlayLoading_FW
0xffc68060,StartRecModeMenu
0xffc6f208,ShutdownRecAllMenu_FW
0xffc6f280,ShutdownPlayAllMenu_FW
0xffc778cc,FmtMenu_ExecuteQuickFormat_FW
0xffc7c784,StartDtConfirmMenu_FW
0xffc7c864,StoptDtConfirmMenu_FW
0xffc7d02c,StartDtExecuteMenu_FW
0xffc7d174,StoptDtExecuteMenu_FW
0xffc80618,StartDpConnect_FW
0xffc80890,StopDpConnect_FW
0xffc80c4c,CreateDpConnectController_FW
