0xffe5a664,_dadd
0xffe5b018,_dcmp
0xffe5b2a0,_dcmp_reverse
0xffe5a90c,_ddiv
0xffe5aea4,_dfix
0xffe5af54,_dfixu
0xffe5afdc,_dflt
0xffe5b00c,_dfltu
0xffe58e08,_divmod_signed_int
0xffe5a61c,_divmod_unsigned_int
0xffe5b0a0,_dmul
0xffe5b340,_drsb
0xffe5b504,_dsub
0xffe5b8b8,_f2d
0xffe5b934,_fdiv
0xffe5bb58,_ffix
0xffe5bbcc,_ffixu
0xffe5bc2c,_fflt
0xffe5bc60,_ffltu
0xffe5bc68,_fmul
0xffc180c8,_GetSystemTime
0xffe5a028,_log
0xffe58f6c,_log10
0xffe590dc,_pow
0xffe59f6c,_safe_sqrt
0xffe5bf90,_scalbn
0xffe5b390,_sqrt
0xffc0ce68,_uartr_req
0xffe2fd94,AbortAEIntegralValue_FW
0xffc17960,AcquireRecursiveLock
0xffc0bd7c,AcquireRecursiveLockStrictly
0xffcd8654,ActivateAdjLog_FW
0xffd9429c,ActivateImager_FW
0xffd94328,ActivateImagerXOne_FW
0xffd9fb1c,add_ptp_handler
0xffd6cadc,add_ui_to_dialog
0xffc36060,AddAdjDataToFRom_FW
0xffde5770,AdditionAgentRAM_FW
0xffdb6558,AddTransparentMemory_FW
0xffe35c50,AdjAEWithAperturePriority_FW
0xffe35c0c,AfAEWithAperturePriority_FW
0xffe35dfc,AfAEWithCompensation_FW
0xffd75f74,AFTool.GetEVal_FW
0xffde4fd4,AllocateMemory
0xffde4fd4,AllocateMemory_FW
0xffc17e28,AllocateUncacheableMemory
0xffd71fbc,apex2us
0xffc6f4e8,atol_FW
0xffe30878,AttachIntegCrawData_FW
0xffdb6590,AttachToTransparentMemory_FW
0xffc30388,Bat_Calc_FW
0xffe371a8,Bat_Save_FW
0xffe37194,Bat_VIN_FW
0xffc309a4,BeepDrive_FW
0xffe31e98,CalcLog10
0xffe31ed4,CalcLog10_FW
0xffc30388,CalculateBatSenseOffset_FW
0xffe31e74,CalculateLog2ToApex_FW
0xffe31e38,CalculatePeakFromLeastSquareResult_FW
0xffe31e88,CalculatePow2FromApex_FW
0xffe35a28,CancelAdj_AEMode_FW
0xffe30f8c,CancelAdjCdsMode_FW
0xffe33ef0,CancelBPFilterForBP_FW
0xffe35384,CancelExStrobeMode_FW
0xffde0fa0,CancelFocusLensMaxSpeedLimit_FW
0xffc53ad8,CancelHPTimer
0xffd94480,CancelImager_FW
0xffc182e4,CancelTimer
0xffd0dae4,Capture.Create_FW
0xffe30d2c,ChangeAdjImgDrvMode_FW
0xffe30d58,ChangeAEIntegDrvTypeToAdjImgDriveType_FW
0xffde1158,ChangeFocusDistanceToPosition_FW
0xffd8ba80,ChangeGradeTable_FW
0xffd94524,ChangeImagerToAlternateDraft_FW
0xffd9451c,ChangeImagerToDigiconMode_FW
0xffd944e4,ChangeImagerToFocusJet_FW
0xffd9450c,ChangeImagerToHoneyFlash_FW
0xffd944fc,ChangeImagerToJetDraft_FW
0xffd94504,ChangeImagerToJumboDraft_FW
0xffd944ec,ChangeImagerToMangoPudding_FW
0xffd94514,ChangeImagerToMillefeAdjust_FW
0xffd9453c,ChangeImagerToMontblancMillefe_FW
0xffd94534,ChangeImagerToMontblancWhole_FW
0xffd9451c,ChangeImagerToOITA_XAVIER_FW
0xffd944f4,ChangeImagerToSuperWideDraft_FW
0xffd9452c,ChangeImagerToUltraGhostQ_FW
0xffd944a4,ChangeImagerToWholeParallel_FW
0xffd944c0,ChangeImagerToWholeParallelBP_FW
0xffd944dc,ChangeImagerToWideDraft_FW
0xffe353c0,ChargeStrobe_FW
0xffe353f4,ChargeStrobeForFA_FW
0xffc17214,CheckAllEventFlag
0xffc171cc,CheckAnyEventFlag
0xffc57118,CheckSumAll_FW
0xffc34a48,ClearDUIDFixFlag_FW
0xffc349f0,ClearDurianMode_FW
0xffc173fc,ClearEventFlag
0xffc349f0,ClearFactoryMode_FW
0xffe49ecc,ClearPMByFs_FW
0xffe49e64,ClearPMByGpio_FW
0xffc13b7c,Close
0xffc09f74,close
0xffc13b7c,Close_FW
0xffc0c96c,CloseConsole_FW
0xffdce934,closedir
0xffde159c,CloseMechaShutter_FW
0xffde15e4,CloseMechaShutterWithTiming_FW
0xffe314d8,CloseMShutter_FW
0xffca7214,COMFACHK_GetTransferTime_FW
0xffca7274,COMFACHK_SetSendDataSize_FW
0xffca7174,COMFACHK_StartSendData_FW
0xffca71b0,COMFACHK_StartSendLargeData_FW
0xffca7084,COMFACHK_StartService_FW
0xffca70d4,COMFACHK_StopService_FW
0xffe30cc8,ConvertAdjImgDrvModeToAdjImgDriveType_FW
0xffe30c7c,ConvertAEIntegDrvTypeToAdjImgDriveType_FW
0xffe31f2c,ConvertApexStdToApex_FW
0xffe31efc,ConvertApexToApexStd_FW
0xffe32480,ConvertCxCyToWBGain_FW
0xffe32d18,ConvertToPositionWithDistanceAndZoomPoint_FW
0xffe310b0,ConvertTvToExposureTime_FW
0xffc0c6d0,CPrintf_FW
0xffc0c72c,CPutChar_FW
0xffc35b3c,CreateAdjustmentTableMirror_FW
0xffc0b608,CreateBinarySemaphore
0xffc0bc34,CreateBinarySemaphoreStrictly
0xffc5b6bc,CreateController_FW
0xffc0b670,CreateCountingSemaphore
0xffc0b670,CreateCountingSemaphore_FW
0xffc0bc58,CreateCountingSemaphoreStrictly
0xffd6aa50,CreateDialogBox
0xffc17124,CreateEventFlag
0xffc0bc10,CreateEventFlagStrictly
0xffcd7f98,CreateFADBGSingalID_FW
0xffe389e4,CreateJumptable
0xffd23edc,CreateLanguageMenu_FW
0xffc17538,CreateMessageQueue
0xffc0bbec,CreateMessageQueueStrictly
0xffc54fe0,CreateProxyOfEventProcedure_FW
0xffc178c0,CreateRecursiveLock
0xffc0bc7c,CreateRecursiveLockStrictly
0xffc0b8e0,CreateTask
0xffc0b8e0,CreateTask_FW
0xffc0bbb8,CreateTaskStrictly
0xffc0bdb8,DebugAssert
