0xffc04b10,_GetSystemTime
0xffea83dc,_log
0xffea8a84,_log10
0xffea8f74,_pow
0xffead2c0,_sqrt
0xffc12280,AcquireRecursiveLock
0xffe222d0,add_ptp_handler
0xffd54004,AddItemToDialogBox_FW
0xffc0a718,AllocateMemory
0xffc0a718,AllocateMemory_FW
0xffc048d8,AllocateUncacheableMemory
0xffc987ec,apex2us
0xffc1a354,BatVoltageToAd_FW
0xffc059d4,CancelHPTimer
0xffc04d78,CancelTimer
0xffc8d5a0,Capture.Delete_FW
0xffc0f660,CheckAllEventFlag
0xffc0f650,CheckAnyEventFlag
0xffc0a314,CheckSumAll_FW
0xffc0fa60,ClearEventFlag
0xffc5c70c,Close
0xffebbe5c,close
0xffc5c70c,Close_FW
0xffc0b5f4,CloseConsole_FW
0xffeb7dfc,closedir
0xffd55448,ControlEventHandler_FW
0xffc0b328,CPrintf_FW
0xffc0b38c,CPutChar_FW
0xffc10860,CreateBinarySemaphore
0xffc12450,CreateBinarySemaphoreStrictly
0xffd41df0,CreateController_FW
0xffc10948,CreateCountingSemaphore
0xffc10948,CreateCountingSemaphore_FW
0xffc1247c,CreateCountingSemaphoreStrictly
0xffd53b80,CreateDialogBox_FW
0xffd55240,CreateDialogItem_FW
0xffdefd3c,CreateDpConnectController_FW
0xffc0f364,CreateEventFlag
0xffc12424,CreateEventFlagStrictly
0xffc0fce8,CreateMessageQueue
0xffc123f8,CreateMessageQueueStrictly
0xffc071a4,CreateProxyOfEventProcedure_FW
0xffc1208c,CreateRecursiveLock
0xffc124a8,CreateRecursiveLockStrictly
0xffc11250,CreateTask
0xffc11250,CreateTask_FW
0xffc123b8,CreateTaskStrictly
0xffe07608,DBG_changeTraceLevel_FW
0xffc03ad0,DebugAssert
0xffd41ea8,DeleteController_FW
0xffd53d90,DeleteDialogBox_FW
0xffd53f18,DeleteDialogBoxAfterGetTopOfControl_FW
0xffd55330,DeleteDialogItem_FW
0xffdeffbc,DeleteDpConnectController_FW
0xffc0f470,DeleteEventFlag
0xffc55a2c,DeleteFile_Fut
0xffd540d8,DeleteItemFromDialogBox_FW
0xffc0fe38,DeleteMessageQueue
0xffd58b64,DeletePalette_FW
0xffc0722c,DeleteProxyOfEventProcedure_FW
0xffc121a8,DeleteRecursiveLock
0xffc10a54,DeleteSemaphore
0xffc10a54,DeleteSemaphore_FW
0xffd48b64,DisableAutoShutdown_FW
0xffcb8108,DisableOBClampField_FW
0xffd5f7a4,DisableRefreshPhysicalScreen_FW
0xffd10328,DispCon_ShowBitmapColorBar
0xffd545b4,DisplayDialogBox_FW
0xffd33094,DoAFLock
0xffd549c8,DrawBinaryBitmapToDialog_FW
0xffd553b0,DrawDialogItem_FW
0xffd54878,DrawStringToDialog_FW
0xffc0a5f0,Dump32_FW
0xffd48b7c,EnableAutoShutdown_FW
0xffc0fca8,EnableInterrupt
0xffcb80f0,EnableOBClampField_FW
0xffd5f790,EnableRefreshPhysicalScreen_FW
0xffc6d24c,EngDrvBits
0xffc6d230,EngDrvIn
0xffc6d218,EngDrvOut
0xffc6d238,EngDrvRead
0xffc8d404,EngineDriver.Delete_FW
0xffd34f38,EnterToCompensationEVF
0xffea132c,EraseLogSector_FW
0xffc129d8,EraseSectorOfRom_FW
0xffc0a7fc,EraseSignature_FW
0xffeb85c8,errnoOfTaskGet
0xffc0a884,exec_FW
0xffc067f0,ExecuteEventProcedure
0xffc067f0,ExecuteEventProcedure_FW
0xffe99150,ExecuteFirmUpgrade_FW
0xffd72168,ExecuteResetFactoryWithRomWrite_FW
0xffd34f98,ExitFromCompensationEVF
0xffc11610,ExitTask
0xffc11610,ExitTask_FW
0xffc02830,exmem_alloc
0xffc06a0c,ExportToEventProcedure_FW
0xffe6d3a0,FA.Delete_FW
0xffc55b6c,Fclose_Fut
0xffc55b6c,Fclose_Fut_FW
0xffc55d80,Feof_Fut
0xffc55db8,Fflush_Fut
0xffc55cf0,Fgets_Fut
0xffd54818,FillRectangleToDialog_FW
0xffde95b8,FmtMenu_ExecuteQuickFormat_FW
0xffc55b30,Fopen_Fut
0xffc55b30,Fopen_Fut_FW
0xffc55c50,Fread_Fut
0xffc55c50,Fread_Fut_FW
0xffebeea8,free
0xffc0a704,FreeMemory
0xffc0a704,FreeMemory_FW
0xffc0490c,FreeUncacheableMemory
0xffc55d38,Fseek_Fut
0xffc55d38,Fseek_Fut_FW
0xffc55ca0,Fwrite_Fut
0xffc55ca0,Fwrite_Fut_FW
0xffc18d60,GetAdChValue_FW
0xffc18da0,GetAdVBattBottom_FW
0xffd55620,GetAttributeFromDialogItem_FW
0xffc1c488,GetBatteryTemperature
0xffc0a15c,GetBuildDate_FW
0xffc0a174,GetBuildTime_FW
0xffc1c474,GetCCDTemperature
0xffc0b3c0,GetCh_FW
0xffe71314,GetCurrentAvValue
0xffd76e6c,GetCurrentCaptureModeType_FW
0xffe736bc,GetCurrentTargetDistance
0xffd54a30,GetDialogBoxWindow_FW
0xffd55780,GetDialogItemPosition_FW
0xffd54ccc,GetDialogItemPositionToDialog_FW
0xffd55800,GetDialogItemResolution_FW
0xffd54d00,GetDialogItemResolutionToDialog_FW
0xffc5bee8,GetDrive_ClusterSize
0xffc5bf60,GetDrive_FreeClusters
0xffc5bf24,GetDrive_TotalClusters
0xffc0fab0,GetEventFlagValue
0xffc0a198,GetFirmwareVersion_FW
0xffd544dc,GetFocusedItemIDOfDialogItem_FW
0xffe667f0,GetFocusLensSubjectDistance
0xffd54ac0,GetFocusScopeToDialog_FW
0xffd54514,GetItemHandleOfDialogBox_FW
0xffc17564,GetKbdState
0xffc1a318,GetLBOffset_FW
0xffd44e6c,GetLogicalEventName
0xffea124c,GetLogToFile_FW
0xffd490a4,GetMainPowerLockCounter_FW
0xffc107e0,GetNumberOfPostedMessages
0xffc1c460,GetOpticalTemperature
0xffd58d74,GetPaletteFromPhysicalScreen_FW
0xffd4e2fc,GetParameterData
0xffc141a8,GetPropertyCase
0xffd55538,GetPropertyFromDialogItem_FW
0xffd53f6c,GetPropertyFromDialogItemWithID_FW
0xffd42118,GetSelfControllerHandle_FW
0xffc10f1c,GetSemaphoreValue
0xffc0fc7c,GetSRAndDisableInterrupt
0xffc0b424,GetStringWithPrompt_FW
0xffc04b10,GetSystemTime
0xffc0a82c,GetSystemTime_FW
0xffc047dc,GetTimeOfSystem_FW
0xffe5305c,GetZoomLensCurrentPoint
0xffe53070,GetZoomLensCurrentPosition
0xffc10e48,GiveSemaphore
0xffc10e48,GiveSemaphore_FW
0xffe6dbf4,InitializeAdjustmentFunction_FW
0xffe6db64,InitializeAdjustmentSystem_FW
0xffc8d4e0,InPort_FW
0xffd55164,InstallDialogItem_FW
0xffde23b0,InstallMyCameraMenu_FW
0xffebd07c,iosDevAdd
0xffebd054,iosDevDelete
0xffebd340,iosDrvInstall
0xffeb1d70,isalpha
0xffde3314,IsCalledStopEVF_FW
0xffd46ef0,IsControlEventActive
0xffd46ef0,IsControlEventActive_FW
0xffeb1da0,isdigit
0xffd48a78,IsDisableAutoShutdown_FW
0xffd5f7b8,IsEnableRefreshPhysicalScreen_FW
0xffeb1dd0,islower
0xffeb1e00,ispunct
0xffeb1e18,isspace
0xffcebe00,IsStrobeChargeCompleted
0xffeb1e30,isupper
0xffeb1e48,isxdigit
0xffc16184,kbd_p1_f
0xffc16190,kbd_p1_f_cont
0xffc16568,kbd_p2_f
0xffc1758c,kbd_pwr_off
0xffc17564,kbd_pwr_on
0xffc16250,kbd_read_keys
0xffc16fd8,kbd_read_keys_r2
0xffd54e80,KeepDefaultMoveFocusEventToDialog_FW
0xffe9a340,LoadScript_FW
0xffc041a0,LocalTime
0xffeb65f0,localtime
0xffd48ee0,LockMainPower
0xffd48ee0,LockMainPower_FW
0xffd5f630,LockPhysicalScreen_FW
0xffd54d7c,LockRefreshDialog_FW
0xffc07c58,LogCameraEvent
0xffd451e8,LogiEvnt_LoadCameraLog_FW
0xffc1a340,LowBat_Result_Print_Off_FW
0xffc1a328,LowBat_Result_Print_On_FW
0xffc5c7f4,Lseek
0xffebbfa0,lseek
0xffc5c7f4,Lseek_FW
0xffd377b0,MakeAFScan
0xffe986ec,MakeBootDisk_FW
0xffc55ab8,MakeDirectory_Fut
0xffe98700,MakeScriptDisk_FW
0xffebee9c,malloc
0xffebee9c,malloc_alt
0xffeb599c,memchr
0xffeb59d0,memcmp
0xffeb59d0,memcmp_FW
0xffeb5a0c,memcpy
0xffeb5a0c,memcpy_FW
0xffea25d4,MemoryChecker_FW
0xffebf2bc,memPartInfoGet
0xffeb5a84,memset
0xffeb5a84,memset_FW
0xffebf2ac,memShow_FW
0xffc5c8f4,mkdir
0xffeb67b8,mktime
0xffd6cd30,ModeLevelMovieRecForScript_FW
0xffd6cd3c,ModeLevelPlayForScript_FW
0xffd6cd24,ModeLevelStillRecForScript_FW
0xffc0a84c,MonSelEvent_FW
0xffc5b9c0,Mount_FileSystem
0xffd41fe0,MoveControllerToTopOfZOrder_FW
0xffd53e78,MoveDialogBoxPosition_FW
0xffd54bbc,MoveDialogControllerToTopOfZOrder_FW
0xffd5568c,MoveDialogItemPosition_FW
0xffd54c64,MoveDialogItemPositionToDialog_FW
0xffe7394c,MoveFocusLensToDistance
0xffd54b0c,MoveViewPortPosition_FW
0xffe52f3c,MoveZoomLensWithPoint
0xffd3baa8,NR_GetDarkSubType
0xffd3ba18,NR_SetDarkSubType
0xffc5c6e4,Open
0xffebc4a0,open
0xffc5c6e4,Open_FW
0xffc0b4a8,OpenConsole_FW
0xffeb7e30,opendir
0xffc8d4cc,OutPort_FW
0xffd6f5e8,PB2Rec
0xffc0a7c4,Peek16_FW
0xffc0a7a8,Peek32_FW
0xffc0a7e0,Peek8_FW
0xffc0a760,Poke16_FW
0xffc0a73c,Poke32_FW
0xffc0a784,Poke8_FW
0xffd45028,PostEventShootSeqToUI_FW
0xffd44f04,PostLogicalEventForNotPowerType
0xffd44f04,PostLogicalEventForNotPowerType_FW
0xffd44f90,PostLogicalEventToUI
0xffd44f90,PostLogicalEventToUI_FW
0xffc1048c,PostMessageQueue
0xffc02cd4,printclock_FW
0xffe9a364,Printf_FW
0xffd404d0,PT_atoi_FW
0xffd40864,PT_BatLvChange_Low_FW
0xffd40854,PT_BatLvChange_PreWeak_FW
0xffd4086c,PT_BatLvChange_SysLow_FW
0xffd4085c,PT_BatLvChange_Weak_FW
0xffd40494,PT_EraseAllFile_FW
0xffd408e4,PT_FinishBatteryTest_FW
0xffd409dc,PT_GetBatteryLevel_FW
0xffd406b8,PT_GetLocalDateAndTimeString_FW
0xffd40654,PT_GetLocalDateString_FW
0xffd405f8,PT_GetLocalTimeString_FW
0xffd40aa4,PT_GetLowBatLv_FW
0xffd409f4,PT_GetPreWeakBatLv_FW
0xffd4054c,PT_GetPropertyCaseInt_FW
0xffd40538,PT_GetPropertyCaseString_FW
0xffd40afc,PT_GetSysLowBatLv_FW
0xffd404dc,PT_GetSystemTime
0xffd404dc,PT_GetSystemTime_FW
0xffd40a4c,PT_GetWeakBatLv_FW
0xffd40764,PT_LCD_BkColor_FW
0xffd40820,PT_LCD_BkColorDef_FW
0xffd404c4,PT_mod_FW
0xffd4074c,PT_PlaySound
0xffd4074c,PT_PlaySound_FW
0xffd40708,PT_SetMessage_FW
0xffd40510,PT_SetPropertyCaseInt_FW
0xffd404fc,PT_SetPropertyCaseString_FW
0xffd40884,PT_StartBatteryTest_FW
0xffd40730,PT_UndispMessage_FW
0xffd4bfb8,PTM_RestoreUIProperty_FW
0xffe36f00,PTPRspnd.ShowRemoteStg_FW
0xffe71734,PutInNdFilter
0xffe7177c,PutOutNdFilter
0xffc07cc0,PutsCameraLogEvent_FW
0xffeb5230,qsort
0xffeb5254,rand
0xffc5c7a0,Read
0xffebbebc,read
0xffc5c7a0,Read_FW
0xffeb7dc8,readdir
0xffea0514,realloc
0xffd6f628,Rec2PB
0xffc10074,ReceiveMessageQueue
0xffd5f6c0,RefreshPhysicalScreen
0xffd5f6c0,RefreshPhysicalScreen_FW
0xffd54658,RefreshRectangleToDialog_FW
0xffd547a4,RefreshRegistedRectangleToDialog_FW
0xffd54be0,RegisterChangeLanguageToDialog_FW
0xffc0666c,RegisterEventProcedure_FW
0xffc0fc40,RegisterInterruptHandler
0xffd546e0,RegisterRefreshToDialog_FW
0xffc123a8,ReleaseRecursiveLock
0xffc5c72c,Remove
0xffc559ac,RenameFile_Fut
0xffe67be0,ResetFocusLens
0xffe52e24,ResetZoomLens
0xffd54b70,ResizeDialogBox_FW
0xffd55700,ResizeDialogItem_FW
0xffd54c98,ResizeDialogItemToDialog_FW
0xffd53e4c,ResizeVirtualWindow_FW
0xffc12800,Restart
0xffc0a280,RomCheckSum_FW
0xffc0b280,RotateConsoleZOder_FW
0xffe9a37c,ScriptDisEnabled_FW
0xffe9a390,ScriptEnabled_FW
0xffd46ca8,set_control_event
0xffe76a00,SetAE_ShutterSpeed
0xffd555ac,SetAttributeToDialogItem_FW
0xffd48dd8,SetAutoShutdownTime
0xffd48dd8,SetAutoShutdownTime_FW
0xffd54604,SetBackgroundColorToDialogBox_FW
0xffc19e74,SetBattCheckMode_FW
0xffd76e1c,SetCurrentCaptureModeType
0xffd76e1c,SetCurrentCaptureModeType_FW
0xffd5af9c,SetCurrentPalette_FW
0xffd54d58,SetDefaultMovingFocusToDialog_FW
0xffc0f8c4,SetEventFlag
0xffc5c8c4,SetFileAttributes
0xffd541c4,SetFocusDirectionToDialogItem_FW
0xffd543c8,SetFocusItemToDialogItem_FW
0xffd54a50,SetFocusScopeToDialog_FW
0xffc02f28,SetHClk18MHz_FW
0xffc02f00,SetHClk36MHz_FW
0xffc02ebc,SetHClk72MHz_FW
0xffc05560,SetHPTimerAfterNow
0xffc055ec,SetHPTimerAfterTimeout
0xffc02e14,SetLClk18MHz_FW
0xffc02e04,SetLClk36MHz_FW
0xffc02df4,SetLClk72MHz_FW
0xffd46f7c,SetLogicalEventActive
0xffc02fd8,SetMClk18MHz_FW
0xffc02fb0,SetMClk36MHz_FW
0xffc02f6c,SetMClk72MHz_FW
0xffd54d34,SetOriginTypeToDialog_FW
0xffd58d1c,SetPaletteToPhysicalScreen_FW
0xffd4e21c,SetParameterData
0xffc1408c,SetPropertyCase
0xffd554c4,SetPropertyToDialogItem_FW
0xffd53f3c,SetPropertyToDialogItemWithID_FW
0xffd46fe4,SetScriptMode
0xffd46fe4,SetScriptMode_FW
0xffc0fc88,SetSR
0xffd5afac,SetSystemColorMode_FW
0xffc04c64,SetTimerAfter
0xffc04d00,SetTimerWhen
0xffd58bdc,SetYUVPaletteIndex_FW
0xffd7a2a0,ShootCon_GetStatus_FW
0xffd7ea70,ShootCon_PrintMemoryDump_FW
0xffd7ea44,ShootCon_SetEventHook_FW
0xffd7eafc,ShootCon_ShowAllSemaphores_FW
0xffd7df28,ShootCon_ShowState_FW
0xffea07d4,ShowAllTaskInfo_FW
0xffd48b30,ShowAutoShutdownTime_FW
0xffc19efc,ShowBattCheckMode_FW
0xffc19f9c,ShowBattChkAdj_FW
0xffc07e6c,ShowCameraLog_FW
0xffc07dc8,ShowCameraLogInfo_FW
