0xffc04d38,_GetSystemTime
0xffeefc18,_log
0xffeebfb8,_log10
0xffeec140,_pow
0xffeee014,_sqrt
0xffc130bc,AcquireRecursiveLock
0xffd76aa0,AddItemToDialogBox_FW
0xffc0a8d0,AllocateMemory
0xffc0a8d0,AllocateMemory_FW
0xffc04b00,AllocateUncacheableMemory
0xffca536c,apex2us
0xffef42d0,atol_FW
0xffc1bc3c,BatVoltageToAd_FW
0xffc05bfc,CancelHPTimer
0xffc04fa0,CancelTimer
0xffc93930,Capture.Delete_FW
0xffc1063c,CheckAllEventFlag
0xffc1062c,CheckAnyEventFlag
0xffc0a500,CheckSumAll_FW
0xffc10a3c,ClearEventFlag
0xffc625a8,Close
0xffefa160,close
0xffc625a8,Close_FW
0xffc0b7cc,CloseConsole_FW
0xffef75e8,closedir
0xffd77bfc,ControlEventHandler_FW
0xffc0b500,CPrintf_FW
0xffc0b564,CPutChar_FW
0xffc117a4,CreateBinarySemaphore
0xffc1328c,CreateBinarySemaphoreStrictly
0xffd63368,CreateController_FW
0xffc1188c,CreateCountingSemaphore
0xffc1188c,CreateCountingSemaphore_FW
0xffc132b8,CreateCountingSemaphoreStrictly
0xffd7664c,CreateDialogBox_FW
0xffd779f4,CreateDialogItem_FW
0xffe15948,CreateDpConnectController_FW
0xffc10380,CreateEventFlag
0xffc13260,CreateEventFlagStrictly
0xffc10c6c,CreateMessageQueue
0xffc13234,CreateMessageQueueStrictly
0xffde6b20,CreatePlayMyColController_FW
0xffc0731c,CreateProxyOfEventProcedure_FW
0xffc12f08,CreateRecursiveLock
0xffc132e4,CreateRecursiveLockStrictly
0xffc12154,CreateTask
0xffc12154,CreateTask_FW
0xffc131f4,CreateTaskStrictly
0xffe34884,DBG_changeTraceLevel_FW
0xffc03cf8,DebugAssert
0xffd63420,DeleteController_FW
0xffd76844,DeleteDialogBox_FW
0xffd769b4,DeleteDialogBoxAfterGetTopOfControl_FW
0xffd77ae4,DeleteDialogItem_FW
0xffe15bb8,DeleteDpConnectController_FW
0xffc1048c,DeleteEventFlag
0xffc5b46c,DeleteFile_Fut
0xffd76b74,DeleteItemFromDialogBox_FW
0xffc10dbc,DeleteMessageQueue
0xffd7b268,DeletePalette_FW
0xffde6c54,DeletePlayMyColController_FW
0xffc073a4,DeleteProxyOfEventProcedure_FW
0xffc13024,DeleteRecursiveLock
0xffc11998,DeleteSemaphore
0xffc11998,DeleteSemaphore_FW
0xffd6a7e0,DisableAutoShutdown_FW
0xffccbd10,DisableOBClampField_FW
0xffd82388,DisableRefreshPhysicalScreen_FW
0xffd2ed34,DispCon_ShowBitmapColorBar
0xffd76e5c,DisplayDialogBox_FW
0xffd521e8,DoAFLock,(stubs_entry_2.s)
0xffd77270,DrawBinaryBitmapToDialog_FW
0xffd77b64,DrawDialogItem_FW
0xffd77120,DrawStringToDialog_FW
0xffc0a7a8,Dump32_FW
0xffd6a7f8,EnableAutoShutdown_FW
0xffc10c2c,EnableInterrupt
0xffccbcf8,EnableOBClampField_FW
0xffd82374,EnableRefreshPhysicalScreen_FW
0xffc73fac,EngDrvBits
0xffc73f90,EngDrvIn
0xffc73f78,EngDrvOut
0xffc73f98,EngDrvRead
0xffc93784,EngineDriver.Delete_FW
0xffee7640,EraseLogSector_FW
0xffc13870,EraseSectorOfRom_FW
0xffc0a9b4,EraseSignature_FW
0xffef7db4,errnoOfTaskGet
0xffc0aa3c,exec_FW
0xffc0699c,ExecuteEventProcedure
0xffc0699c,ExecuteEventProcedure_FW
0xffd94a34,ExecuteResetFactoryWithRomWrite_FW
0xffd55be0,ExitFromCompensationEVF,(stubs_entry_2.s)
0xffc12514,ExitTask
0xffc12514,ExitTask_FW
0xffc02834,exmem_alloc
0xffc07304,ExportToEventProcedure_FW
0xffeac5ac,FA.Delete_FW
0xffc5b5e0,Fclose_Fut
0xffc5b5e0,Fclose_Fut_FW
0xffc5b7dc,Feof_Fut
0xffc5b818,Fflush_Fut
0xffc5b744,Fgets_Fut
0xffd770c0,FillRectangleToDialog_FW
0xffe0ce00,FmtMenu_ExecuteQuickFormat_FW
0xffc5b5a0,Fopen_Fut
0xffc5b5a0,Fopen_Fut_FW
0xffc5b69c,Fread_Fut
0xffc5b69c,Fread_Fut_FW
0xffc0a8bc,FreeMemory
0xffc0a8bc,FreeMemory_FW
0xffc04b34,FreeUncacheableMemory
0xffc5b790,Fseek_Fut
0xffc5b790,Fseek_Fut_FW
0xffc5b6f0,Fwrite_Fut
0xffc5b6f0,Fwrite_Fut_FW
0xffc1a1d8,GetAdChValue_FW
0xffc1a208,GetAdVBattBottom_FW
0xffd77dd4,GetAttributeFromDialogItem_FW
0xffc1de44,GetBatteryTemperature
0xffc0a348,GetBuildDate_FW
0xffc0a360,GetBuildTime_FW
0xffc1de30,GetCCDTemperature
0xffc0b598,GetCh_FW
0xffeb09c8,GetCurrentAvValue
0xffd997b8,GetCurrentCaptureModeType_FW
0xffeb2ec8,GetCurrentTargetDistance
0xffd772d8,GetDialogBoxWindow_FW
0xffd77f34,GetDialogItemPosition_FW
0xffd774f0,GetDialogItemPositionToDialog_FW
0xffd77fb4,GetDialogItemResolution_FW
0xffd77524,GetDialogItemResolutionToDialog_FW
0xffc61d94,GetDrive_ClusterSize,(stubs_entry_2.s)
0xffc61e0c,GetDrive_FreeClusters,(stubs_entry_2.s)
0xffc10a8c,GetEventFlagValue
0xffc0a384,GetFirmwareVersion_FW
0xffd76d84,GetFocusedItemIDOfDialogItem_FW
0xffd77368,GetFocusScopeToDialog_FW
0xffd76dbc,GetItemHandleOfDialogBox_FW
0xffc18f68,GetKbdState
0xffc1bc00,GetLBOffset_FW
0xffee7490,GetLogToFile_FW
0xffd6ad24,GetMainPowerLockCounter_FW
0xffcc8d04,GetMontblancVSize_FW
0xffc11724,GetNumberOfPostedMessages
0xffc1de1c,GetOpticalTemperature
0xffd7b478,GetPaletteFromPhysicalScreen_FW
0xffd704f8,GetParameterData
0xffd77cec,GetPropertyFromDialogItem_FW
0xffd76a08,GetPropertyFromDialogItemWithID_FW
0xffd63690,GetSelfControllerHandle_FW
0xffc11e20,GetSemaphoreValue
0xffc10c00,GetSRAndDisableInterrupt
0xffc0b5fc,GetStringWithPrompt_FW
0xffc04d38,GetSystemTime
0xffc0a9e4,GetSystemTime_FW
0xffc04a04,GetTimeOfSystem_FW
0xffeb704c,GetVRAMHPixelsSize
0xffeb7058,GetVRAMVPixelsSize
0xffe912a0,GetZoomLensCurrentPoint
0xffe912b4,GetZoomLensCurrentPosition
0xffc11d4c,GiveSemaphore
0xffc11d4c,GiveSemaphore_FW
0xffd62110,HardwareDefect_FW
0xffd62140,HardwareDefectWithRestart_FW
0xffead28c,InitializeAdjustmentFunction_FW
0xffead1fc,InitializeAdjustmentSystem_FW
0xffc93868,InPort_FW
0xffd77918,InstallDialogItem_FW
0xffe03310,InstallMyCameraMenu_FW
0xffe44b68,InstallPrintMenu_FW
0xffefb380,iosDevAdd
0xffefb358,iosDevDelete
0xffefb644,iosDrvInstall
0xffef155c,isalpha
0xffe045d0,IsCalledStopEVF_FW
0xffd6865c,IsControlEventActive_FW
0xffef158c,isdigit
0xffd6a6d8,IsDisableAutoShutdown_FW
0xffd8239c,IsEnableRefreshPhysicalScreen_FW
0xffef15bc,islower
0xffef15ec,ispunct
0xffef1604,isspace
0xffd0a4a8,IsStrobeChargeCompleted
0xffef161c,isupper
0xffef1634,isxdigit
0xffc17b18,kbd_p1_f
0xffc17b24,kbd_p1_f_cont
0xffc17efc,kbd_p2_f
0xffc18f90,kbd_pwr_off
0xffc18f68,kbd_pwr_on
0xffc17be4,kbd_read_keys
0xffc18914,kbd_read_keys_r2
0xffd776a4,KeepDefaultMoveFocusEventToDialog_FW
0xffede570,LoadScript_FW
0xffc043c8,LocalTime
0xffd6ab88,LockMainPower
0xffd6ab88,LockMainPower_FW
0xffd8220c,LockPhysicalScreen_FW
0xffd775a0,LockRefreshDialog_FW
0xffc07ddc,LogCameraEvent
0xffd66bc8,LogiEvnt_LoadCameraLog_FW
0xffc1bc28,LowBat_Result_Print_Off_FW
0xffc1bc10,LowBat_Result_Print_On_FW
0xffc62690,Lseek
0xffefa2a4,lseek
0xffc62690,Lseek_FW
0xffedcb14,MakeBootDisk_FW
0xffc5b520,MakeDirectory_Fut
0xffedcb28,MakeScriptDisk_FW
0xffefd1a0,malloc_alt
0xffef5188,memchr
0xffef51bc,memcmp
0xffef51bc,memcmp_FW
0xffef51f8,memcpy
0xffef51f8,memcpy_FW
0xffee88f0,MemoryChecker_FW
0xffefd5c0,memPartInfoGet
0xffef5270,memset
0xffef5270,memset_FW
0xffefd5b0,memShow_FW
0xffc62800,mkdir
0xffef5fa4,mktime
0xffd8ef9c,ModeLevelMovieRecForScript_FW
0xffd8efa8,ModeLevelPlayForScript_FW
0xffd8ef90,ModeLevelStillRecForScript_FW
0xffc0aa04,MonSelEvent_FW
0xffd63558,MoveControllerToTopOfZOrder_FW
0xffd76914,MoveDialogBoxPosition_FW
0xffd77464,MoveDialogControllerToTopOfZOrder_FW
0xffd77e40,MoveDialogItemPosition_FW
0xffd77488,MoveDialogItemPositionToDialog_FW
0xffeb3168,MoveFocusLensToDistance
0xffd773b4,MoveViewPortPosition_FW
0xffe91180,MoveZoomLensWithPoint
0xffd5c114,NR_GetDarkSubType
0xffd5c084,NR_SetDarkSubType
0xffc62580,Open
0xffefa7a4,open
0xffc62580,Open_FW
0xffc0b680,OpenConsole_FW
0xffef761c,opendir
