0x0047e440,_dadd
0x0047edd4,_dcmp
0x0047f02c,_dcmp_reverse
0x0047e718,_ddiv
0x0047ebe4,_dfix
0x0047ec94,_dfixu
0x0047ed1c,_dflt
0x0047edc8,_dfltu
0x0047c49c,_divmod_signed_int
0x0047c934,_divmod_unsigned_int
0x0047ee5c,_dmul
0x0047f0cc,_drsb
0x0047f258,_dsub
0x0047f5dc,_f2d
0x0047f760,_fdiv
0x0047f944,_ffix
0x0047f9b8,_ffixu
0x0047fa18,_fflt
0x0047fa4c,_ffltu
0x0047facc,_fmul
0xff0246d0,_GetSystemTime
0x0047cce0,_log
0x0047d220,_log10
0x0047d398,_pow
0x0047e348,_safe_sqrt
0x0047ffcc,_scalbn
0x0047f0e4,_sqrt
0xff00a818,_uartr_req
0xff145e60,AbortAEIntegralValue_FW
0x0047aef8,AcquireRecursiveLock
0x00477c14,AcquireRecursiveLockStrictly
0xff147ed8,ActivateAdjLog_FW
0xff0ea3bc,ActivateImager_FW
0xff0ea454,ActivateImagerXOne_FW
0xff2ea604,ActivateISMD_FW
0xff273090,add_ptp_handler
0xff225c34,add_ui_to_dialog
0xff18cc80,AdditionAgentRAM_FW
0xff2a6a30,AddTransparentMemory_FW
0xff3608d0,AdjAEWithAperturePriority_FW
0xff36087c,AfAEWithAperturePriority_FW
0xff360a78,AfAEWithCompensation_FW
0xff261124,AFTool.GetEVal_FW
0xff2ee5a8,AllocateMemory
0xff2ee5a8,AllocateMemory_FW
0xff024434,AllocateUncacheableMemory
0xff22d8ec,apex2us
0xff099d0c,atol_FW
0xff146c78,AttachIntegCrawData_FW
0xff2a6a68,AttachToTransparentMemory_FW
0xff34db6c,Bat_Calc_FW
0xff361ee0,Bat_Save_FW
0xff361ecc,Bat_VIN_FW
0xff04a354,BeepDrive_FW
0xff04a374,BeepDriveComp_FW
0xff0487c0,CalcAccelerometerAtanAngle_FW
0xff35b868,CalcLog10
0xff35b8a4,CalcLog10_FW
0xff3660dc,CalcLoopGain_FW
0xff35b994,CalcSqrt_FW
0xff34db6c,CalculateBatSenseOffset_FW
0xff35f8f0,CalculateInterpolationByLS_FW
0xff35b844,CalculateLog2ToApex_FW
0xff35b80c,CalculatePeakFromLeastSquareResult_FW
0xff35f890,CalculatePeakPosByLS_FW
0xff35b858,CalculatePow2FromApex_FW
0xff057cc4,CalculateTestRecYUVData_FW
0xff3606a4,CancelAdj_AEMode_FW
0xff359fd8,CancelAdjCdsMode_FW
0xff35e368,CancelBPFilterForBP_FW
0xff35fff4,CancelExStrobeMode_FW
0xff2e876c,CancelFocusLensMaxSpeedLimit_FW
0xff075a00,CancelHPTimer
0xff0ea704,CancelImageDrive_FW
0xff0ea62c,CancelImager_FW
0xff065904,CancelLoopGainCalc_FW
0xff0248ec,CancelTimer
0xff18117c,Capture.Create_FW
0xff35a940,CaptureWithParam_FW
0xff27fb50,CecRegDump_FW
0xff2a6674,ChangeAdjImgDrvMode_FW
0xff2a66a0,ChangeAEIntegDrvTypeToAdjImgDriveType_FW
0xff24d06c,ChangeCrossThresholdTable_FW
0xff24d33c,ChangeDefectRecParam_FW
0xff361ca0,ChangeDistortionSetForLiveImage_FW
0xff365d3c,ChangeFilterMode_FW
0xff2e88d8,ChangeFocusDistanceToPosition_FW
0xff24ce7c,ChangeGradeTable_FW
0xff35a988,ChangeImageDrive_FW
0xff0ea6a8,ChangeImagerToAlternateDraft_FW
0xff0ea668,ChangeImagerToCombiParallel_FW
0xff0ea6a0,ChangeImagerToDigiconMode_FW
0xff0ea6e0,ChangeImagerToFantaJungle_FW
0xff0ea678,ChangeImagerToFocusJet_FW
0xff0ea6d0,ChangeImagerToHarleyDavidson_FW
0xff0ea690,ChangeImagerToHoneyFlash_FW
0xff0ea6e8,ChangeImagerToHoneyFlashDark_FW
0xff0ea6d8,ChangeImagerToMachDashV_FW
0xff0ea680,ChangeImagerToMangoPudding_FW
0xff0ea698,ChangeImagerToMillefeAdjust_FW
0xff0ea6c0,ChangeImagerToMontblancMillefe_FW
0xff0ea6c8,ChangeImagerToMontblancMovie_FW
0xff0ea6b8,ChangeImagerToMontblancWhole_FW
0xff0ea6a0,ChangeImagerToOITA_XAVIER_FW
0xff0ea6f0,ChangeImagerToRoadKing_FW
