0x010c1389,CreateTask_low
0x010c17df,get_self_task_id
0x010c1bed,get_task_properties
0x010c1cdd,dry_error_printf
0x010c2845,createsemaphore_low
0x010c292b,givesemaphore_low
0x010c2957,takesemaphore_low
0x010c4d4f,heap_alloc
0x010c4e0f,heap_free
0x010c51b5,SleepTask
0x010c51b5,SleepTask_FW
0x010c5239,CreateTask
0x010c5239,CreateTask_FW
0x010c539b,ExitTask
0x010c539b,ExitTask_FW
0x010c53e9,CreateEventFlag
0x010c5421,DeleteEventFlag
0x010c544f,CheckAnyEventFlag
0x010c5477,CheckAllEventFlag
0x010c549f,WaitForAnyEventFlag
0x010c551d,WaitForAllEventFlag
0x010c5599,SetEventFlag
0x010c55b3,ClearEventFlag
0x010c55d1,GetEventFlagValue
0x010c5611,RegisterInterruptHandler
0x010c56b9,j1_GetSRAndDisableInterrupt
0x010c56bd,j1_SetSR
0x010c5705,CreateMessageQueue
0x010c575f,DeleteMessageQueue
0x010c57b5,ReceiveMessageQueue
0x010c583d,TryReceiveMessageQueue
0x010c5875,PostMessageQueue
0x010c58ef,TryPostMessageQueue
0x010c5911,GetNumberOfPostedMessages
0x010c5965,CreateBinarySemaphore
0x010c59a7,CreateCountingSemaphore_FW
0x010c59df,DeleteSemaphore
0x010c59df,DeleteSemaphore_FW
0x010c5a15,TryTakeSemaphore
0x010c5a49,TakeSemaphore
0x010c5a49,TakeSemaphore_FW
0x010c5abd,GiveSemaphore
0x010c5abd,GiveSemaphore_FW
0x010c5ae1,GetSemaphoreValue
0x010c5b35,CreateTaskStrictly
0x010c5b57,CreateMessageQueueStrictly
0x010c5b71,CreateEventFlagStrictly
0x010c5b8b,CreateBinarySemaphoreStrictly
0x010c5ba5,CreateCountingSemaphoreStrictly
0x010c5bbf,CreateRecursiveLockStrictly
0x010c5bd9,TakeSemaphoreStrictly
0x010c5c11,PostMessageQueueStrictly
0x010c5c2d,WaitForAnyEventFlagStrictly
0x010c5c49,WaitForAllEventFlagStrictly
0x010c5c65,AcquireRecursiveLockStrictly
0x010c5c8d,DebugAssert
0x010c5ca3,DebugAssert2
0x010c5cad,set_assert_handler
0x010c5f41,time
0x010c5fab,GetTimeOfSystem_FW
0x010c6289,LocalTime
0x010c77b1,CreateRecursiveLock
0x010c7813,AcquireRecursiveLock
0x010c78c9,ReleaseRecursiveLock
0x010c7985,GetRomID
