0x010e27c5,createsemaphore_low
0x010e288b,givesemaphore_low
0x010e28b3,takesemaphore_low
0x010e4ff1,SleepTask
0x010e4ff1,SleepTask_FW
0x010e5089,CreateTask
0x010e5089,CreateTask_FW
0x010e526b,ExitTask
0x010e526b,ExitTask_FW
0x010e52b9,CreateEventFlag
0x010e52f1,DeleteEventFlag
0x010e532d,CheckAnyEventFlag
0x010e5363,CheckAllEventFlag
0x010e5399,WaitForAnyEventFlag
0x010e541b,WaitForAllEventFlag
0x010e549b,SetEventFlag
0x010e54c9,ClearEventFlag
0x010e54f9,GetEventFlagValue
0x010e554d,RegisterInterruptHandler
0x010e56ad,CreateMessageQueue
0x010e5711,DeleteMessageQueue
0x010e5773,ReceiveMessageQueue
0x010e57ff,TryReceiveMessageQueue
0x010e5849,PostMessageQueue
0x010e58c7,TryPostMessageQueue
0x010e58fd,GetNumberOfPostedMessages
0x010e5965,CreateBinarySemaphore
0x010e59b1,CreateCountingSemaphore_FW
0x010e59e9,DeleteSemaphore
0x010e59e9,DeleteSemaphore_FW
0x010e5a29,TryTakeSemaphore
0x010e5a59,TakeSemaphore
0x010e5a59,TakeSemaphore_FW
0x010e5ad1,GiveSemaphore
0x010e5ad1,GiveSemaphore_FW
0x010e5b01,GetSemaphoreValue
0x010e5b61,CreateTaskStrictly
0x010e5b83,CreateMessageQueueStrictly
0x010e5b9d,CreateEventFlagStrictly
0x010e5bb7,CreateBinarySemaphoreStrictly
0x010e5bd1,CreateCountingSemaphoreStrictly
0x010e5beb,CreateRecursiveLockStrictly
0x010e5c05,TakeSemaphoreStrictly
0x010e5c3d,PostMessageQueueStrictly
0x010e5c59,WaitForAnyEventFlagStrictly
0x010e5c75,WaitForAllEventFlagStrictly
0x010e5c91,AcquireRecursiveLockStrictly
0x010e5cb9,DebugAssert
0x010e5ccf,DebugAssert2
0x010e5e9b,time
0x010e5f05,GetTimeOfSystem_FW
0x010e61cd,LocalTime
0x010e6403,task_SD1stInit
0x010e68b5,CreateRecursiveLock
0x010e6925,AcquireRecursiveLock
0x010e69f3,ReleaseRecursiveLock
0x010e790b,ChangeSDPortVoltage_FW
0x010f7905,j_mktime_ext
0x01106a74,dry_memcpy
0x01106b5c,bzero
0x01106b60,memset32
0x01109310,_log
0x01109830,_log10
0x01109998,_pow
0x0110ba18,_sqrt
0xfc0205e7,PointDefDetect_FW
0xfc0206e9,MergeAndConvertDefect_FW
0xfc0208b3,PointKizuCheck_FW
0xfc020903,SensDefCrowdCheck_FW
0xfc020927,CrossDefDetect_FW
0xfc0209e3,CrossPickUpDetect_FW
0xfc020aad,MixPixDetect_FW
0xfc020bf9,GetDefectCrawInfo_FW
0xfc020c4b,GetDefectAllResultData_FW
0xfc020c7b,GetDefectPartResultData_FW
0xfc020cd9,SetDefectDebugInfo_FW
0xfc020d0d,GetDefectHistgramInfo_FW
0xfc020d2b,MarkPointDefData_FW
0xfc020d31,GetDefectTvAdj_FW
0xfc020d95,SetDefectRecParam_FW
0xfc020ec3,ChangeDefectRecParam_FW
0xfc020ed3,ExecuteDefectRec_FW
0xfc020efd,ExecuteDefectRecAndSaveImage_FW
0xfc020f51,ExecuteDefectRecWithGrade_FW
0xfc020f7f,ExecuteDefectRecAndSaveImageWithGrade_FW
0xfc020fd5,InitializeDefectRec_FW
0xfc020fe7,TerminateDefectRec_FW
0xfc020ff1,MakeDefectTurnTable_FW
0xfc021017,ClearDefectTurnTable_FW
0xfc021021,GetDefectTurnTableParam_FW
0xfc021079,EngDrvOut_FW
0xfc021089,EngDrvIn_FW
0xfc02108f,EngDrvRead_FW
0xfc021095,EngDrvBits_FW
0xfc0210a7,EngDrvReadDump_FW
0xfc021215,ShowTransparentMemory_FW
0xfc021229,DumpTransparentMemoryItem_FW
0xfc02124d,AddTransparentMemory_FW
0xfc02126b,AttachToTransparentMemory_FW
0xfc021289,RemoveTransparentMemory_FW
0xfc02129b,GetTransparentMemorySize_FW
0xfc0212a7,GetTransparentMemory_FW
0xfc0212c9,GetTransparentMemoryPosition_FW
0xfc02156d,InitializeSoundRec_FW
0xfc02159d,TerminateSoundRec_FW
0xfc0215b7,j_InitializeSoundRec_FW
0xfc0215b9,j_TerminateSoundRec_FW
0xfc0215bb,StartSoundRecord_FW
0xfc0215d3,StartSoundPlay_FW
0xfc0217b9,InitializeFAGeneralTest_FW
0xfc0217c3,TerminateFAGeneralTest_FW
0xfc0217cf,InitializeFAExtendFile_FW
0xfc0217d7,TerminateFAExtendFile_FW
0xfc02568d,NR_SetDoubleNRType_FW
0xfc064831,task_Startup
0xfc0659d9,task_UartLog
0xfc065b49,StartRedirectUART_FW
0xfc065be9,StopRedirectUART_FW
0xfc0681df,task_FileScheduleTask
0xfc069e65,task_ReadScheduleTask
0xfc06b31d,task_FileWrite
0xfc06b31d,task_FileWriteTask
0xfc06f909,j_StartCameraLog_FW
0xfc06f90d,j_ShowCameraLog_FW
0xfc06f911,j_ShowCameraLogInfo_FW
0xfc06f915,j_StopCameraLog_FW
0xfc06f919,j_PutsCameraLogEvent_FW
0xfc06f91d,OpLog.Create_FW
0xfc06f96f,j_NewTaskShell_FW
0xfc06f973,j_ExMem.View_FW
0xfc06f977,j_ExMem.AllocUncacheable_FW
0xfc06f97b,j_ExMem.FreeUncacheable_FW
0xfc06f97f,j_ExMem.AllocCacheable_FW
0xfc06f983,j_ExMem.FreeCacheable_FW
0xfc06f987,ExMem_FW
0xfc07062d,task_ReadFileTask
0xfc07513f,j_GetKbdState
0xfc075151,drysh_FW
0xfc075c97,kbd_read_keys_r2
0xfc075d95,GetKbdState
0xfc07654f,task_OpePlay
0xfc07664b,OpLog.Stop_FW
0xfc076661,OpLog.WriteToROM_FW
0xfc0766b5,j_OpLog.WriteToROM_FW
0xfc0766d7,OpLog.ReadFromROM_FW
0xfc076717,OpLog.ReadFromSD_FW
0xfc076923,OpLog.WriteToSD_FW
0xfc076dd3,OpLog.Get_FW
0xfc076de9,OpLog.GetUsrSet_FW
0xfc076e6b,OpLog.Play_FW
0xfc076f5d,OpLog.Start_FW
0xfc076feb,OpLog.Terminate_FW
0xfc077e8d,kbd_p2_f
0xfc0780c1,task_PhySw
0xfc078337,GetSwitchStatus_FW
0xfc07838f,GetSDDetect_FW
0xfc078395,GetSDProtect_FW
0xfc0783a5,GetDialEventId_FW
0xfc0783a9,GetLcdPosition_FW
0xfc0783ad,GetBatteryCoverClose_FW
0xfc0783b1,IsHvSensorExist_FW
0xfc0783b5,GetPopupOpen_FW
0xfc0783c1,kbd_read_keys
0xfc0783f7,kbd_p1_f
0xfc0783ff,kbd_p1_f_cont
0xfc078689,DisplayFactoryMode_FW
0xfc07868f,UndisplayFactoryMode_FW
0xfc07875b,IsFAWLANRunning_FW
0xfc078761,IsFAConnectUSB_FW
0xfc078767,task_bomStopPTPIPTask
0xfc078789,StopPtpipServiceForFAWLAN_FW
0xfc07893b,SetWLANFactoryMode_FW
0xfc078963,ClearWLANFactoryMode_FW
0xfc07898d,SetSSIDForFAWLAN_FW
0xfc0789c7,DummyUSBConnection_FW
0xfc078e23,SetDurianMode_FW
0xfc078e4b,ClearDurianMode_FW
0xfc078e4b,ClearFactoryMode_FW
0xfc078e73,SetFactoryMode_FW
0xfc078e9b,ClearDUIDFixFlag_FW
0xfc078ebf,SetDUIDFixFlag_FW
0xfc078f55,ClearFactoryMasterFlag_FW
0xfc078f5b,SetFactoryMasterFlag_FW
0xfc078f61,ClearFactoryMasterROMProtection_FW
0xfc078f77,SetFactoryMasterROMProtection_FW
0xfc078f8d,IsMountLens_FW
0xfc078f91,IsFactoryMode_FW
0xfc078fe3,IsDUIDFixFlag_FW
0xfc079013,IsNormalCameraMode_FW
0xfc079021,StartFactoryModeController_FW
0xfc07985d,ExMem.View_FW
0xfc079cf3,ExMem.AllocUncacheable_FW
0xfc079daf,ExMem.FreeUncacheable_FW
0xfc079dbb,exmem_alloc
0xfc079df3,ExMem.AllocCacheable_FW
0xfc079dfb,exmem_free
0xfc079e49,ExMem.FreeCacheable_FW
0xfc086c7d,CecViewParameter_FW
0xfc08a5f3,HdmiRegDump_FW
0xfc08a667,CecRegDump_FW
0xfc08ab8d,connect_FW
0xfc08ac57,disconnect_FW
0xfc08b829,stopMicroAP_FW
0xfc08b86b,sendDeauth_FW
0xfc08b8b5,getSTAList_FW
0xfc08bdeb,leave_FW
0xfc08c001,clear_param_FW
0xfc08c255,setCH_FW
0xfc08c263,setMicroAPCH_FW
0xfc08c977,SetSecurityInvalid_FW
0xfc08c981,getCurCHWidth_FW
0xfc08c9cf,getCountry_FW
0xfc08ca1f,RecvDeauthPacket_FW
0xfc08ca2b,getEepromNum_FW
0xfc091b7f,HardwareDefectWithRestart_FW
0xfc091baf,HardwareDefect_FW
0xfc091c71,InitializeWLAN_FW
0xfc091c87,TerminateWLAN_FW
0xfc091d03,LeaveWLANNetwork_FW
0xfc0957f3,task_ComWireless
0xfc096e6b,CecRxViewParameter_FW
0xfc098473,task_PingManager
0xfc099d0b,task_EvShel
0xfc099dc7,NewTaskShell_FW
0xfc099f2b,atol_FW
0xfc09d383,task_IMLApp
0xfc09f23d,task_ImageSyncController
0xfc0a583d,task_BA_Task
0xfc0a58a5,BA_IsBatteryChanged_FW
0xfc0a592b,GetBASignalLevel_FW
0xfc0a5951,_ToggleBatteryStatus_FW
