0xffb89c04,_dadd
0xffb8a61c,_dcmp
0xffb8aa94,_dcmp_reverse
0xffb89f10,_ddiv
0xffb8a4a8,_dfix
0xffb8a558,_dfixu
0xffb8a5e0,_dflt
0xffb8a610,_dfltu
0xffb876ec,_divmod_signed_int
0xffb89bbc,_divmod_unsigned_int
0xffb8a6a4,_dmul
0xffb8ab34,_drsb
0xffb8acf8,_dsub
0xffb8b0ac,_f2d
0xffb8b258,_fdiv
0xffb8b47c,_ffix
0xffb8b4f0,_ffixu
0xffb8b550,_fflt
0xffb8b584,_ffltu
0xffb8b604,_fmul
0xff83bb9c,_GetSystemTime
0xffb88f7c,_log
0xffb87c08,_log10
0xffb87d78,_pow
0xffb88d28,_safe_sqrt
0xffb8bb4c,_scalbn
0xffb8ab84,_sqrt
0xff81fccc,_uartr_req
0xff94a728,AbortAEIntegralValue_FW
0xff88de48,AcquireRecursiveLock
0xff83b7f8,AcquireRecursiveLockStrictly
0xff94c584,ActivateAdjLog_FW
0xff900a88,ActivateImager_FW
0xff900b14,ActivateImagerXOne_FW
0xffa72bb4,add_ptp_handler
0xffa2b22c,add_ui_to_dialog
0xff994548,AdditionAgentRAM_FW
0xffa97924,AddTransparentMemory_FW
0xffb4c190,AdjAEWithAperturePriority_FW
0xffb4c14c,AfAEWithAperturePriority_FW
0xffb4c33c,AfAEWithCompensation_FW
0xffa64b0c,AFTool.GetEVal_FW
0xffae57a0,AllocateMemory
0xffae57a0,AllocateMemory_FW
0xff83b8f0,AllocateUncacheableMemory
0xffa34f88,apex2us
0xff8b54a4,atol_FW
0xff94b494,AttachIntegCrawData_FW
0xffa9795c,AttachToTransparentMemory_FW
0xffb3d8ec,Bat_Calc_FW
0xffb4d878,Bat_Save_FW
0xffb4d864,Bat_VIN_FW
0xff860680,BeepDrive_FW
0xff8606a0,BeepDriveComp_FW
0xffb46fb0,CalcLog10
0xffb46fec,CalcLog10_FW
0xffb51e40,CalcLoopGain_FW
0xffb470dc,CalcSqrt_FW
0xffb3d8ec,CalculateBatSenseOffset_FW
0xffb46f8c,CalculateLog2ToApex_FW
0xffb46f50,CalculatePeakFromLeastSquareResult_FW
0xffb46fa0,CalculatePow2FromApex_FW
0xff86f2a8,CalculateTestRecYUVData_FW
0xffb4bf68,CancelAdj_AEMode_FW
0xffb45b84,CancelAdjCdsMode_FW
0xffb4a054,CancelBPFilterForBP_FW
0xffb4b8c4,CancelExStrobeMode_FW
0xffae01f4,CancelFocusLensMaxSpeedLimit_FW
0xff8917c8,CancelHPTimer
0xff900d88,CancelImageDrive_FW
0xff900c90,CancelImager_FW
0xff87fe18,CancelLoopGainCalc_FW
0xff83bdb8,CancelTimer
0xff9896c0,Capture.Create_FW
0xffb45e04,CaptureWithParam_FW
0xffa97354,ChangeAdjImgDrvMode_FW
0xffa97380,ChangeAEIntegDrvTypeToAdjImgDriveType_FW
0xffa53168,ChangeCrossThresholdTable_FW
0xffa532e8,ChangeDefectRecParam_FW
0xffb4d634,ChangeDistortionSetForLiveImage_FW
0xffb51a9c,ChangeFilterMode_FW
