0x006bcb6c,_dadd
0x006bd500,_dcmp
0x006bd758,_dcmp_reverse
0x006bce44,_ddiv
0x006bd310,_dfix
0x006bd3c0,_dfixu
0x006bd448,_dflt
0x006bd4f4,_dfltu
0x006bac34,_divmod_signed_int
0x006bb10c,_divmod_unsigned_int
0x006bd588,_dmul
0x006bd7f8,_drsb
0x006bd984,_dsub
0x006bdd08,_f2d
0x006bde8c,_fdiv
0x006be070,_ffix
0x006be0e4,_ffixu
0x006be144,_fflt
0x006be178,_ffltu
0x006be180,_fmul
0xff828800,_GetSystemTime
0x006bb4b8,_log
0x006bb9f8,_log10
0x006bbb70,_pow
0x006bcb20,_safe_sqrt
0x006be680,_scalbn
0x006bd810,_sqrt
0xff824a00,_uartr_req
0xff984c00,AbortAEIntegralValue_FW
0xff838b24,AcquireRecursiveLock
0xff828658,AcquireRecursiveLockStrictly
0xff987370,ActivateAdjLog_FW
0xffba23dc,ActivateImageDrive_FW
0xff913634,ActivateImager_FW
0xff9136cc,ActivateImagerXOne_FW
0xffa8ff18,add_ptp_handler
0xff9d61fc,add_ui_to_dialog
0xff9c2a98,AdditionAgentRAM_FW
0xffac8340,AddTransparentMemory_FW
0xffba4104,AdjAEWithAperturePriority_FW
0xffba40ac,AfAEWithAperturePriority_FW
0xffba42b4,AfAEWithCompensation_FW
0xff90ff2c,AFTool.GetEVal_FW
0xff910154,AFTool.SetAFLogType_FW
0xff91015c,AFTool.SetDebugAFSequence_FW
0xff910124,AFTool.StoreAFixPosition_FW
0xffafba00,AllocateMemory
0xffafba00,AllocateMemory_FW
0xff827fc4,AllocateUncacheableMemory
0xffa7b7d4,apex2us
0xff839ad0,atol_FW
0xff985a08,AttachIntegCrawData_FW
0xffac8378,AttachToTransparentMemory_FW
0xffb80ca8,Bat_Calc_FW
0xffb80d48,Bat_CalcSubCPU_FW
0xffba5a64,Bat_Save_FW
0xffba5a50,Bat_VIN_FW
0xff86e10c,BeepDrive_FW
0xff86e12c,BeepDriveComp_FW
0xffba3074,CalcLog10
0xffba30b0,CalcLog10_FW
0xffba5a7c,CalcLowBatteryOffsetValue_FW
0xffba31a0,CalcSqrt_FW
0xffb80ca8,CalculateBatSenseOffset_FW
0xffb80d48,CalculateBatSenseOffsetSubCPU_FW
0xffbab180,CalculateInterpolationByLS_FW
0xffba3044,CalculateLog2ToApex_FW
0xffba301c,CalculatePeakFromLeastSquareResult_FW
0xffbab128,CalculatePeakPosByLS_FW
0xffba3058,CalculatePow2FromApex_FW
0xff880f40,CalculateTestRecYUVData_FW
0xffafb3dc,CamInfo_Debug_FW
0xffba3ee4,CancelAdj_AEMode_FW
0xffba8554,CancelAdjCdsMode_FW
0xffba9b28,CancelBPFilterForBP_FW
0xffba37ac,CancelExStrobeMode_FW
0xffaf5e6c,CancelFocusLensMaxSpeedLimit_FW
0xff8a17a8,CancelHPTimer
0xffba21cc,CancelImageDrive_FW
0xff9138a0,CancelImager_FW
0xff828a44,CancelTimer
0xff9b65bc,Capture.Create_FW
0xffba22c8,CaptureWithParam_FW
0xffac6784,ChangeAdjImgDrvMode_FW
0xffac67b0,ChangeAEIntegDrvTypeToAdjImgDriveType_FW
0xff913a2c,ChangeAutoSlowShutterEnable_FW
0xffa4641c,ChangeDefectRecParam_FW
0xffa4671c,ChangeDefectSpecParam_FW
0xffba5814,ChangeDistortionSetForLiveImage_FW
0xffba5824,ChangeElectronicRollISSetting_FW
0xffaf5fcc,ChangeFocusDistanceToPosition_FW
0xffaf64b0,ChangeFocusLensStopSettingType_FW
0xffba2310,ChangeImageDrive_FW
0xff913924,ChangeImagerToAlternateDraft_FW
0xff9139fc,ChangeImagerToAstroMetamorphose_FW
0xff9138e4,ChangeImagerToCombiParallel_FW
0xff91391c,ChangeImagerToDigiconMode_FW
0xff913994,ChangeImagerToElectraGlide_FW
0xff9139e4,ChangeImagerToElectraGlideNepal_FW
0xff9139dc,ChangeImagerToEsperRocketH_FW
0xff9139f4,ChangeImagerToEsperRocketHNepal_FW
0xff91397c,ChangeImagerToFalconJump_FW
0xff91395c,ChangeImagerToFantaJungle_FW
0xff9138f4,ChangeImagerToFocusJet_FW
0xff91394c,ChangeImagerToHarleyDavidson_FW
0xff9139bc,ChangeImagerToHarleyDavidsonNepal_FW
0xff9139ac,ChangeImagerToHarleySunshine_FW
0xff9139ec,ChangeImagerToHarleySunshineNepal_FW
0xff91398c,ChangeImagerToHealthyVegetable_FW
0xff91390c,ChangeImagerToHoneyFlash_FW
0xff913964,ChangeImagerToHoneyFlashDark_FW
0xff9139d4,ChangeImagerToLasVegasMagic_FW
0xff913974,ChangeImagerToLCWideDraft_FW
0xff913954,ChangeImagerToMachDashV_FW
0xff9138fc,ChangeImagerToMangoPudding_FW
0xff913914,ChangeImagerToMillefeAdjust_FW
0xff91393c,ChangeImagerToMontblancMillefe_FW
0xff913944,ChangeImagerToMontblancMovie_FW
0xff913934,ChangeImagerToMontblancWhole_FW
0xff91391c,ChangeImagerToOITA_XAVIER_FW
0xff9138c4,ChangeImagerToRegularDrive_FW
0xff91396c,ChangeImagerToRoadKing_FW
0xff9139c4,ChangeImagerToRoadKingNepal_FW
0xff9139b4,ChangeImagerToRoadQueen_FW
0xff913984,ChangeImagerToSpriteSunshine_FW
0xff913904,ChangeImagerToSuperWideDraft_FW
0xff9139cc,ChangeImagerToSuperWideNepal_FW
0xff91392c,ChangeImagerToUltraGhostQ_FW
