0x0014ecc4,task_AdditionAgent
0x006b1ae8,DisableDispatch_low
0x006b1b14,EnableDispatch_low
0x006b1b68,get_self_task_id
0x006b21ac,get_task_properties
0x006b5454,RegisterInterruptHandler
0x006b54e4,UnregisterInterruptHandler
0x006b55d0,GetSRAndDisableInterrupt
0x006b55d4,SetSR
0x006b55f4,EnableInterrupt
0x006b562c,CreateTask
0x006b562c,CreateTask_FW
0x006b595c,ExitTask
0x006b595c,ExitTask_FW
0x006b59c0,DebugAssert
0x006b784c,CreateBinarySemaphore
0x006b78d0,CreateCountingSemaphore
0x006b78d0,CreateCountingSemaphore_FW
0x006b7930,DeleteSemaphore
0x006b7930,DeleteSemaphore_FW
0x006b79a4,TryTakeSemaphore
0x006b79f4,TakeSemaphore
0x006b79f4,TakeSemaphore_FW
0x006b7acc,GiveSemaphore
0x006b7acc,GiveSemaphore_FW
0x006b7b1c,GetSemaphoreValue
0x006b7b9c,CreateTaskStrictly
0x006b7bd4,CreateMessageQueueStrictly
0x006b7bfc,CreateEventFlagStrictly
0x006b7c24,CreateBinarySemaphoreStrictly
0x006b7c4c,CreateCountingSemaphoreStrictly
0x006b7c74,CreateRecursiveLockStrictly
0x006b7c9c,TakeSemaphoreStrictly
0x006b7cc8,ReceiveMessageQueueStrictly
0x006b7cf4,PostMessageQueueStrictly
0x006b7d20,WaitForAnyEventFlagStrictly
0x006b7d4c,WaitForAllEventFlagStrictly
0x006b7d78,AcquireRecursiveLockStrictly
0x006b7eb4,CreateEventFlag
0x006b7f14,DeleteEventFlag
0x006b7f7c,CheckAnyEventFlag
0x006b7fd8,CheckAllEventFlag
0x006b8034,WaitForAnyEventFlag
0x006b8120,WaitForAllEventFlag
0x006b81ec,SetEventFlag
0x006b8234,ClearEventFlag
0x006b8280,GetEventFlagValue
0x006b8304,CreateMessageQueue
0x006b83b4,DeleteMessageQueue
0x006b8458,ReceiveMessageQueue
0x006b854c,TryReceiveMessageQueue
0x006b85bc,PostMessageQueue
0x006b8680,TryPostMessageQueue
0x006b86d4,GetNumberOfPostedMessages
0x006b8780,CreateRecursiveLock
0x006b87d8,DeleteRecursiveLock
0x006b8840,AcquireRecursiveLock
0x006b89a8,ReleaseRecursiveLock
0x006b8a4c,DisableDispatch
0x006b8d88,SleepTask
0x006b8d88,SleepTask_FW
0x006b8dd4,EnableDispatch
0x006b927c,time
0x006b9330,GetTimeOfSystem_FW
0x006b9a18,LocalTime
0x006d5e1c,_divmod_signed_int
0x006d7438,_divmod_unsigned_int
0x006d8e90,_log
0x006d93d0,_log10
0x006d9548,_pow
0x006da600,_safe_sqrt
0x006da7c4,_dadd
0x006daa9c,_ddiv
0x006daf68,_dfix
0x006db018,_dfixu
0x006db0a0,_dflt
0x006db14c,_dfltu
0x006db158,_dcmp
0x006db1e0,_dmul
0x006db3b0,_dcmp_reverse
0x006db608,_drsb
0x006db620,_sqrt
0x006db794,_dsub
0x006dbb18,_f2d
0x006dbc9c,_fdiv
0x006dbe80,_ffix
0x006dbef4,_ffixu
0x006dbf54,_fflt
0x006dbf88,_ffltu
0x006dc008,_fmul
0x006dc508,_scalbn
0xff020b68,memShow_FW
0xff022a9c,task_ClockSave
0xff0235b0,get_self_task_errno_pointer
0xff023614,GetMemInfo
0xff023e7c,open
0xff023f2c,close
0xff0240d0,Read
0xff0240d0,Read_FW
0xff0249c0,err_init_task
0xff024ae4,_uartr_req
0xff024b74,task_UartLog
0xff024d18,StartRedirectUART_FW
0xff024e2c,StopRedirectUART_FW
0xff024fb4,sprintf_FW
0xff024fd0,strcpy
0xff024fd0,strcpy_FW
0xff024fe8,memcmp
0xff024fe8,memcmp_FW
0xff0250e4,j_strcmp_FW
0xff0250e4,strcmp
0xff02510c,strcmp_FW
0xff025128,strlen
0xff025128,strlen_FW
0xff025210,malloc
0xff025268,free
0xff025e34,AllocateUncacheableMemory
0xff025e70,FreeUncacheableMemory
0xff026004,_GetSystemTime
0xff02613c,SetTimerAfter
0xff0261a8,SetTimerWhen
0xff02620c,CancelTimer
0xff026ab0,RenameFile_Fut
0xff026bb8,DeleteDirectory_Fut
0xff026c10,Fopen_Fut
0xff026c10,Fopen_Fut_FW
0xff026c50,Fclose_Fut
0xff026c50,Fclose_Fut_FW
0xff026cfc,Fread_Fut
0xff026cfc,Fread_Fut_FW
0xff026d50,Fwrite_Fut
0xff026d50,Fwrite_Fut_FW
0xff026da4,Fgets_Fut
0xff026df0,Fseek_Fut
0xff026df0,Fseek_Fut_FW
0xff026e3c,Feof_Fut
0xff026e78,Fflush_Fut
0xff0270f0,Open
0xff0270f0,Open_FW
0xff0271b8,Close
0xff0271b8,Close_FW
0xff02720c,Write
0xff02720c,Write_FW
0xff027260,j_Open_FW
0xff027264,j_Close_FW
0xff0272dc,Remove
0xff027364,j_Read_FW
0xff027368,j_Write_FW
0xff0273d4,Lseek
0xff0273d4,lseek
0xff0273d4,Lseek_FW
0xff0273f4,OpenForScrip_FW
0xff02741c,stat
0xff027544,SetFileTimeStamp
0xff0275bc,SetFileAttributes
0xff027654,mkdir
0xff02785c,j_StartCameraLog_FW
0xff027860,j_ShowCameraLog_FW
0xff027864,j_ShowCameraLogInfo_FW
0xff027868,j_StopCameraLog_FW
0xff02786c,j_PutsCameraLogEvent_FW
0xff027870,OpLog.Create_FW
0xff0278ec,j_NewTaskShell_FW
0xff0278f0,j_ExMem.View_FW
0xff0278f4,j_ExMem.AllocUncacheable_FW
0xff0278f8,j_ExMem.FreeUncacheable_FW
0xff0278fc,j_ExMem.AllocCacheable_FW
0xff027900,j_ExMem.FreeCacheable_FW
0xff027904,ExMem_FW
0xff027bf8,task_Startup
0xff027d0c,vsprintf
0xff027d4c,strncpy
0xff02908c,RegComEventProc_FW
0xff02958c,task_StartupImage
0xff02a750,task_BatteryTask
0xff02ade8,GetVBatVoltage_FW
0xff02ade8,VbattGet
0xff02ade8,VbattGet_FW
0xff02b770,kbd_p2_f
0xff02bad4,task_PhySw
0xff02bed4,GetSwitchStatus_FW
0xff02bf40,GetSDDetect_FW
0xff02bf48,GetSDProtect
0xff02bf48,GetSDProtect_FW
0xff02bf6c,GetDialEventId_FW
0xff02bf70,GetLcdPosition_FW
0xff02bf78,GetBatteryCoverClose_FW
0xff02bf80,IsHvSensorExist_FW
0xff02bf88,kbd_read_keys
0xff02bfd8,kbd_p1_f
0xff02bfe4,kbd_p1_f_cont
0xff02c0c4,EngDrvOut
0xff02c0dc,EngDrvIn
0xff02c0e4,EngDrvRead
0xff02c0f8,EngDrvBits
0xff02c3b4,DisplayFactoryMode_FW
0xff02c3c0,UndisplayFactoryMode_FW
0xff02c514,task_bomStopPTPIPTask
0xff02c544,StopPtpipServiceForFAWLAN_FW
0xff02c868,SetWLANFactoryMode_FW
0xff02c8a8,ClearWLANFactoryMode_FW
0xff02c8e8,SetSSIDForFAWLAN_FW
0xff02c9d8,DummyUSBConnection_FW
0xff02cd60,SetDurianMode_FW
0xff02cda0,ClearDurianMode_FW
0xff02cda0,ClearFactoryMode_FW
0xff02cde0,SetFactoryMode_FW
0xff02ce20,ClearDUIDFixFlag_FW
0xff02ce58,SetDUIDFixFlag_FW
0xff02cf4c,ClearFactoryMasterFlag_FW
0xff02cf58,SetFactoryMasterFlag_FW
0xff02cf64,ClearFactoryMasterROMProtection_FW
0xff02cf88,SetFactoryMasterROMProtection_FW
0xff02cfac,IsFactoryMode_FW
0xff02d02c,IsDUIDFixFlag_FW
0xff02d074,IsNormalCameraMode_FW
0xff02d08c,StartFactoryModeController_FW
0xff02d2a8,task_FsIoNotifyTask
0xff030104,get_fstype
0xff03018c,GetDrive_ClusterSize
0xff030978,GetDrive_TotalClusters
0xff0309a4,GetDrive_FreeClusters
0xff030e50,MakeSDCardBootable
0xff0319d8,MoveOpticalZoomAt
0xff031c44,SS.GetDigitalZoomPosition_FW
0xff031f34,DoAFLock
0xff031f64,UnlockAF
0xff0321d0,EnterToCompensationEVF
0xff032218,ExitFromCompensationEVF
0xff03226c,DoAELock
0xff032290,UnlockAE
0xff0329e4,MenuIn
0xff032a10,MenuOut
0xff0336dc,drysh_FW
0xff0337ec,ExMem.View_FW
0xff033c98,exmem_ualloc
0xff033ce4,ExMem.AllocUncacheable_FW
0xff033dd8,exmem_ufree
0xff033e18,ExMem.FreeUncacheable_FW
0xff033e2c,exmem_alloc
0xff033e84,ExMem.AllocCacheable_FW
0xff033e94,exmem_free
0xff033ef8,ExMem.FreeCacheable_FW
0xff034178,RegisterEventProcedure
0xff0342a0,ExecuteEventProcedure
0xff034318,ExecuteEventProcedure_FW
0xff034bd8,ExportToEventProcedure_FW
0xff034be4,CreateProxyOfEventProcedure_FW
0xff034c3c,DeleteProxyOfEventProcedure_FW
0xff034cbc,PutsCameraLogEvent_FW
0xff034d00,ShowCameraLogInfo_FW
0xff034d6c,ShowCameraLog_FW
0xff034dbc,StartCameraLog_FW
0xff034f84,StopCameraLog_FW
0xff034fe4,LogCameraEvent
0xff035490,task_OpePlay
0xff0355e4,OpLog.Stop_FW
0xff035610,OpLog.WriteToROM_FW
0xff035640,j_OpLog.WriteToROM_FW
0xff035674,OpLog.ReadFromROM_FW
0xff0356dc,OpLog.ReadFromSD_FW
0xff035b1c,OpLog.WriteToSD_FW
0xff036070,OpLog.Get_FW
0xff036090,OpLog.GetUsrSet_FW
0xff036150,OpLog.Play_FW
0xff036368,OpLog.Start_FW
0xff036454,OpLog.Terminate_FW
0xff036ddc,task_EvShel
0xff036e90,NewTaskShell
0xff036ef0,NewTaskShell_FW
0xff037090,TurnOffE1_FW
0xff03713c,task_Bye
0xff037310,Restart
0xff037754,HardwareDefectWithRestart_FW
0xff0377a8,HardwareDefect_FW
0xff0378ac,malloc_strictly
0xff037a88,atol_FW
0xff037a94,strtolx
0xff037c90,strtol
0xff037ca4,strcat
0xff037ce0,strncmp
0xff037d2c,strchr
0xff04481c,ExpCtrlTool_StartContiAE
0xff044990,ExpCtrlTool_StopContiAE
0xff047bc8,task_WBCtrl
0xff04a014,task_AFTask
0xff04b0cc,GetMacroSupportZoomPoint_FW
0xff04cb0c,ImagerActivate
0xff04dcc8,task__imageSensorTask
0xff050eac,LiveImageTool.GetDzoomPosition_FW
0xff05132c,GetVRAMHPixelsSize
0xff05132c,GetVRAMHPixelsSize_FW
0xff051338,GetVRAMVPixelsSize
0xff051338,GetVRAMVPixelsSize_FW
0xff051344,GetMovieJpegVRAMHPixelsSize_FW
0xff051350,GetMovieJpegVRAMVPixelsSize_FW
0xff052188,handle_PTP_OC_CloseSession
0xff05223c,handle_PTP_OC_OpenSession
0xff057b20,InitializeWLAN_FW
0xff057b30,TerminateWLAN_FW
0xff057c3c,LeaveWLANNetwork_FW
0xff059794,task_RedirectUARTTask
0xff0598c8,task_fprintSNRTask
0xff059eac,task_LachesisTest
0xff05a96c,PB2Rec
0xff05a9c0,Rec2PB
0xff05c894,UIFS_CancelStoreLensTimer_FW
0xff05d330,task_InitFileModules
0xff05d368,task_CommonDrivers
0xff061584,UIFS_StartMovieRecord_FW
0xff0615a8,UIFS_StopMovieRecord_FW
0xff064bf0,UIFS_IsAvailableShots_FW
0xff065120,UIFS_GetStillShotableNumber_FW
0xff065124,UIFS_GetMovieRecoadableNumber_FW
0xff068750,DispCon_ShowColorBar_FW
0xff0687dc,DispCon_ShowFiveStep_FW
0xff06892c,DispCon_ShowWhiteChart_FW
0xff068980,DispCon_ShowBlackChart_FW
0xff06899c,DispCon_ShowBitmapColorBar
0xff06899c,DispCon_ShowBitmapColorBar_FW
0xff068a0c,DispCon_ShowCustomColorBar_FW
0xff068a78,DispCon_SetDisplayType_FW
0xff068a98,DispCon_ShowColorChart_FW
0xff068ab4,DispCon_ShowWhiteLine_FW
0xff068c88,DispCon_ShowNStepsChart_FW
0xff068dd8,DispCon_TurnOnDisplay_FW
0xff068dd8,TurnOnDisplay
0xff068de8,DispCon_TurnOffDisplay_FW
0xff068de8,TurnOffDisplay
0xff068df8,DispCon_TurnOnBackLight_FW
0xff068e08,DispCon_TurnOffBackLight_FW
0xff068e18,DispCon_SetMaxBackLightBrightness_FW
0xff068ea4,DispCon_SetVideoAdjParameter_FW
0xff068f34,DispCon_GetVideoAdjParameter_FW
0xff068f9c,DispCon_ShowVideoAdjParameter_FW
0xff068fd4,DispCon_SaveVideoAdjParameter_FW
0xff0690f0,DispCon_SetLcdGainAdjParameter_FW
0xff069140,DispCon_GetLcdGainAdjParameter_FW
0xff06917c,DispCon_ShowLcdGainAdjParameter_FW
0xff06918c,DispCon_SaveLcdGainAdjParameter_FW
0xff0691a8,DispCon_ShowHdChart_FW
0xff06a19c,GetAdVBattBottom_FW
0xff06a1a4,GetAdChValue
0xff06a1a4,GetAdChValue_FW
0xff06bef8,task_BeepTask
0xff06c280,BeepDrive_FW
0xff06c2a0,BeepDriveComp_FW
0xff06caa0,task_HdmiCecTask
0xff06cd5c,ChangePowerState_FW
0xff06cdcc,EnableHDMIPower
0xff06ce28,DisableHDMIPower
0xff06d728,task_LEDCon
0xff06e264,kbd_read_keys_r2
0xff06e8f0,GetKbdState
0xff06eab0,WriteToRom_FW
0xff06eb20,EraseRom_FW
0xff06ec00,GetRomID_FW
0xff06eea8,task_AudioTsk
0xff0702e8,TurnOnVideoOutMode_FW
0xff070320,TurnOffVideoOutMode_FW
0xff070e18,GetInputAverageLevel_FW
0xff070e24,GetNowInputAverageLevel_FW
0xff072494,task_Thermometer
0xff07268c,GetCCDTemperature
0xff07268c,GetCCDTemperature_FW
0xff072704,GetBatteryTemperature
0xff072704,GetBatteryTemperature_FW
0xff07277c,GetOpticalTemperature
0xff07277c,GetOpticalTemperature_FW
0xff072828,IsOpticalTemperature_FW
0xff07285c,IsCCDTemperature_FW
0xff072890,IsBatteryTemperature_FW
0xff0728e0,j_GetOpticalTemperature_FW
0xff0728e4,j_GetCCDTemperature_FW
0xff0728e8,j_GetBatteryTemperature_FW
0xff0728ec,j_IsOpticalTemperature_FW
0xff0728f0,j_IsCCDTemperature_FW
0xff0728f4,j_IsBatteryTemperature_FW
0xff0746d0,task_FrameTask
0xff07840c,EraseAdjustmentArea_FW
0xff078438,DumpAdjMirror_FW
0xff078460,GetAdjTableVersion_FW
0xff078494,j_GetAdjTableVersion_FW
0xff078498,GetAdjTableMapVersion_FW
0xff0784a8,GetAdjTableValueVersion_FW
0xff0784bc,ShowDefaultAdjTableVersion_FW
0xff07855c,LoadAdjustmentTable_FW
0xff07856c,LoadDefectAdjTable_FW
0xff0789ac,SaveAdjustmentTable_FW
0xff078a18,SaveDefectAdjTable_FW
0xff078a34,SaveAdjustmentValue_FW
0xff078a6c,LoadAdjustmentValue_FW
0xff078a90,PrintAdjTableMap_FW
0xff078d90,CreateAdjustmentTableMirror_FW
0xff078d98,RefreshAdjustmentTableMirror_FW
0xff078da0,CreateDefectTableMirror_FW
0xff078da8,RefreshDefectTableMirror_FW
0xff078db0,j_CreateUserSettingMirror_FW
0xff078db4,PrintAdjKabotanInfo_FW
0xff078e44,WRITEADJTABLETOFROM_FW
0xff078e78,j_WRITEADJTABLETOFROM_FW
0xff078e7c,WRITEADJUSTMENTDATATOFROM_FW
0xff078eb0,WRITEUSERSETTINGDATATOFROM_FW
0xff0792b4,GetDCPAdjOffset_FW
0xff07974c,GetAdjustmentOffset_FW
0xff079754,GetProductID_FW
0xff079770,GetAdjDataAreaAddress_FW
0xff07978c,CreateUserSettingMirror_FW
0xff07d6e4,InitializeTestRec_FW
0xff07d750,TerminateTestRec_FW
0xff07e11c,Initializedccd_FW
0xff07e11c,InitializeDigicon_FW
0xff07e228,Terminatedccd_FW
0xff07e228,TerminateDigicon_FW
0xff07e294,ExecuteDigicon_FW
0xff07e9b0,Executedccd_FW
0xff07eb48,GetdccdImage_FW
0xff07ebe4,GetdccdFilterValue_FW
0xff07ecd0,j_InitializeTestRec_FW
0xff07ecd4,j_TerminateTestRec_FW
0xff07ecd8,ExecuteTestRec_FW
0xff07ecec,ExecuteSubCameraTestRec_FW
0xff07ecf4,ExecuteTestRecCF_FW
0xff07ecf4,ExecuteTestRecSD_FW
0xff07ed0c,SetTestRecMasterCxCy_FW
0xff07ee0c,ExecuteTestRecWithInteg_FW
0xff07ee24,ExecuteTestRecSw1_FW
0xff07ee70,GetTestRecCrawAddress_FW
0xff07ee7c,CalculateTestRecYUVData_FW
0xff07ee8c,SetTestRecSkimmingYUV_FW
0xff07eed0,ExecuteTestRecDevelopProcess_FW
0xff07ef1c,j_Initializedccd_FW
0xff07ef1c,j_InitializeDigicon_FW
0xff07ef20,j_Terminatedccd_FW
0xff07ef20,j_TerminateDigicon_FW
0xff07ef24,j_ExecuteDigicon_FW
0xff07ef28,j_Executedccd_FW
0xff07ef2c,j_GetdccdImage_FW
0xff07ef30,j_GetdccdFilterValue_FW
0xff07ef34,ResetRegistNoticeCBR_FW
0xff07ef44,RegistFirmScanNoticeCBR_FW
0xff083c08,task_MediaStatusMngr
0xff085a78,WriteSDCard
0xff0860e4,task_SD1stInit
0xff086a0c,task_RedEyeCapt
0xff08b82c,StartCzTuning_FW
0xff08b834,MoveCzPeakPositon_FW
0xff08b83c,CzDebugPrint_FW
0xff08b83c,SetCzDebugFocusMode_FW
0xff08b83c,SetCzDebugSubjectDistance_FW
0xff08b850,CzDebugPrintToFile_FW
0xff08c010,GetCurrentAvValue
0xff08c010,GetCurrentAvValue_FW
0xff08c010,GetIrisAv_FW
0xff08c0b0,GetUsableAvRange
0xff08c4a0,task_LensController
0xff08d024,IsLensOutside_FW
0xff08d048,GetFocusStartZoomPosition_FW
0xff08e038,task_MechaLog
0xff08f12c,task_ISMainTask
0xff08f41c,ISInitMotion_FW
0xff08fd88,GetISPWMFrequency_FW
0xff08fd8c,GetISPWMPeriod_FW
0xff08fe10,StartISLocalAutoCenter_FW
0xff08fe50,StartISLocalHallAdjust_FW
0xff0901fc,GetGyroDataPitch_FW
0xff090224,GetGyroDataYaw_FW
0xff090264,GetGyro10BitDACPitch_FW
0xff090270,GetGyro10BitDACYaw_FW
0xff09027c,GetGyroHPFINOffsetPitch_FW
0xff090288,GetGyroHPFINOffsetYaw_FW
0xff090294,GetGyroHPFINPitch_FW
0xff0902a0,GetGyroHPFINYaw_FW
0xff090540,GetDISModeParameter_FW
0xff0906e0,GetFixedPWMOutA_FW
0xff0906e8,GetFixedPWMOutB_FW
0xff092874,task_SsStartupTask
0xff093e30,task_CaptSeq
0xff093e30,task_CaptSeqTask
0xff09c2fc,SSFS_CompleteCaptModeChange_FW
0xff09c2fc,SSFS_CompleteFileWrite_FW
0xff09c2fc,SSFS_CompletePreCapt_FW
0xff09c2fc,SSFS_CompleteShootPicture_FW
0xff09c2fc,SSFS_CompleteStopDigZoom_FW
0xff09c2fc,SSFS_CompleteStopZoom_FW
0xff09c2fc,SSFS_CompleteSynchroWrite_FW
0xff09c2fc,SSFS_ShootPicture_FW
0xff09c37c,task_SsTask
0xff09ecf4,GetLogToFile_FW
0xff09ed18,IsRomLogAvailable_FW
0xff09ed2c,EraseLogSector_FW
0xff09f778,EpilogShow_FW
0xff09fa70,EpilogFile_FW
0xff09fa9c,task_Epilog
0xff09fadc,EpilogMenu_FW
0xff0a05e8,GetCurrentMachineTime
0xff0a15ec,ExecuteShutDownPropertyService_FW
0xff0a17e4,get_resource_pointer
0xff0a1ab0,UnLoadScript_FW
0xff0a1b9c,Printf_FW
0xff0a1bac,LoadScript_FW
0xff0a2bec,SetHPTimerAfterNow
0xff0a2c6c,SetHPTimerAfterTimeout
0xff0a2cf4,CancelHPTimer
0xff0a46d0,task_WdtPrint
0xff0a4780,task_WdtReset
0xff0a4840,StartWDT_FW
0xff0a48a0,StopWDT_FW
0xff0a49a0,GetBuildDate_FW
0xff0a49a8,GetBuildTime_FW
0xff0a49b0,GetFirmwareVersion_FW
0xff0a4a20,GetInternalFirmwareVersion_FW
0xff0a4abc,CheckSumAll_FW
0xff0a4ca4,RomCheckSum_FW
0xff0a4d5c,task_ConsoleSvr
0xff0a5368,RotateConsoleZOder_FW
0xff0a53f8,task_LowConsole
0xff0a5578,CPrintf_FW
0xff0a55d0,CPutChar_FW
0xff0a55f8,GetCh_FW
0xff0a5648,GetStringWithPrompt_FW
0xff0a56e8,OpenConsole_FW
