0x006df934,_dadd
0x006e02c8,_dcmp
0x006e0520,_dcmp_reverse
0x006dfc0c,_ddiv
0x006e00d8,_dfix
0x006e0188,_dfixu
0x006e0210,_dflt
0x006e02bc,_dfltu
0x006dad38,_divmod_signed_int
0x006dc354,_divmod_unsigned_int
0x006e0350,_dmul
0x006e0778,_drsb
0x006e0904,_dsub
0x006e0c88,_f2d
0x006e0e0c,_fdiv
0x006e0ff0,_ffix
0x006e1064,_ffixu
0x006e10c4,_fflt
0x006e10f8,_ffltu
0x006e11d8,_fmul
0xff025dfc,_GetSystemTime
0x006dddb0,_log
0x006de2f0,_log10
0x006de6b8,_pow
0x006df770,_safe_sqrt
0x006e16d8,_scalbn
0x006e0790,_sqrt
0xff0248c4,_uartr_req
0xff1d3954,AbortAEIntegralValue_FW
0x006b8878,AcquireRecursiveLock
0x006b7db0,AcquireRecursiveLockStrictly
0xff1d610c,ActivateAdjLog_FW
0xff4c432c,ActivateImageDrive_FW
0xff1308fc,ActivateImager_FW
0xff130994,ActivateImagerXOne_FW
0xff15d814,add_ptp_handler
0xff239b88,add_ui_to_dialog
0xff2284a8,AdditionAgentRAM_FW
0xff379330,AddTransparentMemory_FW
0xff4c604c,AdjAEWithAperturePriority_FW
0xff4c5ff4,AfAEWithAperturePriority_FW
0xff4c61fc,AfAEWithCompensation_FW
0xff128c68,AFTool.GetEVal_FW
0xff128e70,AFTool.SetAFLogType_FW
0xff128e78,AFTool.SetDebugAFSequence_FW
0xff128e40,AFTool.StoreAFixPosition_FW
0xff3c65cc,AllocateMemory
0xff3c65cc,AllocateMemory_FW
0xff025c18,AllocateUncacheableMemory
0xff2d8b04,apex2us
0xff037e3c,atol_FW
0xff1d478c,AttachIntegCrawData_FW
0xff379368,AttachToTransparentMemory_FW
0xff48ec54,Bat_Calc_FW
0xff4c7a00,Bat_Save_FW
0xff4c79ec,Bat_VIN_FW
0xff07270c,BeepDrive_FW
0xff07272c,BeepDriveComp_FW
0xff070638,CalcAccelerometerAtanAngle_FW
0xff4c4fbc,CalcLog10
0xff4c4ff8,CalcLog10_FW
