0xff814a28,_GetSystemTime
0xffaa8174,_log
0xffaa881c,_log10
0xffaa8d0c,_pow
0xffaad058,_sqrt
0xff8235b8,AcquireRecursiveLock
0xff97b424,AddItemToDialogBox_FW
0xff81b1a0,AllocateMemory
0xff81b1a0,AllocateMemory_FW
0xff8146a0,AllocateUncacheableMemory
0xff898f70,Angel.Dump_FW
0xff898f24,Angel.Test_FW
0xff8b85c4,apex2us
0xff815a28,CancelHPTimer
0xff814dcc,CancelTimer
0xff8aa130,Capture.Delete_FW
0xff820320,CheckAllEventFlag
0xff820310,CheckAnyEventFlag
0xff81ad9c,CheckSumAll_FW
0xff820720,ClearEventFlag
0xff874b9c,Close
0xffabbbf4,close
0xff874b9c,Close_FW
0xff81c080,CloseConsole_FW
0xffab7b94,closedir
0xff97c798,ControlEventHandler_FW
0xff81bda0,CPrintf_FW
0xff81be04,CPutChar_FW
0xff82169c,CreateBinarySemaphore
0xff823854,CreateBinarySemaphoreStrictly
0xff96c304,CreateController_FW
0xff8216ac,CreateCountingSemaphore
0xff8216ac,CreateCountingSemaphore_FW
0xff823880,CreateCountingSemaphoreStrictly
0xff97afc8,CreateDialogBox_FW
0xff97c590,CreateDialogItem_FW
0xff9f3bac,CreateDpConnectController_FW
0xff820024,CreateEventFlag
0xff823828,CreateEventFlagStrictly
0xff820a00,CreateMessageQueue
0xff8237fc,CreateMessageQueueStrictly
0xff817330,CreateProxyOfEventProcedure_FW
0xff8233c4,CreateRecursiveLock
0xff8238ac,CreateRecursiveLockStrictly
0xff8221f4,CreateTask
0xff8221f4,CreateTask_FW
0xff8237bc,CreateTaskStrictly
0xffa0a06c,DBG_changeTraceLevel_FW
0xff813be8,DebugAssert
0xff96c3bc,DeleteController_FW
0xff97b1b0,DeleteDialogBox_FW
0xff97b338,DeleteDialogBoxAfterGetTopOfControl_FW
0xff97c680,DeleteDialogItem_FW
0xff9f3dac,DeleteDpConnectController_FW
0xff820130,DeleteEventFlag
0xff86d8d0,DeleteFile_Fut
0xff97b4f8,DeleteItemFromDialogBox_FW
0xff820b50,DeleteMessageQueue
0xff97f388,DeletePalette_FW
0xff8173b8,DeleteProxyOfEventProcedure_FW
0xff8234e0,DeleteRecursiveLock
0xff8217b8,DeleteSemaphore
0xff8217b8,DeleteSemaphore_FW
0xff971e28,DisableAutoShutdown_FW
0xff8d90a0,DisableOBClampField_FW
0xff986114,DisableRefreshPhysicalScreen_FW
0xff93bb0c,DispCon_ShowBitmapColorBar
0xff97b9d4,DisplayDialogBox_FW
0xff958f4c,DoAFLock,(stubs_entry_2.s)
0xff97bdc0,DrawBinaryBitmapToDialog_FW
0xff97c700,DrawDialogItem_FW
0xff97bc70,DrawStringToDialog_FW
0xff81b078,Dump32_FW
0xffa99544,DumpScript_FW
0xff971e40,EnableAutoShutdown_FW
0xff8209b4,EnableInterrupt
