0xff811acc,wrapped_malloc
0xff8127e0,exmem_alloc
0xff812c84,printclock_FW
0xff812d88,StopClockSaver_FW
0xff812da4,SetLClk72MHz_FW
0xff812db4,SetLClk36MHz_FW
0xff812dc4,SetLClk18MHz_FW
0xff812e6c,SetHClk72MHz_FW
0xff812eb0,SetHClk36MHz_FW
0xff812ed8,SetHClk18MHz_FW
0xff812f1c,SetMClk72MHz_FW
0xff812f60,SetMClk36MHz_FW
0xff812f88,SetMClk18MHz_FW
0xff813a80,DebugAssert
0xff814108,LocalTime
0xff814888,GetTimeOfSystem_FW
0xff814bb0,AllocateUncacheableMemory
0xff814be4,FreeUncacheableMemory
0xff814de8,_GetSystemTime
0xff814f3c,SetTimerAfter
0xff814fd8,SetTimerWhen
0xff815050,CancelTimer
0xff815838,SetHPTimerAfterNow
0xff8158c4,SetHPTimerAfterTimeout
0xff815cac,CancelHPTimer
0xff816944,RegisterEventProcedure_FW
0xff816ac8,ExecuteEventProcedure
0xff816ac8,ExecuteEventProcedure_FW
0xff816ce4,ExportToEventProcedure_FW
0xff81747c,CreateProxyOfEventProcedure_FW
0xff817504,DeleteProxyOfEventProcedure_FW
0xff817f30,LogCameraEvent
0xff817f98,PutsCameraLogEvent_FW
0xff8180a0,ShowCameraLogInfo_FW
0xff818144,ShowCameraLog_FW
0xff818424,StopCameraLog_FW
0xff81a244,StartWDT_FW
0xff81a2c0,StopWDT_FW
0xff81a434,GetBuildDate_FW
0xff81a44c,GetBuildTime_FW
0xff81a470,GetFirmwareVersion_FW
0xff81a558,RomCheckSum_FW
0xff81a5ec,CheckSumAll_FW
0xff81a7a8,SystemEventDelete_FW
0xff81a8c8,Dump32_FW
0xff81a9dc,FreeMemory
0xff81a9dc,FreeMemory_FW
0xff81a9f0,AllocateMemory
0xff81a9f0,AllocateMemory_FW
0xff81aa00,Wait_FW
0xff81aa14,Poke32_FW
0xff81aa38,Poke16_FW
0xff81aa5c,Poke8_FW
0xff81aa80,Peek32_FW
0xff81aa9c,Peek16_FW
0xff81aab8,Peek8_FW
0xff81aad4,EraseSignature_FW
0xff81ab04,GetSystemTime_FW
0xff81ab24,MonSelEvent_FW
0xff81ab5c,exec_FW
0xff81b558,RotateConsoleZOder_FW
0xff81b600,CPrintf_FW
0xff81b664,CPutChar_FW
0xff81b698,GetCh_FW
0xff81b6fc,GetStringWithPrompt_FW
0xff81b780,OpenConsole_FW
0xff81b8cc,CloseConsole_FW
0xff81f61c,CreateEventFlag
0xff81f728,DeleteEventFlag
0xff81f908,CheckAnyEventFlag
0xff81f918,CheckAllEventFlag
0xff81f9b8,WaitForEventFlag
0xff81fb5c,WaitForAnyEventFlag
0xff81fb6c,WaitForAllEventFlag
0xff81fb7c,SetEventFlag
0xff81fd18,ClearEventFlag
0xff81fd68,GetEventFlagValue
0xff81fef8,RegisterInterruptHandler
0xff81ff1c,UnregisterInterruptHandler
0xff81ff34,GetSRAndDisableInterrupt
0xff81ff40,SetSR
0xff81ff60,EnableInterrupt
0xff81ffa0,CreateMessageQueue
0xff8200f0,DeleteMessageQueue
0xff82032c,ReceiveMessageQueue
0xff8205a0,TryReceiveMessageQueue
0xff820744,PostMessageQueue
0xff82096c,TryPostMessageQueue
0xff820a98,GetNumberOfPostedMessages
0xff820b18,CreateBinarySemaphore
0xff820c00,CreateCountingSemaphore
0xff820c00,CreateCountingSemaphore_FW
0xff820d0c,DeleteSemaphore
0xff820d0c,DeleteSemaphore_FW
0xff820f18,TakeSemaphore
0xff820f18,TakeSemaphore_FW
0xff82109c,TryTakeSemaphore
0xff821100,GiveSemaphore
0xff821100,GiveSemaphore_FW
0xff8211d4,GetSemaphoreValue
0xff82141c,SleepTask
0xff82141c,SleepTask_FW
0xff821508,CreateTask
0xff821508,CreateTask_FW
0xff8218c8,ExitTask
0xff8218c8,ExitTask_FW
0xff822344,CreateRecursiveLock
0xff822460,DeleteRecursiveLock
0xff822538,AcquireRecursiveLock
0xff822660,ReleaseRecursiveLock
0xff822670,CreateTaskStrictly
0xff8226b0,CreateMessageQueueStrictly
0xff8226dc,CreateEventFlagStrictly
0xff822708,CreateBinarySemaphoreStrictly
0xff822734,CreateCountingSemaphoreStrictly
0xff822760,CreateRecursiveLockStrictly
0xff822ab8,Restart
0xff822bb8,WriteToRom_FW
0xff822c90,EraseSectorOfRom_FW
0xff824360,SetPropertyCase
0xff82447c,GetPropertyCase
0xff82647c,kbd_p1_f
0xff826488,kbd_p1_f_cont
0xff826548,kbd_read_keys
0xff826860,kbd_p2_f
0xff827260,kbd_read_keys_r2
0xff8276dc,GetKbdState
0xff828f1c,GetAdChValue_FW
0xff828f5c,GetAdVBattBottom_FW
0xff82a030,SetBattCheckMode_FW
0xff82a0b8,ShowBattCheckMode_FW
0xff82a158,ShowBattChkAdj_FW
0xff82a508,GetLBOffset_FW
0xff82a518,LowBat_Result_Print_On_FW
0xff82a530,LowBat_Result_Print_Off_FW
0xff82a544,BatVoltageToAd_FW
