0xff811e34,wrapped_malloc
0xff812278,printclock_FW
0xff81237c,StopClockSaver_FW
0xff812398,SetLClk72MHz_FW
0xff8123a8,SetLClk36MHz_FW
0xff8123b8,SetLClk18MHz_FW
0xff812498,SetHClk72MHz_FW
0xff8124f4,SetHClk36MHz_FW
0xff812528,SetHClk18MHz_FW
0xff812584,SetMClk72MHz_FW
0xff8125e0,SetMClk36MHz_FW
0xff812614,SetMClk18MHz_FW
0xff8136ec,_GetSystemTime
0xff813840,SetTimerAfter
0xff8138dc,SetTimerWhen
0xff813954,CancelTimer
0xff81415c,SetHPTimerAfterNow
0xff8141e8,SetHPTimerAfterTimeout
0xff814644,CancelHPTimer
0xff81494c,RegisterEventProcedure_FW
0xff814a58,ExecuteEventProcedure
0xff814a58,ExecuteEventProcedure_FW
0xff8153c0,ExportToEventProcedure_FW
0xff8153d8,CreateProxyOfEventProcedure_FW
0xff815460,DeleteProxyOfEventProcedure_FW
0xff8158a4,LogCameraEvent
0xff815974,PutsCameraLogEvent_FW
0xff815a7c,ShowCameraLogInfo_FW
0xff815b20,ShowCameraLog_FW
0xff815e00,StopCameraLog_FW
0xff817d38,StartWDT_FW
0xff817db4,StopWDT_FW
0xff817f28,GetBuildDate_FW
0xff817f40,GetBuildTime_FW
0xff817f64,GetFirmwareVersion_FW
0xff81810c,RomCheckSum_FW
0xff8181a0,CheckSumAll_FW
0xff818348,SystemEventDelete_FW
0xff818464,Dump_FW
0xff818640,Dump32_FW
0xff818650,FreeMemory
0xff818650,FreeMemory_FW
0xff818664,AllocateMemory
0xff818664,AllocateMemory_FW
0xff818674,Wait_FW
0xff818688,Poke32_FW
0xff81869c,Poke16_FW
0xff8186b0,Poke8_FW
0xff8186c4,Peek32_FW
0xff8186d0,Peek16_FW
0xff8186e4,Peek8_FW
0xff8186f8,EraseSignature_FW
0xff818728,GetSystemTime_FW
0xff818748,MonSelEvent_FW
0xff818780,exec_FW
0xff8191ac,RotateConsoleZOder_FW
0xff819254,CPrintf_FW
0xff8192b8,CPutChar_FW
0xff8192ec,GetCh_FW
0xff819350,GetStringWithPrompt_FW
0xff8193d4,OpenConsole_FW
0xff81951c,CloseConsole_FW
0xff81bb60,SetPropertyCase
0xff81c930,MakeBootDisk_FW
0xff81c944,MakeScriptDisk_FW
0xff81d4c0,StartUARTRedirect_FW
0xff81d4d8,StopUARTRedirect_FW
0xff81d528,ExMem.AllocUncacheable_FW
0xff81d540,ExMem.FreeUncacheable_FW
0xff81d554,ExMem.AllocCacheable_FW
0xff81d56c,ExMem.FreeCacheable_FW
0xff81e500,exmem_free
0xff81e5a4,AllocateUncacheableMemory
0xff81f060,UI_ShowStateOfRecMode_FW
0xff81f1d8,UIFS_SetDialStillRec_FW
0xff81f1e8,UIFS_SetDialMovieRec_FW
0xff81f1f8,UIFS_SetDialPlay_FW
0xff81f208,UIFS_OpenPopupStrobe_FW
0xff81f23c,UIFS_ClosePopupStrobe_FW
0xff81f270,UIFS_MountExtFlash_FW
0xff81f2a4,UIFS_UnmountExtFlash_FW
0xff81f2d8,UIFS_PressTeleButton_FW
0xff81f30c,UIFS_PressWideButton_FW
0xff81f33c,ModeLevelStillRecForScript_FW
0xff81f348,ModeLevelMovieRecForScript_FW
0xff81f354,ModeLevelPlayForScript_FW
0xff81f360,UIFS_StopPostingUIEvent_FW
0xff81f36c,UIFS_RestartPostingUIEvent_FW
0xff81f378,UIFS_SetCaptureModeToP_FW
0xff81f3b4,UIFS_SetCaptureModeToM_FW
0xff81f3f0,UIFS_SetCaptureModeToMacro_FW
0xff81f404,UIFS_Capture_FW
0xff81f414,UIFS_CaptureNoneStop_FW
0xff81f420,UIFS_StartMovieRecord_FW
0xff81f42c,UIFS_StopMovieRecord_FW
0xff81f438,UIFS_SetCradleSetting_FW
0xff824c18,ExecuteResetFactoryWithRomWrite_FW
0xff828fc4,SetCurrentCaptureModeType
0xff828fc4,SetCurrentCaptureModeType_FW
0xff829014,GetCurrentCaptureModeType_FW
0xff8418b4,StartSwitchViewFinder_FW
0xff841908,StopSwitchViewFinder_FW
0xff841934,SwitchViewFinder_FW
0xff8462a4,TurnOnBackLight
0xff8462d4,TurnOffBackLight
0xff887d60,CreatePlayMyColController_FW
0xff887db0,DeletePlayMyColController_FW
0xff893f0c,TerminateDpofUI_FW
0xff898548,StartDpofPlayLoading_FW
0xff898734,StopDpofPlayLoading_FW
0xff89875c,SyncStopDpofPlayLoading_FW
0xff89b87c,StartRecModeMenu
0xff8a635c,ShutdownRecAllMenu_FW
0xff8a63d4,ShutdownPlayAllMenu_FW
0xff8b2380,FmtMenu_ExecuteQuickFormat_FW
0xff8bdff8,StartDtConfirmMenu_FW
0xff8be0d8,StoptDtConfirmMenu_FW
0xff8be8a0,StartDtExecuteMenu_FW
0xff8be9e8,StoptDtExecuteMenu_FW
0xff8c1fac,StartDpConnect_FW
0xff8c2224,StopDpConnect_FW
0xff8c2618,CreateDpConnectController_FW
0xff8c288c,DeleteDpConnectController_FW
0xff8c2994,shutdownDirectPrintUI_FW
0xff8cc954,StartDpsDpofMenu_FW
0xff8d302c,StartDpsMainMenu_FW
0xff8d8ccc,StartDpsStop_FW
0xff8e15fc,DBG_changeTraceLevel_FW
0xff8e17ec,StartDpMovieMenu_FW
0xff8e54f8,StartClockMode_FW
0xff8e5710,EndClockMode_FW
0xff8f9334,UiMemory_Show_FW
0xff8ff8b4,LCDMsg_Initialize_FW
0xff8ffbf8,LCDMsg_SetStr_FW
0xff8ffd6c,LCDMsg_SetXPos_FW
0xff8ffd8c,LCDMsg_SetYPos_FW
0xff8ffdac,LCDMsg_DispSw_FW
0xff900e7c,CreateDialogBox_FW
0xff901078,DeleteDialogBox_FW
0xff90111c,MoveViewPortPosition_FW
0xff901180,ResizeVirtualWindow_FW
0xff9011ac,MoveDialogBoxPosition_FW
0xff90124c,ResizeDialogBox_FW
0xff901298,DeleteDialogBoxAfterGetTopOfControl_FW
0xff9012bc,SetPropertyToDialogItemWithID_FW
0xff9012ec,GetPropertyFromDialogItemWithID_FW
0xff901384,AddItemToDialogBox_FW
0xff901458,DeleteItemFromDialogBox_FW
0xff901544,SetFocusDirectionToDialogItem_FW
0xff901554,SetFocusItemToDialogItem_FW
0xff901668,GetFocusedItemIDOfDialogItem_FW
0xff9016a0,GetItemHandleOfDialogBox_FW
0xff901740,DisplayDialogBox_FW
0xff901768,UndisplayDialogBox_FW
0xff901790,SetBackgroundColorToDialogBox_FW
0xff9017e4,RefreshRectangleToDialog_FW
0xff90186c,RegisterRefreshToDialog_FW
0xff901930,RefreshRegistedRectangleToDialog_FW
0xff9019a4,FillRectangleToDialog_FW
0xff901a04,DrawStringToDialog_FW
0xff901a64,TransferRectangleToDialog_FW
0xff901ad4,TransferBitmapToDialog_FW
0xff901b54,DrawBinaryBitmapToDialog_FW
0xff901bbc,GetDialogBoxWindow_FW
0xff901bfc,SetFocusScopeToDialog_FW
0xff901c6c,GetFocusScopeToDialog_FW
0xff901cb8,MoveDialogControllerToTopOfZOrder_FW
0xff901cdc,MoveDialogItemPositionToDialog_FW
0xff901d10,ResizeDialogItemToDialog_FW
0xff901d44,GetDialogItemPositionToDialog_FW
