0xff814f64,_GetSystemTime
0xffabff3c,_log
0xffac05e4,_log10
0xffac0ad4,_pow
0xffac4e20,_sqrt
0xff8234c0,AcquireRecursiveLock
0xff96a2a8,AddItemToDialogBox_FW
0xff81b33c,AllocateMemory
0xff81b33c,AllocateMemory_FW
0xff814d2c,AllocateUncacheableMemory
0xff8acabc,apex2us
0xff82b38c,BatVoltageToAd_FW
0xff815e28,CancelHPTimer
0xff8151cc,CancelTimer
0xff8a2030,Capture.Delete_FW
0xff820484,CheckAllEventFlag
0xff820474,CheckAnyEventFlag
0xff81af38,CheckSumAll_FW
0xff820884,ClearEventFlag
0xff86fb10,Close
0xffad39bc,close
0xff86fb10,Close_FW
0xff81c334,CloseConsole_FW
0xffacf95c,closedir
0xff96b6bc,ControlEventHandler_FW
0xff81c068,CPrintf_FW
0xff81c0cc,CPutChar_FW
0xff821690,CreateBinarySemaphore
0xff823710,CreateBinarySemaphoreStrictly
0xff9594bc,CreateController_FW
0xff821778,CreateCountingSemaphore
0xff821778,CreateCountingSemaphore_FW
0xff82373c,CreateCountingSemaphoreStrictly
0xff969e2c,CreateDialogBox_FW
0xff96b4b4,CreateDialogItem_FW
0xffa0a0a0,CreateDpConnectController_FW
0xff820188,CreateEventFlag
0xff8236e4,CreateEventFlagStrictly
0xff820b18,CreateMessageQueue
0xff8236b8,CreateMessageQueueStrictly
0xff817630,CreateProxyOfEventProcedure_FW
0xff8232cc,CreateRecursiveLock
0xff823768,CreateRecursiveLockStrictly
0xff822274,CreateTask
0xff822274,CreateTask_FW
0xff823678,CreateTaskStrictly
0xffa218d8,DBG_changeTraceLevel_FW
0xff813bfc,DebugAssert
0xff959574,DeleteController_FW
0xff96a034,DeleteDialogBox_FW
0xff96a1bc,DeleteDialogBoxAfterGetTopOfControl_FW
0xff96b5a4,DeleteDialogItem_FW
0xffa0a2f0,DeleteDpConnectController_FW
0xff820294,DeleteEventFlag
0xff8689f4,DeleteFile_Fut
0xff96a37c,DeleteItemFromDialogBox_FW
0xff820c68,DeleteMessageQueue
0xff96edd8,DeletePalette_FW
0xff8176b8,DeleteProxyOfEventProcedure_FW
0xff8233e8,DeleteRecursiveLock
0xff821884,DeleteSemaphore
0xff821884,DeleteSemaphore_FW
0xff9601b8,DisableAutoShutdown_FW
0xff8cbfa8,DisableOBClampField_FW
0xff975ccc,DisableRefreshPhysicalScreen_FW
0xff923138,DispCon_ShowBitmapColorBar
0xff96a858,DisplayDialogBox_FW
0xff94ae54,DoAFLock
0xff96ac6c,DrawBinaryBitmapToDialog_FW
0xff96b624,DrawDialogItem_FW
0xff96ab1c,DrawStringToDialog_FW
0xff81b214,Dump32_FW
0xff9601d0,EnableAutoShutdown_FW
0xff820acc,EnableInterrupt
0xff8cbf90,EnableOBClampField_FW
0xff975cb8,EnableRefreshPhysicalScreen_FW
0xff881018,EngDrvBits
0xff880ffc,EngDrvIn
0xff880fe4,EngDrvOut
0xff881004,EngDrvRead
0xff8a1e94,EngineDriver.Delete_FW
0xffab8e88,EraseLogSector_FW
0xff823ca4,EraseSectorOfRom_FW
0xff81b420,EraseSignature_FW
0xffad0128,errnoOfTaskGet
0xff81b4a8,exec_FW
0xff816c44,ExecuteEventProcedure
0xff816c44,ExecuteEventProcedure_FW
0xffab0cb0,ExecuteFirmUpgrade_FW
0xff98874c,ExecuteResetFactoryWithRomWrite_FW
0xff822634,ExitTask
0xff822634,ExitTask_FW
0xff81295c,exmem_alloc
0xff816e60,ExportToEventProcedure_FW
0xffa850b4,FA.Delete_FW
0xff868b34,Fclose_Fut
0xff868b34,Fclose_Fut_FW
0xff868d48,Feof_Fut
0xff868d80,Fflush_Fut
0xff868cb8,Fgets_Fut
0xff96aabc,FillRectangleToDialog_FW
0xffa03250,FmtMenu_ExecuteQuickFormat_FW
0xff868af8,Fopen_Fut
0xff868af8,Fopen_Fut_FW
0xff868c18,Fread_Fut
0xff868c18,Fread_Fut_FW
0xff81b328,FreeMemory
0xff81b328,FreeMemory_FW
0xff814d60,FreeUncacheableMemory
0xff868d00,Fseek_Fut
0xff868d00,Fseek_Fut_FW
0xff868c68,Fwrite_Fut
0xff868c68,Fwrite_Fut_FW
0xff829c70,GetAdChValue_FW
0xff829cb0,GetAdVBattBottom_FW
0xff96b894,GetAttributeFromDialogItem_FW
0xff82d5ac,GetBatteryTemperature
0xff81ad80,GetBuildDate_FW
0xff81ad98,GetBuildTime_FW
0xff82d598,GetCCDTemperature
0xff81c100,GetCh_FW
0xffa8b154,GetCurrentAvValue
0xff98ce48,GetCurrentCaptureModeType_FW
0xffa8b0fc,GetCurrentTargetDistance
0xff96acd4,GetDialogBoxWindow_FW
0xff96b9f4,GetDialogItemPosition_FW
0xff96af70,GetDialogItemPositionToDialog_FW
0xff96ba74,GetDialogItemResolution_FW
0xff96afa4,GetDialogItemResolutionToDialog_FW
0xff86f2ec,GetDrive_ClusterSize
0xff86f364,GetDrive_FreeClusters
0xff86f328,GetDrive_TotalClusters
