0xffaa673c,_dadd
0xffaa70f0,_dcmp
0xffaa7378,_dcmp_reverse
0xffaa69e4,_ddiv
0xffaa6f7c,_dfix
0xffaa702c,_dfixu
0xffaa70b4,_dflt
0xffaa70e4,_dfltu
0xffaa4e28,_divmod_signed_int
0xffaa663c,_divmod_unsigned_int
0xffaa7178,_dmul
0xffaa7418,_drsb
0xffaa75dc,_dsub
0xffaa7990,_f2d
0xffaa7b3c,_fdiv
0xffaa7d60,_ffix
0xffaa7dd4,_ffixu
0xffaa7e34,_fflt
0xffaa7e68,_ffltu
0xffaa7e70,_fmul
0xff8288d0,_GetSystemTime
0xffaa6048,_log
0xffaa4f8c,_log10
0xffaa50fc,_pow
0xffaa5f8c,_safe_sqrt
0xffaa82fc,_scalbn
0xffaa7468,_sqrt
0xff81ce68,_uartr_req
0xffa79458,AbortAEIntegralValue_FW
0xff828168,AcquireRecursiveLock
0xff81bd7c,AcquireRecursiveLockStrictly
0xff8fbbd8,ActivateAdjLog_FW
0xff9ced38,ActivateImager_FW
0xff9cedc4,ActivateImagerXOne_FW
0xff9dab04,add_ptp_handler
0xff9a6c54,add_ui_to_dialog
0xff84788c,AddAdjDataToFRom_FW
0xffa27788,AdditionAgentRAM_FW
0xff9f36d8,AddTransparentMemory_FW
0xffa7f3d8,AdjAEWithAperturePriority_FW
0xffa7f394,AfAEWithAperturePriority_FW
0xffa7f584,AfAEWithCompensation_FW
0xff9b0544,AFTool.GetEVal_FW
0xffa26fec,AllocateMemory
0xffa26fec,AllocateMemory_FW
0xff828630,AllocateUncacheableMemory
0xff9ac134,apex2us
0xff892014,atol_FW
0xffa79f2c,AttachIntegCrawData_FW
0xff9f3710,AttachToTransparentMemory_FW
0xff841644,Bat_Calc_FW
0xffa80930,Bat_Save_FW
0xffa8091c,Bat_VIN_FW
0xff841c60,BeepDrive_FW
0xffa7b54c,CalcLog10
0xffa7b588,CalcLog10_FW
0xff841644,CalculateBatSenseOffset_FW
0xffa7b528,CalculateLog2ToApex_FW
0xffa7b4ec,CalculatePeakFromLeastSquareResult_FW
0xffa7b53c,CalculatePow2FromApex_FW
0xffa7f1b0,CancelAdj_AEMode_FW
0xffa7a640,CancelAdjCdsMode_FW
0xffa7d678,CancelBPFilterForBP_FW
0xffa7eb0c,CancelExStrobeMode_FW
0xffa23094,CancelFocusLensMaxSpeedLimit_FW
0xff8686bc,CancelHPTimer
0xff9cef1c,CancelImager_FW
0xff828aec,CancelTimer
0xff938368,Capture.Create_FW
0xffa7a3e0,ChangeAdjImgDrvMode_FW
0xffa7a40c,ChangeAEIntegDrvTypeToAdjImgDriveType_FW
0xffa2324c,ChangeFocusDistanceToPosition_FW
0xff9c6588,ChangeGradeTable_FW
0xff9cefc0,ChangeImagerToAlternateDraft_FW
0xff9cefb8,ChangeImagerToDigiconMode_FW
0xff9cef80,ChangeImagerToFocusJet_FW
0xff9cefa8,ChangeImagerToHoneyFlash_FW
0xff9cef98,ChangeImagerToJetDraft_FW
0xff9cefa0,ChangeImagerToJumboDraft_FW
0xff9cef88,ChangeImagerToMangoPudding_FW
0xff9cefb0,ChangeImagerToMillefeAdjust_FW
0xff9cefd8,ChangeImagerToMontblancMillefe_FW
0xff9cefd0,ChangeImagerToMontblancWhole_FW
0xff9cefb8,ChangeImagerToOITA_XAVIER_FW
0xff9cef90,ChangeImagerToSuperWideDraft_FW
0xff9cefc8,ChangeImagerToUltraGhostQ_FW
0xff9cef40,ChangeImagerToWholeParallel_FW
0xff9cef5c,ChangeImagerToWholeParallelBP_FW
0xff9cef78,ChangeImagerToWideDraft_FW
0xff858448,ChangeToISCloseControl_FW
0xffa7eb48,ChargeStrobe_FW
0xffa7eb7c,ChargeStrobeForFA_FW
0xff827a1c,CheckAllEventFlag
0xff8279d4,CheckAnyEventFlag
0xff86bcfc,CheckSumAll_FW
0xff84610c,ClearDUIDFixFlag_FW
0xff827c04,ClearEventFlag
0xff846020,ClearFactoryMode_FW
0xff8586d4,ClearISCalcZData_FW
0xffa23f5c,ClearISIComponent_FW
0xffa23f80,ClearISZData_FW
0xffa93d08,ClearPMByFs_FW
0xffa93ca4,ClearPMByGpio_FW
0xff823e54,Close
0xff819f74,close
0xff823e54,Close_FW
0xff81c96c,CloseConsole_FW
0xffa0c20c,closedir
0xffa23690,CloseMechaShutter_FW
0xffa236d8,CloseMechaShutterWithTiming_FW
0xffa7ab8c,CloseMShutter_FW
0xff8c9eb0,COMFACHK_GetTransferTime_FW
0xff8c9f10,COMFACHK_SetSendDataSize_FW
0xff8c9e10,COMFACHK_StartSendData_FW
0xff8c9e4c,COMFACHK_StartSendLargeData_FW
0xff8c9d20,COMFACHK_StartService_FW
0xff8c9d70,COMFACHK_StopService_FW
0xffa7a37c,ConvertAdjImgDrvModeToAdjImgDriveType_FW
0xffa7a330,ConvertAEIntegDrvTypeToAdjImgDriveType_FW
0xffa7b5e0,ConvertApexStdToApex_FW
0xffa7b5b0,ConvertApexToApexStd_FW
0xffa7bb34,ConvertCxCyToWBGain_FW
0xffa7c4a0,ConvertToPositionWithDistanceAndZoomPoint_FW
0xffa7a764,ConvertTvToExposureTime_FW
0xff81c6d0,CPrintf_FW
0xff81c72c,CPutChar_FW
0xff847314,CreateAdjustmentTableMirror_FW
0xff81b608,CreateBinarySemaphore
0xff81bc34,CreateBinarySemaphoreStrictly
0xff872748,CreateController_FW
0xff81b670,CreateCountingSemaphore
0xff81b670,CreateCountingSemaphore_FW
0xff81bc58,CreateCountingSemaphoreStrictly
0xff9a4bc8,CreateDialogBox
0xff82792c,CreateEventFlag
0xff81bc10,CreateEventFlagStrictly
0xff8fb5cc,CreateFADBGSingalID_FW
0xffa825e0,CreateJumptable
0xff94f8c4,CreateLanguageMenu_FW
0xff827d40,CreateMessageQueue
0xff81bbec,CreateMessageQueueStrictly
0xff869bc4,CreateProxyOfEventProcedure_FW
0xff8280c8,CreateRecursiveLock
0xff81bc7c,CreateRecursiveLockStrictly
0xff81b8e0,CreateTask
0xff81b8e0,CreateTask_FW
0xff81bbb8,CreateTaskStrictly
0xff81bdb8,DebugAssert
0xff872804,DeleteController_FW
0xff8237e4,DeleteDirectory_Fut
0xff827984,DeleteEventFlag
0xff823700,DeleteFile_Fut
0xff94f480,DeleteLanguageMenu_FW
0xff827dc4,DeleteMessageQueue
0xff869c1c,DeleteProxyOfEventProcedure_FW
0xff828118,DeleteRecursiveLock
0xff81b6c8,DeleteSemaphore
0xff81b6c8,DeleteSemaphore_FW
0xffa81fb0,DevelopStillPicture_FW
0xff9c734c,DevelopTool.DevelopTest_FW
0xff8fb340,DeviceUniqueIDCheckSum_FW
0xff8fe294,DisableDebugLogMode_FW
0xffa230f0,DisableFocusLens_FW
0xffa23170,DisableFocusLensGainLock_FW
0xffa2319c,DisableFocusLensWaveLock_FW
0xffa23564,DisableFocusPiCircuit_FW
0xffa23544,DisableMechaCircuit_FW
0xffa235ac,DisableZoomEncoderCircuit_FW
0xffa23848,DisableZoomLensEncoderPowerControl_FW
0xffa23588,DisableZoomPiCircuit_FW
0xff83ec90,DispCon_GetLcdGainAdjParameter_FW
0xff83ead8,DispCon_GetVideoAdjParameter_FW
0xff83ed04,DispCon_SaveLcdGainAdjParameter_FW
0xff83eb38,DispCon_SaveVideoAdjParameter_FW
0xff83e9ac,DispCon_SetDisplayType_FW
0xff83ebb0,DispCon_SetLcdGainAdjParameter_FW
0xff83e9ec,DispCon_SetMaxBackLightBrightness_FW
0xff83ea78,DispCon_SetVideoAdjParameter_FW
0xff83e8e8,DispCon_ShowBitmapColorBar
0xff83e8e8,DispCon_ShowBitmapColorBar_FW
0xff83e8cc,DispCon_ShowBlackChart_FW
0xff83e758,DispCon_ShowColorBar_FW
0xff83e948,DispCon_ShowCustomColorBar_FW
0xff83e7b4,DispCon_ShowFiveStep_FW
0xff83ece0,DispCon_ShowLcdGainAdjParameter_FW
0xff83eb20,DispCon_ShowVideoAdjParameter_FW
0xff83e894,DispCon_ShowWhiteChart_FW
0xff83e9dc,DispCon_TurnOffDisplay_FW
0xff83e9cc,DispCon_TurnOnDisplay_FW
0xff9382f8,DispDev.Create_FW
0xff936670,DispDev_EnableEventProc_FW
0xff881c80,DisplayBusyOnScreen
0xff9a5380,DisplayDialogBox
0xff845e60,DisplayFactoryMode_FW
0xff82603c,DoAELock
0xff825c4c,DoAFLock
0xff936760,Driver.Create_FW
0xff936760,Driver_EnableEventProc_FW
0xff814e1c,drysh_FW
0xff9369a4,Dump32_FW
0xff936994,Dump_FW
0xff8471cc,DumpAdjMirror_FW
0xff9f3698,DumpTransparentMemoryItem_FW
0xff8bd888,E2LatOn_FW
0xff9cd9b4,EF.AdjPreFlash_FW
0xff8bae5c,EF.IsChargeFull_FW
0xff9cd9f8,EF.SetChargeMode_FW
0xff9cd8c4,EF.SetEFChargeTimeOut_FW
0xff9cda0c,EF.SetFlashTime_FW
0xff9cd99c,EF.SetMainFlashTime_FW
0xff9cd864,EF.StartEFCharge_FW
0xff9cd914,EF.StartInternalMainFlash_FW
0xff9cd8d8,EF.StartInternalPreFlash_FW
0xff9cd8b4,EF.StopEFCharge_FW
0xff8fe280,EnableDebugLogMode_FW
0xffa230a4,EnableFocusLens_FW
0xffa2313c,EnableFocusLensGainLockWithVoltage_FW
0xffa23180,EnableFocusLensWaveLock_FW
0xffa23554,EnableFocusPiCircuit_FW
0xff81b600,EnableInterrupt
0xffa23534,EnableMechaCircuit_FW
0xffa2359c,EnableZoomEncoderCircuit_FW
0xffa23838,EnableZoomLensEncoderPowerControl_FW
0xffa23578,EnableZoomPiCircuit_FW
0xff937748,EndClockMode_FW
