0x000b9c74,task_AdditionAgent
0xff810bd0,memShow_FW
0xff8121a8,get_self_task_id
0xff81339c,get_task_properties
0xff813794,get_self_task_errno_pointer
0xff8139c4,malloc
0xff813a98,free
0xff813b78,realloc
0xff813c40,GetMemInfo
0xff814e1c,drysh_FW
0xff814e98,err_init_task
0xff8150b4,task_ClockSave
0xff819dfc,open
0xff819eac,close
0xff81a094,Read
0xff81a094,Read_FW
0xff81b4d8,RegisterInterruptHandler
0xff81b4fc,UnregisterInterruptHandler
0xff81b514,GetSRAndDisableInterrupt
0xff81b518,SetSR
0xff81b538,EnableInterrupt
0xff81b540,CreateBinarySemaphore
0xff81b5a8,CreateCountingSemaphore
0xff81b5a8,CreateCountingSemaphore_FW
0xff81b600,DeleteSemaphore
0xff81b600,DeleteSemaphore_FW
0xff81b658,TryTakeSemaphore
0xff81b6ac,TakeSemaphore
0xff81b6ac,TakeSemaphore_FW
0xff81b77c,GiveSemaphore
0xff81b77c,GiveSemaphore_FW
0xff81b7b4,GetSemaphoreValue
0xff81b818,CreateTask
0xff81b818,CreateTask_FW
0xff81baa8,ExitTask
0xff81baa8,ExitTask_FW
0xff81baf0,CreateTaskStrictly
0xff81bb24,CreateMessageQueueStrictly
0xff81bb48,CreateEventFlagStrictly
0xff81bb6c,CreateBinarySemaphoreStrictly
0xff81bb90,CreateCountingSemaphoreStrictly
0xff81bbb4,CreateRecursiveLockStrictly
0xff81bbd8,TakeSemaphoreStrictly
0xff81bc04,ReceiveMessageQueueStrictly
0xff81bc30,PostMessageQueueStrictly
0xff81bc5c,WaitForAnyEventFlagStrictly
0xff81bc88,WaitForAllEventFlagStrictly
0xff81bcb4,AcquireRecursiveLockStrictly
0xff81bcf8,DebugAssert,(stubs_entry_2.s)
0xff81bdd0,task_ConsoleSvr
0xff81c3f8,RotateConsoleZOder_FW
0xff81c488,task_LowConsole
0xff81c608,CPrintf_FW
0xff81c664,CPutChar_FW
0xff81c690,GetCh_FW
0xff81c6e0,GetStringWithPrompt_FW
0xff81c740,OpenConsole_FW
0xff81c8a4,CloseConsole_FW
0xff81cc60,task_Startup
0xff81cda0,_uartr_req
0xff81ce30,task_UartLog
0xff81cf84,StartRedirectUART_FW
0xff81d700,sprintf_FW
0xff81d744,vsprintf
0xff81d7c4,strcpy
0xff81d7c4,strcpy_FW
0xff81d7dc,j_strcmp_FW
0xff81d7dc,strcmp
0xff81d804,strcmp_FW
0xff81d820,strlen
0xff81d820,strlen_FW
0xff81d844,memcmp
0xff81d844,memcmp_FW
0xff81d940,srand
0xff81d94c,rand
0xff82071c,GetVBatVoltage_FW
0xff82071c,VbattGet
0xff82071c,VbattGet_FW
0xff820904,task_TempCheck
0xff821770,kbd_p2_f
0xff821acc,task_PhySw
0xff821cdc,GetSwitchStatus_FW
0xff821e0c,GetSDDetect_FW
0xff821e14,GetSDProtect
0xff821e14,GetSDProtect_FW
0xff821e30,GetDialEventId_FW
0xff821e34,kbd_read_keys
0xff821f38,kbd_p1_f
0xff821f44,kbd_p1_f_cont
0xff822d58,EngDrvOut
0xff822d70,EngDrvIn
0xff822d78,EngDrvRead
0xff822d8c,EngDrvBits
0xff8235e4,RenameFile_Fut
0xff823638,DeleteFile_Fut
0xff8236ac,MakeDirectory_Fut
0xff82371c,DeleteDirectory_Fut
0xff823774,Fopen_Fut
0xff823774,Fopen_Fut_FW
0xff8237b4,Fclose_Fut
0xff8237b4,Fclose_Fut_FW
0xff823860,Fread_Fut
0xff823860,Fread_Fut_FW
0xff8238b4,Fwrite_Fut
0xff8238b4,Fwrite_Fut_FW
0xff823908,Fgets_Fut
0xff823954,Fseek_Fut
0xff823954,Fseek_Fut_FW
0xff8239a0,Feof_Fut
0xff8239dc,Fflush_Fut
0xff823d64,Open
0xff823d64,Open_FW
0xff823d8c,Close
0xff823d8c,Close_FW
0xff823e34,j_Read_FW
0xff823e38,Write
0xff823e38,Write_FW
0xff823ecc,Lseek
0xff823ecc,lseek
0xff823ecc,Lseek_FW
0xff823f94,j_Lseek_FW
0xff823f98,stat
0xff824068,SetFileTimeStamp
0xff8240b8,SetFileAttributes
0xff824130,mkdir
0xff82445c,j_StartCameraLog_FW
0xff824460,j_ShowCameraLog_FW
0xff824464,j_ShowCameraLogInfo_FW
0xff824468,j_StopCameraLog_FW
0xff82446c,j_PutsCameraLogEvent_FW
0xff824470,OpLog.Create_FW
0xff8244ec,j_NewTaskShell_FW
0xff8244f0,j_ExMem.View_FW
0xff8244f4,j_ExMem.AllocUncacheable_FW
0xff8244f8,j_ExMem.FreeUncacheable_FW
0xff8244fc,j_ExMem.AllocCacheable_FW
0xff824500,j_ExMem.FreeCacheable_FW
0xff824504,ExMem_FW
0xff825b84,DoAFLock
0xff825bc8,UnlockAF
0xff825e80,EnterToCompensationEVF
0xff825ed0,ExitFromCompensationEVF
0xff825f74,DoAELock
0xff825fa4,UnlockAE
0xff827864,CreateEventFlag
0xff8278bc,DeleteEventFlag
0xff82790c,CheckAnyEventFlag
0xff827954,CheckAllEventFlag
0xff82799c,WaitForAnyEventFlag
0xff827a40,WaitForAllEventFlag
0xff827b08,SetEventFlag
0xff827b3c,ClearEventFlag
0xff827b74,GetEventFlagValue
0xff827c78,CreateMessageQueue
0xff827cfc,DeleteMessageQueue
0xff827d8c,ReceiveMessageQueue
0xff827e38,TryReceiveMessageQueue
0xff827eb4,PostMessageQueue
0xff827f50,TryPostMessageQueue
0xff827f90,GetNumberOfPostedMessages
0xff828000,CreateRecursiveLock
0xff828050,DeleteRecursiveLock
0xff8280a0,AcquireRecursiveLock
0xff8281a4,ReleaseRecursiveLock
0xff8283ec,SleepTask
0xff8283ec,SleepTask_FW
0xff8284bc,malloc_strictly
0xff828568,AllocateUncacheableMemory
0xff82859c,FreeUncacheableMemory
0xff828808,_GetSystemTime
0xff828940,SetTimerAfter
0xff8289c0,SetTimerWhen
0xff828a24,CancelTimer
0xff829c54,task_Bye
0xff829de0,Restart
0xff82a4c4,task_StartupImage
0xff82e0cc,strncpy
0xff82e108,strtolx
0xff82e304,strtol
0xff82e3e4,task_AFTask
0xff8329d0,ExpCtrlTool_StartContiAE
0xff832b14,ExpCtrlTool_StopContiAE
0xff834d54,task_FramePosition
0xff837804,task_ImageSensorTask
0xff83890c,SetUSBToDCPMode_FW
0xff83e6a4,DispCon_ShowColorBar_FW
0xff83e700,DispCon_ShowFiveStep_FW
0xff83e7e0,DispCon_ShowWhiteChart_FW
0xff83e818,DispCon_ShowBlackChart_FW
0xff83e834,DispCon_ShowBitmapColorBar
0xff83e834,DispCon_ShowBitmapColorBar_FW
0xff83e894,DispCon_ShowCustomColorBar_FW
0xff83e8f8,DispCon_SetDisplayType_FW
0xff83e918,DispCon_TurnOnDisplay_FW
0xff83e918,TurnOnDisplay
0xff83e928,DispCon_TurnOffDisplay_FW
0xff83e928,TurnOffDisplay
0xff83e938,DispCon_SetMaxBackLightBrightness_FW
0xff83e9c4,DispCon_SetVideoAdjParameter_FW
0xff83ea24,DispCon_GetVideoAdjParameter_FW
0xff83ea6c,DispCon_ShowVideoAdjParameter_FW
0xff83ea84,DispCon_SaveVideoAdjParameter_FW
0xff83eafc,DispCon_SetLcdGainAdjParameter_FW
0xff83ebdc,DispCon_GetLcdGainAdjParameter_FW
0xff83ec2c,DispCon_ShowLcdGainAdjParameter_FW
0xff83ec50,DispCon_SaveLcdGainAdjParameter_FW
0xff840490,GetAdVBattBottom_FW
0xff840498,GetAdChValue
0xff840498,GetAdChValue_FW
0xff841590,Bat_Calc_FW
0xff841590,CalculateBatSenseOffset_FW
0xff8417c4,task_BeepTask
0xff841bac,BeepDrive_FW
0xff841c14,task_LEDCon
0xff842174,LEDDrive
0xff842174,LEDDrive_FW
0xff842534,kbd_read_keys_r2
0xff842950,GetKbdState
0xff842984,kbd_pwr_on
0xff8429d4,kbd_pwr_off
0xff842a98,task_AudioTsk
0xff843684,TurnOnVideoOutMode_FW
0xff8436bc,TurnOffVideoOutMode_FW
0xff844780,task_ASIF
0xff844ed8,task_Thermometer
