0x000b9eb4,task_AdditionAgent
0xff810bd0,memShow_FW
0xff8121a8,get_self_task_id
0xff81339c,get_task_properties
0xff813794,get_self_task_errno_pointer
0xff8139c4,malloc
0xff813a98,free
0xff813b78,realloc
0xff813c40,GetMemInfo
0xff814e1c,drysh_FW
0xff814e98,err_init_task
0xff8150b4,task_ClockSave
0xff819dfc,open
0xff819eac,close
0xff81a094,Read
0xff81a094,Read_FW
0xff81b4d8,RegisterInterruptHandler
0xff81b4fc,UnregisterInterruptHandler
0xff81b514,GetSRAndDisableInterrupt
0xff81b518,SetSR
0xff81b538,EnableInterrupt
0xff81b540,CreateBinarySemaphore
0xff81b5a8,CreateCountingSemaphore
0xff81b5a8,CreateCountingSemaphore_FW
0xff81b600,DeleteSemaphore
0xff81b600,DeleteSemaphore_FW
0xff81b658,TryTakeSemaphore
0xff81b6ac,TakeSemaphore
0xff81b6ac,TakeSemaphore_FW
0xff81b77c,GiveSemaphore
0xff81b77c,GiveSemaphore_FW
0xff81b7b4,GetSemaphoreValue
0xff81b818,CreateTask
0xff81b818,CreateTask_FW
0xff81baa8,ExitTask
0xff81baa8,ExitTask_FW
0xff81baf0,CreateTaskStrictly
0xff81bb24,CreateMessageQueueStrictly
0xff81bb48,CreateEventFlagStrictly
0xff81bb6c,CreateBinarySemaphoreStrictly
0xff81bb90,CreateCountingSemaphoreStrictly
0xff81bbb4,CreateRecursiveLockStrictly
0xff81bbd8,TakeSemaphoreStrictly
0xff81bc04,ReceiveMessageQueueStrictly
0xff81bc30,PostMessageQueueStrictly
0xff81bc5c,WaitForAnyEventFlagStrictly
0xff81bc88,WaitForAllEventFlagStrictly
0xff81bcb4,AcquireRecursiveLockStrictly
0xff81bcf0,DebugAssert
0xff81bdd0,task_ConsoleSvr
0xff81c3f8,RotateConsoleZOder_FW
0xff81c488,task_LowConsole
0xff81c608,CPrintf_FW
0xff81c664,CPutChar_FW
0xff81c690,GetCh_FW
0xff81c6e0,GetStringWithPrompt_FW
0xff81c740,OpenConsole_FW
0xff81c8a4,CloseConsole_FW
0xff81cc60,task_Startup
0xff81cdb0,_uartr_req
0xff81ce40,task_UartLog
0xff81cf94,StartRedirectUART_FW
0xff81d710,sprintf_FW
0xff81d754,vsprintf
0xff81d7d4,strcpy
0xff81d7d4,strcpy_FW
0xff81d7ec,j_strcmp_FW
0xff81d7ec,strcmp
0xff81d814,strcmp_FW
0xff81d830,strlen
0xff81d830,strlen_FW
0xff81d854,memcmp
0xff81d854,memcmp_FW
0xff81d950,srand
0xff81d95c,rand
0xff82072c,GetVBatVoltage_FW
0xff82072c,VbattGet
0xff82072c,VbattGet_FW
0xff820914,task_TempCheck
0xff821780,kbd_p2_f
0xff821adc,task_PhySw
0xff821cf0,GetSwitchStatus_FW
0xff821e20,GetSDDetect_FW
0xff821e28,GetSDProtect
0xff821e28,GetSDProtect_FW
0xff821e44,GetDialEventId_FW
0xff821e48,kbd_read_keys
0xff821f4c,kbd_p1_f
0xff821f58,kbd_p1_f_cont
0xff822d6c,EngDrvOut
0xff822d84,EngDrvIn
0xff822d8c,EngDrvRead
0xff822da0,EngDrvBits
0xff8235f8,RenameFile_Fut
0xff82364c,DeleteFile_Fut
0xff8236c0,MakeDirectory_Fut
0xff823730,DeleteDirectory_Fut
0xff823788,Fopen_Fut
0xff823788,Fopen_Fut_FW
0xff8237c8,Fclose_Fut
0xff8237c8,Fclose_Fut_FW
0xff823874,Fread_Fut
0xff823874,Fread_Fut_FW
0xff8238c8,Fwrite_Fut
0xff8238c8,Fwrite_Fut_FW
0xff82391c,Fgets_Fut
0xff823968,Fseek_Fut
0xff823968,Fseek_Fut_FW
0xff8239b4,Feof_Fut
0xff8239f0,Fflush_Fut
0xff823d78,Open
0xff823d78,Open_FW
0xff823da0,Close
0xff823da0,Close_FW
0xff823e48,j_Read_FW
0xff823e4c,Write
0xff823e4c,Write_FW
0xff823ee0,Lseek
0xff823ee0,lseek
0xff823ee0,Lseek_FW
0xff823fa8,j_Lseek_FW
0xff823fac,stat
0xff82407c,SetFileTimeStamp
0xff8240cc,SetFileAttributes
0xff824144,mkdir
0xff824470,j_StartCameraLog_FW
0xff824474,j_ShowCameraLog_FW
0xff824478,j_ShowCameraLogInfo_FW
0xff82447c,j_StopCameraLog_FW
0xff824480,j_PutsCameraLogEvent_FW
0xff824484,OpLog.Create_FW
0xff824500,j_NewTaskShell_FW
0xff824504,j_ExMem.View_FW
0xff824508,j_ExMem.AllocUncacheable_FW
0xff82450c,j_ExMem.FreeUncacheable_FW
0xff824510,j_ExMem.AllocCacheable_FW
0xff824514,j_ExMem.FreeCacheable_FW
0xff824518,ExMem_FW
0xff825b98,DoAFLock
0xff825bdc,UnlockAF
0xff825e94,EnterToCompensationEVF
0xff825ee4,ExitFromCompensationEVF
0xff825f88,DoAELock
0xff825fb8,UnlockAE
0xff826884,MenuIn
0xff8269b4,MenuOut
0xff827878,CreateEventFlag
0xff8278d0,DeleteEventFlag
0xff827920,CheckAnyEventFlag
0xff827968,CheckAllEventFlag
0xff8279b0,WaitForAnyEventFlag
0xff827a54,WaitForAllEventFlag
0xff827b1c,SetEventFlag
0xff827b50,ClearEventFlag
0xff827b88,GetEventFlagValue
0xff827c8c,CreateMessageQueue
0xff827d10,DeleteMessageQueue
0xff827da0,ReceiveMessageQueue
0xff827e4c,TryReceiveMessageQueue
0xff827ec8,PostMessageQueue
0xff827f64,TryPostMessageQueue
0xff827fa4,GetNumberOfPostedMessages
0xff828014,CreateRecursiveLock
0xff828064,DeleteRecursiveLock
0xff8280b4,AcquireRecursiveLock
0xff8281b8,ReleaseRecursiveLock
0xff828400,SleepTask
0xff828400,SleepTask_FW
0xff8284d0,malloc_strictly
0xff82857c,AllocateUncacheableMemory
0xff8285b0,FreeUncacheableMemory
0xff82881c,_GetSystemTime
0xff828954,SetTimerAfter
0xff8289d4,SetTimerWhen
0xff828a38,CancelTimer
0xff829c68,task_Bye
0xff829df4,Restart
0xff82a4e4,task_StartupImage
0xff82e210,strncpy
0xff82e24c,strtolx
0xff82e448,strtol
0xff82e528,task_AFTask
0xff832b14,ExpCtrlTool_StartContiAE
0xff832c58,ExpCtrlTool_StopContiAE
0xff834e98,task_FramePosition
0xff836594,ImagerActivate
0xff837948,task_ImageSensorTask
0xff838a50,SetUSBToDCPMode_FW
0xff83e7e8,DispCon_ShowColorBar_FW
0xff83e844,DispCon_ShowFiveStep_FW
0xff83e924,DispCon_ShowWhiteChart_FW
0xff83e95c,DispCon_ShowBlackChart_FW
0xff83e978,DispCon_ShowBitmapColorBar
0xff83e978,DispCon_ShowBitmapColorBar_FW
0xff83e9d8,DispCon_ShowCustomColorBar_FW
0xff83ea3c,DispCon_SetDisplayType_FW
0xff83ea5c,DispCon_TurnOnDisplay_FW
0xff83ea5c,TurnOnDisplay
0xff83ea6c,DispCon_TurnOffDisplay_FW
0xff83ea6c,TurnOffDisplay
0xff83ea7c,DispCon_SetMaxBackLightBrightness_FW
0xff83eb08,DispCon_SetVideoAdjParameter_FW
0xff83eb68,DispCon_GetVideoAdjParameter_FW
0xff83ebb0,DispCon_ShowVideoAdjParameter_FW
0xff83ebc8,DispCon_SaveVideoAdjParameter_FW
0xff83ec40,DispCon_SetLcdGainAdjParameter_FW
0xff83ed20,DispCon_GetLcdGainAdjParameter_FW
0xff83ed70,DispCon_ShowLcdGainAdjParameter_FW
0xff83ed94,DispCon_SaveLcdGainAdjParameter_FW
0xff8405d4,GetAdVBattBottom_FW
0xff8405dc,GetAdChValue
0xff8405dc,GetAdChValue_FW
0xff8416d4,Bat_Calc_FW
0xff8416d4,CalculateBatSenseOffset_FW
0xff841908,task_BeepTask
0xff841cf0,BeepDrive_FW
0xff841d58,task_LEDCon
0xff8422b8,LEDDrive
0xff8422b8,LEDDrive_FW
0xff8426e0,kbd_read_keys_r2
0xff842b28,GetKbdState
0xff842b5c,kbd_pwr_on
0xff842bac,kbd_pwr_off
0xff842c84,task_JogDial
0xff842c84,task_RotaryEncoder
0xff842f18,task_AudioTsk
