0xff8136ec,_GetSystemTime
0xff91e5f4,_log
0xff91b39c,_log10
0xff91b51c,_pow
0xff91d3dc,_sqrt
0xffb24514,AcquireRecursiveLock
0xff90cbbc,AddItemToDialogBox_FW
0xff818664,AllocateMemory
0xff818664,AllocateMemory_FW
0xff81e5f4,AllocateUncacheableMemory
0xff93ce88,apex2us
0xff922d0c,atol_FW
0xffa33a10,BatVoltageToAd_FW
0xff814644,CancelHPTimer
0xff813954,CancelTimer
0xff93ab34,Capture.Delete_FW
0xffb21a2c,CheckAllEventFlag
0xffb21a1c,CheckAnyEventFlag
0xff8181a0,CheckSumAll_FW
0xffb21e2c,ClearEventFlag
0xffaf362c,ClearISIComponent_FW
0xffaf3648,ClearISZData_FW
0xffaa2fbc,Close
0xff9289c0,close
0xffaa2fbc,Close_FW
0xff81951c,CloseConsole_FW
0xffb63614,closedir
0xffaf2c38,CommunicateISCPU_FW
0xff90dd3c,ControlEventHandler_FW
0xff819254,CPrintf_FW
0xff8192b8,CPutChar_FW
0xffb22b94,CreateBinarySemaphore
0xffb246e4,CreateBinarySemaphoreStrictly
0xffb3dc14,CreateController_FW
0xffb22c7c,CreateCountingSemaphore
0xffb22c7c,CreateCountingSemaphore_FW
0xffb24710,CreateCountingSemaphoreStrictly
0xff90c6b4,CreateDialogBox_FW
0xff90db34,CreateDialogItem_FW
0xff8cca60,CreateDpConnectController_FW
0xffb21770,CreateEventFlag
0xffb246b8,CreateEventFlagStrictly
0xffb2205c,CreateMessageQueue
0xffb2468c,CreateMessageQueueStrictly
0xff890ad8,CreatePlayMyColController_FW
0xff8153d8,CreateProxyOfEventProcedure_FW
0xffb24360,CreateRecursiveLock
0xffb2473c,CreateRecursiveLockStrictly
0xffb235ac,CreateTask
0xffb235ac,CreateTask_FW
0xffb2464c,CreateTaskStrictly
0xff8ebe70,DBG_changeTraceLevel_FW
0xffb2f4f0,DebugAssert
0xffaf2cb0,DelaySet_FW
0xffb3dcd8,DeleteController_FW
0xff90c8b0,DeleteDialogBox_FW
0xff90cad0,DeleteDialogBoxAfterGetTopOfControl_FW
0xff90dc24,DeleteDialogItem_FW
0xff8cccd0,DeleteDpConnectController_FW
0xffb2187c,DeleteEventFlag
0xffa9e578,DeleteFile_Fut
0xff90cc90,DeleteItemFromDialogBox_FW
0xffb221ac,DeleteMessageQueue
0xff90f818,DeletePalette_FW
0xff890b28,DeletePlayMyColController_FW
0xff815460,DeleteProxyOfEventProcedure_FW
0xffb2447c,DeleteRecursiveLock
0xffb22d94,DeleteSemaphore
0xffb22d94,DeleteSemaphore_FW
0xffb45c4c,DisableAutoShutdown_FW
0xff9bcd90,DisableOBClampField_FW
0xff917540,DisableRefreshPhysicalScreen_FW
0xffa2c23c,DispCon_ShowBitmapColorBar
0xff90cf78,DisplayDialogBox_FW
0xffaf2c94,DMASioSet_FW
0xffb09200,DoAFLock
0xff90d38c,DrawBinaryBitmapToDialog_FW
0xff90dca4,DrawDialogItem_FW
0xff90d23c,DrawStringToDialog_FW
0xff818640,Dump32_FW
0xff818464,Dump_FW
