0xffaaf364,_dadd
0xffaafd18,_dcmp
0xffaaffa0,_dcmp_reverse
0xffaaf60c,_ddiv
0xffaafba4,_dfix
0xffaafc54,_dfixu
0xffaafcdc,_dflt
0xffaafd0c,_dfltu
0xffaada50,_divmod_signed_int
0xffaaf264,_divmod_unsigned_int
0xffaafda0,_dmul
0xffab0040,_drsb
0xffab0204,_dsub
0xffab05b8,_f2d
0xffab0764,_fdiv
0xffab0988,_ffix
0xffab09fc,_ffixu
0xffab0a5c,_fflt
0xffab0a90,_ffltu
0xffab0a98,_fmul
0xff828808,_GetSystemTime
0xffaaec70,_log
0xffaadbb4,_log10
0xffaadd24,_pow
0xffaaebb4,_safe_sqrt
0xffab0f24,_scalbn
0xffab0090,_sqrt
0xff81cda0,_uartr_req
0xffa822a4,AbortAEIntegralValue_FW
0xff8280a0,AcquireRecursiveLock
0xff81bcb4,AcquireRecursiveLockStrictly
0xff8ff234,ActivateAdjLog_FW
0xff9d5bcc,ActivateImager_FW
0xff9d5c58,ActivateImagerXOne_FW
0xff9e1a94,add_ptp_handler
0xff9ad2b0,add_ui_to_dialog
0xff847a14,AddAdjDataToFRom_FW
0xffa2eb3c,AdditionAgentRAM_FW
0xff9faa04,AddTransparentMemory_FW
0xffa8812c,AdjAEWithAperturePriority_FW
0xffa880e8,AfAEWithAperturePriority_FW
0xffa882d8,AfAEWithCompensation_FW
0xff9b6ca0,AFTool.GetEVal_FW
0xffa2e3a0,AllocateMemory
0xffa2e3a0,AllocateMemory_FW
0xff828568,AllocateUncacheableMemory
0xff9b2794,apex2us
0xff894108,atol_FW
0xffa82d84,AttachIntegCrawData_FW
0xff9faa3c,AttachToTransparentMemory_FW
0xff841484,Bat_Calc_FW
0xffa89684,Bat_Save_FW
0xffa89670,Bat_VIN_FW
0xff841aa0,BeepDrive_FW
0xffa843a0,CalcLog10
0xffa843dc,CalcLog10_FW
0xff841484,CalculateBatSenseOffset_FW
0xffa8437c,CalculateLog2ToApex_FW
0xffa84340,CalculatePeakFromLeastSquareResult_FW
0xffa84390,CalculatePow2FromApex_FW
0xffa87f04,CancelAdj_AEMode_FW
0xffa83494,CancelAdjCdsMode_FW
0xffa863dc,CancelBPFilterForBP_FW
0xffa87860,CancelExStrobeMode_FW
0xffa2a458,CancelFocusLensMaxSpeedLimit_FW
0xff8688c8,CancelHPTimer
0xff9d5db0,CancelImager_FW
0xff828a24,CancelTimer
0xff93bfb4,Capture.Create_FW
0xffa83234,ChangeAdjImgDrvMode_FW
0xffa83260,ChangeAEIntegDrvTypeToAdjImgDriveType_FW
0xffa8b110,ChangeFilterMode_FW
0xffa2a610,ChangeFocusDistanceToPosition_FW
0xff9cccbc,ChangeGradeTable_FW
0xff9d5e54,ChangeImagerToAlternateDraft_FW
0xff9d5e4c,ChangeImagerToDigiconMode_FW
