0xff811ba0,wrapped_malloc
0xff812de0,printclock_FW
0xff812ee4,StopClockSaver_FW
0xff812f00,SetLClk72MHz_FW
0xff812f10,SetLClk36MHz_FW
0xff812f20,SetLClk18MHz_FW
0xff812fc8,SetHClk72MHz_FW
0xff81300c,SetHClk36MHz_FW
0xff813034,SetHClk18MHz_FW
0xff813078,SetMClk72MHz_FW
0xff8130bc,SetMClk36MHz_FW
0xff8130e4,SetMClk18MHz_FW
0xff813bdc,DebugAssert
0xff814264,LocalTime
0xff8149e4,GetTimeOfSystem_FW
0xff814d0c,AllocateUncacheableMemory
0xff814d40,FreeUncacheableMemory
0xff815094,_GetSystemTime
0xff8151e8,SetTimerAfter
0xff815284,SetTimerWhen
0xff815438,CancelTimer
0xff815c20,SetHPTimerAfterNow
0xff815cac,SetHPTimerAfterTimeout
0xff816094,CancelHPTimer
0xff816e28,RegisterEventProcedure_FW
0xff816fac,ExecuteEventProcedure
0xff816fac,ExecuteEventProcedure_FW
0xff8171c8,ExportToEventProcedure_FW
0xff817998,CreateProxyOfEventProcedure_FW
0xff817a20,DeleteProxyOfEventProcedure_FW
0xff81854c,LogCameraEvent
0xff8185b4,PutsCameraLogEvent_FW
0xff8186bc,ShowCameraLogInfo_FW
0xff818760,ShowCameraLog_FW
0xff818a40,StopCameraLog_FW
0xff81aff8,StartWDT_FW
0xff81b074,StopWDT_FW
0xff81b220,GetBuildDate_FW
0xff81b238,GetBuildTime_FW
0xff81b25c,GetFirmwareVersion_FW
0xff81b344,RomCheckSum_FW
0xff81b3d8,CheckSumAll_FW
0xff81b594,SystemEventDelete_FW
0xff81b6b4,Dump32_FW
0xff81b7c8,FreeMemory
0xff81b7c8,FreeMemory_FW
0xff81b7dc,AllocateMemory
0xff81b7dc,AllocateMemory_FW
0xff81b7ec,Wait_FW
0xff81b800,Poke32_FW
0xff81b824,Poke16_FW
0xff81b848,Poke8_FW
0xff81b86c,Peek32_FW
0xff81b888,Peek16_FW
0xff81b8a4,Peek8_FW
0xff81b8c0,EraseSignature_FW
0xff81b8f0,GetSystemTime_FW
0xff81b910,MonSelEvent_FW
0xff81b948,exec_FW
0xff81c460,RotateConsoleZOder_FW
0xff81c508,CPrintf_FW
0xff81c56c,CPutChar_FW
0xff81c5a0,GetCh_FW
0xff81c604,GetStringWithPrompt_FW
0xff81c688,OpenConsole_FW
0xff81c7d4,CloseConsole_FW
0xff8207c0,CreateEventFlag
0xff8208cc,DeleteEventFlag
0xff820aac,CheckAnyEventFlag
0xff820abc,CheckAllEventFlag
0xff820b5c,WaitForEventFlag
0xff820d00,WaitForAnyEventFlag
0xff820d10,WaitForAllEventFlag
0xff820d20,SetEventFlag
0xff820ebc,ClearEventFlag
0xff820f0c,GetEventFlagValue
0xff82109c,RegisterInterruptHandler
0xff8210c0,UnregisterInterruptHandler
0xff8210d8,GetSRAndDisableInterrupt
0xff8210e4,SetSR
0xff821104,EnableInterrupt
0xff821150,CreateMessageQueue
0xff8212a0,DeleteMessageQueue
0xff8214dc,ReceiveMessageQueue
0xff821750,TryReceiveMessageQueue
0xff8218f4,PostMessageQueue
0xff821b1c,TryPostMessageQueue
0xff821c48,GetNumberOfPostedMessages
0xff821cc8,CreateBinarySemaphore
0xff821db0,CreateCountingSemaphore
0xff821db0,CreateCountingSemaphore_FW
0xff821ebc,DeleteSemaphore
0xff821ebc,DeleteSemaphore_FW
0xff8220c8,TakeSemaphore
0xff8220c8,TakeSemaphore_FW
0xff82224c,TryTakeSemaphore
0xff8222b0,GiveSemaphore
0xff8222b0,GiveSemaphore_FW
0xff822384,GetSemaphoreValue
0xff82270c,SleepTask
0xff82270c,SleepTask_FW
0xff8228ac,CreateTask
0xff8228ac,CreateTask_FW
0xff822c6c,ExitTask
0xff822c6c,ExitTask_FW
0xff823904,CreateRecursiveLock
0xff823a20,DeleteRecursiveLock
0xff823af8,AcquireRecursiveLock
0xff823c20,ReleaseRecursiveLock
0xff823cb0,CreateTaskStrictly
0xff823cf0,CreateMessageQueueStrictly
0xff823d1c,CreateEventFlagStrictly
0xff823d48,CreateBinarySemaphoreStrictly
0xff823d74,CreateCountingSemaphoreStrictly
0xff823da0,CreateRecursiveLockStrictly
0xff824140,Restart
0xff824240,WriteToRom_FW
0xff824324,EraseSectorOfRom_FW
0xff825a94,SetPropertyCase
0xff825bb0,GetPropertyCase
0xff827bec,kbd_p1_f
0xff827bf8,kbd_p1_f_cont
0xff827cb8,kbd_read_keys
0xff827fd0,kbd_p2_f
0xff828e44,GetKbdState
0xff828f4c,kbd_pwr_off,(stubs_entry_2.s)
0xff82a680,GetAdChValue_FW
0xff82a6c0,GetAdVBattBottom_FW
0xff82b858,SetBattCheckMode_FW
0xff82b8e0,ShowBattCheckMode_FW
0xff82b980,ShowBattChkAdj_FW
0xff82bd30,GetLBOffset_FW
0xff82bd40,LowBat_Result_Print_On_FW
0xff82bd58,LowBat_Result_Print_Off_FW
0xff82cf1c,VbattGet
0xff82cf1c,VbattGet_FW
0xff82dea0,GetOpticalTemperature
0xff82deb4,GetCCDTemperature
0xff82dec8,GetBatteryTemperature
0xff86948c,RenameFile_Fut
0xff86950c,DeleteFile_Fut
0xff869598,MakeDirectory_Fut
0xff869610,Fopen_Fut
0xff869610,Fopen_Fut_FW
0xff86964c,Fclose_Fut
0xff86964c,Fclose_Fut_FW
0xff869730,Fread_Fut
0xff869730,Fread_Fut_FW
0xff869780,Fwrite_Fut
0xff869780,Fwrite_Fut_FW
0xff8697d0,Fgets_Fut
0xff869818,Fseek_Fut
0xff869818,Fseek_Fut_FW
0xff869860,Feof_Fut
0xff869898,Fflush_Fut
0xff86f9e4,Unmount_FileSystem
0xff870600,Open
0xff870600,Open_FW
0xff870628,Close
0xff870628,Close_FW
0xff870648,Remove
0xff8706bc,Read
0xff8706bc,Read_FW
0xff8706c8,Write
0xff8706c8,write
0xff8706c8,Write_FW
0xff870710,Lseek
0xff870710,Lseek_FW
0xff870814,SetFileAttributes
0xff870844,mkdir
0xff881afc,EngDrvOut
0xff881b14,EngDrvIn
0xff881b1c,EngDrvRead
0xff881b30,EngDrvBits
0xff8a3470,EngineDriver.Delete_FW
0xff8a3538,OutPort_FW
0xff8a354c,InPort_FW
0xff8a360c,Capture.Delete_FW
0xff8aba18,apex2us
0xff8cb3c4,EnableOBClampField_FW
0xff8cb3dc,DisableOBClampField_FW
0xff8d2438,TgTool.SetSubNumber_FW
0xff8d2494,TgTool.GetSubNumber_FW
0xff8d24b8,TgTool.SetTgSubPosition_FW
0xff8d2510,TgTool.GetTgCurrentSubPosition_FW
0xff8d251c,TgTool.SetPhase_FW
0xff8d2580,TgTool.GetPhase_FW
0xff8d2598,TgTool.SetDuty_FW
0xff8d25fc,TgTool.GetDuty_FW
0xff8d2614,TgTool.SetPhaseLogical_FW
0xff8d2678,TgTool.GetPhaseLogical_FW
0xff8d2690,TgTool.SetDriveAbility_FW
0xff8d26f4,TgTool.GetDriveAbility_FW
0xff8d270c,TgTool.SetStbMode_FW
0xff8d2768,TgTool.GetStbMode_FW
0xff8d2774,TgTool.SetRegisterImage_FW
0xff8d27cc,TgTool.GetRegisterImage_FW
0xff8d2964,TgTool.StartSmoothSubNumber_FW
0xff8d29f0,TgTool.StopSmoothSubNumber_FW
0xff8d2bf4,TgTool.Delete_FW
0xff8d2ec8,VirtualImageTimeOut_FW
0xff8fc68c,IsStrobeChargeCompleted
0xff920f70,DispCon_ShowBitmapColorBar
0xff828f30,kbd_pwr_on,(stubs_entry_2.s)
0xff948b74,DoAFLock
0xff948bb4,UnlockAF
0xff948c84,EnterToCompensationEVF,(stubs_entry_2.s)
0xff948c94,ExitFromCompensationEVF,(stubs_entry_2.s)
0xff9511b8,NR_SetDarkSubType
0xff951248,NR_GetDarkSubType
0xff9557fc,PT_EraseAllFile_FW
0xff95582c,PT_mod_FW
0xff955838,PT_atoi_FW
0xff955844,PT_GetSystemTime
0xff955844,PT_GetSystemTime_FW
0xff955864,PT_SetPropertyCaseString_FW
