0xff8141dc,wrapped_malloc
0xff8154b8,printclock_FW
0xff8155bc,StopClockSaver_FW
0xff8155d8,SetLClk72MHz_FW
0xff8155e8,SetLClk36MHz_FW
0xff8155f8,SetLClk18MHz_FW
0xff8156a0,SetHClk72MHz_FW
0xff8156e4,SetHClk36MHz_FW
0xff81570c,SetHClk18MHz_FW
0xff815750,SetMClk72MHz_FW
0xff815794,SetMClk36MHz_FW
0xff8157bc,SetMClk18MHz_FW
0xff8162b4,DebugAssert
0xff81693c,LocalTime
0xff8170bc,GetTimeOfSystem_FW
0xff8173e4,AllocateUncacheableMemory
0xff817418,FreeUncacheableMemory
0xff81761c,_GetSystemTime
0xff817770,SetTimerAfter
0xff81780c,SetTimerWhen
0xff817884,CancelTimer
0xff81806c,SetHPTimerAfterNow
0xff8180f8,SetHPTimerAfterTimeout
0xff8184e0,CancelHPTimer
0xff819178,RegisterEventProcedure_FW
0xff8192fc,ExecuteEventProcedure
0xff8192fc,ExecuteEventProcedure_FW
0xff819518,ExportToEventProcedure_FW
0xff819cb0,CreateProxyOfEventProcedure_FW
0xff819d38,DeleteProxyOfEventProcedure_FW
0xff81a764,LogCameraEvent
0xff81a7cc,PutsCameraLogEvent_FW
0xff81a8d4,ShowCameraLogInfo_FW
0xff81a978,ShowCameraLog_FW
0xff81ac58,StopCameraLog_FW
0xff81ca78,StartWDT_FW
0xff81caf4,StopWDT_FW
0xff81cc68,GetBuildDate_FW
0xff81cc80,GetBuildTime_FW
0xff81cca4,GetFirmwareVersion_FW
0xff81cd90,RomCheckSum_FW
0xff81ce24,CheckSumAll_FW
0xff81cfe0,SystemEventDelete_FW
0xff81d104,Dump32_FW
0xff81d218,FreeMemory
0xff81d218,FreeMemory_FW
0xff81d22c,AllocateMemory
0xff81d22c,AllocateMemory_FW
0xff81d23c,Wait_FW
0xff81d250,Poke32_FW
0xff81d274,Poke16_FW
0xff81d298,Poke8_FW
0xff81d2bc,Peek32_FW
0xff81d2d8,Peek16_FW
0xff81d2f4,Peek8_FW
0xff81d310,EraseSignature_FW
0xff81d340,GetSystemTime_FW
0xff81d360,MonSelEvent_FW
0xff81d398,exec_FW
0xff81dd94,RotateConsoleZOder_FW
0xff81de3c,CPrintf_FW
0xff81dea0,CPutChar_FW
0xff81ded4,GetCh_FW
0xff81df38,GetStringWithPrompt_FW
0xff81dfbc,OpenConsole_FW
0xff81e108,CloseConsole_FW
0xff821e78,CreateEventFlag
0xff821f84,DeleteEventFlag
0xff822164,CheckAnyEventFlag
0xff822174,CheckAllEventFlag
0xff822214,WaitForEventFlag
0xff8223b8,WaitForAnyEventFlag
0xff8223c8,WaitForAllEventFlag
0xff8223d8,SetEventFlag
0xff822574,ClearEventFlag
0xff8225c4,GetEventFlagValue
0xff822754,RegisterInterruptHandler
0xff822778,UnregisterInterruptHandler
0xff822790,GetSRAndDisableInterrupt
0xff82279c,SetSR
0xff8227bc,EnableInterrupt
0xff8227fc,CreateMessageQueue
0xff82294c,DeleteMessageQueue
0xff822b88,ReceiveMessageQueue
0xff822dfc,TryReceiveMessageQueue
0xff822fa0,PostMessageQueue
0xff8231c8,TryPostMessageQueue
0xff8232f4,GetNumberOfPostedMessages
0xff823374,CreateBinarySemaphore
0xff82345c,CreateCountingSemaphore
0xff82345c,CreateCountingSemaphore_FW
0xff823568,DeleteSemaphore
0xff823568,DeleteSemaphore_FW
0xff823774,TakeSemaphore
0xff823774,TakeSemaphore_FW
0xff8238f8,TryTakeSemaphore
0xff82395c,GiveSemaphore
0xff82395c,GiveSemaphore_FW
0xff823a30,GetSemaphoreValue
0xff823c78,SleepTask
0xff823c78,SleepTask_FW
0xff823d64,CreateTask
0xff823d64,CreateTask_FW
0xff824124,ExitTask
0xff824124,ExitTask_FW
0xff824ba0,CreateRecursiveLock
0xff824cbc,DeleteRecursiveLock
0xff824d94,AcquireRecursiveLock
0xff824ebc,ReleaseRecursiveLock
0xff824ecc,CreateTaskStrictly
0xff824f0c,CreateMessageQueueStrictly
0xff824f38,CreateEventFlagStrictly
0xff824f64,CreateBinarySemaphoreStrictly
0xff824f90,CreateCountingSemaphoreStrictly
0xff824fbc,CreateRecursiveLockStrictly
0xff8252a0,Restart,(stubs_entry_2.s)
0xff8253a4,WriteToRom_FW
0xff82547c,EraseSectorOfRom_FW
0xff8276e4,SaveNetLogToFile_FW
0xff827798,SaveAllNetLogToFile_FW
0xff827b80,SetPropertyCase
0xff827c9c,GetPropertyCase
0xff829c94,kbd_p1_f
0xff829ca0,kbd_p1_f_cont
0xff829d60,kbd_read_keys
0xff82a078,kbd_p2_f
0xff82af70,GetKbdState
0xff82b05c,kbd_pwr_on,(stubs_entry_2.s)
0xff82b078,kbd_pwr_off,(stubs_entry_2.s)
0xff82c7c0,GetAdChValue_FW
0xff82c800,GetAdVBattBottom_FW
0xff82d8d4,SetBattCheckMode_FW
0xff82d95c,ShowBattCheckMode_FW
0xff82d9fc,ShowBattChkAdj_FW
0xff82ddac,GetLBOffset_FW
0xff82ddbc,LowBat_Result_Print_On_FW
0xff82ddd4,LowBat_Result_Print_Off_FW
0xff82dde8,BatVoltageToAd_FW
0xff82f0f4,VbattGet
0xff82f0f4,VbattGet_FW
0xff83009c,GetOpticalTemperature
0xff8300b0,GetCCDTemperature
0xff8300c4,GetBatteryTemperature
0xff86c314,RenameFile_Fut
0xff86c394,DeleteFile_Fut
0xff86c420,MakeDirectory_Fut
0xff86c498,Fopen_Fut
0xff86c498,Fopen_Fut_FW
0xff86c4d4,Fclose_Fut
0xff86c4d4,Fclose_Fut_FW
0xff86c5b8,Fread_Fut
0xff86c5b8,Fread_Fut_FW
0xff86c608,Fwrite_Fut
0xff86c608,Fwrite_Fut_FW
0xff86c658,Fgets_Fut
0xff86c6a0,Fseek_Fut
0xff86c6a0,Fseek_Fut_FW
0xff86c6e8,Feof_Fut
0xff86c720,Fflush_Fut
0xff8724d0,Mount_FileSystem,(stubs_entry_2.s)
0xff872574,Unmount_FileSystem
0xff8726c8,UpdateMBROnFlash
0xff872990,GetDrive_ClusterSize,(stubs_entry_2.s)
0xff86b75c,GetDrive_FreeClusters,(stubs_entry_2.s)
0xff8729cc,GetDrive_TotalClusters,(stubs_entry_2.s)
0xff87317c,Open
0xff87317c,Open_FW
0xff8731a4,Close
0xff8731a4,Close_FW
0xff8731c4,Remove
0xff873238,Read
0xff873238,Read_FW
0xff873244,Write
0xff873244,write
0xff873244,Write_FW
0xff87328c,Lseek
0xff87328c,Lseek_FW
0xff87335c,SetFileAttributes
0xff87338c,mkdir
0xff881a84,WriteSDCard
0xff883cf0,EngDrvOut
0xff883d08,EngDrvIn
0xff883d10,EngDrvRead
0xff883d24,EngDrvBits
0xff8a55f8,EngineDriver.Delete_FW
0xff8a56c0,OutPort_FW
0xff8a56d4,InPort_FW
0xff8a5794,Capture.Delete_FW
0xff8b02a8,apex2us
0xff8cfd78,EnableOBClampField_FW
0xff8cfd90,DisableOBClampField_FW
0xff8d7748,TgTool.SetSubNumber_FW
0xff8d77a4,TgTool.GetSubNumber_FW
0xff8d77c8,TgTool.SetTgSubPosition_FW
0xff8d7820,TgTool.GetTgCurrentSubPosition_FW
0xff8d782c,TgTool.SetPhase_FW
0xff8d7888,TgTool.ChangePhaseHi_FW
0xff8d78a4,TgTool.ChangePhaseLo_FW
0xff8d78c0,TgTool.GetPhase_FW
0xff8d78d0,TgTool.ImgTest.SetPhase_FW
0xff8d7934,TgTool.ImgTest.GetPhase_FW
0xff8d794c,TgTool.SetDuty_FW
0xff8d79a8,TgTool.ChangeDutyHi_FW
0xff8d79c4,TgTool.ChangeDutyLo_FW
0xff8d79e0,TgTool.GetDuty_FW
0xff8d79f0,TgTool.ImgTest.SetDuty_FW
0xff8d7a54,TgTool.ImgTest.GetDuty_FW
0xff8d7a6c,TgTool.SetPhaseADLogical_FW
0xff8d7ac0,TgTool.GetPhaseADLogical_FW
0xff8d7acc,TgTool.ImgTest.SetADDegree_FW
0xff8d7b28,TgTool.ImgTest.GetADDegree_FW
0xff8d7b38,TgTool.SetHDriverbility_FW
0xff8d7b8c,TgTool.GetHDriverbility_FW
0xff8d7b98,TgTool.ImgTest.SetDriverbility_FW
0xff8d7bf4,TgTool.ImgTest.GetDriverbility_FW
0xff8d7c04,TgTool.SetStbMode_FW
0xff8d7c58,TgTool.GetStbMode_FW
0xff8d7c64,TgTool.SetRegisterImage_FW
0xff8d7ce4,TgTool.GetRegisterImage_FW
0xff8d7eb0,TgTool.StartSmoothSubNumber_FW
0xff8d7f3c,TgTool.StopSmoothSubNumber_FW
0xff8d8230,TgTool.Delete_FW
0xff8d8564,VirtualImageTimeOut_FW
0xff902ca0,IsStrobeChargeCompleted
0xff927404,DispCon_ShowBitmapColorBar
0xff94f9b8,DoAFLock,(stubs_entry_2.s)
0xff94fa20,UnlockAF
0xff951ab0,EnterToCompensationEVF,(stubs_entry_2.s)
0xff95873c,NR_SetDarkSubType
0xff9587cc,NR_GetDarkSubType
0xff95ce60,PT_EraseAllFile_FW
0xff95ce90,PT_mod_FW
0xff95ce9c,PT_atoi_FW
0xff95cea8,PT_GetSystemTime
0xff95cea8,PT_GetSystemTime_FW
0xff95cec8,PT_SetPropertyCaseString_FW
0xff95cedc,PT_SetPropertyCaseInt_FW
0xff95cf04,PT_GetPropertyCaseString_FW
0xff95cf18,PT_GetPropertyCaseInt_FW
0xff95cfc4,PT_GetLocalTimeString_FW
0xff95d020,PT_GetLocalDateString_FW
0xff95d084,PT_GetLocalDateAndTimeString_FW
0xff95d0d4,PT_SetMessage_FW
0xff95d0fc,PT_UndispMessage_FW
0xff95d118,PT_PlaySound
0xff95d118,PT_PlaySound_FW
0xff95d130,PT_LCD_BkColor_FW
0xff95d1ec,PT_LCD_BkColorDef_FW
0xff95d220,PT_BatLvChange_PreWeak_FW
0xff95d228,PT_BatLvChange_Weak_FW
0xff95d230,PT_BatLvChange_Low_FW
0xff95d238,PT_BatLvChange_SysLow_FW
0xff95d250,PT_StartBatteryTest_FW
0xff95d2b0,PT_FinishBatteryTest_FW
0xff95d3a8,PT_GetBatteryLevel_FW
0xff95d3c0,PT_GetPreWeakBatLv_FW
