0x003fe27c,_dadd
0x003feb94,_dcmp
0x003fedec,_dcmp_reverse
0x003fe554,_ddiv
0x003fea20,_dfix
0x003fead0,_dfixu
0x003feb58,_dflt
0x003feb88,_dfltu
0x003fc384,_divmod_signed_int
0x003fc81c,_divmod_unsigned_int
0x003fec1c,_dmul
0x003fee8c,_drsb
0x003ff018,_dsub
0x003ff39c,_f2d
0x003ff520,_fdiv
0x003ff704,_ffix
0x003ff778,_ffixu
0x003ff7d8,_fflt
0x003ff80c,_ffltu
0x003ff88c,_fmul
0xff816090,_GetSystemTime
0x003fcbc8,_log
0x003fd108,_log10
0x003fd280,_pow
0x003fe230,_safe_sqrt
0x003ffd8c,_scalbn
0x003feea4,_sqrt
0xff814b6c,_uartr_req
0xff958d80,AbortAEIntegralValue_FW
0x003f8830,AcquireRecursiveLock
0x003f7e48,AcquireRecursiveLockStrictly
0xff95b27c,ActivateAdjLog_FW
0xff9058ec,ActivateImager_FW
0xff905984,ActivateImagerXOne_FW
0xffad8a50,ActivateISMD_FW
0xffa6cea4,add_ptp_handler
0xff9afaec,add_ui_to_dialog
0xff99daa0,AdditionAgentRAM_FW
0xffa9bb78,AddTransparentMemory_FW
0xffb62850,AdjAEWithAperturePriority_FW
0xffb627f8,AfAEWithAperturePriority_FW
0xffb62a00,AfAEWithCompensation_FW
0xffa5e7ac,AFTool.GetEVal_FW
0xffadd6f0,AllocateMemory
0xffadd6f0,AllocateMemory_FW
0xff815ec0,AllocateUncacheableMemory
0xffa28c80,apex2us
0xff827400,atol_FW
0xff959bb4,AttachIntegCrawData_FW
0xffa9bbb0,AttachToTransparentMemory_FW
0xffb509e8,Bat_Calc_FW
0xffb640d4,Bat_Save_FW
0xffb640c0,Bat_VIN_FW
0xff856ed8,BeepDrive_FW
0xff856ef8,BeepDriveComp_FW
0xffb5e518,CalcLog10
0xffb5e554,CalcLog10_FW
0xffb6733c,CalcLoopGain_FW
0xffb640ec,CalcLowBatteryOffsetValue_FW
0xffb5e644,CalcSqrt_FW
0xffb509e8,CalculateBatSenseOffset_FW
0xffb617bc,CalculateInterpolationByLS_FW
0xffb5e4f4,CalculateLog2ToApex_FW
0xffb5e4cc,CalculatePeakFromLeastSquareResult_FW
0xffb61764,CalculatePeakPosByLS_FW
0xffb5e508,CalculatePow2FromApex_FW
0xff868630,CalculateTestRecYUVData_FW
0xffb62630,CancelAdj_AEMode_FW
0xffb5ce34,CancelAdjCdsMode_FW
0xffb6014c,CancelBPFilterForBP_FW
0xffb61ef8,CancelExStrobeMode_FW
0xffad6570,CancelFocusLensMaxSpeedLimit_FW
0xff8877b8,CancelHPTimer
0xffb5d77c,CancelImageDrive_FW
0xff905b58,CancelImager_FW
0xffb67608,CancelLoopGainCalc_FW
0xff816298,CancelTimer
0xff992490,Capture.Create_FW
0xffb5d79c,CaptureWithParam_FW
0xffa9a6e0,ChangeAdjImgDrvMode_FW
0xffa9a70c,ChangeAEIntegDrvTypeToAdjImgDriveType_FW
0xffa4b768,ChangeDefectRecParam_FW
0xffb63e80,ChangeDistortionSetForLiveImage_FW
0xffb671f0,ChangeFilterMode_FW
0xffad675c,ChangeFocusDistanceToPosition_FW
