0x006bca3c,_dadd
0x006bd354,_dcmp
0x006bd5ac,_dcmp_reverse
0x006bcd14,_ddiv
0x006bd1e0,_dfix
0x006bd290,_dfixu
0x006bd318,_dflt
0x006bd348,_dfltu
0x006bab48,_divmod_signed_int
0x006bafe0,_divmod_unsigned_int
0x006bd3dc,_dmul
0x006bd64c,_drsb
0x006bd7d8,_dsub
0x006bdb5c,_f2d
0x006bdce0,_fdiv
0x006bdec4,_ffix
0x006bdf38,_ffixu
0x006bdf98,_fflt
0x006bdfcc,_ffltu
0x006be04c,_fmul
0xff826964,_GetSystemTime
0x006bb388,_log
0x006bb8c8,_log10
0x006bba40,_pow
0x006bc9f0,_safe_sqrt
0x006be54c,_scalbn
0x006bd664,_sqrt
0xff824ea4,_uartr_req
0xff96ffb0,AbortAEIntegralValue_FW
0xff82a218,AcquireRecursiveLock
0xff8267f8,AcquireRecursiveLockStrictly
0xff97279c,ActivateAdjLog_FW
0xff90af60,ActivateImager_FW
0xff90aff8,ActivateImagerXOne_FW
0xffa976bc,add_ptp_handler
0xff9d1f8c,add_ui_to_dialog
0xff9bf65c,AdditionAgentRAM_FW
0xffac8330,AddTransparentMemory_FW
0xffba6058,AdjAEWithAperturePriority_FW
0xffba6000,AfAEWithAperturePriority_FW
0xffba6208,AfAEWithCompensation_FW
0xff907780,AFTool.GetEVal_FW
0xff907a00,AFTool.SetAFLogType_FW
0xff9079d8,AFTool.StoreAFixPosition_FW
0xffb098cc,AllocateMemory
0xffb098cc,AllocateMemory_FW
0xff8261f4,AllocateUncacheableMemory
0xffa47164,apex2us
0xff839024,atol_FW
0xff970db4,AttachIntegCrawData_FW
0xffac8368,AttachToTransparentMemory_FW
0xffb8da5c,Bat_Calc_FW
0xffba79ac,Bat_Save_FW
0xffba7998,Bat_VIN_FW
0xff868c9c,BeepDrive_FW
0xff868cbc,BeepDriveComp_FW
0xffba4fc8,CalcLog10
0xffba5004,CalcLog10_FW
0xffbae574,CalcLoopGain_FW
0xffba79c4,CalcLowBatteryOffsetValue_FW
0xffba50f4,CalcSqrt_FW
0xffb8da5c,CalculateBatSenseOffset_FW
0xffbad1a0,CalculateInterpolationByLS_FW
0xffba4f98,CalculateLog2ToApex_FW
