0x006df5d4,_dadd
0x006dff68,_dcmp
0x006e01c0,_dcmp_reverse
0x006df8ac,_ddiv
0x006dfd78,_dfix
0x006dfe28,_dfixu
0x006dfeb0,_dflt
0x006dff5c,_dfltu
0x006dac28,_divmod_signed_int
0x006dc244,_divmod_unsigned_int
0x006dfff0,_dmul
0x006e0418,_drsb
0x006e05a4,_dsub
0x006e0928,_f2d
0x006e0aac,_fdiv
0x006e0c90,_ffix
0x006e0d04,_ffixu
0x006e0d64,_fflt
0x006e0d98,_ffltu
0x006e0e18,_fmul
0xff025de8,_GetSystemTime
0x006ddca0,_log
0x006de1e0,_log10
0x006de358,_pow
0x006df410,_safe_sqrt
0x006e1318,_scalbn
0x006e0430,_sqrt
0xff0248c4,_uartr_req
0xff1d25c8,AbortAEIntegralValue_FW
0x006b8884,AcquireRecursiveLock
0x006b7dbc,AcquireRecursiveLockStrictly
0xff1d4e74,ActivateAdjLog_FW
0xff4d03d0,ActivateImageDrive_FW
0xff12a550,ActivateImager_FW
0xff12a5e8,ActivateImagerXOne_FW
0xff156b64,add_ptp_handler
0xff23d364,add_ui_to_dialog
0xff22bfc4,AdditionAgentRAM_FW
0xff392750,AddTransparentMemory_FW
0xff4d20c4,AdjAEWithAperturePriority_FW
0xff4d206c,AfAEWithAperturePriority_FW
0xff4d2274,AfAEWithCompensation_FW
0xff12276c,AFTool.GetEVal_FW
0xff122974,AFTool.SetAFLogType_FW
0xff12297c,AFTool.SetDebugAFSequence_FW
0xff122944,AFTool.StoreAFixPosition_FW
0xff3da5bc,AllocateMemory
0xff3da5bc,AllocateMemory_FW
0xff025c18,AllocateUncacheableMemory
0xff2f6810,apex2us
0xff03841c,atol_FW
0xff1d3400,AttachIntegCrawData_FW
0xff392788,AttachToTransparentMemory_FW
0xff4a4d1c,Bat_Calc_FW
0xff4d3a74,Bat_Save_FW
0xff4d3a60,Bat_VIN_FW
0xff071b48,BeepDrive_FW
0xff071b68,BeepDriveComp_FW
0xff4d1038,CalcLog10
0xff4d1074,CalcLog10_FW
0xff4da9f0,CalcLoopGain_FW
0xff4d3a8c,CalcLowBatteryOffsetValue_FW
0xff4d1164,CalcSqrt_FW
0xff4a4d1c,CalculateBatSenseOffset_FW
0xff4d95dc,CalculateInterpolationByLS_FW
0xff4d1008,CalculateLog2ToApex_FW
0xff4d0fe0,CalculatePeakFromLeastSquareResult_FW
0xff4d9584,CalculatePeakPosByLS_FW
0xff4d101c,CalculatePow2FromApex_FW
0xff085a68,CalculateTestRecYUVData_FW
0xff4d1ea4,CancelAdj_AEMode_FW
0xff4d6564,CancelAdjCdsMode_FW
0xff4d7f9c,CancelBPFilterForBP_FW
0xff4d176c,CancelExStrobeMode_FW
0xff3d474c,CancelFocusLensMaxSpeedLimit_FW
0xff0aca5c,CancelHPTimer
0xff4d0214,CancelImageDrive_FW
0xff12a7bc,CancelImager_FW
0xff4dacc0,CancelLoopGainCalc_FW
0xff025ff0,CancelTimer
0xff21f94c,Capture.Create_FW
0xff4d02bc,CaptureWithParam_FW
0xff19deb4,CecRegDump_FW
0xff198594,CecRxViewParameter_FW
0xff197478,CecViewParameter_FW
0xff3909cc,ChangeAdjImgDrvMode_FW
0xff3909f8,ChangeAEIntegDrvTypeToAdjImgDriveType_FW
0xff12a938,ChangeAutoSlowShutterEnable_FW
0xff316128,ChangeDefectRecParam_FW
0xff4d37f0,ChangeDistortionSetForLiveImage_FW
0xff4d3818,ChangeElectronicRollISSetting_FW
0xff4da8a4,ChangeFilterMode_FW
0xff3d4938,ChangeFocusDistanceToPosition_FW
0xff4d0304,ChangeImageDrive_FW
0xff12a840,ChangeImagerToAlternateDraft_FW
0xff12a800,ChangeImagerToCombiParallel_FW
0xff12a838,ChangeImagerToDigiconMode_FW
0xff12a8b0,ChangeImagerToElectraGlide_FW
0xff12a900,ChangeImagerToElectraGlideNepal_FW
0xff12a8f8,ChangeImagerToEsperRocketH_FW
0xff12a898,ChangeImagerToFalconJump_FW
0xff12a878,ChangeImagerToFantaJungle_FW
0xff12a810,ChangeImagerToFocusJet_FW
0xff12a868,ChangeImagerToHarleyDavidson_FW
0xff12a8d8,ChangeImagerToHarleyDavidsonNepal_FW
0xff12a8c8,ChangeImagerToHarleySunshine_FW
0xff12a908,ChangeImagerToHarleySunshineNepal_FW
0xff12a8a8,ChangeImagerToHealthyVegetable_FW
0xff12a828,ChangeImagerToHoneyFlash_FW
0xff12a880,ChangeImagerToHoneyFlashDark_FW
0xff12a8f0,ChangeImagerToLasVegasMagic_FW
0xff12a890,ChangeImagerToLCWideDraft_FW
0xff12a870,ChangeImagerToMachDashV_FW
0xff12a818,ChangeImagerToMangoPudding_FW
0xff12a830,ChangeImagerToMillefeAdjust_FW
0xff12a858,ChangeImagerToMontblancMillefe_FW
0xff12a860,ChangeImagerToMontblancMovie_FW
0xff12a850,ChangeImagerToMontblancWhole_FW
0xff12a838,ChangeImagerToOITA_XAVIER_FW
0xff12a7e0,ChangeImagerToRegularDrive_FW
0xff12a888,ChangeImagerToRoadKing_FW
0xff12a8e0,ChangeImagerToRoadKingNepal_FW
0xff12a8d0,ChangeImagerToRoadQueen_FW
0xff12a8a0,ChangeImagerToSpriteSunshine_FW
0xff12a820,ChangeImagerToSuperWideDraft_FW
0xff12a8e8,ChangeImagerToSuperWideNepal_FW
0xff12a848,ChangeImagerToUltraGhostQ_FW
0xff12a8c0,ChangeImagerToVeryFastMangoPudding_FW
