0x006e0b0c,_dadd
0x006e14a0,_dcmp
0x006e16f8,_dcmp_reverse
0x006e0de4,_ddiv
0x006e12b0,_dfix
0x006e1360,_dfixu
0x006e13e8,_dflt
0x006e1494,_dfltu
0x006dc124,_divmod_signed_int
0x006dd780,_divmod_unsigned_int
0x006e1528,_dmul
0x006e1950,_drsb
0x006e1adc,_dsub
0x006e1e60,_f2d
0x006e1fe4,_fdiv
0x006e21c8,_ffix
0x006e223c,_ffixu
0x006e229c,_fflt
0x006e22d0,_ffltu
0x006e2350,_fmul
0xff025f14,_GetSystemTime
0x006df1d8,_log
0x006df718,_log10
0x006df890,_pow
0x006e0948,_safe_sqrt
0x006e2928,_scalbn
0x006e1968,_sqrt
0xff072e34,_ToggleBatteryStatus_FW
0xff0248fc,_uartr_req
0xff1dc7f8,AbortAEIntegralValue_FW
0x006b8958,AcquireRecursiveLock
0x006b7e88,AcquireRecursiveLockStrictly
0xff1defec,ActivateAdjLog_FW
0xff4f1700,ActivateImageDrive_FW
0xff133d1c,ActivateImager_FW
0xff133db4,ActivateImagerXOne_FW
0xff169268,add_ptp_handler
0xff244594,add_ui_to_dialog
0xff2326d4,AdditionAgentRAM_FW
0xff38bd44,AddTransparentMemory_FW
0xff4f3420,AdjAEWithAperturePriority_FW
0xff4f33c8,AfAEWithAperturePriority_FW
0xff4f35d0,AfAEWithCompensation_FW
0xff12b810,AFTool.GetEVal_FW
0xff12ba18,AFTool.SetAFLogType_FW
0xff12ba20,AFTool.SetDebugAFSequence_FW
0xff12b9e8,AFTool.StoreAFixPosition_FW
0xff3e37c4,AllocateMemory
0xff3e37c4,AllocateMemory_FW
0xff025d38,AllocateUncacheableMemory
0xff32d6a8,apex2us
0xff038554,atol_FW
0xff1dd634,AttachIntegCrawData_FW
0xff38bd7c,AttachToTransparentMemory_FW
0xff072c18,BA_IsBatteryChanged_FW
0xff4bf6bc,Bat_Calc_FW
0xff4f4dec,Bat_Save_FW
0xff4f4dd8,Bat_VIN_FW
0xff07bbd4,BatteryMilliTempCheck_FW
0xff074c40,BeepDrive_FW
0xff074c60,BeepDriveComp_FW
0x006dc0d0,bzero
0xff072520,CalcAccelerometerAtanAngle_FW
0xff4f2390,CalcLog10
0xff4f23cc,CalcLog10_FW
0xff4fb9dc,CalcLoopGain_FW
0xff4f4e04,CalcLowBatteryOffsetValue_FW
0xff4f24bc,CalcSqrt_FW
0xff4bf6bc,CalculateBatSenseOffset_FW
0xff4fa5f4,CalculateInterpolationByLS_FW
0xff4f2360,CalculateLog2ToApex_FW
0xff4f2338,CalculatePeakFromLeastSquareResult_FW
0xff4fa59c,CalculatePeakPosByLS_FW
0xff4f2374,CalculatePow2FromApex_FW
0xff088c3c,CalculateTestRecYUVData_FW
0xff05ece8,cameracon_get_state
0xff05c210,cameracon_set_state
0xff3e2e9c,CamInfo_Debug_FW
0xff4f3200,CancelAdj_AEMode_FW
0xff4f7a0c,CancelAdjCdsMode_FW
0xff4f8fb4,CancelBPFilterForBP_FW
0xff4f2ac8,CancelExStrobeMode_FW
0xff3db408,CancelFocusLensMaxSpeedLimit_FW
0xff0accb0,CancelHPTimer
0xff4f14f4,CancelImageDrive_FW
0xff133f84,CancelImager_FW
0xff4fbcac,CancelLoopGainCalc_FW
0xff026134,CancelTimer
0xff22603c,Capture.Create_FW
0xff4f15ec,CaptureWithParam_FW
0xff07ba00,CCDMilliTempCheck_FW
0xff1a80d4,CecRegDump_FW
0xff389a44,ChangeAdjImgDrvMode_FW
0xff389a70,ChangeAEIntegDrvTypeToAdjImgDriveType_FW
0xff134110,ChangeAutoSlowShutterEnable_FW
0xff2f3fd8,ChangeDefectRecParam_FW
0xff2f42d0,ChangeDefectSpecParam_FW
0xff4f4b68,ChangeDistortionSetForLiveImage_FW
0xff4f4b90,ChangeElectronicRollISSetting_FW
0xff4fb890,ChangeFilterMode_FW
0xff3db568,ChangeFocusDistanceToPosition_FW
0xff3dba48,ChangeFocusLensStopSettingType_FW
0xff4f1634,ChangeImageDrive_FW
0xff134008,ChangeImagerToAlternateDraft_FW
0xff1340e0,ChangeImagerToAstroMetamorphose_FW
0xff133fc8,ChangeImagerToCombiParallel_FW
0xff134000,ChangeImagerToDigiconMode_FW
0xff134078,ChangeImagerToElectraGlide_FW
0xff1340c8,ChangeImagerToElectraGlideNepal_FW
0xff1340c0,ChangeImagerToEsperRocketH_FW
0xff1340d8,ChangeImagerToEsperRocketHNepal_FW
0xff134060,ChangeImagerToFalconJump_FW
0xff134040,ChangeImagerToFantaJungle_FW
0xff133fd8,ChangeImagerToFocusJet_FW
0xff134030,ChangeImagerToHarleyDavidson_FW
0xff1340a0,ChangeImagerToHarleyDavidsonNepal_FW
0xff134090,ChangeImagerToHarleySunshine_FW
0xff1340d0,ChangeImagerToHarleySunshineNepal_FW
0xff134070,ChangeImagerToHealthyVegetable_FW
0xff133ff0,ChangeImagerToHoneyFlash_FW
0xff134048,ChangeImagerToHoneyFlashDark_FW
0xff1340b8,ChangeImagerToLasVegasMagic_FW
0xff134058,ChangeImagerToLCWideDraft_FW
