0xff813770,_GetSystemTime
0xff91e554,_log
0xff91ac9c,_log10
0xff91ae1c,_pow
0xff91ccdc,_sqrt
0xffb42ab0,AcquireRecursiveLock
0xff909f3c,AddItemToDialogBox_FW
0xff818724,AllocateMemory
0xff818724,AllocateMemory_FW
0xff81e664,AllocateUncacheableMemory
0xff93c8cc,apex2us
0xff922788,atol_FW
0xffa3f82c,BatVoltageToAd_FW
0xff8146c8,CancelHPTimer
0xff8139d8,CancelTimer
0xff93a578,Capture.Delete_FW
0xffb3ffc8,CheckAllEventFlag
0xffb3ffb8,CheckAnyEventFlag
0xff81822c,CheckSumAll_FW
0xffb403c8,ClearEventFlag
0xffb06ff4,ClearISIComponent_FW
0xffb07010,ClearISZData_FW
0xffaaecdc,Close
0xff92843c,close
0xffaaecdc,Close_FW
0xff8195dc,CloseConsole_FW
0xffb7cca4,closedir
0xffb066f4,CommunicateISCPU_FW
0xff90b0e8,ControlEventHandler_FW
0xff819314,CPrintf_FW
0xff819378,CPutChar_FW
0xffb41130,CreateBinarySemaphore
0xffb42c80,CreateBinarySemaphoreStrictly
0xffb5b9ac,CreateController_FW
0xffb41218,CreateCountingSemaphore
0xffb41218,CreateCountingSemaphore_FW
0xffb42cac,CreateCountingSemaphoreStrictly
0xff909a1c,CreateDialogBox_FW
0xff90aee0,CreateDialogItem_FW
0xff8c9218,CreateDpConnectController_FW
0xffb3fd0c,CreateEventFlag
0xffb42c54,CreateEventFlagStrictly
0xffb405f8,CreateMessageQueue
0xffb42c28,CreateMessageQueueStrictly
0xff88b454,CreatePlayMyColController_FW
0xff81545c,CreateProxyOfEventProcedure_FW
0xffb428fc,CreateRecursiveLock
0xffb42cd8,CreateRecursiveLockStrictly
0xffb41b48,CreateTask
0xffb41b48,CreateTask_FW
0xffb42be8,CreateTaskStrictly
0xff8e8614,DBG_changeTraceLevel_FW
0xffb4d9f0,DebugAssert
0xffb0676c,DelaySet_FW
0xffb5ba70,DeleteController_FW
0xff909c18,DeleteDialogBox_FW
0xff909e50,DeleteDialogBoxAfterGetTopOfControl_FW
0xff90afd0,DeleteDialogItem_FW
0xff8c948c,DeleteDpConnectController_FW
0xffb3fe18,DeleteEventFlag
0xffaaa2b0,DeleteFile_Fut
0xff90a010,DeleteItemFromDialogBox_FW
0xffb40748,DeleteMessageQueue
0xff90e838,DeletePalette_FW
0xff88b4a4,DeletePlayMyColController_FW
0xff8154e4,DeleteProxyOfEventProcedure_FW
0xffb42a18,DeleteRecursiveLock
0xffb41330,DeleteSemaphore
0xffb41330,DeleteSemaphore_FW
0xffb63558,DisableAutoShutdown_FW
0xff9c51d4,DisableOBClampField_FW
0xff916cc0,DisableRefreshPhysicalScreen_FW
0xffa367d0,DispCon_ShowBitmapColorBar
0xff90a2f8,DisplayDialogBox_FW
0xffb06750,DMASioSet_FW
0xffb26590,DoAFLock
0xff90a70c,DrawBinaryBitmapToDialog_FW
0xff90b050,DrawDialogItem_FW
0xff90a5bc,DrawStringToDialog_FW
0xff818700,Dump32_FW
0xff818524,Dump_FW
0xffb63570,EnableAutoShutdown_FW
0xffb405b8,EnableInterrupt
0xff9c51bc,EnableOBClampField_FW
0xff916cac,EnableRefreshPhysicalScreen_FW
0xff8ec7cc,EndClockMode_FW
0xffa50cf8,EngDrvBits
0xffa50cdc,EngDrvIn
0xffa50cc4,EngDrvOut
0xffa50ce4,EngDrvRead
0xffa5fd74,EngineDriver.Delete_FW
0xffb3dd3c,EraseLogSector_FW
0xffb455d8,EraseSectorOfRom_FW
0xff8187b8,EraseSignature_FW
0xff926090,errnoOfTaskGet
0xff818840,exec_FW
0xff814adc,ExecuteEventProcedure
0xff814adc,ExecuteEventProcedure_FW
0xff824d94,ExecuteResetFactoryWithRomWrite_FW
0xffb269bc,ExitFromCompensationEVF
0xffb41f08,ExitTask
0xffb41f08,ExitTask_FW
0xff81d614,ExMem.AllocCacheable_FW
0xff81d5e8,ExMem.AllocUncacheable_FW
0xff81d62c,ExMem.FreeCacheable_FW
0xff81d600,ExMem.FreeUncacheable_FW
0xff81e5c0,exmem_free
0xff815444,ExportToEventProcedure_FW
0xffa72484,FA.Delete_FW
0xffaaa424,Fclose_Fut
0xffaaa424,Fclose_Fut_FW
0xffaaa620,Feof_Fut
0xffaaa65c,Fflush_Fut
0xffaaa588,Fgets_Fut
0xff90a55c,FillRectangleToDialog_FW
0xff8b7064,FmtMenu_ExecuteQuickFormat_FW
0xffaaa3e4,Fopen_Fut
0xffaaa3e4,Fopen_Fut_FW
0xffaaa4e0,Fread_Fut
0xffaaa4e0,Fread_Fut_FW
0xff818710,FreeMemory
0xff818710,FreeMemory_FW
0xffaaa5d4,Fseek_Fut
0xffaaa5d4,Fseek_Fut_FW
0xffaaa534,Fwrite_Fut
0xffaaa534,Fwrite_Fut_FW
0xffa3d91c,GetAdChValue_FW
0xffa3d94c,GetAdVBattBottom_FW
0xff90b2c0,GetAttributeFromDialogItem_FW
0xffa48d80,GetBatteryTemperature
0xff817fac,GetBuildDate_FW
0xff817fc4,GetBuildTime_FW
0xffa48d6c,GetCCDTemperature
0xff8193ac,GetCh_FW
0xffb06744,GetCheckSum_FW
0xffa63598,GetCurrentAvValue
0xff829ca8,GetCurrentCaptureModeType_FW
0xffa66034,GetCurrentTargetDistance
0xff90a774,GetDialogBoxWindow_FW
0xff90b420,GetDialogItemPosition_FW
0xff90a8fc,GetDialogItemPositionToDialog_FW
0xff90b4a0,GetDialogItemResolution_FW
0xff90a930,GetDialogItemResolutionToDialog_FW
0xffb40418,GetEventFlagValue
0xff817fe8,GetFirmwareVersion_FW
0xff90a220,GetFocusedItemIDOfDialogItem_FW
0xffaea6d4,GetFocusLensSubjectDistance,(stubs_entry_2.s)
0xff90a824,GetFocusScopeToDialog_FW
0xffb06e3c,GetISADData_FW
0xffb072c0,GetISCoefficientD_A_FW
0xffb07300,GetISCoefficientD_B_FW
0xffb07240,GetISCoefficientI_A_FW
0xffb07280,GetISCoefficientI_B_FW
0xffb071c0,GetISCoefficientP_A_FW
0xffb07200,GetISCoefficientP_B_FW
0xffb06f8c,GetISDampAaxis_FW
0xffb06fc4,GetISDampBaxis_FW
