CAMERA,FIRMWARE,STATUS,SOURCE_FW,SOURCE_CAM,AUTOBUILD,PLATFORMID,OS,OSVER,DIGIC,ROMBASEADDR,MEMBASEADDR,MAXRAMADDR,KEYSYS,FI2FLAGS,DANCING_BITS,THUMB_FW,ARAM_MALLOC,ARAM_HEAP_START,ARAM_HEAP_SIZE,CHDK_IN_ARAM,EXMEM_MALLOC,EXMEM_HEAP_SKIP,EXMEM_BUFFER_SIZE,CHDK_IN_EXMEM
ixus40_sd300,100j,,,,,12479,vxworks,,20,0xff810000,0x1900,0x1FFFFFF,,,,,,,,,,,,
ixus40_sd300,100k,,,,,12479,vxworks,,20,0xff810000,0x1900,0x1FFFFFF,,,,,,,,,,,,
ixus30_sd200,100k,,,,,12480,vxworks,,20,0xff810000,0x1900,0x1FFFFFF,,,,,,,,,,,,
s2is,100e,,,,,12528,vxworks,,20,0xff810000,0x1900,0x1FFFFFF,,,,,,,,,,,,
s2is,100f,,,,,12528,vxworks,,20,0xff810000,0x1900,0x1FFFFFF,,,,,,,,,,,,
s2is,100g,,,,,12528,vxworks,,20,0xff810000,0x1900,0x1FFFFFF,,,,,,,,,,,,
s2is,100i,,100g,,,12528,vxworks,,20,0xff810000,0x1900,0x1FFFFFF,,,,,,,,,,,,
ixusw_sd430,110a,BETA,,,,12529,vxworks,,20,0xff810000,0x1900,0x1FFFFFF,,,,,,,,,,,,
ixus700_sd500,101a,,,,,12530,vxworks,,20,0xff810000,0x1900,0x1FFFFFF,,,,,,,,,,,,
ixus700_sd500,101b,,,,,12530,vxworks,,20,0xff810000,0x1900,0x1FFFFFF,,,,,,,,,,,,
ixusizoom_sd30,100f,,100g,,,12532,vxworks,,20,0xff810000,0x1900,0x1FFFFFF,,,,,,,,,,,,
ixusizoom_sd30,100g,,,,,12532,vxworks,,20,0xff810000,0x1900,0x1FFFFFF,,,,,,,,,,,,
ixusizoom_sd30,100h,,,,,12532,vxworks,,20,0xff810000,0x1900,0x1FFFFFF,,,,,,,,,,,,
a430,100b,,,,,12536,vxworks,,20,0xffc00000,0x1900,0xffffff,,,,,,,,,,,,
a410,100e,,100f,,,12537,vxworks,,20,0xffc00000,0x1900,0xffffff,,,,,,,,,,,,
a410,100f,,,,,12537,vxworks,,20,0xffc00000,0x1900,0xffffff,,,,,,,,,,,,
s80,100g,,,,,12538,vxworks,,20,0xff810000,0x1900,0x1FFFFFF,,,,,,,,,,,,
s80,101b,,,,,12538,vxworks,,20,0xff810000,0x1900,0x1FFFFFF,,,,,,,,,,,,
a620,100f,,,,,12540,vxworks,,20,0xffc00000,0x1900,0x1FFFFFF,,,,,,,,,,,,
a610,100d,,100e,,,12541,vxworks,,20,0xffc00000,0x1900,0x01FFFFFF ,,,,,,,,,,0x0 ,0x800000 ,
a610,100e,,,,,12541,vxworks,,20,0xffc00000,0x1900,0x01FFFFFF ,,,,,,,,,,0x0 ,0x800000 ,
a610,100f,,,,,12541,vxworks,,20,0xffc00000,0x1900,0x1FFFFFF,,,,,,,,,,,,
ixus65_sd630,100a,,,,,12542,vxworks,,20,0xff810000,0x1900,0x1FFFFFF,,,,,,,,,,,,
ixus55_sd450,100b,,,,,12543,vxworks,,20,0xff810000,0x1900,0x1FFFFFF,,,,,,,,,,,,
ixus55_sd450,100c,,,,,12543,vxworks,,20,0xff810000,0x1900,0x1FFFFFF,,,,,,,,,,,,
ixus55_sd450,100d,,,,,12543,vxworks,,20,0xff810000,0x1900,0x1FFFFFF,,,,,,,,,,,,
ixus50_sd400,101a,,,,,12558,vxworks,,20,0xff810000,0x1900,0x1FFFFFF,,,,,,,,,,,,
ixus50_sd400,101b,,,,,12558,vxworks,,20,0xff810000,0x1900,0x1FFFFFF,,,,,,,,,,,,
a420,100b,,,,,12559,vxworks,,20,0xffc00000,0x1900,0xffffff,,,,,,,,,,,,
ixus750_sd550,100f,,,,,12566,vxworks,,20,0xff810000,0x1900,0x1FFFFFF,,,,,,,,,,,,
ixus750_sd550,100g,,,,,12566,vxworks,,20,0xff810000,0x1900,0x1FFFFFF,,,,,,,,,,,,
