0xffc04b4c,_GetSystemTime
0xffe5f084,_log
0xffe5f72c,_log10
0xffe5fc1c,_pow
0xffe63f68,_sqrt
0xffc135b0,AcquireRecursiveLock
0xffd43310,AddItemToDialogBox_FW
0xffc0b294,AllocateMemory
0xffc0b294,AllocateMemory_FW
0xffc047c4,AllocateUncacheableMemory
0xffc94108,apex2us
0xffc05b4c,CancelHPTimer
0xffc04ef0,CancelTimer
0xffc8bd04,Capture.Delete_FW
0xffc10574,CheckAllEventFlag
0xffc10564,CheckAnyEventFlag
0xffc0ae90,CheckSumAll_FW
0xffc10974,ClearEventFlag
0xffc5a618,Close
0xffe72b04,close
0xffc5a618,Close_FW
0xffc0c28c,CloseConsole_FW
0xffe6eaa4,closedir
0xffd446ac,ControlEventHandler_FW
0xffc0bfc0,CPrintf_FW
0xffc0c024,CPutChar_FW
0xffc11780,CreateBinarySemaphore
0xffc13800,CreateBinarySemaphoreStrictly
0xffd328f8,CreateController_FW
0xffc11868,CreateCountingSemaphore
0xffc11868,CreateCountingSemaphore_FW
0xffc1382c,CreateCountingSemaphoreStrictly
0xffd42eb4,CreateDialogBox_FW
0xffd444a4,CreateDialogItem_FW
0xffdb62c8,CreateDpConnectController_FW
0xffc10278,CreateEventFlag
0xffc137d4,CreateEventFlagStrictly
0xffc10c08,CreateMessageQueue
0xffc137a8,CreateMessageQueueStrictly
0xffc07450,CreateProxyOfEventProcedure_FW
0xffc133bc,CreateRecursiveLock
0xffc13858,CreateRecursiveLockStrictly
0xffc12364,CreateTask
0xffc12364,CreateTask_FW
0xffc13768,CreateTaskStrictly
0xffdcdb98,DBG_changeTraceLevel_FW
0xffc03b58,DebugAssert
0xffd329b0,DeleteController_FW
0xffd4309c,DeleteDialogBox_FW
0xffd43224,DeleteDialogBoxAfterGetTopOfControl_FW
0xffd44594,DeleteDialogItem_FW
0xffdb6514,DeleteDpConnectController_FW
0xffc10384,DeleteEventFlag
0xffc534fc,DeleteFile_Fut
0xffd433e4,DeleteItemFromDialogBox_FW
0xffc10d58,DeleteMessageQueue
0xffd47ca8,DeletePalette_FW
0xffc074d8,DeleteProxyOfEventProcedure_FW
0xffc134d8,DeleteRecursiveLock
0xffc11974,DeleteSemaphore
0xffc11974,DeleteSemaphore_FW
0xffd3950c,DisableAutoShutdown_FW
0xffcb1dd0,DisableOBClampField_FW
0xffd4eadc,DisableRefreshPhysicalScreen_FW
0xffd085c4,DispCon_ShowBitmapColorBar
0xffd438c0,DisplayDialogBox_FW
0xffd24124,DoAFLock
0xffd43cd4,DrawBinaryBitmapToDialog_FW
0xffd44614,DrawDialogItem_FW
0xffd43b84,DrawStringToDialog_FW
0xffc0b16c,Dump32_FW
0xffd39524,EnableAutoShutdown_FW
0xffc10bbc,EnableInterrupt
0xffcb1db8,EnableOBClampField_FW
0xffd4eac8,EnableRefreshPhysicalScreen_FW
0xffc6bae8,EngDrvBits
