0xffc03398,_GetSystemTime
0xffebe410,_log
0xffebd890,_log10
0xffcbd0c4,_pow
0xffcbee4c,_sqrt
0xffe844a0,AcquireRecursiveLock
0xffcae9a8,AddItemToDialogBox_FW
0xffc08188,AllocateMemory
0xffc08188,AllocateMemory_FW
0xffc0e0a8,AllocateUncacheableMemory
0xffcddbdc,apex2us
0xffcc3a60,atol_FW
0xffdc060c,BatVoltageToAd_FW
0xffc0425c,CancelHPTimer
0xffc03600,CancelTimer
0xffcdb888,Capture.Delete_FW
0xffe819b8,CheckAllEventFlag
0xffe819a8,CheckAnyEventFlag
0xffc07db8,CheckSumAll_FW
0xffe81db8,ClearEventFlag
0xffe1d7d0,Close
0xffcc9714,close
0xffe1d7d0,Close_FW
0xffc09024,CloseConsole_FW
0xffebfad0,closedir
0xffcafb28,ControlEventHandler_FW
0xffc08d5c,CPrintf_FW
0xffc08dc0,CPutChar_FW
0xffe82b20,CreateBinarySemaphore
0xffe84670,CreateBinarySemaphoreStrictly
0xffe9e688,CreateController_FW
0xffe82c08,CreateCountingSemaphore
0xffe82c08,CreateCountingSemaphore_FW
0xffe8469c,CreateCountingSemaphoreStrictly
0xffcae4a0,CreateDialogBox_FW
0xffcaf920,CreateDialogItem_FW
0xffc77484,CreateDpConnectController_FW
0xffe816fc,CreateEventFlag
0xffe84644,CreateEventFlagStrictly
0xffe81fe8,CreateMessageQueue
0xffe84618,CreateMessageQueueStrictly
0xffc04ff0,CreateProxyOfEventProcedure_FW
0xffe842ec,CreateRecursiveLock
0xffe846c8,CreateRecursiveLockStrictly
0xffe83538,CreateTask
0xffe83538,CreateTask_FW
0xffe845d8,CreateTaskStrictly
0xffc96b80,DBG_changeTraceLevel_FW
0xffe8f444,DebugAssert
0xffe9e74c,DeleteController_FW
0xffcae69c,DeleteDialogBox_FW
0xffcae8bc,DeleteDialogBoxAfterGetTopOfControl_FW
0xffcafa10,DeleteDialogItem_FW
0xffc776f4,DeleteDpConnectController_FW
0xffe81808,DeleteEventFlag
0xffe18da8,DeleteFile_Fut
0xffcaea7c,DeleteItemFromDialogBox_FW
0xffe82138,DeleteMessageQueue
0xffcb15d8,DeletePalette_FW
0xffc05078,DeleteProxyOfEventProcedure_FW
0xffe84408,DeleteRecursiveLock
0xffe82d20,DeleteSemaphore
0xffe82d20,DeleteSemaphore_FW
0xffea6234,DisableAutoShutdown_FW
0xffd51274,DisableOBClampField_FW
0xffcb9268,DisableRefreshPhysicalScreen_FW
0xffdb9510,DispCon_ShowBitmapColorBar
0xffcaed64,DisplayDialogBox_FW
0xffe6aec4,DoAFLock
0xffcaf178,DrawBinaryBitmapToDialog_FW
0xffcafa90,DrawDialogItem_FW
0xffcaf028,DrawStringToDialog_FW
0xffc08060,Dump32_FW
0xffea624c,EnableAutoShutdown_FW
0xffe81fa8,EnableInterrupt
0xffd5125c,EnableOBClampField_FW
0xffcb9254,EnableRefreshPhysicalScreen_FW
0xffdcd678,EngDrvBits
0xffdcd65c,EngDrvIn
0xffdcd644,EngDrvOut
0xffdcd664,EngDrvRead
0xffdd89a4,EngineDriver.Delete_FW
0xffe8018c,EraseLogSector_FW
0xffe8702c,EraseSectorOfRom_FW
0xffc0821c,EraseSignature_FW
0xffcc7368,errnoOfTaskGet
0xffc082a4,exec_FW
0xffc04670,ExecuteEventProcedure
0xffc04670,ExecuteEventProcedure_FW
0xffc1424c,ExecuteResetFactoryWithRomWrite_FW
0xffe6b17c,ExitFromCompensationEVF
0xffe838f8,ExitTask
0xffe838f8,ExitTask_FW
0xffc0d058,ExMem.AllocCacheable_FW
0xffc0d02c,ExMem.AllocUncacheable_FW
0xffc0d070,ExMem.FreeCacheable_FW
0xffc0d044,ExMem.FreeUncacheable_FW
0xffc0e004,exmem_free
0xffc04fd8,ExportToEventProcedure_FW
0xffde985c,FA.Delete_FW
0xffe18f1c,Fclose_Fut
0xffe18f1c,Fclose_Fut_FW
0xffe19118,Feof_Fut
0xffe19154,Fflush_Fut
0xffe19080,Fgets_Fut
0xffcaefc8,FillRectangleToDialog_FW
0xffc6f674,FmtMenu_ExecuteQuickFormat_FW
0xffe18edc,Fopen_Fut
0xffe18edc,Fopen_Fut_FW
0xffe18fd8,Fread_Fut
0xffe18fd8,Fread_Fut_FW
0xffc08174,FreeMemory
0xffc08174,FreeMemory_FW
0xffe190cc,Fseek_Fut
0xffe190cc,Fseek_Fut_FW
0xffe1902c,Fwrite_Fut
0xffe1902c,Fwrite_Fut_FW
0xffdbeafc,GetAdChValue_FW
0xffdbeb2c,GetAdVBattBottom_FW
0xffcafd00,GetAttributeFromDialogItem_FW
0xffdc7d84,GetBatteryTemperature
0xffc07b40,GetBuildDate_FW
0xffc07b58,GetBuildTime_FW
0xffdc7d70,GetCCDTemperature
0xffc08df4,GetCh_FW
0xffddc168,GetCurrentAvValue
0xffc17be0,GetCurrentCaptureModeType_FW
0xffdde4e0,GetCurrentTargetDistance
0xffcaf1e0,GetDialogBoxWindow_FW
0xffcafe60,GetDialogItemPosition_FW
0xffcaf368,GetDialogItemPositionToDialog_FW
0xffcafee0,GetDialogItemResolution_FW
0xffcaf39c,GetDialogItemResolutionToDialog_FW
0xffe81e08,GetEventFlagValue
0xffc07b7c,GetFirmwareVersion_FW
0xffcaec8c,GetFocusedItemIDOfDialogItem_FW
0xffcaf290,GetFocusScopeToDialog_FW
0xffcaecc4,GetItemHandleOfDialogBox_FW
0xffdc05d0,GetLBOffset_FW
0xffe7ffdc,GetLogToFile_FW
0xffea6778,GetMainPowerLockCounter_FW
0xffd4d8a8,GetMontblancVSize_FW
