0xffc04b28,_GetSystemTime
0xffebd934,_log
0xffeb9e0c,_log10
0xffeb9f94,_pow
0xffebbd30,_sqrt
0xffc121c4,AcquireRecursiveLock
0xffd5214c,AddItemToDialogBox_FW
0xffc0a75c,AllocateMemory
0xffc0a75c,AllocateMemory_FW
0xffc048f0,AllocateUncacheableMemory
0xffc985ec,apex2us
0xffc1acac,BatVoltageToAd_FW
0xffc059ec,CancelHPTimer
0xffc04d90,CancelTimer
0xffc8da20,Capture.Delete_FW
0xffc0f744,CheckAllEventFlag
0xffc0f734,CheckAnyEventFlag
0xffc0a36c,CheckSumAll_FW
0xffc0fb44,ClearEventFlag
0xffc5e4b0,Close
0xffec84f0,close
0xffc5e4b0,Close_FW
0xffc0b638,CloseConsole_FW
0xffec5978,closedir
0xffd53634,ControlEventHandler_FW
0xffc0b36c,CPrintf_FW
0xffc0b3d0,CPutChar_FW
0xffc108ac,CreateBinarySemaphore
0xffc12394,CreateBinarySemaphoreStrictly
0xffd40a0c,CreateController_FW
0xffc10994,CreateCountingSemaphore
0xffc10994,CreateCountingSemaphore_FW
0xffc123c0,CreateCountingSemaphoreStrictly
0xffd51cc8,CreateDialogBox_FW
0xffd5342c,CreateDialogItem_FW
0xffdefe24,CreateDpConnectController_FW
0xffc0f488,CreateEventFlag
0xffc12368,CreateEventFlagStrictly
0xffc0fd74,CreateMessageQueue
0xffc1233c,CreateMessageQueueStrictly
0xffc07188,CreateProxyOfEventProcedure_FW
0xffc12010,CreateRecursiveLock
0xffc123ec,CreateRecursiveLockStrictly
0xffc1125c,CreateTask
0xffc1125c,CreateTask_FW
0xffc122fc,CreateTaskStrictly
0xffe105ec,DBG_changeTraceLevel_FW
0xffc03ae8,DebugAssert
0xffd40ac4,DeleteController_FW
0xffd51ed8,DeleteDialogBox_FW
0xffd52060,DeleteDialogBoxAfterGetTopOfControl_FW
0xffd5351c,DeleteDialogItem_FW
0xffdf00b8,DeleteDpConnectController_FW
0xffc0f594,DeleteEventFlag
0xffc57620,DeleteFile_Fut
0xffd52220,DeleteItemFromDialogBox_FW
0xffc0fec4,DeleteMessageQueue
0xffd57044,DeletePalette_FW
0xffc07210,DeleteProxyOfEventProcedure_FW
0xffc1212c,DeleteRecursiveLock
0xffc10aa0,DeleteSemaphore
0xffc10aa0,DeleteSemaphore_FW
0xffd479bc,DisableAutoShutdown_FW
0xffcb8994,DisableOBClampField_FW
0xffd5ea2c,DisableRefreshPhysicalScreen_FW
0xffd10e34,DispCon_ShowBitmapColorBar
0xffd526fc,DisplayDialogBox_FW
0xffd312e4,DoAFLock,(stubs_entry_2.s)
0xffd52b10,DrawBinaryBitmapToDialog_FW
0xffd5359c,DrawDialogItem_FW
0xffd529c0,DrawStringToDialog_FW
0xffc0a634,Dump32_FW
0xffd479d4,EnableAutoShutdown_FW
0xffc0fd34,EnableInterrupt
0xffcb897c,EnableOBClampField_FW
0xffd5ea18,EnableRefreshPhysicalScreen_FW
0xffc6f478,EngDrvBits
0xffc6f45c,EngDrvIn
0xffc6f444,EngDrvOut
0xffc6f464,EngDrvRead
0xffc8d884,EngineDriver.Delete_FW
0xffeb53bc,EraseLogSector_FW
0xffc1294c,EraseSectorOfRom_FW
0xffc0a840,EraseSignature_FW
0xffec6144,errnoOfTaskGet
0xffc0a8c8,exec_FW
0xffc06808,ExecuteEventProcedure
0xffc06808,ExecuteEventProcedure_FW
0xffd734e4,ExecuteResetFactoryWithRomWrite_FW
0xffd331a8,ExitFromCompensationEVF,(stubs_entry_2.s)
0xffc1161c,ExitTask
0xffc1161c,ExitTask_FW
0xffc069f0,ExportToEventProcedure_FW
0xffe7ce40,FA.Delete_FW
0xffc57760,Fclose_Fut
0xffc57760,Fclose_Fut_FW
0xffc57974,Feof_Fut
0xffc579ac,Fflush_Fut
0xffc578e4,Fgets_Fut
0xffd52960,FillRectangleToDialog_FW
0xffde6b34,FmtMenu_ExecuteQuickFormat_FW
0xffc57724,Fopen_Fut
0xffc57724,Fopen_Fut_FW
0xffc57844,Fread_Fut
0xffc57844,Fread_Fut_FW
0xffc0a748,FreeMemory
0xffc0a748,FreeMemory_FW
0xffc04924,FreeUncacheableMemory
0xffc5792c,Fseek_Fut
0xffc5792c,Fseek_Fut_FW
0xffc57894,Fwrite_Fut
0xffc57894,Fwrite_Fut_FW
0xffc197bc,GetAdChValue_FW
0xffc197fc,GetAdVBattBottom_FW
0xffd5380c,GetAttributeFromDialogItem_FW
0xffc1d030,GetBatteryTemperature
0xffc0a1b4,GetBuildDate_FW
0xffc0a1cc,GetBuildTime_FW
0xffc1d01c,GetCCDTemperature
0xffc0b404,GetCh_FW
0xffe83c88,GetCurrentAvValue
0xffd77c8c,GetCurrentCaptureModeType_FW
0xffe83c30,GetCurrentTargetDistance
0xffd52b78,GetDialogBoxWindow_FW
0xffd5396c,GetDialogItemPosition_FW
0xffd52e14,GetDialogItemPositionToDialog_FW
0xffd539ec,GetDialogItemResolution_FW
0xffd52e48,GetDialogItemResolutionToDialog_FW
0xffc5dc88,GetDrive_ClusterSize,(stubs_entry_2.s)
0xffc5dd00,GetDrive_FreeClusters,(stubs_entry_2.s)
0xffc5dcc4,GetDrive_TotalClusters,(stubs_entry_2.s)
0xffc0fb94,GetEventFlagValue
0xffc0a1f0,GetFirmwareVersion_FW
0xffd52624,GetFocusedItemIDOfDialogItem_FW
0xffd52c08,GetFocusScopeToDialog_FW
0xffd5265c,GetItemHandleOfDialogBox_FW
0xffc17cac,GetKbdState
0xffc1ac70,GetLBOffset_FW
0xffeb52e0,GetLogToFile_FW
0xffd47f00,GetMainPowerLockCounter_FW
0xffc1082c,GetNumberOfPostedMessages
0xffc1d008,GetOpticalTemperature
0xffd57254,GetPaletteFromPhysicalScreen_FW
0xffc144f0,GetPropertyCase
0xffd53724,GetPropertyFromDialogItem_FW
0xffd520b4,GetPropertyFromDialogItemWithID_FW
0xffd40d34,GetSelfControllerHandle_FW
0xffc10f28,GetSemaphoreValue
0xffc0fd08,GetSRAndDisableInterrupt
0xffc0b468,GetStringWithPrompt_FW
0xffc0a870,GetSystemTime_FW
0xffc047f4,GetTimeOfSystem_FW
0xffe88958,GetVRAMHPixelsSize
0xffe88964,GetVRAMVPixelsSize
0xffe6709c,GetZoomLensCurrentPoint
0xffe670b0,GetZoomLensCurrentPosition
0xffc10e54,GiveSemaphore
0xffc10e54,GiveSemaphore_FW
0xffe7da40,InitializeAdjustmentFunction_FW
0xffe7d9b0,InitializeAdjustmentSystem_FW
0xffc8d95c,InPort_FW
0xffd53350,InstallDialogItem_FW
0xffddc4b0,InstallMyCameraMenu_FW
0xffe2304c,InstallPrintMenu_FW
0xffec9710,iosDevAdd
0xffec96e8,iosDevDelete
0xffec99d4,iosDrvInstall
0xffebf8ec,isalpha
0xffddd20c,IsCalledStopEVF_FW
0xffd45a5c,IsControlEventActive_FW
0xffebf91c,isdigit
0xffd478b4,IsDisableAutoShutdown_FW
0xffd5ea40,IsEnableRefreshPhysicalScreen_FW
0xffebf94c,islower
0xffebf97c,ispunct
0xffebf994,isspace
0xffced918,IsStrobeChargeCompleted
0xffebf9ac,isupper
0xffebf9c4,isxdigit
0xffc16918,kbd_p1_f
0xffc16924,kbd_p1_f_cont
0xffc16cfc,kbd_p2_f
0xffc17cd4,kbd_pwr_off
0xffc17cac,kbd_pwr_on
0xffc169e4,kbd_read_keys
0xffc1771c,kbd_read_keys_r2
0xffd52fc8,KeepDefaultMoveFocusEventToDialog_FW
0xffeacee8,LoadScript_FW
0xffc041b8,LocalTime
0xffd47d64,LockMainPower
0xffd47d64,LockMainPower_FW
0xffd5e8b0,LockPhysicalScreen_FW
0xffd52ec4,LockRefreshDialog_FW
0xffc07c48,LogCameraEvent
0xffd43fd4,LogiEvnt_LoadCameraLog_FW
0xffc1ac98,LowBat_Result_Print_Off_FW
0xffc1ac80,LowBat_Result_Print_On_FW
0xffc5e598,Lseek
0xffec8634,lseek
0xffc5e598,Lseek_FW
0xffeab480,MakeBootDisk_FW
0xffc576ac,MakeDirectory_Fut
0xffeab494,MakeScriptDisk_FW
0xffecb530,malloc_alt
0xffec3518,memchr
0xffec354c,memcmp
0xffec354c,memcmp_FW
0xffec3588,memcpy
0xffec3588,memcpy_FW
0xffeb6744,MemoryChecker_FW
0xffecb950,memPartInfoGet
0xffec3600,memset
0xffec3600,memset_FW
0xffecb940,memShow_FW
0xffc5e698,mkdir
0xffec4334,mktime
0xffd6db78,ModeLevelMovieRecForScript_FW
0xffd6db84,ModeLevelPlayForScript_FW
0xffd6db6c,ModeLevelStillRecForScript_FW
0xffc0a890,MonSelEvent_FW
0xffd40bfc,MoveControllerToTopOfZOrder_FW
0xffd51fc0,MoveDialogBoxPosition_FW
0xffd52d04,MoveDialogControllerToTopOfZOrder_FW
0xffd53878,MoveDialogItemPosition_FW
0xffd52dac,MoveDialogItemPositionToDialog_FW
0xffe83ed0,MoveFocusLensToDistance
0xffd52c54,MoveViewPortPosition_FW
0xffe66f7c,MoveZoomLensWithPoint
0xffd39f8c,NR_GetDarkSubType
0xffd39efc,NR_SetDarkSubType
0xffc5e488,Open
0xffec8b34,open
0xffc5e488,Open_FW
0xffc0b4ec,OpenConsole_FW
0xffec59ac,opendir
0xffc8d948,OutPort_FW
0xffc0a808,Peek16_FW
0xffc0a7ec,Peek32_FW
0xffc0a824,Peek8_FW
0xffc0a7a4,Poke16_FW
0xffc0a780,Poke32_FW
0xffc0a7c8,Poke8_FW
0xffd43e24,PostEventShootSeqToUI_FW
0xffd43d20,PostLogicalEventForNotPowerType
0xffd43d20,PostLogicalEventForNotPowerType_FW
0xffd43d9c,PostLogicalEventToUI
0xffd43d9c,PostLogicalEventToUI_FW
0xffc104d8,PostMessageQueue
0xffd5f444,PrintBmpVramInfo_FW
0xffc02d8c,printclock_FW
0xffd5f478,PrintCurrPalette_FW
0xffeacf0c,Printf_FW
0xffd3efa8,PT_atoi_FW
