0xffc04b28,_GetSystemTime
0xffed331c,_log
0xffecf7f4,_log10
0xffecf97c,_pow
0xffed1718,_sqrt
0xffc121c4,AcquireRecursiveLock
0xffd63030,AddItemToDialogBox_FW
0xffc0a75c,AllocateMemory
0xffc0a75c,AllocateMemory_FW
0xffc048f0,AllocateUncacheableMemory
0xffc9f288,apex2us
0xffc1acc0,BatVoltageToAd_FW
0xffc059ec,CancelHPTimer
0xffc04d90,CancelTimer
0xffc8d9a4,Capture.Delete_FW
0xffc0f744,CheckAllEventFlag
0xffc0f734,CheckAnyEventFlag
0xffc0a36c,CheckSumAll_FW
0xffc0fb44,ClearEventFlag
0xffc5e4c4,Close
0xffeddf24,close
0xffc5e4c4,Close_FW
0xffc0b638,CloseConsole_FW
0xffedb3ac,closedir
0xffd64518,ControlEventHandler_FW
0xffc0b36c,CPrintf_FW
0xffc0b3d0,CPutChar_FW
0xffc108ac,CreateBinarySemaphore
0xffc12394,CreateBinarySemaphoreStrictly
0xffd5131c,CreateController_FW
0xffc10994,CreateCountingSemaphore
0xffc10994,CreateCountingSemaphore_FW
0xffc123c0,CreateCountingSemaphoreStrictly
0xffd62bac,CreateDialogBox_FW
0xffd64310,CreateDialogItem_FW
0xffe01304,CreateDpConnectController_FW
0xffc0f488,CreateEventFlag
0xffc12368,CreateEventFlagStrictly
0xffc0fd74,CreateMessageQueue
0xffc1233c,CreateMessageQueueStrictly
0xffc07188,CreateProxyOfEventProcedure_FW
0xffc12010,CreateRecursiveLock
0xffc123ec,CreateRecursiveLockStrictly
0xffc1125c,CreateTask
0xffc1125c,CreateTask_FW
0xffc122fc,CreateTaskStrictly
0xffe21ac8,DBG_changeTraceLevel_FW
0xffc03ae8,DebugAssert
0xffd513d4,DeleteController_FW
0xffd62dbc,DeleteDialogBox_FW
0xffd62f44,DeleteDialogBoxAfterGetTopOfControl_FW
0xffd64400,DeleteDialogItem_FW
0xffe01598,DeleteDpConnectController_FW
0xffc0f594,DeleteEventFlag
0xffc57634,DeleteFile_Fut
0xffd63104,DeleteItemFromDialogBox_FW
0xffc0fec4,DeleteMessageQueue
0xffd67f28,DeletePalette_FW
0xffc07210,DeleteProxyOfEventProcedure_FW
0xffc1212c,DeleteRecursiveLock
0xffc10aa0,DeleteSemaphore
0xffc10aa0,DeleteSemaphore_FW
0xffd582cc,DisableAutoShutdown_FW
0xffcc0c64,DisableOBClampField_FW
0xffd6f910,DisableRefreshPhysicalScreen_FW
0xffd217e8,DispCon_ShowBitmapColorBar
0xffd635e0,DisplayDialogBox_FW
0xffd41c64,DoAFLock,(stubs_entry_2.s)
0xffd639f4,DrawBinaryBitmapToDialog_FW
0xffd64480,DrawDialogItem_FW
0xffd638a4,DrawStringToDialog_FW
0xffc0a634,Dump32_FW
0xffd582e4,EnableAutoShutdown_FW
0xffc0fd34,EnableInterrupt
0xffcc0c4c,EnableOBClampField_FW
0xffd6f8fc,EnableRefreshPhysicalScreen_FW
0xffc6f48c,EngDrvBits
0xffc6f470,EngDrvIn
0xffc6f458,EngDrvOut
0xffc6f478,EngDrvRead
0xffc8d808,EngineDriver.Delete_FW
0xffecadd0,EraseLogSector_FW
0xffc1294c,EraseSectorOfRom_FW
0xffc0a840,EraseSignature_FW
0xffedbb78,errnoOfTaskGet
0xffc0a8c8,exec_FW
0xffc06808,ExecuteEventProcedure
0xffc06808,ExecuteEventProcedure_FW
0xffd843c8,ExecuteResetFactoryWithRomWrite_FW
0xffd43b28,ExitFromCompensationEVF,(stubs_entry_2.s)
0xffc1161c,ExitTask
0xffc1161c,ExitTask_FW
0xffc069f0,ExportToEventProcedure_FW
0xffe92568,FA.Delete_FW
0xffc57774,Fclose_Fut
0xffc57774,Fclose_Fut_FW
0xffc57988,Feof_Fut
0xffc579c0,Fflush_Fut
0xffc578f8,Fgets_Fut
0xffd63844,FillRectangleToDialog_FW
0xffdf8014,FmtMenu_ExecuteQuickFormat_FW
0xffc57738,Fopen_Fut
0xffc57738,Fopen_Fut_FW
0xffc57858,Fread_Fut
0xffc57858,Fread_Fut_FW
0xffc0a748,FreeMemory
0xffc0a748,FreeMemory_FW
0xffc04924,FreeUncacheableMemory
0xffc57940,Fseek_Fut
0xffc57940,Fseek_Fut_FW
0xffc578a8,Fwrite_Fut
0xffc578a8,Fwrite_Fut_FW
0xffc197d0,GetAdChValue_FW
0xffc19810,GetAdVBattBottom_FW
0xffd646f0,GetAttributeFromDialogItem_FW
0xffc1d044,GetBatteryTemperature
0xffc0a1b4,GetBuildDate_FW
0xffc0a1cc,GetBuildTime_FW
0xffc1d030,GetCCDTemperature
0xffc0b404,GetCh_FW
0xffe972cc,GetCurrentAvValue
0xffd88b70,GetCurrentCaptureModeType_FW
0xffe9967c,GetCurrentTargetDistance
0xffd63a5c,GetDialogBoxWindow_FW
0xffd64850,GetDialogItemPosition_FW
0xffd63cf8,GetDialogItemPositionToDialog_FW
0xffd648d0,GetDialogItemResolution_FW
0xffd63d2c,GetDialogItemResolutionToDialog_FW
0xffc5dc9c,GetDrive_ClusterSize
0xffc5dd14,GetDrive_FreeClusters
0xffc5dcd8,GetDrive_TotalClusters
0xffc0fb94,GetEventFlagValue
0xffc0a1f0,GetFirmwareVersion_FW
0xffd63508,GetFocusedItemIDOfDialogItem_FW
0xffd63aec,GetFocusScopeToDialog_FW
0xffd63540,GetItemHandleOfDialogBox_FW
0xffc17cc0,GetKbdState
0xffc1ac84,GetLBOffset_FW
0xffd54598,GetLogicalEventName
0xffecacf4,GetLogToFile_FW
0xffd58810,GetMainPowerLockCounter_FW
0xffc1082c,GetNumberOfPostedMessages
0xffc1d01c,GetOpticalTemperature
0xffd68138,GetPaletteFromPhysicalScreen_FW
0xffc144f0,GetPropertyCase
0xffd64608,GetPropertyFromDialogItem_FW
0xffd62f98,GetPropertyFromDialogItemWithID_FW
0xffd51644,GetSelfControllerHandle_FW
0xffc10f28,GetSemaphoreValue
0xffc0fd08,GetSRAndDisableInterrupt
0xffc0b468,GetStringWithPrompt_FW
0xffc0a870,GetSystemTime_FW
0xffc047f4,GetTimeOfSystem_FW
0xffe9e3a4,GetVRAMHPixelsSize
0xffe9e3b0,GetVRAMVPixelsSize
0xffe781a0,GetZoomLensCurrentPoint
0xffe781b4,GetZoomLensCurrentPosition
0xffc10e54,GiveSemaphore
0xffc10e54,GiveSemaphore_FW
0xffe93168,InitializeAdjustmentFunction_FW
0xffe930d8,InitializeAdjustmentSystem_FW
0xffc8d8e0,InPort_FW
0xffd64234,InstallDialogItem_FW
0xffded990,InstallMyCameraMenu_FW
0xffe33f7c,InstallPrintMenu_FW
0xffedf144,iosDevAdd
0xffedf11c,iosDevDelete
0xffedf408,iosDrvInstall
0xffed5320,isalpha
0xffdee6ec,IsCalledStopEVF_FW
0xffd5636c,IsControlEventActive
0xffd5636c,IsControlEventActive_FW
0xffed5350,isdigit
0xffd581c4,IsDisableAutoShutdown_FW
0xffd6f924,IsEnableRefreshPhysicalScreen_FW
0xffed5380,islower
0xffed53b0,ispunct
0xffed53c8,isspace
0xffcfe554,IsStrobeChargeCompleted
0xffed53e0,isupper
0xffed53f8,isxdigit
0xffc1692c,kbd_p1_f
0xffc16938,kbd_p1_f_cont
0xffc16d10,kbd_p2_f
0xffc17ce8,kbd_pwr_off
0xffc17cc0,kbd_pwr_on
0xffc169f8,kbd_read_keys
0xffc17730,kbd_read_keys_r2
0xffd63eac,KeepDefaultMoveFocusEventToDialog_FW
0xffec28fc,LoadScript_FW
0xffc041b8,LocalTime
0xffd58674,LockMainPower
0xffd58674,LockMainPower_FW
0xffd6f794,LockPhysicalScreen_FW
0xffd63da8,LockRefreshDialog_FW
0xffc07c48,LogCameraEvent
0xffd548e4,LogiEvnt_LoadCameraLog_FW
0xffc1acac,LowBat_Result_Print_Off_FW
0xffc1ac94,LowBat_Result_Print_On_FW
0xffc5e5ac,Lseek
0xffede068,lseek
0xffc5e5ac,Lseek_FW
0xffec0e94,MakeBootDisk_FW
0xffc576c0,MakeDirectory_Fut
0xffec0ea8,MakeScriptDisk_FW
0xffee0f64,malloc_alt
0xffed8f4c,memchr
0xffed8f80,memcmp
0xffed8f80,memcmp_FW
0xffed8fbc,memcpy
0xffed8fbc,memcpy_FW
0xffecc158,MemoryChecker_FW
0xffee1384,memPartInfoGet
0xffed9034,memset
0xffed9034,memset_FW
0xffee1374,memShow_FW
0xffc5e6ac,mkdir
0xffed9d68,mktime
0xffd7ea5c,ModeLevelMovieRecForScript_FW
0xffd7ea68,ModeLevelPlayForScript_FW
0xffd7ea50,ModeLevelStillRecForScript_FW
0xffc0a890,MonSelEvent_FW
0xffd5150c,MoveControllerToTopOfZOrder_FW
0xffd62ea4,MoveDialogBoxPosition_FW
0xffd63be8,MoveDialogControllerToTopOfZOrder_FW
0xffd6475c,MoveDialogItemPosition_FW
0xffd63c90,MoveDialogItemPositionToDialog_FW
0xffe9991c,MoveFocusLensToDistance
0xffd63b38,MoveViewPortPosition_FW
0xffe78080,MoveZoomLensWithPoint
0xffd4a898,NR_GetDarkSubType
0xffd4a808,NR_SetDarkSubType
0xffc5e49c,Open
0xffede568,open
0xffc5e49c,Open_FW
0xffc0b4ec,OpenConsole_FW
0xffedb3e0,opendir
0xffc8d8cc,OutPort_FW
0xffd81750,PB2Rec
0xffc0a808,Peek16_FW
0xffc0a7ec,Peek32_FW
0xffc0a824,Peek8_FW
0xffc0a7a4,Poke16_FW
0xffc0a780,Poke32_FW
0xffc0a7c8,Poke8_FW
0xffd54734,PostEventShootSeqToUI_FW
0xffd54630,PostLogicalEventForNotPowerType
0xffd54630,PostLogicalEventForNotPowerType_FW
0xffd546ac,PostLogicalEventToUI
0xffd546ac,PostLogicalEventToUI_FW
0xffc104d8,PostMessageQueue
0xffd70328,PrintBmpVramInfo_FW
0xffc02d8c,printclock_FW
0xffd7035c,PrintCurrPalette_FW
0xffec2920,Printf_FW
0xffd4f8b8,PT_atoi_FW
0xffd4fc4c,PT_BatLvChange_Low_FW
0xffd4fc3c,PT_BatLvChange_PreWeak_FW
0xffd4fc54,PT_BatLvChange_SysLow_FW
0xffd4fc44,PT_BatLvChange_Weak_FW
0xffd4f87c,PT_EraseAllFile_FW
0xffd4fccc,PT_FinishBatteryTest_FW
0xffd4fdc4,PT_GetBatteryLevel_FW
0xffd4faa0,PT_GetLocalDateAndTimeString_FW
0xffd4fa3c,PT_GetLocalDateString_FW
0xffd4f9e0,PT_GetLocalTimeString_FW
0xffd4fe8c,PT_GetLowBatLv_FW
0xffd4fddc,PT_GetPreWeakBatLv_FW
0xffd4f934,PT_GetPropertyCaseInt_FW
0xffd4f920,PT_GetPropertyCaseString_FW
0xffd4fee4,PT_GetSysLowBatLv_FW
0xffd4f8c4,PT_GetSystemTime
0xffd4f8c4,PT_GetSystemTime_FW
0xffd4fe34,PT_GetWeakBatLv_FW
0xffd4fb4c,PT_LCD_BkColor_FW
0xffd4fc08,PT_LCD_BkColorDef_FW
0xffd4f8ac,PT_mod_FW
0xffd4fb34,PT_PlaySound
0xffd4fb34,PT_PlaySound_FW
