0xffc036e8,_GetSystemTime
0xffef8824,_log
0xffef7ca4,_log10
0xffcca3b0,_pow
0xffccc270,_sqrt
0xffebf7dc,AcquireRecursiveLock
0xffcbbbf8,AddItemToDialogBox_FW
0xffc08660,AllocateMemory
0xffc08660,AllocateMemory_FW
0xffc0e5a0,AllocateUncacheableMemory
0xffceb000,apex2us
0xffcd0e84,atol_FW
0xffde2794,BatVoltageToAd_FW
0xffc04640,CancelHPTimer
0xffc03950,CancelTimer
0xffce8cac,Capture.Delete_FW
0xffebccf4,CheckAllEventFlag
0xffebcce4,CheckAnyEventFlag
0xffc0819c,CheckSumAll_FW
0xffebd0f4,ClearEventFlag
0xffe8b5d0,ClearISIComponent_FW
0xffe8b5ec,ClearISZData_FW
0xffe46b58,Close
0xffcd6b38,close
0xffe46b58,Close_FW
0xffc09518,CloseConsole_FW
0xffef9ee4,closedir
0xffe8ac20,CommunicateISCPU_FW
0xffcbcd78,ControlEventHandler_FW
0xffc09250,CPrintf_FW
0xffc092b4,CPutChar_FW
0xffebde5c,CreateBinarySemaphore
0xffebf9ac,CreateBinarySemaphoreStrictly
0xffed8c60,CreateController_FW
0xffebdf44,CreateCountingSemaphore
0xffebdf44,CreateCountingSemaphore_FW
0xffebf9d8,CreateCountingSemaphoreStrictly
0xffcbb6f0,CreateDialogBox_FW
0xffcbcb70,CreateDialogItem_FW
0xffc80c4c,CreateDpConnectController_FW
0xffebca38,CreateEventFlag
0xffebf980,CreateEventFlagStrictly
0xffebd324,CreateMessageQueue
0xffebf954,CreateMessageQueueStrictly
0xffc053d4,CreateProxyOfEventProcedure_FW
0xffebf628,CreateRecursiveLock
0xffebfa04,CreateRecursiveLockStrictly
0xffebe874,CreateTask
0xffebe874,CreateTask_FW
0xffebf914,CreateTaskStrictly
0xffc9fba8,DBG_changeTraceLevel_FW
0xffeca7b0,DebugAssert
0xffe8ac98,DelaySet_FW
0xffed8d24,DeleteController_FW
0xffcbb8ec,DeleteDialogBox_FW
0xffcbbb0c,DeleteDialogBoxAfterGetTopOfControl_FW
0xffcbcc60,DeleteDialogItem_FW
0xffc80ebc,DeleteDpConnectController_FW
0xffebcb44,DeleteEventFlag
0xffe4212c,DeleteFile_Fut
0xffcbbccc,DeleteItemFromDialogBox_FW
0xffebd474,DeleteMessageQueue
0xffcbe854,DeletePalette_FW
0xffc0545c,DeleteProxyOfEventProcedure_FW
0xffebf744,DeleteRecursiveLock
0xffebe05c,DeleteSemaphore
0xffebe05c,DeleteSemaphore_FW
0xffee07fc,DisableAutoShutdown_FW
0xffd69870,DisableOBClampField_FW
0xffcc6554,DisableRefreshPhysicalScreen_FW
0xffddafd8,DispCon_ShowBitmapColorBar
0xffcbbfb4,DisplayDialogBox_FW
0xffe8ac7c,DMASioSet_FW
0xffea4bdc,DoAFLock
0xffcbc3c8,DrawBinaryBitmapToDialog_FW
0xffcbcce0,DrawDialogItem_FW
0xffcbc278,DrawStringToDialog_FW
0xffc0863c,Dump32_FW
0xffc08460,Dump_FW
0xffee0814,EnableAutoShutdown_FW
0xffebd2e4,EnableInterrupt
0xffd69858,EnableOBClampField_FW
0xffcc6540,EnableRefreshPhysicalScreen_FW
0xffdf3388,EngDrvBits
0xffdf336c,EngDrvIn
0xffdf3354,EngDrvOut
0xffdf3374,EngDrvRead
0xffe02450,EngineDriver.Delete_FW
0xffea4f84,EnterToCompensationEVF
0xffebad50,EraseLogSector_FW
0xffec2398,EraseSectorOfRom_FW
0xffc086f4,EraseSignature_FW
0xffcd478c,errnoOfTaskGet
0xffc0877c,exec_FW
0xffc04a54,ExecuteEventProcedure
0xffc04a54,ExecuteEventProcedure_FW
0xffc14688,ExecuteResetFactoryWithRomWrite_FW
0xffea5008,ExitFromCompensationEVF
0xffebec34,ExitTask
0xffebec34,ExitTask_FW
0xffc0d550,ExMem.AllocCacheable_FW
0xffc0d524,ExMem.AllocUncacheable_FW
0xffc0d568,ExMem.FreeCacheable_FW
0xffc0d53c,ExMem.FreeUncacheable_FW
0xffc0e4fc,exmem_free
0xffc053bc,ExportToEventProcedure_FW
0xffe14444,FA.Delete_FW
0xffe422a0,Fclose_Fut
0xffe422a0,Fclose_Fut_FW
0xffe4249c,Feof_Fut
0xffe424d8,Fflush_Fut
0xffe42404,Fgets_Fut
0xffcbc218,FillRectangleToDialog_FW
0xffc778cc,FmtMenu_ExecuteQuickFormat_FW
0xffe42260,Fopen_Fut
0xffe42260,Fopen_Fut_FW
0xffe4235c,Fread_Fut
0xffe4235c,Fread_Fut_FW
0xffcd9b84,free
0xffc0864c,FreeMemory
0xffc0864c,FreeMemory_FW
0xffe42450,Fseek_Fut
0xffe42450,Fseek_Fut_FW
0xffe423b0,Fwrite_Fut
0xffe423b0,Fwrite_Fut_FW
0xffde0834,GetAdChValue_FW
0xffde0864,GetAdVBattBottom_FW
0xffcbcf50,GetAttributeFromDialogItem_FW
0xffdeac78,GetBatteryTemperature
0xffc07f24,GetBuildDate_FW
0xffc07f3c,GetBuildTime_FW
0xffdeac64,GetCCDTemperature
0xffc092e8,GetCh_FW
0xffe8ac70,GetCheckSum_FW
0xffe05c74,GetCurrentAvValue
0xffc17d60,GetCurrentCaptureModeType_FW
0xffe08374,GetCurrentTargetDistance
0xffcbc430,GetDialogBoxWindow_FW
0xffcbd0b0,GetDialogItemPosition_FW
0xffcbc5b8,GetDialogItemPositionToDialog_FW
0xffcbd130,GetDialogItemResolution_FW
0xffcbc5ec,GetDialogItemResolutionToDialog_FW
0xffe46344,GetDrive_ClusterSize
0xffe463bc,GetDrive_FreeClusters
0xffe46380,GetDrive_TotalClusters
0xffebd144,GetEventFlagValue
0xffc07f60,GetFirmwareVersion_FW
0xffcbbedc,GetFocusedItemIDOfDialogItem_FW
0xffe72080,GetFocusLensSubjectDistanceFromLens
0xffcbc4e0,GetFocusScopeToDialog_FW
0xffe8b3a8,GetISADData_FW
0xffe8b89c,GetISCoefficientD_A_FW
0xffe8b8dc,GetISCoefficientD_B_FW
0xffe8b81c,GetISCoefficientI_A_FW
0xffe8b85c,GetISCoefficientI_B_FW
0xffe8b79c,GetISCoefficientP_A_FW
0xffe8b7dc,GetISCoefficientP_B_FW
0xffe8b4f8,GetISDampAaxis_FW
0xffe8b530,GetISDampBaxis_FW
0xffe8b364,GetISDbgData_FW
0xffe8b054,GetISDriveAaxis_FW
0xffe8b090,GetISDriveBaxis_FW
0xffe8b568,GetISEViAaxis_FW
0xffe8b5a0,GetISEViBaxis_FW
0xffe8b3f0,GetISFirmVersion_FW
0xffe8b258,GetISGyroGainAaxis_FW
0xffe8b298,GetISGyroGainBaxis_FW
0xffe8b1d8,GetISHallGainAaxis_FW
0xffe8b218,GetISHallGainBaxis_FW
0xffe8b154,GetISHallOffsetAaxis_FW
0xffe8b198,GetISHallOffsetBaxis_FW
0xffe8b498,GetISHallOut1Amp_FW
0xffe8b698,GetISLPFAaxis_FW
0xffe8b6c8,GetISLPFBaxis_FW
0xffe8b444,GetISParamVersion_FW
0xffe8b618,GetISPLFAaxis_FW
0xffe8b648,GetISPLFBaxis_FW
0xffe8b0d0,GetISPositionAaxis_FW
0xffe8b110,GetISPositionBaxis_FW
0xffcbbf14,GetItemHandleOfDialogBox_FW
0xffde7bac,GetKbdState
0xffde2758,GetLBOffset_FW
0xffebaba0,GetLogToFile_FW
0xffee0d40,GetMainPowerLockCounter_FW
0xffd65cb0,GetMontblancVSize_FW
0xffebdddc,GetNumberOfPostedMessages
0xffdeac50,GetOpticalTemperature
0xffcbea64,GetPaletteFromPhysicalScreen_FW
0xffcbce68,GetPropertyFromDialogItem_FW
0xffcbbb60,GetPropertyFromDialogItemWithID_FW
0xffde6904,GetSDProtect
0xffed8fc0,GetSelfControllerHandle_FW
0xffebe52c,GetSemaphoreValue
0xffebd2b8,GetSRAndDisableInterrupt
0xffc0934c,GetStringWithPrompt_FW
0xffc08724,GetSystemTime_FW
0xffecb4bc,GetTimeOfSystem_FW
0xffe0c924,GetVRAMHPixelsSize
0xffe0c930,GetVRAMVPixelsSize
0xffe86db8,GetZoomLensCurrentPoint
0xffe86dcc,GetZoomLensCurrentPosition
0xffebe440,GiveSemaphore
0xffebe440,GiveSemaphore_FW
0xffee0f38,HardwareDefect_FW
0xffee0f68,HardwareDefectWithRestart_FW
0xffe02544,InitializeAdjustmentFunction_FW
0xffe024b4,InitializeAdjustmentSystem_FW
0xffce8be4,InPort_FW
0xffcbca94,InstallDialogItem_FW
0xffcd7d58,iosDevAdd
0xffcd7d30,iosDevDelete
0xffcd801c,iosDrvInstall
0xffcce110,isalpha
0xffe8af90,ISAutoCenter_FW
0xffede624,IsControlEventActive_FW
0xffe8b310,ISControlStart_FW
0xffe8b31c,ISControlStop_FW
0xffcce140,isdigit
0xffee06f4,IsDisableAutoShutdown_FW
0xffcc6568,IsEnableRefreshPhysicalScreen_FW
0xffe8af7c,ISInitMotion_FW
0xffcce170,islower
0xffe8b4c8,ISMDStart_FW
0xffe8b4d4,ISMDStop_FW
0xffe8b328,ISPanModeStart_FW
0xffe8b334,ISPanModeStop_FW
0xffcce1a0,ispunct
0xffcce1b8,isspace
0xffd5e208,IsStrobeChargeCompleted
0xffcce1d0,isupper
0xffcce1e8,isxdigit
0xffe8ac8c,JumpToProgFirst_FW
0xffde5e68,kbd_p1_f
0xffde5e74,kbd_p1_f_cont
0xffde7bd4,kbd_pwr_off
0xffde5f34,kbd_read_keys
0xffde74f0,kbd_read_keys_r2
0xffcbc76c,KeepDefaultMoveFocusEventToDialog_FW
0xffec28a8,LoadScript_FW
0xffecb0c4,LocalTime
0xffee0ba4,LockMainPower
0xffee0ba4,LockMainPower_FW
0xffcc63d8,LockPhysicalScreen_FW
0xffcbc668,LockRefreshDialog_FW
0xffc058a0,LogCameraEvent
0xffde2780,LowBat_Result_Print_Off_FW
0xffde2768,LowBat_Result_Print_On_FW
0xffe46c50,Lseek
0xffcd6c7c,lseek
0xffe46c50,Lseek_FW
0xffc0c92c,MakeBootDisk_FW
0xffe421e0,MakeDirectory_Fut
0xffc0c940,MakeScriptDisk_FW
0xffcd9b78,malloc_alt
0xffcd1d3c,memchr
0xffcd1d70,memcmp
0xffcd1d70,memcmp_FW
0xffcd1dac,memcpy
0xffcd1dac,memcpy_FW
0xffebff90,MemoryChecker_FW
0xffcd9f98,memPartInfoGet
0xffcd1e24,memset
0xffcd1e24,memset_FW
0xffcd9f88,memShow_FW
0xffcd2b58,mktime
0xffc0f350,ModeLevelMovieRecForScript_FW
0xffc0f35c,ModeLevelPlayForScript_FW
0xffc0f344,ModeLevelStillRecForScript_FW
0xffc08744,MonSelEvent_FW
0xffe45e7c,Mount_FileSystem
0xffed8e5c,MoveControllerToTopOfZOrder_FW
0xffcbba20,MoveDialogBoxPosition_FW
0xffcbc52c,MoveDialogControllerToTopOfZOrder_FW
0xffcbcfbc,MoveDialogItemPosition_FW
0xffcbc550,MoveDialogItemPositionToDialog_FW
0xffe0860c,MoveFocusLensToDistance
0xffe79ab4,MoveIrisWithAv
0xffcbb990,MoveViewPortPosition_FW
0xffe86c90,MoveZoomLensWithPoint
0xffeafe28,NR_GetDarkSubType
0xffeafd98,NR_SetDarkSubType
0xffe46b30,Open
0xffcd717c,open
0xffe46b30,Open_FW
0xffc093d0,OpenConsole_FW
0xffef9f18,opendir
0xffce8bd0,OutPort_FW
0xffc086cc,Peek16_FW
0xffc086c0,Peek32_FW
0xffc086e0,Peek8_FW
0xffc08698,Poke16_FW
0xffc08684,Poke32_FW
0xffc086ac,Poke8_FW
0xffedc8d0,PostEventShootSeqToUI_FW
0xffedc7cc,PostLogicalEventForNotPowerType
0xffedc7cc,PostLogicalEventForNotPowerType_FW
0xffedc848,PostLogicalEventToUI
0xffedc848,PostLogicalEventToUI_FW
0xffebda88,PostMessageQueue
0xffcc6e90,PrintBmpVramInfo_FW
0xffc02274,printclock_FW
0xffcc6ec0,PrintCurrPalette_FW
0xffec28cc,Printf_FW
0xffeb4f70,PT_atoi_FW
0xffeb549c,PT_BatLvChange_Low_FW
0xffeb548c,PT_BatLvChange_PreWeak_FW
0xffeb54a4,PT_BatLvChange_SysLow_FW
0xffeb5494,PT_BatLvChange_Weak_FW
0xffeb585c,PT_ChangeZoomSpeed_FW
0xffeb58c0,PT_DoAELock_FW
0xffeb58a0,PT_DoAFLock_FW
0xffeb4f18,PT_EraseAllFile_FW
0xffeb5618,PT_FinishBatteryTest_FW
0xffeb5660,PT_GetBatteryLevel_FW
0xffeb5158,PT_GetLocalDateAndTimeString_FW
0xffeb50f4,PT_GetLocalDateString_FW
0xffeb5254,PT_GetLocalDayString_FW
0xffeb52b0,PT_GetLocalHourMinSecString_FW
0xffeb5200,PT_GetLocalMonthString_FW
0xffeb5098,PT_GetLocalTimeString_FW
0xffeb51ac,PT_GetLocalYearString_FW
0xffeb5748,PT_GetLowBatLv_FW
0xffeb5678,PT_GetPreWeakBatLv_FW
0xffeb4fec,PT_GetPropertyCaseInt_FW
0xffeb4fd8,PT_GetPropertyCaseString_FW
0xffeb57b0,PT_GetSysLowBatLv_FW
0xffeb4f7c,PT_GetSystemTime
0xffeb4f7c,PT_GetSystemTime_FW
0xffeb56e0,PT_GetWeakBatLv_FW
0xffeb539c,PT_LCD_BkColor_FW
0xffeb5458,PT_LCD_BkColorDef_FW
0xffeb58f0,PT_MFOff_FW
0xffeb58e0,PT_MFOn_FW
0xffeb4f50,PT_mod_FW
