0xffe68418,_dadd
0xffe68dcc,_dcmp
0xffe69054,_dcmp_reverse
0xffe686c0,_ddiv
0xffe68c58,_dfix
0xffe68d08,_dfixu
0xffe68d90,_dflt
0xffe68dc0,_dfltu
0xffe66bbc,_divmod_signed_int
0xffe683d0,_divmod_unsigned_int
0xffe68e54,_dmul
0xffe690f4,_drsb
0xffe692b8,_dsub
0xffe6966c,_f2d
0xffe696e8,_fdiv
0xffe6990c,_ffix
0xffe69980,_ffixu
0xffe699e0,_fflt
0xffe69a14,_ffltu
0xffe69a1c,_fmul
0xffc18584,_GetSystemTime
0xffe67ddc,_log
0xffe66d20,_log10
0xffe66e90,_pow
0xffe67d20,_safe_sqrt
0xffe69d44,_scalbn
0xffe69144,_sqrt
0xffc0ce68,_uartr_req
0xffe3c054,AbortAEIntegralValue_FW
0xffc17e1c,AcquireRecursiveLock
0xffc0bd7c,AcquireRecursiveLockStrictly
0xffcdec6c,ActivateAdjLog_FW
0xffda0108,ActivateImager_FW
0xffda0194,ActivateImagerXOne_FW
0xffdaa4e8,add_ptp_handler
0xffd7888c,add_ui_to_dialog
0xffc39dd8,AddAdjDataToFRom_FW
0xffdf2510,AdditionAgentRAM_FW
0xffdc1370,AddTransparentMemory_FW
0xffe420f0,AdjAEWithAperturePriority_FW
0xffe420ac,AfAEWithAperturePriority_FW
0xffe4229c,AfAEWithCompensation_FW
0xffd81d24,AFTool.GetEVal_FW
0xffdf1d74,AllocateMemory
0xffdf1d74,AllocateMemory_FW
0xffc182e4,AllocateUncacheableMemory
0xffd7dd6c,apex2us
0xffc74d68,atol_FW
0xffe3cb38,AttachIntegCrawData_FW
0xffdc13a8,AttachToTransparentMemory_FW
0xffc340fc,Bat_Calc_FW
0xffe43648,Bat_Save_FW
0xffe43634,Bat_VIN_FW
0xffc34718,BeepDrive_FW
0xffe3e354,CalcLog10
0xffe3e390,CalcLog10_FW
0xffc340fc,CalculateBatSenseOffset_FW
0xffe3e330,CalculateLog2ToApex_FW
0xffe3e2f4,CalculatePeakFromLeastSquareResult_FW
0xffe3e344,CalculatePow2FromApex_FW
0xffe41ec8,CancelAdj_AEMode_FW
0xffe3d24c,CancelAdjCdsMode_FW
0xffe40390,CancelBPFilterForBP_FW
0xffe41824,CancelExStrobeMode_FW
0xffded5d4,CancelFocusLensMaxSpeedLimit_FW
0xffc593f0,CancelHPTimer
0xffda02ec,CancelImager_FW
0xffc187a0,CancelTimer
0xffd16d34,Capture.Create_FW
0xffe3cfec,ChangeAdjImgDrvMode_FW
0xffe3d018,ChangeAEIntegDrvTypeToAdjImgDriveType_FW
0xffded78c,ChangeFocusDistanceToPosition_FW
0xffd978a4,ChangeGradeTable_FW
0xffda0390,ChangeImagerToAlternateDraft_FW
0xffda0388,ChangeImagerToDigiconMode_FW
0xffda0350,ChangeImagerToFocusJet_FW
0xffda0378,ChangeImagerToHoneyFlash_FW
0xffda0368,ChangeImagerToJetDraft_FW
0xffda0370,ChangeImagerToJumboDraft_FW
0xffda0358,ChangeImagerToMangoPudding_FW
0xffda0380,ChangeImagerToMillefeAdjust_FW
0xffda03a8,ChangeImagerToMontblancMillefe_FW
0xffda03a0,ChangeImagerToMontblancWhole_FW
0xffda0388,ChangeImagerToOITA_XAVIER_FW
0xffda0360,ChangeImagerToSuperWideDraft_FW
0xffda0398,ChangeImagerToUltraGhostQ_FW
0xffda0310,ChangeImagerToWholeParallel_FW
0xffda032c,ChangeImagerToWholeParallelBP_FW
0xffda0348,ChangeImagerToWideDraft_FW
0xffc4a2c4,ChangeToISCloseControl_FW
0xffe41860,ChargeStrobe_FW
0xffe41894,ChargeStrobeForFA_FW
0xffc176d0,CheckAllEventFlag
0xffc17688,CheckAnyEventFlag
0xffc5ca30,CheckSumAll_FW
0xffc387c4,ClearDUIDFixFlag_FW
0xffc3876c,ClearDurianMode_FW
0xffc178b8,ClearEventFlag
0xffc3876c,ClearFactoryMode_FW
0xffc4a554,ClearISCalcZData_FW
0xffdee5c0,ClearISIComponent_FW
0xffdee5e4,ClearISZData_FW
0xffe56ac8,ClearPMByFs_FW
0xffe56a60,ClearPMByGpio_FW
0xffc13b88,Close
0xffc09f74,close
0xffc13b88,Close_FW
0xffc0c96c,CloseConsole_FW
0xffdd9790,closedir
0xffdeddbc,CloseMechaShutter_FW
0xffdede04,CloseMechaShutterWithTiming_FW
0xffe3d994,CloseMShutter_FW
0xffcad840,COMFACHK_GetTransferTime_FW
0xffcad8a0,COMFACHK_SetSendDataSize_FW
0xffcad7a0,COMFACHK_StartSendData_FW
0xffcad7dc,COMFACHK_StartSendLargeData_FW
