0x00093630,task_AdditionAgent
0xffc00bd0,memShow_FW
0xffc02128,DisableDispatch_low
0xffc02154,EnableDispatch_low
0xffc021a8,get_self_task_id
0xffc0339c,get_task_properties
0xffc03794,get_self_task_errno_pointer
0xffc039c4,malloc
0xffc03a98,free
0xffc03b78,realloc
0xffc03c40,GetMemInfo
0xffc04e1c,drysh_FW
0xffc04e98,err_init_task
0xffc050b4,task_ClockSave
0xffc09ec4,open
0xffc09f74,close
0xffc0a15c,Read
0xffc0a15c,Read_FW
0xffc0b5a0,RegisterInterruptHandler
0xffc0b5c4,UnregisterInterruptHandler
0xffc0b5dc,GetSRAndDisableInterrupt
0xffc0b5e0,SetSR
0xffc0b600,EnableInterrupt
0xffc0b608,CreateBinarySemaphore
0xffc0b670,CreateCountingSemaphore
0xffc0b670,CreateCountingSemaphore_FW
0xffc0b6c8,DeleteSemaphore
0xffc0b6c8,DeleteSemaphore_FW
0xffc0b720,TryTakeSemaphore
0xffc0b774,TakeSemaphore
0xffc0b774,TakeSemaphore_FW
0xffc0b844,GiveSemaphore
0xffc0b844,GiveSemaphore_FW
0xffc0b87c,GetSemaphoreValue
0xffc0b8e0,CreateTask
0xffc0b8e0,CreateTask_FW
0xffc0bb70,ExitTask
0xffc0bb70,ExitTask_FW
0xffc0bbb8,CreateTaskStrictly
0xffc0bbec,CreateMessageQueueStrictly
0xffc0bc10,CreateEventFlagStrictly
0xffc0bc34,CreateBinarySemaphoreStrictly
0xffc0bc58,CreateCountingSemaphoreStrictly
0xffc0bc7c,CreateRecursiveLockStrictly
0xffc0bca0,TakeSemaphoreStrictly
0xffc0bccc,ReceiveMessageQueueStrictly
0xffc0bcf8,PostMessageQueueStrictly
0xffc0bd24,WaitForAnyEventFlagStrictly
0xffc0bd50,WaitForAllEventFlagStrictly
0xffc0bd7c,AcquireRecursiveLockStrictly
0xffc0bdb8,DebugAssert
0xffc0be98,task_ConsoleSvr
0xffc0c4c0,RotateConsoleZOder_FW
0xffc0c550,task_LowConsole
0xffc0c6d0,CPrintf_FW
0xffc0c72c,CPutChar_FW
0xffc0c758,GetCh_FW
0xffc0c7a8,GetStringWithPrompt_FW
0xffc0c808,OpenConsole_FW
0xffc0c96c,CloseConsole_FW
0xffc0cd28,task_Startup
0xffc0ce68,_uartr_req
0xffc0cef8,task_UartLog
0xffc0d04c,StartRedirectUART_FW
0xffc0d7c8,sprintf_FW
0xffc0d80c,vsprintf
0xffc0d88c,strcpy
0xffc0d88c,strcpy_FW
0xffc0d8a4,j_strcmp_FW
0xffc0d8a4,strcmp
0xffc0d8cc,strcmp_FW
0xffc0d8e8,strlen
0xffc0d8e8,strlen_FW
0xffc0d90c,memcmp
0xffc0d90c,memcmp_FW
0xffc0da08,srand
0xffc0da14,rand
0xffc105f4,GetVBatVoltage_FW
0xffc105f4,VbattGet
0xffc105f4,VbattGet_FW
0xffc107dc,task_TempCheck
0xffc1156c,kbd_p2_f
0xffc118c8,task_PhySw
0xffc11ad8,GetSwitchStatus_FW
0xffc11c08,GetSDDetect_FW
0xffc11c10,GetSDProtect
0xffc11c10,GetSDProtect_FW
0xffc11c2c,GetDialEventId_FW
0xffc11c30,kbd_read_keys
0xffc11d34,kbd_p1_f
0xffc11d40,kbd_p1_f_cont
0xffc12b54,EngDrvOut
0xffc12b6c,EngDrvIn
0xffc12b74,EngDrvRead
0xffc12b88,EngDrvBits
0xffc133e0,RenameFile_Fut
0xffc13434,DeleteFile_Fut
0xffc134a8,MakeDirectory_Fut
0xffc13518,DeleteDirectory_Fut
0xffc13570,Fopen_Fut
0xffc13570,Fopen_Fut_FW
0xffc135b0,Fclose_Fut
0xffc135b0,Fclose_Fut_FW
0xffc1365c,Fread_Fut
0xffc1365c,Fread_Fut_FW
0xffc136b0,Fwrite_Fut
0xffc136b0,Fwrite_Fut_FW
0xffc13704,Fgets_Fut
0xffc13750,Fseek_Fut
0xffc13750,Fseek_Fut_FW
0xffc1379c,Feof_Fut
0xffc137d8,Fflush_Fut
0xffc13b60,Open
0xffc13b60,Open_FW
0xffc13b88,Close
0xffc13b88,Close_FW
0xffc13bd0,Remove
0xffc13c30,j_Read_FW
0xffc13c34,Write
0xffc13c34,Write_FW
0xffc13cc8,Lseek
0xffc13cc8,lseek
0xffc13cc8,Lseek_FW
0xffc13d90,j_Lseek_FW
0xffc13d94,stat
0xffc13e64,SetFileTimeStamp
0xffc13eb4,SetFileAttributes
0xffc13f2c,mkdir
0xffc14258,j_StartCameraLog_FW
0xffc1425c,j_ShowCameraLog_FW
0xffc14260,j_ShowCameraLogInfo_FW
0xffc14264,j_StopCameraLog_FW
0xffc14268,j_PutsCameraLogEvent_FW
0xffc1426c,OpLog.Create_FW
0xffc142e8,j_NewTaskShell_FW
0xffc142ec,j_ExMem.View_FW
0xffc142f0,j_ExMem.AllocUncacheable_FW
0xffc142f4,j_ExMem.FreeUncacheable_FW
0xffc142f8,j_ExMem.AllocCacheable_FW
0xffc142fc,j_ExMem.FreeCacheable_FW
0xffc14300,ExMem_FW
0xffc151e8,MoveOpticalZoomAt
0xffc15b04,DoAFLock
0xffc15c1c,UnlockAF
0xffc15f54,EnterToCompensationEVF
0xffc15fa4,ExitFromCompensationEVF
0xffc16054,DoAELock
0xffc16084,UnlockAE
0xffc16698,MenuIn
0xffc166d0,MenuOut
0xffc175e0,CreateEventFlag
0xffc17638,DeleteEventFlag
0xffc17688,CheckAnyEventFlag
0xffc176d0,CheckAllEventFlag
0xffc17718,WaitForAnyEventFlag
0xffc177bc,WaitForAllEventFlag
0xffc17884,SetEventFlag
0xffc178b8,ClearEventFlag
0xffc178f0,GetEventFlagValue
0xffc179f4,CreateMessageQueue
0xffc17a78,DeleteMessageQueue
0xffc17b08,ReceiveMessageQueue
0xffc17bb4,TryReceiveMessageQueue
0xffc17c30,PostMessageQueue
0xffc17ccc,TryPostMessageQueue
0xffc17d0c,GetNumberOfPostedMessages
0xffc17d7c,CreateRecursiveLock
0xffc17dcc,DeleteRecursiveLock
