0xffc04b10,_GetSystemTime
0xffeaf100,_log
0xffeaf7a8,_log10
0xffeafc98,_pow
0xffeb3fe4,_sqrt
0xffc12260,AcquireRecursiveLock
0xffd5502c,AddItemToDialogBox_FW
0xffc0a718,AllocateMemory
0xffc0a718,AllocateMemory_FW
0xffc048d8,AllocateUncacheableMemory
0xffc98f9c,apex2us
0xffc1a334,BatVoltageToAd_FW
0xffc059d4,CancelHPTimer
0xffc04d78,CancelTimer
0xffc8dd48,Capture.Delete_FW
0xffc0f640,CheckAllEventFlag
0xffc0f630,CheckAnyEventFlag
0xffc0a314,CheckSumAll_FW
0xffc0fa40,ClearEventFlag
0xffc5ce8c,Close
0xffec2b80,close
0xffc5ce8c,Close_FW
0xffc0b5f4,CloseConsole_FW
0xffebeb20,closedir
0xffd5644c,ControlEventHandler_FW
0xffc0b328,CPrintf_FW
0xffc0b38c,CPutChar_FW
0xffc10840,CreateBinarySemaphore
0xffc12430,CreateBinarySemaphoreStrictly
0xffd42cdc,CreateController_FW
0xffc10928,CreateCountingSemaphore
0xffc10928,CreateCountingSemaphore_FW
0xffc1245c,CreateCountingSemaphoreStrictly
0xffd54bac,CreateDialogBox_FW
0xffd56244,CreateDialogItem_FW
0xffdf1bbc,CreateDpConnectController_FW
0xffc0f344,CreateEventFlag
0xffc12404,CreateEventFlagStrictly
0xffc0fcc8,CreateMessageQueue
0xffc123d8,CreateMessageQueueStrictly
0xffc071a4,CreateProxyOfEventProcedure_FW
0xffc1206c,CreateRecursiveLock
0xffc12488,CreateRecursiveLockStrictly
0xffc11230,CreateTask
0xffc11230,CreateTask_FW
0xffc12398,CreateTaskStrictly
0xffe09434,DBG_changeTraceLevel_FW
0xffc03ad0,DebugAssert
0xffd42d94,DeleteController_FW
0xffd54db8,DeleteDialogBox_FW
0xffd54f40,DeleteDialogBoxAfterGetTopOfControl_FW
0xffd56334,DeleteDialogItem_FW
0xffdf1e0c,DeleteDpConnectController_FW
0xffc0f450,DeleteEventFlag
0xffc56340,DeleteFile_Fut
0xffd55100,DeleteItemFromDialogBox_FW
0xffc0fe18,DeleteMessageQueue
0xffd59b68,DeletePalette_FW
0xffc0722c,DeleteProxyOfEventProcedure_FW
0xffc12188,DeleteRecursiveLock
0xffc10a34,DeleteSemaphore
0xffc10a34,DeleteSemaphore_FW
0xffd49a20,DisableAutoShutdown_FW
0xffcb8480,DisableOBClampField_FW
0xffd607ec,DisableRefreshPhysicalScreen_FW
0xffd10748,DispCon_ShowBitmapColorBar
0xffd555dc,DisplayDialogBox_FW
0xffd33b2c,DoAFLock,(stubs_entry_2.s)
0xffd559f0,DrawBinaryBitmapToDialog_FW
0xffd563b4,DrawDialogItem_FW
0xffd558a0,DrawStringToDialog_FW
0xffc0a5f0,Dump32_FW
0xffd49a38,EnableAutoShutdown_FW
0xffc0fc88,EnableInterrupt
0xffcb8468,EnableOBClampField_FW
0xffd607d8,EnableRefreshPhysicalScreen_FW
0xffc6d9cc,EngDrvBits
0xffc6d9b0,EngDrvIn
0xffc6d998,EngDrvOut
0xffc6d9b8,EngDrvRead
0xffc8dbac,EngineDriver.Delete_FW
0xffea804c,EraseLogSector_FW
0xffc129b8,EraseSectorOfRom_FW
0xffc0a7fc,EraseSignature_FW
0xffebf2ec,errnoOfTaskGet
0xffc0a884,exec_FW
0xffc067f0,ExecuteEventProcedure
0xffc067f0,ExecuteEventProcedure_FW
0xffe9fe70,ExecuteFirmUpgrade_FW
0xffd733b0,ExecuteResetFactoryWithRomWrite_FW
0xffd35ca4,ExitFromCompensationEVF,(stubs_entry_2.s)
0xffc115f0,ExitTask
0xffc115f0,ExitTask_FW
0xffc02830,exmem_alloc
0xffc06a0c,ExportToEventProcedure_FW
0xffe7405c,FA.Delete_FW
0xffc56480,Fclose_Fut
0xffc56480,Fclose_Fut_FW
0xffc56694,Feof_Fut
0xffc566cc,Fflush_Fut
0xffc56604,Fgets_Fut
0xffd55840,FillRectangleToDialog_FW
0xffdeb464,FmtMenu_ExecuteQuickFormat_FW
0xffc56444,Fopen_Fut
0xffc56444,Fopen_Fut_FW
0xffc56564,Fread_Fut
0xffc56564,Fread_Fut_FW
0xffc0a704,FreeMemory
0xffc0a704,FreeMemory_FW
0xffc0490c,FreeUncacheableMemory
0xffc5664c,Fseek_Fut
0xffc5664c,Fseek_Fut_FW
0xffc565b4,Fwrite_Fut
0xffc565b4,Fwrite_Fut_FW
0xffc18d40,GetAdChValue_FW
0xffc18d80,GetAdVBattBottom_FW
0xffd56624,GetAttributeFromDialogItem_FW
0xffc1c468,GetBatteryTemperature
0xffc0a15c,GetBuildDate_FW
0xffc0a174,GetBuildTime_FW
0xffc1c454,GetCCDTemperature
0xffc0b3c0,GetCh_FW
0xffe77ff0,GetCurrentAvValue
0xffd781c4,GetCurrentCaptureModeType_FW
0xffe7a398,GetCurrentTargetDistance
0xffd55a58,GetDialogBoxWindow_FW
0xffd56784,GetDialogItemPosition_FW
0xffd55cf4,GetDialogItemPositionToDialog_FW
0xffd56804,GetDialogItemResolution_FW
0xffd55d28,GetDialogItemResolutionToDialog_FW
0xffc0fa90,GetEventFlagValue
0xffc0a198,GetFirmwareVersion_FW
0xffd55504,GetFocusedItemIDOfDialogItem_FW
0xffd55ae8,GetFocusScopeToDialog_FW
0xffd5553c,GetItemHandleOfDialogBox_FW
0xffc17544,GetKbdState
0xffc1a2f8,GetLBOffset_FW
0xffea7f6c,GetLogToFile_FW
