0xffc04d38,_GetSystemTime
0xffee5cf0,_log
0xffee2090,_log10
0xffee2218,_pow
0xffee40ec,_sqrt
0xffc12a24,AcquireRecursiveLock
0xffd73cac,AddItemToDialogBox_FW
0xffc0a8d0,AllocateMemory
0xffc0a8d0,AllocateMemory_FW
0xffc04b00,AllocateUncacheableMemory
0xffca4bf8,apex2us
0xffeea3a8,atol_FW
0xffc1b59c,BatVoltageToAd_FW
0xffc05bfc,CancelHPTimer
0xffc04fa0,CancelTimer
0xffc92850,Capture.Delete_FW
0xffc0ffa4,CheckAllEventFlag
0xffc0ff94,CheckAnyEventFlag
0xffc0a500,CheckSumAll_FW
0xffc103a4,ClearEventFlag
0xffc614e8,Close
0xffef0238,close
0xffc614e8,Close_FW
0xffc0b7cc,CloseConsole_FW
0xffeed6c0,closedir
0xffd74e08,ControlEventHandler_FW
0xffc0b500,CPrintf_FW
0xffc0b564,CPutChar_FW
0xffc1110c,CreateBinarySemaphore
0xffc12bf4,CreateBinarySemaphoreStrictly
0xffd60844,CreateController_FW
0xffc111f4,CreateCountingSemaphore
0xffc111f4,CreateCountingSemaphore_FW
0xffc12c20,CreateCountingSemaphoreStrictly
0xffd73858,CreateDialogBox_FW
0xffd74c00,CreateDialogItem_FW
0xffe116b4,CreateDpConnectController_FW
0xffc0fce8,CreateEventFlag
0xffc12bc8,CreateEventFlagStrictly
0xffc105d4,CreateMessageQueue
0xffc12b9c,CreateMessageQueueStrictly
0xffde2868,CreatePlayMyColController_FW
0xffc0731c,CreateProxyOfEventProcedure_FW
0xffc12870,CreateRecursiveLock
0xffc12c4c,CreateRecursiveLockStrictly
0xffc11abc,CreateTask
0xffc11abc,CreateTask_FW
0xffc12b5c,CreateTaskStrictly
0xffe305f0,DBG_changeTraceLevel_FW
0xffc03cf8,DebugAssert
0xffd608fc,DeleteController_FW
0xffd73a50,DeleteDialogBox_FW
0xffd73bc0,DeleteDialogBoxAfterGetTopOfControl_FW
0xffd74cf0,DeleteDialogItem_FW
0xffe11924,DeleteDpConnectController_FW
0xffc0fdf4,DeleteEventFlag
0xffc5a398,DeleteFile_Fut
0xffd73d80,DeleteItemFromDialogBox_FW
0xffc10724,DeleteMessageQueue
0xffd78474,DeletePalette_FW
0xffde299c,DeletePlayMyColController_FW
0xffc073a4,DeleteProxyOfEventProcedure_FW
0xffc1298c,DeleteRecursiveLock
0xffc11300,DeleteSemaphore
0xffc11300,DeleteSemaphore_FW
0xffd67cc8,DisableAutoShutdown_FW
0xffcca100,DisableOBClampField_FW
0xffd7f584,DisableRefreshPhysicalScreen_FW
0xffd2cde8,DispCon_ShowBitmapColorBar
0xffd74068,DisplayDialogBox_FW
0xffd7447c,DrawBinaryBitmapToDialog_FW
0xffd74d70,DrawDialogItem_FW
0xffd7432c,DrawStringToDialog_FW
0xffc0a7a8,Dump32_FW
0xffd67ce0,EnableAutoShutdown_FW
0xffc10594,EnableInterrupt
0xffcca0e8,EnableOBClampField_FW
0xffd7f570,EnableRefreshPhysicalScreen_FW
0xffc72ea0,EngDrvBits
0xffc72e84,EngDrvIn
0xffc72e6c,EngDrvOut
0xffc72e8c,EngDrvRead
0xffc926a4,EngineDriver.Delete_FW
0xffedd714,EraseLogSector_FW
0xffc131d0,EraseSectorOfRom_FW
0xffc0a9b4,EraseSignature_FW
0xffeede8c,errnoOfTaskGet
0xffc0aa3c,exec_FW
0xffc0699c,ExecuteEventProcedure
0xffc0699c,ExecuteEventProcedure_FW
0xffd91a28,ExecuteResetFactoryWithRomWrite_FW
0xffd5337c,ExitFromCompensationEVF
0xffc11e7c,ExitTask
0xffc11e7c,ExitTask_FW
0xffc02834,exmem_alloc
0xffc07304,ExportToEventProcedure_FW
0xffea2bcc,FA.Delete_FW
0xffc5a4d8,Fclose_Fut
0xffc5a4d8,Fclose_Fut_FW
0xffc5a6ec,Feof_Fut
0xffc5a724,Fflush_Fut
0xffc5a65c,Fgets_Fut
0xffd742cc,FillRectangleToDialog_FW
0xffe08b88,FmtMenu_ExecuteQuickFormat_FW
0xffc5a49c,Fopen_Fut
0xffc5a49c,Fopen_Fut_FW
0xffc5a5bc,Fread_Fut
0xffc5a5bc,Fread_Fut_FW
0xffc0a8bc,FreeMemory
0xffc0a8bc,FreeMemory_FW
0xffc04b34,FreeUncacheableMemory
0xffc5a6a4,Fseek_Fut
0xffc5a6a4,Fseek_Fut_FW
0xffc5a60c,Fwrite_Fut
0xffc5a60c,Fwrite_Fut_FW
0xffc19b38,GetAdChValue_FW
0xffc19b68,GetAdVBattBottom_FW
0xffd74fe0,GetAttributeFromDialogItem_FW
0xffc1d7a4,GetBatteryTemperature
0xffc0a348,GetBuildDate_FW
0xffc0a360,GetBuildTime_FW
0xffc1d790,GetCCDTemperature
0xffc0b598,GetCh_FW
0xffea6ffc,GetCurrentAvValue
0xffd96518,GetCurrentCaptureModeType_FW
0xffea94d0,GetCurrentTargetDistance
0xffd744e4,GetDialogBoxWindow_FW
0xffd75140,GetDialogItemPosition_FW
0xffd746fc,GetDialogItemPositionToDialog_FW
0xffd751c0,GetDialogItemResolution_FW
0xffd74730,GetDialogItemResolutionToDialog_FW
0xffc60cd4,GetDrive_ClusterSize
0xffc60d4c,GetDrive_FreeClusters
0xffc60d10,GetDrive_TotalClusters
0xffc103f4,GetEventFlagValue
0xffc0a384,GetFirmwareVersion_FW
0xffd73f90,GetFocusedItemIDOfDialogItem_FW
0xffd74574,GetFocusScopeToDialog_FW
0xffd73fc8,GetItemHandleOfDialogBox_FW
0xffc188c8,GetKbdState
0xffc1b560,GetLBOffset_FW
0xffd63d58,GetLogicalEventName
0xffedd564,GetLogToFile_FW
0xffd6820c,GetMainPowerLockCounter_FW
0xffcc70f4,GetMontblancVSize_FW
0xffc1108c,GetNumberOfPostedMessages
0xffc1d77c,GetOpticalTemperature
0xffd78684,GetPaletteFromPhysicalScreen_FW
0xffd6d854,GetParameterData
0xffc14de4,GetPropertyCase
0xffd74ef8,GetPropertyFromDialogItem_FW
0xffd73c14,GetPropertyFromDialogItemWithID_FW
0xffd60b6c,GetSelfControllerHandle_FW
0xffc11788,GetSemaphoreValue
0xffc10568,GetSRAndDisableInterrupt
0xffc0b5fc,GetStringWithPrompt_FW
0xffc04d38,GetSystemTime
0xffc0a9e4,GetSystemTime_FW
0xffc04a04,GetTimeOfSystem_FW
0xffead584,GetVRAMHPixelsSize
0xffead590,GetVRAMVPixelsSize
0xffe87928,GetZoomLensCurrentPoint
0xffe8793c,GetZoomLensCurrentPosition
0xffc116b4,GiveSemaphore
0xffc116b4,GiveSemaphore_FW
0xffd5f5ec,HardwareDefect_FW
0xffd5f61c,HardwareDefectWithRestart_FW
0xffea38ac,InitializeAdjustmentFunction_FW
0xffea381c,InitializeAdjustmentSystem_FW
0xffc92788,InPort_FW
0xffd74b24,InstallDialogItem_FW
0xffdff0a0,InstallMyCameraMenu_FW
0xffe4004c,InstallPrintMenu_FW
0xffef1458,iosDevAdd
0xffef1430,iosDevDelete
0xffef171c,iosDrvInstall
0xffee7634,isalpha
0xffe00360,IsCalledStopEVF_FW
0xffd65b4c,IsControlEventActive
0xffd65b4c,IsControlEventActive_FW
0xffee7664,isdigit
0xffd67bc0,IsDisableAutoShutdown_FW
0xffd7f598,IsEnableRefreshPhysicalScreen_FW
0xffee7694,islower
0xffee76c4,ispunct
0xffee76dc,isspace
0xffd08620,IsStrobeChargeCompleted
0xffee76f4,isupper
0xffee770c,isxdigit
0xffc17478,kbd_p1_f
0xffc17484,kbd_p1_f_cont
0xffc1785c,kbd_p2_f
0xffc188f0,kbd_pwr_off
0xffc188c8,kbd_pwr_on
0xffc17544,kbd_read_keys
0xffc18274,kbd_read_keys_r2
0xffd748b0,KeepDefaultMoveFocusEventToDialog_FW
0xffed4644,LoadScript_FW
0xffc043c8,LocalTime
0xffd68070,LockMainPower
0xffd68070,LockMainPower_FW
0xffd7f408,LockPhysicalScreen_FW
0xffd747ac,LockRefreshDialog_FW
0xffc07ddc,LogCameraEvent
0xffd640a4,LogiEvnt_LoadCameraLog_FW
0xffc1b588,LowBat_Result_Print_Off_FW
0xffc1b570,LowBat_Result_Print_On_FW
0xffc615d0,Lseek
0xffef037c,lseek
0xffc615d0,Lseek_FW
0xffed2be8,MakeBootDisk_FW
0xffc5a424,MakeDirectory_Fut
0xffed2bfc,MakeScriptDisk_FW
0xffef3278,malloc_alt
0xffeeb260,memchr
0xffeeb294,memcmp
0xffeeb294,memcmp_FW
0xffeeb2d0,memcpy
0xffeeb2d0,memcpy_FW
0xffede9c4,MemoryChecker_FW
0xffef3698,memPartInfoGet
0xffeeb348,memset
0xffeeb348,memset_FW
0xffef3688,memShow_FW
0xffc61740,mkdir
0xffeec07c,mktime
0xffd8c1dc,ModeLevelMovieRecForScript_FW
0xffd8c1e8,ModeLevelPlayForScript_FW
0xffd8c1d0,ModeLevelStillRecForScript_FW
0xffc0aa04,MonSelEvent_FW
0xffd60a34,MoveControllerToTopOfZOrder_FW
0xffd73b20,MoveDialogBoxPosition_FW
0xffd74670,MoveDialogControllerToTopOfZOrder_FW
0xffd7504c,MoveDialogItemPosition_FW
0xffd74694,MoveDialogItemPositionToDialog_FW
0xffea9770,MoveFocusLensToDistance
0xffd745c0,MoveViewPortPosition_FW
0xffe87808,MoveZoomLensWithPoint
0xffd59610,NR_GetDarkSubType
0xffd59580,NR_SetDarkSubType
0xffc614c0,Open
0xffef087c,open
0xffc614c0,Open_FW
0xffc0b680,OpenConsole_FW
0xffeed6f4,opendir
0xffc92774,OutPort_FW
0xffd8ed9c,PB2Rec
0xffc0a97c,Peek16_FW
0xffc0a960,Peek32_FW
0xffc0a998,Peek8_FW
0xffc0a918,Poke16_FW
0xffc0a8f4,Poke32_FW
0xffc0a93c,Poke8_FW
0xffd63ef4,PostEventShootSeqToUI_FW
0xffd63df0,PostLogicalEventForNotPowerType
0xffd63df0,PostLogicalEventForNotPowerType_FW
0xffd63e6c,PostLogicalEventToUI
0xffd63e6c,PostLogicalEventToUI_FW
0xffc10d38,PostMessageQueue
0xffd7ff9c,PrintBmpVramInfo_FW
0xffc02e38,printclock_FW
0xffd7ffcc,PrintCurrPalette_FW
0xffed4668,Printf_FW
0xffd5eacc,PT_atoi_FW
0xffd5eff8,PT_BatLvChange_Low_FW
0xffd5efe8,PT_BatLvChange_PreWeak_FW
0xffd5f000,PT_BatLvChange_SysLow_FW
0xffd5eff0,PT_BatLvChange_Weak_FW
0xffd5ea88,PT_EraseAllFile_FW
0xffd5f078,PT_FinishBatteryTest_FW
0xffd5f170,PT_GetBatteryLevel_FW
0xffd5ecb4,PT_GetLocalDateAndTimeString_FW
0xffd5ec50,PT_GetLocalDateString_FW
0xffd5ee4c,PT_GetLocalDayString_FW
0xffd5edb8,PT_GetLocalHourMinSecString_FW
0xffd5ed5c,PT_GetLocalMonthString_FW
0xffd5ebf4,PT_GetLocalTimeString_FW
0xffd5ed08,PT_GetLocalYearString_FW
0xffd5f258,PT_GetLowBatLv_FW
0xffd5f188,PT_GetPreWeakBatLv_FW
0xffd5eb48,PT_GetPropertyCaseInt_FW
0xffd5eb34,PT_GetPropertyCaseString_FW
0xffd5f2c0,PT_GetSysLowBatLv_FW
0xffd5ead8,PT_GetSystemTime
0xffd5ead8,PT_GetSystemTime_FW
0xffd5f1f0,PT_GetWeakBatLv_FW
0xffd5eef8,PT_LCD_BkColor_FW
0xffd5efb4,PT_LCD_BkColorDef_FW
0xffd5eac0,PT_mod_FW
0xffd5eee0,PT_PlaySound
0xffd5eee0,PT_PlaySound_FW
0xffd5ee9c,PT_SetMessage_FW
0xffd5eb0c,PT_SetPropertyCaseInt_FW
0xffd5eaf8,PT_SetPropertyCaseString_FW
0xffd5f018,PT_StartBatteryTest_FW
0xffd5eec4,PT_UndispMessage_FW
0xffd6b24c,PTM_RestoreUIProperty_FW
0xffe68038,PTPRspnd.ShowRemoteStg_FW
0xffc07eac,PutsCameraLogEvent_FW
0xffeeaaf4,qsort
0xffeeab18,rand
0xffc6157c,Read
0xffef0298,read
0xffc6157c,Read_FW
0xffeed68c,readdir
0xffedc240,realloc
0xffd8eddc,Rec2PB
0xffc10920,ReceiveMessageQueue
0xffd7f49c,RefreshPhysicalScreen
0xffd7f49c,RefreshPhysicalScreen_FW
0xffd7410c,RefreshRectangleToDialog_FW
0xffd74258,RefreshRegistedRectangleToDialog_FW
0xffc06890,RegisterEventProcedure_FW
0xffc1052c,RegisterInterruptHandler
0xffd74194,RegisterRefreshToDialog_FW
0xffc12b4c,ReleaseRecursiveLock
0xffc61508,Remove
0xffc5a318,RenameFile_Fut
0xffe9ca60,ResetFocusLens
0xffe876f0,ResetZoomLens
0xffd74624,ResizeDialogBox_FW
0xffd750c0,ResizeDialogItem_FW
0xffd746c8,ResizeDialogItemToDialog_FW
0xffd73af4,ResizeVirtualWindow_FW
0xffc0a46c,RomCheckSum_FW
0xffc0b458,RotateConsoleZOder_FW
0xffed4680,ScriptDisEnabled_FW
0xffed4694,ScriptEnabled_FW
0xffd658fc,set_control_event
0xffeac3e0,SetAE_ShutterSpeed
0xffd74f6c,SetAttributeToDialogItem_FW
0xffd67f74,SetAutoShutdownTime
0xffd67f74,SetAutoShutdownTime_FW
0xffd740b8,SetBackgroundColorToDialogBox_FW
0xffc1b208,SetBattCheckMode_FW
0xffd964c8,SetCurrentCaptureModeType
0xffd964c8,SetCurrentCaptureModeType_FW
0xffd7b0fc,SetCurrentPalette_FW
0xffd74788,SetDefaultMovingFocusToDialog_FW
0xffc10208,SetEventFlag
0xffc61710,SetFileAttributes
0xffd73e6c,SetFocusDirectionToDialogItem_FW
0xffd73e7c,SetFocusItemToDialogItem_FW
0xffd74504,SetFocusScopeToDialog_FW
0xffc0309c,SetHClk18MHz_FW
0xffc03074,SetHClk36MHz_FW
0xffc03030,SetHClk72MHz_FW
0xffc05788,SetHPTimerAfterNow
0xffc05814,SetHPTimerAfterTimeout
0xffc02f78,SetLClk18MHz_FW
0xffc02f68,SetLClk36MHz_FW
0xffc02f58,SetLClk72MHz_FW
0xffd65bd8,SetLogicalEventActive
0xffc0314c,SetMClk18MHz_FW
0xffc03124,SetMClk36MHz_FW
0xffc030e0,SetMClk72MHz_FW
0xffcc70dc,SetMontblancVSize_FW
0xffd74764,SetOriginTypeToDialog_FW
0xffd7862c,SetPaletteToPhysicalScreen_FW
0xffd6d774,SetParameterData
0xffc14c94,SetPropertyCase
0xffd74e84,SetPropertyToDialogItem_FW
0xffd73be4,SetPropertyToDialogItemWithID_FW
0xffd65c40,SetScriptMode
0xffd65c40,SetScriptMode_FW
0xffc10574,SetSR
0xffd7b10c,SetSystemColorMode_FW
0xffc04e8c,SetTimerAfter
0xffc04f28,SetTimerWhen
0xffd784ec,SetYUVPaletteIndex_FW
0xffd99bfc,ShootCon_GetStatus_FW
0xffd9e830,ShootCon_PrintMemoryDump_FW
0xffd9e804,ShootCon_SetEventHook_FW
0xffd9e8bc,ShootCon_ShowAllSemaphores_FW
0xffd9dd84,ShootCon_ShowState_FW
0xffedc508,ShowAllTaskInfo_FW
0xffd67c94,ShowAutoShutdownTime_FW
0xffc1b290,ShowBattCheckMode_FW
0xffc1b384,ShowBattChkAdj_FW
0xffc08058,ShowCameraLog_FW
0xffc07fb4,ShowCameraLogInfo_FW
0xffd63f5c,ShowLogicalEventName_FW
0xffe11a0c,shutdownDirectPrintUI_FW
0xffe00880,ShutdownPlayAllMenu_FW
0xffe00808,ShutdownRecAllMenu_FW
0xffc119d0,SleepTask
0xffc119d0,SleepTask_FW
0xffeef044,sprintf_FW
0xffeeab3c,srand
0xffef0198,sscanf_FW
0xffe11084,StartDpConnect_FW
0xffe307d8,StartDpMovieMenu_FW
0xffdf300c,StartDpofPlayLoading_FW
0xffe1b9f8,StartDpsDpofMenu_FW
0xffe220ec,StartDpsMainMenu_FW
0xffe27d1c,StartDpsStop_FW
0xffe0d120,StartDtConfirmMenu_FW
0xffe0d9bc,StartDtExecuteMenu_FW
0xffd78210,StartGUISystem_FW
0xffdf6398,StartRecModeMenu
0xffdb0ad8,StartSwitchViewFinder_FW
0xffc0a158,StartWDT_FW
0xffeed788,stat
0xffc08338,StopCameraLog_FW
0xffc02f3c,StopClockSaver_FW
0xffe112fc,StopDpConnect_FW
0xffdf31dc,StopDpofPlayLoading_FW
0xffdb0b2c,StopSwitchViewFinder_FW
0xffe0d204,StoptDtConfirmMenu_FW
0xffe0daec,StoptDtExecuteMenu_FW
0xffc0a1d4,StopWDT_FW
0xffeeb368,strcat
0xffeeb394,strchr
0xffeeb3b8,strcmp
0xffeeb3b8,strcmp_FW
0xffeeb54c,strcpy
0xffeeb54c,strcpy_FW
0xffeecbd4,strftime
0xffeeb6b0,strlen
0xffeeb6b0,strlen_FW
0xffeeb714,strncmp
0xffeeb758,strncpy
0xffeeb7a0,strpbrk
0xffeeb7dc,strrchr
0xffeeaf30,strtol
0xffeeb0d8,strtoul
0xffdb0b58,SwitchViewFinder_FW
0xffdf3204,SyncStopDpofPlayLoading_FW
0xffc0a6a8,SystemEventDelete_FW
0xffc114cc,TakeSemaphore
0xffc114cc,TakeSemaphore_FW
0xffef5ed8,taskCreateHookAdd
0xffef5e14,taskDeleteHookAdd
0xfff0055c,taskLock
0xffeffd98,taskName
0xfff0017c,taskResume
0xffefffa8,taskSuspend
0xfff00604,taskUnlock
0xffea3864,TerminateAdjustmentSystem_FW
0xffdeec7c,TerminateDpofUI_FW
0xffeecc00,time
0xffee7724,tolower
0xffee7734,toupper
0xffd743fc,TransferBitmapToDialog_FW
0xffd7438c,TransferRectangleToDialog_FW
0xffc10f60,TryPostMessageQueue
0xffc10b94,TryReceiveMessageQueue
0xffc11650,TryTakeSemaphore
0xffdb63f4,TurnOffBackLight
0xffdb63c4,TurnOnBackLight
0xffd8bdec,UI_ShowStateOfRecMode_FW
0xffd65c50,UiEvnt_ShowBitMaps_FW
0xffd65cb0,UiEvnt_StartDisguiseCradleStatus_FW
0xffd65cc4,UiEvnt_StopDisguiseCradleStatus_FW
0xffd8c298,UIFS_Capture_FW
0xffd8c2a8,UIFS_CaptureNoneStop_FW
0xffd8c134,UIFS_ClosePopupStrobe_FW
0xffd8c168,UIFS_MountExtFlash_FW
0xffd8c100,UIFS_OpenPopupStrobe_FW
0xffd8c200,UIFS_RestartPostingUIEvent_FW
0xffd8c248,UIFS_SetCaptureModeToM_FW
0xffd8c284,UIFS_SetCaptureModeToMacro_FW
0xffd8c20c,UIFS_SetCaptureModeToP_FW
0xffd8c2cc,UIFS_SetCradleSetting_FW
0xffd8bf08,UIFS_SetDialMovieRec_FW
0xffd8c00c,UIFS_SetDialPlay_FW
0xffd8be04,UIFS_SetDialStillRec_FW
0xffd8c2b4,UIFS_StartMovieRecord_FW
0xffd8c2c0,UIFS_StopMovieRecord_FW
0xffd8c1f4,UIFS_StopPostingUIEvent_FW
0xffd8c19c,UIFS_UnmountExtFlash_FW
0xffd5f338,UiMemory_Show_FW
0xffd74090,UndisplayDialogBox_FW
0xffed4654,UnLoadScript_FW
0xffd68108,UnlockMainPower
0xffd68108,UnlockMainPower_FW
0xffd747f0,UnlockRefreshDialog_FW
0xffc608b4,Unmount_FileSystem
0xffc10550,UnregisterInterruptHandler
0xffc60a08,UpdateMBROnFlash
0xffeed81c,utime
0xffc1c6d0,VbattGet
0xffc1c6d0,VbattGet_FW
0xffedeaf4,VerifyByte_FW
0xffcd3208,VirtualImageTimeOut_FW
0xffeeefe0,vsprintf
0xffc0a8e0,Wait_FW
0xffc101f8,WaitForAllEventFlag
0xffc101e8,WaitForAnyEventFlag
0xffc10044,WaitForEventFlag
0xffc01ab0,wrapped_malloc
0xffc61588,Write
0xffc61588,write
0xffc61588,Write_FW
0xffc707ac,WriteSDCard
0xffc130f8,WriteToRom_FW
