0xffc01ab0,wrapped_malloc
0xffc02834,exmem_alloc
0xffc02e38,printclock_FW
0xffc02f3c,StopClockSaver_FW
0xffc02f58,SetLClk72MHz_FW
0xffc02f68,SetLClk36MHz_FW
0xffc02f78,SetLClk18MHz_FW
0xffc03030,SetHClk72MHz_FW
0xffc03074,SetHClk36MHz_FW
0xffc0309c,SetHClk18MHz_FW
0xffc030e0,SetMClk72MHz_FW
0xffc03124,SetMClk36MHz_FW
0xffc0314c,SetMClk18MHz_FW
0xffc03cf8,DebugAssert
0xffc043c8,LocalTime
0xffc04a04,GetTimeOfSystem_FW
0xffc04b00,AllocateUncacheableMemory
0xffc04b34,FreeUncacheableMemory
0xffc04d38,_GetSystemTime
0xffc04d38,GetSystemTime
0xffc04e8c,SetTimerAfter
0xffc04f28,SetTimerWhen
0xffc04fa0,CancelTimer
0xffc05788,SetHPTimerAfterNow
0xffc05814,SetHPTimerAfterTimeout
0xffc05bfc,CancelHPTimer
0xffc06890,RegisterEventProcedure_FW
0xffc0699c,ExecuteEventProcedure
0xffc0699c,ExecuteEventProcedure_FW
0xffc07304,ExportToEventProcedure_FW
0xffc0731c,CreateProxyOfEventProcedure_FW
0xffc073a4,DeleteProxyOfEventProcedure_FW
0xffc07ddc,LogCameraEvent
0xffc07eac,PutsCameraLogEvent_FW
0xffc07fb4,ShowCameraLogInfo_FW
0xffc08058,ShowCameraLog_FW
0xffc08338,StopCameraLog_FW
0xffc0a158,StartWDT_FW
0xffc0a1d4,StopWDT_FW
0xffc0a348,GetBuildDate_FW
0xffc0a360,GetBuildTime_FW
0xffc0a384,GetFirmwareVersion_FW
0xffc0a46c,RomCheckSum_FW
0xffc0a500,CheckSumAll_FW
0xffc0a6a8,SystemEventDelete_FW
0xffc0a7a8,Dump32_FW
0xffc0a8bc,FreeMemory
0xffc0a8bc,FreeMemory_FW
0xffc0a8d0,AllocateMemory
0xffc0a8d0,AllocateMemory_FW
0xffc0a8e0,Wait_FW
0xffc0a8f4,Poke32_FW
0xffc0a918,Poke16_FW
0xffc0a93c,Poke8_FW
0xffc0a960,Peek32_FW
0xffc0a97c,Peek16_FW
0xffc0a998,Peek8_FW
0xffc0a9b4,EraseSignature_FW
0xffc0a9e4,GetSystemTime_FW
0xffc0aa04,MonSelEvent_FW
0xffc0aa3c,exec_FW
0xffc0b458,RotateConsoleZOder_FW
0xffc0b500,CPrintf_FW
0xffc0b564,CPutChar_FW
0xffc0b598,GetCh_FW
0xffc0b5fc,GetStringWithPrompt_FW
0xffc0b680,OpenConsole_FW
0xffc0b7cc,CloseConsole_FW
0xffc0fce8,CreateEventFlag
0xffc0fdf4,DeleteEventFlag
0xffc0ff94,CheckAnyEventFlag
0xffc0ffa4,CheckAllEventFlag
0xffc10044,WaitForEventFlag
0xffc101e8,WaitForAnyEventFlag
0xffc101f8,WaitForAllEventFlag
0xffc10208,SetEventFlag
0xffc103a4,ClearEventFlag
0xffc103f4,GetEventFlagValue
0xffc1052c,RegisterInterruptHandler
0xffc10550,UnregisterInterruptHandler
0xffc10568,GetSRAndDisableInterrupt
0xffc10574,SetSR
0xffc10594,EnableInterrupt
0xffc105d4,CreateMessageQueue
0xffc10724,DeleteMessageQueue
0xffc10920,ReceiveMessageQueue
0xffc10b94,TryReceiveMessageQueue
0xffc10d38,PostMessageQueue
0xffc10f60,TryPostMessageQueue
0xffc1108c,GetNumberOfPostedMessages
0xffc1110c,CreateBinarySemaphore
0xffc111f4,CreateCountingSemaphore
0xffc111f4,CreateCountingSemaphore_FW
0xffc11300,DeleteSemaphore
0xffc11300,DeleteSemaphore_FW
0xffc114cc,TakeSemaphore
0xffc114cc,TakeSemaphore_FW
0xffc11650,TryTakeSemaphore
0xffc116b4,GiveSemaphore
0xffc116b4,GiveSemaphore_FW
0xffc11788,GetSemaphoreValue
0xffc119d0,SleepTask
0xffc119d0,SleepTask_FW
0xffc11abc,CreateTask
0xffc11abc,CreateTask_FW
0xffc11e7c,ExitTask
0xffc11e7c,ExitTask_FW
0xffc12870,CreateRecursiveLock
0xffc1298c,DeleteRecursiveLock
0xffc12a24,AcquireRecursiveLock
0xffc12b4c,ReleaseRecursiveLock
0xffc12b5c,CreateTaskStrictly
0xffc12b9c,CreateMessageQueueStrictly
0xffc12bc8,CreateEventFlagStrictly
0xffc12bf4,CreateBinarySemaphoreStrictly
0xffc12c20,CreateCountingSemaphoreStrictly
0xffc12c4c,CreateRecursiveLockStrictly
0xffc13100,WriteToRom_FW
0xffc131d8,EraseSectorOfRom_FW
0xffc14c9c,SetPropertyCase
0xffc14dec,GetPropertyCase
0xffc17468,kbd_p1_f
0xffc17474,kbd_p1_f_cont
0xffc17534,kbd_read_keys
0xffc1784c,kbd_p2_f
0xffc1829c,kbd_read_keys_r2
0xffc18800,GetKbdState
0xffc18800,kbd_pwr_on
0xffc18828,kbd_pwr_off
0xffc1950c,GetAdChValue_FW
0xffc1953c,GetAdVBattBottom_FW
0xffc1abdc,SetBattCheckMode_FW
0xffc1ac64,ShowBattCheckMode_FW
0xffc1ad58,ShowBattChkAdj_FW
0xffc1af34,GetLBOffset_FW
0xffc1af44,LowBat_Result_Print_On_FW
0xffc1af5c,LowBat_Result_Print_Off_FW
0xffc1af70,BatVoltageToAd_FW
0xffc1c12c,VbattGet
0xffc1c12c,VbattGet_FW
0xffc1d1d8,GetOpticalTemperature
0xffc1d1ec,GetCCDTemperature
0xffc1d200,GetBatteryTemperature
0xffc59df4,RenameFile_Fut
0xffc59e74,DeleteFile_Fut
0xffc59f00,MakeDirectory_Fut
0xffc59f78,Fopen_Fut
0xffc59f78,Fopen_Fut_FW
0xffc59fb4,Fclose_Fut
0xffc59fb4,Fclose_Fut_FW
0xffc5a098,Fread_Fut
0xffc5a098,Fread_Fut_FW
0xffc5a0e8,Fwrite_Fut
0xffc5a0e8,Fwrite_Fut_FW
0xffc5a138,Fgets_Fut
0xffc5a180,Fseek_Fut
0xffc5a180,Fseek_Fut_FW
0xffc5a1c8,Feof_Fut
0xffc5a200,Fflush_Fut
0xffc602ec,Mount_FileSystem
0xffc60390,Unmount_FileSystem
0xffc604e4,UpdateMBROnFlash
0xffc60828,GetDrive_FreeClusters,(stubs_entry_2.s)
0xffc607ec,GetDrive_TotalClusters
0xffc607b0,GetDrive_ClusterSize,(stubs_entry_2.s)
0xffc60f9c,Open
0xffc60f9c,Open_FW
0xffc60fc4,Close
0xffc60fc4,Close_FW
0xffc60fe4,Remove
0xffc61058,Read
0xffc61058,Read_FW
0xffc61064,Write
0xffc61064,write
0xffc61064,Write_FW
0xffc610ac,Lseek
0xffc610ac,Lseek_FW
0xffc611ec,SetFileAttributes
0xffc6121c,mkdir
0xffc702a4,WriteSDCard
0xffc72964,EngDrvOut
0xffc7297c,EngDrvIn
0xffc72984,EngDrvRead
0xffc72998,EngDrvBits
0xffc92c54,EngineDriver.Delete_FW
0xffc92d24,OutPort_FW
0xffc92d38,InPort_FW
0xffc92e00,Capture.Delete_FW
0xffca5104,apex2us
0xffcc7334,SetMontblancVSize_FW
0xffcc734c,GetMontblancVSize_FW
0xffcca090,EnableOBClampField_FW
0xffcca0a8,DisableOBClampField_FW
0xffcda624,VirtualImageTimeOut_FW
0xffd11b24,IsStrobeChargeCompleted
0xffd36338,DispCon_ShowBitmapColorBar
0xffd58dbc,DoAFLock
0xffd58e08,UnlockAF
0xffd58f08,EnterToCompensationEVF
0xffd5c524,ExitFromCompensationEVF
0xffd5d538,MakeAFScan
0xffd62684,NR_SetDarkSubType
0xffd62714,NR_GetDarkSubType
0xffd67960,PT_EraseAllFile_FW
0xffd67998,PT_mod_FW
0xffd679a4,PT_atoi_FW
0xffd679b0,PT_GetSystemTime
0xffd679b0,PT_GetSystemTime_FW
0xffd679d0,PT_SetPropertyCaseString_FW
0xffd679e4,PT_SetPropertyCaseInt_FW
0xffd67a0c,PT_GetPropertyCaseString_FW
0xffd67a20,PT_GetPropertyCaseInt_FW
0xffd67acc,PT_GetLocalTimeString_FW
0xffd67b28,PT_GetLocalDateString_FW
