0xff8150d8,_GetSystemTime
0xffb90e64,_log
0xffb8cd20,_log10
0xffb8cea8,_pow
0xffb8f098,_sqrt
0xff8234fc,AcquireRecursiveLock
0xff9c2a24,AddItemToDialogBox_FW
0xff81ac70,AllocateMemory
0xff81ac70,AllocateMemory_FW
0xff814ea0,AllocateUncacheableMemory
0xff8c8a28,apex2us
0xffb95b90,atol_FW
0xff82c860,BatVoltageToAd_FW
0xff815f9c,CancelHPTimer
0xff815340,CancelTimer
0xff8b7568,Capture.Delete_FW
0xff820a7c,CheckAllEventFlag
0xff820a6c,CheckAnyEventFlag
0xff81a8a0,CheckSumAll_FW
0xff820e7c,ClearEventFlag
0xffb449e0,ClearISIComponent_FW
0xff87cb4c,Close
0xffb9ba20,close
0xff87cb4c,Close_FW
0xff81bb6c,CloseConsole_FW
0xffb98ea8,closedir
0xff9c3b80,ControlEventHandler_FW
0xff81b8a0,CPrintf_FW
0xff81b904,CPutChar_FW
0xff821be4,CreateBinarySemaphore
0xff8236cc,CreateBinarySemaphoreStrictly
0xff9ae334,CreateController_FW
0xff821ccc,CreateCountingSemaphore
0xff821ccc,CreateCountingSemaphore_FW
0xff8236f8,CreateCountingSemaphoreStrictly
0xff9c25d0,CreateDialogBox_FW
0xff9c3978,CreateDialogItem_FW
0xffaa58b4,CreateDpConnectController_FW
0xff8207c0,CreateEventFlag
0xff8236a0,CreateEventFlagStrictly
0xff8210ac,CreateMessageQueue
0xff823674,CreateMessageQueueStrictly
0xffa5a13c,CreatePlayMyColController_FW
0xff8176bc,CreateProxyOfEventProcedure_FW
0xff823348,CreateRecursiveLock
0xff823724,CreateRecursiveLockStrictly
0xff822594,CreateTask
0xff822594,CreateTask_FW
0xff823634,CreateTaskStrictly
0xffac4a98,DBG_changeTraceLevel_FW
0xff813d70,DebugAssert
0xffb44124,DelaySet_FW
0xff9ae3ec,DeleteController_FW
0xff9c27c8,DeleteDialogBox_FW
0xff9c2938,DeleteDialogBoxAfterGetTopOfControl_FW
0xff9c3a68,DeleteDialogItem_FW
0xffaa5b24,DeleteDpConnectController_FW
0xff8208cc,DeleteEventFlag
0xff875a0c,DeleteFile_Fut
0xff9c2af8,DeleteItemFromDialogBox_FW
0xff8211fc,DeleteMessageQueue
0xff9c7204,DeletePalette_FW
0xffa5a274,DeletePlayMyColController_FW
0xff817744,DeleteProxyOfEventProcedure_FW
0xff823464,DeleteRecursiveLock
0xff821dd8,DeleteSemaphore
0xff821dd8,DeleteSemaphore_FW
0xff9b5ca8,DisableAutoShutdown_FW
0xff8f1664,DisableOBClampField_FW
0xff9ce35c,DisableRefreshPhysicalScreen_FW
0xff964748,DispCon_ShowBitmapColorBar
0xff9c2de0,DisplayDialogBox_FW
0xffb44108,DMASioSet_FW
0xff99af54,DoAFLock,(stubs_entry_2.s)
0xff9c31f4,DrawBinaryBitmapToDialog_FW
0xff9c3ae8,DrawDialogItem_FW
0xff9c30a4,DrawStringToDialog_FW
0xff81ab48,Dump32_FW
0xff9b5cc0,EnableAutoShutdown_FW
0xff82106c,EnableInterrupt
0xff8f164c,EnableOBClampField_FW
0xff9ce348,EnableRefreshPhysicalScreen_FW
0xffac8be4,EndClockMode_FW
0xff88e5d0,EngDrvBits
0xff88e5b4,EngDrvIn
0xff88e59c,EngDrvOut
0xff88e5bc,EngDrvRead
0xff8b73bc,EngineDriver.Delete_FW
0xffb88334,EraseLogSector_FW
0xff823cbc,EraseSectorOfRom_FW
0xff81ad54,EraseSignature_FW
0xffb99674,errnoOfTaskGet
0xff81addc,exec_FW
0xff816d3c,ExecuteEventProcedure
0xff816d3c,ExecuteEventProcedure_FW
0xffb44d60,ExecuteNdFilterTurnOff_FW
0xffb44d54,ExecuteNdFilterTurnOn_FW
0xff9e58f8,ExecuteResetFactoryWithRomWrite_FW
0xff822954,ExitTask
0xff822954,ExitTask_FW
0xff812834,exmem_alloc
0xff8176a4,ExportToEventProcedure_FW
0xffb4bb8c,FA.Delete_FW
0xff875b80,Fclose_Fut
0xff875b80,Fclose_Fut_FW
0xff875d7c,Feof_Fut
0xff875db8,Fflush_Fut
0xff875ce4,Fgets_Fut
0xff9c3044,FillRectangleToDialog_FW
0xffa92ccc,FmtMenu_ExecuteQuickFormat_FW
0xff875b40,Fopen_Fut
0xff875b40,Fopen_Fut_FW
0xff875c3c,Fread_Fut
0xff875c3c,Fread_Fut_FW
0xff81ac5c,FreeMemory
0xff81ac5c,FreeMemory_FW
0xff814ed4,FreeUncacheableMemory
0xff875d30,Fseek_Fut
0xff875d30,Fseek_Fut_FW
0xff875c90,Fwrite_Fut
0xff875c90,Fwrite_Fut_FW
0xff82ac74,GetAdChValue_FW
0xff82aca4,GetAdVBattBottom_FW
0xff9c3d58,GetAttributeFromDialogItem_FW
0xff82eb20,GetBatteryTemperature
0xff81a6e8,GetBuildDate_FW
0xff81a700,GetBuildTime_FW
0xff82eb0c,GetCCDTemperature
0xff81b938,GetCh_FW
0xffb440fc,GetCheckSum_FW
0xffb4ffc0,GetCurrentAvValue
0xff9e9e28,GetCurrentCaptureModeType_FW
0xffb524d8,GetCurrentTargetDistance
0xffb44708,GetDbgData0_FW
0xffb44738,GetDbgData1_FW
0xffb44768,GetDbgData2_FW
0xffb44798,GetDbgData3_FW
0xffb447c8,GetDbgData4_FW
0xffb447f8,GetDbgData5_FW
0xff9c325c,GetDialogBoxWindow_FW
0xff9c3eb8,GetDialogItemPosition_FW
0xff9c3474,GetDialogItemPositionToDialog_FW
0xff9c3f38,GetDialogItemResolution_FW
0xff9c34a8,GetDialogItemResolutionToDialog_FW
0xff87c338,GetDrive_ClusterSize
0xff87c3b0,GetDrive_FreeClusters
0xff87c374,GetDrive_TotalClusters
0xff820ecc,GetEventFlagValue
0xff81a724,GetFirmwareVersion_FW
0xff9c2d08,GetFocusedItemIDOfDialogItem_FW
0xff9c32ec,GetFocusScopeToDialog_FW
0xffb44828,GetISADData_FW
0xffb44e60,GetISCenterShiftA_FW
0xffb44e94,GetISCenterShiftB_FW
0xffb44c90,GetISCoefficientD_A_FW
0xffb44cd0,GetISCoefficientD_B_FW
0xffb44c10,GetISCoefficientI_A_FW
0xffb44c50,GetISCoefficientI_B_FW
0xffb44b90,GetISCoefficientP_A_FW
0xffb44bd0,GetISCoefficientP_B_FW
0xffb44978,GetISDampAaxis_FW
0xffb449b0,GetISDampBaxis_FW
0xffb444a8,GetISDriveAaxis_FW
