0xff8150d8,_GetSystemTime
0xffb9103c,_log
0xffb8cef8,_log10
0xffb8d080,_pow
0xffb8f270,_sqrt
0xff8234fc,AcquireRecursiveLock
0xff9c2acc,AddItemToDialogBox_FW
0xff81ac70,AllocateMemory
0xff81ac70,AllocateMemory_FW
0xff814ea0,AllocateUncacheableMemory
0xff8c8a28,apex2us
0xffb95d68,atol_FW
0xff82c860,BatVoltageToAd_FW
0xff815f9c,CancelHPTimer
0xff815340,CancelTimer
0xff8b7568,Capture.Delete_FW
0xff820a7c,CheckAllEventFlag
0xff820a6c,CheckAnyEventFlag
0xff81a8a0,CheckSumAll_FW
0xff820e7c,ClearEventFlag
0xffb44b5c,ClearISIComponent_FW
0xff87cb4c,Close
0xffb9bbf8,close
0xff87cb4c,Close_FW
0xff81bb6c,CloseConsole_FW
0xffb99080,closedir
0xff9c3c28,ControlEventHandler_FW
0xff81b8a0,CPrintf_FW
0xff81b904,CPutChar_FW
0xff821be4,CreateBinarySemaphore
0xff8236cc,CreateBinarySemaphoreStrictly
0xff9ae3dc,CreateController_FW
0xff821ccc,CreateCountingSemaphore
0xff821ccc,CreateCountingSemaphore_FW
0xff8236f8,CreateCountingSemaphoreStrictly
0xff9c2678,CreateDialogBox_FW
0xff9c3a20,CreateDialogItem_FW
0xffaa595c,CreateDpConnectController_FW
0xff8207c0,CreateEventFlag
0xff8236a0,CreateEventFlagStrictly
0xff8210ac,CreateMessageQueue
0xff823674,CreateMessageQueueStrictly
0xffa5a1e4,CreatePlayMyColController_FW
0xff8176bc,CreateProxyOfEventProcedure_FW
0xff823348,CreateRecursiveLock
0xff823724,CreateRecursiveLockStrictly
0xff822594,CreateTask
0xff822594,CreateTask_FW
0xff823634,CreateTaskStrictly
0xffac4b40,DBG_changeTraceLevel_FW
0xff813d70,DebugAssert
0xffb44288,DelaySet_FW
0xff9ae494,DeleteController_FW
0xff9c2870,DeleteDialogBox_FW
0xff9c29e0,DeleteDialogBoxAfterGetTopOfControl_FW
0xff9c3b10,DeleteDialogItem_FW
0xffaa5bcc,DeleteDpConnectController_FW
0xff8208cc,DeleteEventFlag
0xff875a0c,DeleteFile_Fut
0xff9c2ba0,DeleteItemFromDialogBox_FW
0xff8211fc,DeleteMessageQueue
0xff9c72ac,DeletePalette_FW
0xffa5a31c,DeletePlayMyColController_FW
0xff817744,DeleteProxyOfEventProcedure_FW
0xff823464,DeleteRecursiveLock
0xff821dd8,DeleteSemaphore
0xff821dd8,DeleteSemaphore_FW
0xff9b5d50,DisableAutoShutdown_FW
0xff8f1664,DisableOBClampField_FW
0xff9ce404,DisableRefreshPhysicalScreen_FW
0xff9647c4,DispCon_ShowBitmapColorBar
0xff9c2e88,DisplayDialogBox_FW
0xffb4426c,DMASioSet_FW
0xff99afd0,DoAFLock,(stubs_entry_2.s)
0xff9c329c,DrawBinaryBitmapToDialog_FW
0xff9c3b90,DrawDialogItem_FW
0xff9c314c,DrawStringToDialog_FW
0xff81ab48,Dump32_FW
0xff9b5d68,EnableAutoShutdown_FW
0xff82106c,EnableInterrupt
0xff8f164c,EnableOBClampField_FW
0xff9ce3f0,EnableRefreshPhysicalScreen_FW
0xffac8c8c,EndClockMode_FW
0xff88e5d0,EngDrvBits
0xff88e5b4,EngDrvIn
0xff88e59c,EngDrvOut
0xff88e5bc,EngDrvRead
0xff8b73bc,EngineDriver.Delete_FW
0xff99b204,EnterToCompensationEVF,(stubs_entry_2.s)
0xffb8850c,EraseLogSector_FW
0xff823cbc,EraseSectorOfRom_FW
0xff81ad54,EraseSignature_FW
0xffb9984c,errnoOfTaskGet
0xff81addc,exec_FW
0xff816d3c,ExecuteEventProcedure
0xff816d3c,ExecuteEventProcedure_FW
0xffb44edc,ExecuteNdFilterTurnOff_FW
0xffb44ed0,ExecuteNdFilterTurnOn_FW
0xff9e59a0,ExecuteResetFactoryWithRomWrite_FW
0xff99b244,ExitFromCompensationEVF,(stubs_entry_2.s)
0xff822954,ExitTask
0xff822954,ExitTask_FW
0xff812834,exmem_alloc
0xff8176a4,ExportToEventProcedure_FW
0xffb4bd14,FA.Delete_FW
0xff875b80,Fclose_Fut
0xff875b80,Fclose_Fut_FW
0xff875d7c,Feof_Fut
0xff875db8,Fflush_Fut
0xff875ce4,Fgets_Fut
0xff9c30ec,FillRectangleToDialog_FW
0xffa92d74,FmtMenu_ExecuteQuickFormat_FW
0xff875b40,Fopen_Fut
0xff875b40,Fopen_Fut_FW
0xff875c3c,Fread_Fut
0xff875c3c,Fread_Fut_FW
0xff81ac5c,FreeMemory
0xff81ac5c,FreeMemory_FW
0xff814ed4,FreeUncacheableMemory
0xff875d30,Fseek_Fut
0xff875d30,Fseek_Fut_FW
0xff875c90,Fwrite_Fut
0xff875c90,Fwrite_Fut_FW
0xff82ac74,GetAdChValue_FW
0xff82aca4,GetAdVBattBottom_FW
0xff9c3e00,GetAttributeFromDialogItem_FW
0xff82eb20,GetBatteryTemperature
0xff81a6e8,GetBuildDate_FW
0xff81a700,GetBuildTime_FW
0xff82eb0c,GetCCDTemperature
0xff81b938,GetCh_FW
0xffb44260,GetCheckSum_FW
0xffb50148,GetCurrentAvValue
0xff9e9ed0,GetCurrentCaptureModeType_FW
0xffb52660,GetCurrentTargetDistance
0xffb4486c,GetDbgData0_FW
0xffb4489c,GetDbgData1_FW
0xffb448cc,GetDbgData2_FW
0xffb448fc,GetDbgData3_FW
0xffb4492c,GetDbgData4_FW
0xffb4495c,GetDbgData5_FW
0xff9c3304,GetDialogBoxWindow_FW
0xff9c3f60,GetDialogItemPosition_FW
0xff9c351c,GetDialogItemPositionToDialog_FW
0xff9c3fe0,GetDialogItemResolution_FW
0xff9c3550,GetDialogItemResolutionToDialog_FW
0xff87c338,GetDrive_ClusterSize,(stubs_entry_2.s)
0xff87c3b0,GetDrive_FreeClusters,(stubs_entry_2.s)
0xff820ecc,GetEventFlagValue
0xff81a724,GetFirmwareVersion_FW
0xff9c2db0,GetFocusedItemIDOfDialogItem_FW
0xff9c3394,GetFocusScopeToDialog_FW
0xffb4498c,GetISADData_FW
0xffb44fdc,GetISCenterShiftA_FW
0xffb45010,GetISCenterShiftB_FW
0xffb44e0c,GetISCoefficientD_A_FW
0xffb44e4c,GetISCoefficientD_B_FW
0xffb44d8c,GetISCoefficientI_A_FW
0xffb44dcc,GetISCoefficientI_B_FW
0xffb44d0c,GetISCoefficientP_A_FW
0xffb44d4c,GetISCoefficientP_B_FW
0xffb44af4,GetISDampAaxis_FW
0xffb44b2c,GetISDampBaxis_FW
0xffb4460c,GetISDriveAaxis_FW
0xffb44640,GetISDriveBaxis_FW
0xffb449d4,GetISFirmVersion_FW
0xffb447d0,GetISGyroGainAaxis_FW
0xffb44808,GetISGyroGainBaxis_FW
0xffb44760,GetISHallGainAaxis_FW
0xffb44798,GetISHallGainBaxis_FW
0xffb446ec,GetISHallOffsetAaxis_FW
0xffb44728,GetISHallOffsetBaxis_FW
0xffb44a7c,GetISHallOut1Amp_FW
0xffb44c08,GetISLPFAaxis_FW
0xffb44c38,GetISLPFBaxis_FW
0xffb44a28,GetISParamVersion_FW
0xffb44b88,GetISPLFAaxis_FW
0xffb44bb8,GetISPLFBaxis_FW
0xffb44678,GetISPositionAaxis_FW
0xffb446b0,GetISPositionBaxis_FW
0xff9c2de8,GetItemHandleOfDialogBox_FW
0xff82c824,GetLBOffset_FW
0xffb8835c,GetLogToFile_FW
0xff9b6294,GetMainPowerLockCounter_FW
0xff8ee41c,GetMontblancVSize_FW
0xffb44ef8,GetNdFilterGainA_FW
0xffb44f28,GetNdFilterGainB_FW
0xffb44f58,GetNdFilterTimeA_FW
0xffb44f88,GetNdFilterTimeB_FW
0xff821b64,GetNumberOfPostedMessages
0xff82eaf8,GetOpticalTemperature
0xff9c74bc,GetPaletteFromPhysicalScreen_FW
0xff9bbe08,GetParameterData
0xff9c3d18,GetPropertyFromDialogItem_FW
0xff9c2a34,GetPropertyFromDialogItemWithID_FW
0xff9ae704,GetSelfControllerHandle_FW
0xff822260,GetSemaphoreValue
0xff821040,GetSRAndDisableInterrupt
0xff81b99c,GetStringWithPrompt_FW
0xff81ad84,GetSystemTime_FW
0xff814b78,GetTimeOfSystem_FW
0xffb567e4,GetVRAMHPixelsSize
0xffb567f0,GetVRAMVPixelsSize
0xffb29cc8,GetZoomLensCurrentPoint
0xffb29cdc,GetZoomLensCurrentPosition
0xff82218c,GiveSemaphore
0xff82218c,GiveSemaphore_FW
0xff9ad184,HardwareDefect_FW
0xff9ad1b4,HardwareDefectWithRestart_FW
0xffb4c9f4,InitializeAdjustmentFunction_FW
0xffb4c964,InitializeAdjustmentSystem_FW
0xff8b74a0,InPort_FW
0xff9c3944,InstallDialogItem_FW
0xffa85120,InstallMyCameraMenu_FW
0xffade52c,InstallPrintMenu_FW
0xffb9ce18,iosDevAdd
0xffb9cdf0,iosDevDelete
0xffb9d0dc,iosDrvInstall
0xffb92ff4,isalpha
0xffb44450,ISAutoCenter_FW
0xffa86760,IsCalledStopEVF_FW
0xff9b3898,IsControlEventActive_FW
0xffb44828,ISControlStart_FW
0xffb44834,ISControlStop_FW
0xffb93024,isdigit
0xff9b5c48,IsDisableAutoShutdown_FW
0xff9ce418,IsEnableRefreshPhysicalScreen_FW
0xffb93054,islower
0xffb44aac,ISMDStart_FW
0xffb44ab8,ISMDStop_FW
0xffb44840,ISPanModeStart_FW
0xffb4484c,ISPanModeStop_FW
0xffb93084,ispunct
0xffb9309c,isspace
0xff939f98,IsStrobeChargeCompleted
0xffb930b4,isupper
0xffb930cc,isxdigit
0xffb4427c,JumpToProgFirst_FW
0xff828014,kbd_p1_f
0xff828020,kbd_p1_f_cont
0xff8283f0,kbd_p2_f
0xff8280e0,kbd_read_keys
0xff9c36d0,KeepDefaultMoveFocusEventToDialog_FW
0xffb7f43c,LoadScript_FW
0xff8143f8,LocalTime
0xff9b60f8,LockMainPower
0xff9b60f8,LockMainPower_FW
0xff9ce288,LockPhysicalScreen_FW
0xff9c35cc,LockRefreshDialog_FW
0xff81817c,LogCameraEvent
0xff9b1c3c,LogiEvnt_LoadCameraLog_FW
0xff82c84c,LowBat_Result_Print_Off_FW
0xff82c834,LowBat_Result_Print_On_FW
0xff87cc34,Lseek
0xffb9bd3c,lseek
0xff87cc34,Lseek_FW
0xffb7d9a4,MakeBootDisk_FW
0xff875ac0,MakeDirectory_Fut
0xffb7d9b8,MakeScriptDisk_FW
0xffb9ec38,malloc_alt
0xffb96c20,memchr
0xffb96c54,memcmp
0xffb96c54,memcmp_FW
0xffb96c90,memcpy
0xffb96c90,memcpy_FW
0xffb897b4,MemoryChecker_FW
0xffb9f058,memPartInfoGet
0xffb96d08,memset
0xffb96d08,memset_FW
0xffb9f048,memShow_FW
0xffb43144,MessageToSrpv_FW
0xff87cda4,mkdir
0xffb97a3c,mktime
