0xffb89cd0,_dadd
0xffb8a6e8,_dcmp
0xffb8ab60,_dcmp_reverse
0xffb89fdc,_ddiv
0xffb8a574,_dfix
0xffb8a624,_dfixu
0xffb8a6ac,_dflt
0xffb8a6dc,_dfltu
0xffb877b8,_divmod_signed_int
0xffb89c88,_divmod_unsigned_int
0xffb8a770,_dmul
0xffb8ac00,_drsb
0xffb8adc4,_dsub
0xffb8b178,_f2d
0xffb8b324,_fdiv
0xffb8b548,_ffix
0xffb8b5bc,_ffixu
0xffb8b61c,_fflt
0xffb8b650,_ffltu
0xffb8b6d0,_fmul
0xff83bb9c,_GetSystemTime
0xffb89048,_log
0xffb87cd4,_log10
0xffb87e44,_pow
0xffb88df4,_safe_sqrt
0xffb8bc18,_scalbn
0xffb8ac50,_sqrt
0xff81fccc,_uartr_req
0xff94a79c,AbortAEIntegralValue_FW
0xff88debc,AcquireRecursiveLock
0xff83b7f8,AcquireRecursiveLockStrictly
0xff94c5f8,ActivateAdjLog_FW
0xff900afc,ActivateImager_FW
0xff900b88,ActivateImagerXOne_FW
0xffa72c80,add_ptp_handler
0xffa2b2f8,add_ui_to_dialog
0xff994614,AdditionAgentRAM_FW
0xffa979f0,AddTransparentMemory_FW
0xffb4c25c,AdjAEWithAperturePriority_FW
0xffb4c218,AfAEWithAperturePriority_FW
0xffb4c408,AfAEWithCompensation_FW
0xffa64bd8,AFTool.GetEVal_FW
0xffae586c,AllocateMemory
0xffae586c,AllocateMemory_FW
0xff83b8f0,AllocateUncacheableMemory
0xffa35054,apex2us
0xff8b5518,atol_FW
0xff94b508,AttachIntegCrawData_FW
0xffa97a28,AttachToTransparentMemory_FW
0xffb3d9b8,Bat_Calc_FW
0xffb4d944,Bat_Save_FW
0xffb4d930,Bat_VIN_FW
0xff860680,BeepDrive_FW
0xff8606a0,BeepDriveComp_FW
0xffb4707c,CalcLog10
0xffb470b8,CalcLog10_FW
0xffb51f0c,CalcLoopGain_FW
0xffb471a8,CalcSqrt_FW
0xffb3d9b8,CalculateBatSenseOffset_FW
0xffb47058,CalculateLog2ToApex_FW
0xffb4701c,CalculatePeakFromLeastSquareResult_FW
0xffb4706c,CalculatePow2FromApex_FW
0xff86f2a8,CalculateTestRecYUVData_FW
0xffb4c034,CancelAdj_AEMode_FW
0xffb45c50,CancelAdjCdsMode_FW
0xffb4a120,CancelBPFilterForBP_FW
0xffb4b990,CancelExStrobeMode_FW
0xffae02c0,CancelFocusLensMaxSpeedLimit_FW
0xff89183c,CancelHPTimer
0xff900dfc,CancelImageDrive_FW
0xff900d04,CancelImager_FW
0xff87fe8c,CancelLoopGainCalc_FW
0xff83bdb8,CancelTimer
0xff98978c,Capture.Create_FW
0xffb45ed0,CaptureWithParam_FW
0xffa97420,ChangeAdjImgDrvMode_FW
0xffa9744c,ChangeAEIntegDrvTypeToAdjImgDriveType_FW
0xffa53234,ChangeCrossThresholdTable_FW
0xffa533b4,ChangeDefectRecParam_FW
0xffb4d700,ChangeDistortionSetForLiveImage_FW
0xffb51b68,ChangeFilterMode_FW
0xffae0474,ChangeFocusDistanceToPosition_FW
0xffa530f8,ChangeGradeTable_FW
0xffb45ee4,ChangeImageDrive_FW
0xff900d90,ChangeImagerToAlternateDraft_FW
0xff900d40,ChangeImagerToCombiParallel_FW
0xff900d88,ChangeImagerToDigiconMode_FW
0xff900db0,ChangeImagerToFastBP_FW
0xff900d50,ChangeImagerToFocusJet_FW
0xff900dc8,ChangeImagerToFocusJetHD_FW
0xff900db8,ChangeImagerToHarleyDavidson_FW
0xff900d78,ChangeImagerToHoneyFlash_FW
0xff900de0,ChangeImagerToHoneyFlashDark_FW
0xff900dd8,ChangeImagerToHoneyFlashHD_FW
0xff900de8,ChangeImagerToHoneyHDFlashDark_FW
0xff900d68,ChangeImagerToJetDraft_FW
0xff900d70,ChangeImagerToJumboDraft_FW
0xff900d58,ChangeImagerToMangoPudding_FW
0xff900dd0,ChangeImagerToMangoPuddingHD_FW
0xff900d80,ChangeImagerToMillefeAdjust_FW
0xff900da8,ChangeImagerToMontblancMillefe_FW
0xff900da0,ChangeImagerToMontblancWhole_FW
0xff900d88,ChangeImagerToOITA_XAVIER_FW
0xff900df0,ChangeImagerToRoadKing_FW
0xff900d60,ChangeImagerToSuperWideDraft_FW
0xff900d98,ChangeImagerToUltraGhostQ_FW
0xff900d28,ChangeImagerToWholeParallel_FW
0xff900d30,ChangeImagerToWholeParallelBP_FW
0xff900d38,ChangeImagerToWholeParallelBPOne_FW
0xff900d48,ChangeImagerToWideDraft_FW
0xff900dc0,ChangeImagerToWideDraftHD_FW
0xffae0854,ChangeIrisSpeed_FW
0xffae2308,ChangeParallelMode_FW
0xff87f95c,ChangeToISCloseControl_FW
0xffae1078,ChangeZoomLensMagnificationToPoint_FW
0xffae1070,ChangeZoomLensPointToMagnification_FW
0xffb4b9cc,ChargeStrobe_FW
0xffb4ba00,ChargeStrobeForFA_FW
0xff88da40,CheckAllEventFlag
0xff88d9f8,CheckAnyEventFlag
0xff894d30,CheckSumAll_FW
0xff836fec,ClearDUIDFixFlag_FW
0xff836f7c,ClearDurianMode_FW
0xff88dc60,ClearEventFlag
0xff836f7c,ClearFactoryMode_FW
0xff87fc6c,ClearISCalcZData_FW
0xffae237c,ClearISIComponent_FW
0xffae23a0,ClearISZData_FW
0xffac4e78,ClearPMByFs_FW
0xffac4e50,ClearPMByGpio_FW
0xffb48610,ClearZoomCommonDriveParam_FW
0xff97c7b0,ClearZoomDriveParam_FW
0xff838060,Close
0xff81ab8c,close
0xff838060,Close_FW
0xff81f734,CloseConsole_FW
0xffab912c,closedir
0xffae0cac,CloseMechaShutter_FW
0xffae0cf4,CloseMechaShutterWithTiming_FW
0xffb466c8,CloseMShutter_FW
0xffa973b8,ConvertAdjImgDrvModeToAdjImgDriveType_FW
0xffa9736c,ConvertAEIntegDrvTypeToAdjImgDriveType_FW
0xffb47110,ConvertApexStdToApex_FW
0xffb470e0,ConvertApexToApexStd_FW
0xffb476ac,ConvertCxCyToWBGain_FW
0xffb48e48,ConvertToPositionWithDistanceAndZoomPoint_FW
0xffb4603c,ConvertTvToExposureTime_FW
0xff81f490,CPrintf_FW
0xff81f4ec,CPutChar_FW
0xff86a8f0,CreateAdjustmentTableMirror_FW
0xff83b0d0,CreateBinarySemaphore
0xff83b6b0,CreateBinarySemaphoreStrictly
0xff899c60,CreateController_FW
0xff83b138,CreateCountingSemaphore
0xff83b138,CreateCountingSemaphore_FW
0xff83b6d4,CreateCountingSemaphoreStrictly
0xff86a900,CreateDefectTableMirror_FW
0xffa28d74,CreateDialogBox
0xff88d950,CreateEventFlag
0xff83b68c,CreateEventFlagStrictly
0xff94bf38,CreateFADBGSingalID_FW
0xffb5038c,CreateJumptable
0xff83ad0c,CreateMessageQueue
0xff83b668,CreateMessageQueueStrictly
0xff892b98,CreateProxyOfEventProcedure_FW
0xff88de1c,CreateRecursiveLock
0xff83b6f8,CreateRecursiveLockStrictly
0xff81e8a0,CreateTask
0xff81e8a0,CreateTask_FW
0xff83b634,CreateTaskStrictly
0xffa5310c,CrossDefDetect_FW
0xff97277c,CzDebugPrint_FW
0xff972784,CzDebugPrintToFile_FW
0xff81eb78,DebugAssert
0xff899d1c,DeleteController_FW
0xff837abc,DeleteDirectory_Fut
0xff88d9a8,DeleteEventFlag
0xff8379d8,DeleteFile_Fut
0xff83ad90,DeleteMessageQueue
0xff892bf0,DeleteProxyOfEventProcedure_FW
0xff88de6c,DeleteRecursiveLock
0xff83b190,DeleteSemaphore
0xff83b190,DeleteSemaphore_FW
0xffb501f0,DevelopStillPicture_FW
0xffa5586c,DevelopTool.DevelopTest_FW
0xff94bca0,DeviceUniqueIDCheckSum_FW
0xff94e69c,DisableDebugLogMode_FW
0xffae031c,DisableFocusLens_FW
0xffae039c,DisableFocusLensGainLock_FW
0xffae03c8,DisableFocusLensWaveLock_FW
0xffae0b10,DisableFocusPiCircuit_FW
0xff97359c,DisableFocusPullInMaxSpeed_FW
0xff861f40,DisableHDMIPower
0xffae0830,DisableIris_FW
0xffac8a9c,DisableIrisActuator_FW
0xffae24f8,DisableISAutoGyroOffset_FW
0xffae24d8,DisableISDriveError
0xffae24d8,DisableISDriveError_FW
0xffae0a6c,DisableLensError_FW
0xffae0af0,DisableMechaCircuit_FW
0xffae0bf4,DisablePrismInPiCircuit_FW
0xffae0c18,DisablePrismOutPiCircuit_FW
0xffae0bd0,DisableSlavePiCircuit_FW
0xffb48d70,DisableZoomDrvWaveformByLens_FW
0xffae0b58,DisableZoomEncoderCircuit_FW
0xffae0dd0,DisableZoomLensEncoderPowerControl_FW
0xffb48d40,DisableZoomPiByLens_FW
0xffae0b34,DisableZoomPiCircuit_FW
0xffae144c,DisableZoomSlave_FW
0xffae1410,DisableZoomSlaveSynchro_FW
0xffb48d04,DisableZoomVoltageByLens_FW
0xffb48c50,DisableZoomWithIndex_FW
0xff85da94,DispCon_GetLcdGainAdjParameter_FW
0xff85d878,DispCon_GetVideoAdjParameter_FW
0xff85dae0,DispCon_SaveLcdGainAdjParameter_FW
0xff85d954,DispCon_SaveVideoAdjParameter_FW
0xff85d49c,DispCon_SetDisplayType_FW
0xff85da40,DispCon_SetLcdGainAdjParameter_FW
0xff85d760,DispCon_SetMaxBackLightBrightness_FW
0xff85d7e0,DispCon_SetVideoAdjParameter_FW
0xff85d368,DispCon_ShowBitmapColorBar
0xff85d368,DispCon_ShowBitmapColorBar_FW
0xff85d34c,DispCon_ShowBlackChart_FW
0xff85d09c,DispCon_ShowColorBar_FW
