0x00699034,_dadd
0x0069994c,_dcmp
0x00699ba4,_dcmp_reverse
0x0069930c,_ddiv
0x006997d8,_dfix
0x00699888,_dfixu
0x00699910,_dflt
0x00699940,_dfltu
0x006953f8,_divmod_signed_int
0x00696a14,_divmod_unsigned_int
0x006999d4,_dmul
0x00699c44,_drsb
0x00699dd0,_dsub
0x0069a154,_f2d
0x0069a2d8,_fdiv
0x0069a4bc,_ffix
0x0069a530,_ffixu
0x0069a590,_fflt
0x0069a5c4,_ffltu
0x0069a644,_fmul
0xff038ad8,_GetSystemTime
0x00697808,_log
0x00697d48,_log10
0x00697ec0,_pow
0x00698e70,_safe_sqrt
0x0069ab44,_scalbn
0x00699c5c,_sqrt
0xff00a6f8,_uartr_req
0xff1bcf58,AbortAEIntegralValue_FW
0x0067f3f0,AcquireRecursiveLock
0x00677e14,AcquireRecursiveLockStrictly
0xff1bf374,ActivateAdjLog_FW
0xff153f9c,ActivateImager_FW
0xff154034,ActivateImagerXOne_FW
0xff361d5c,ActivateISMD_FW
0xff16a158,add_ptp_handler
0xff20dd0c,add_ui_to_dialog
0xff201550,AdditionAgentRAM_FW
0xff31defc,AddTransparentMemory_FW
0xff411384,AdjAEWithAperturePriority_FW
0xff41132c,AfAEWithAperturePriority_FW
0xff411534,AfAEWithCompensation_FW
0xff2d2c68,AFTool.GetEVal_FW
0xff365ab8,AllocateMemory
0xff365ab8,AllocateMemory_FW
0xff038d8c,AllocateUncacheableMemory
0xff29da2c,apex2us
0xff0d8ca4,atol_FW
0xff1bde5c,AttachIntegCrawData_FW
0xff31df34,AttachToTransparentMemory_FW
0xff3fee1c,Bat_Calc_FW
0xff412c10,Bat_Save_FW
0xff412bfc,Bat_VIN_FW
0xff08e928,BeepDrive_FW
0xff08e948,BeepDriveComp_FW
0xff40cff8,CalcLog10
0xff40d034,CalcLog10_FW
0xff415d54,CalcLoopGain_FW
0xff40d124,CalcSqrt_FW
0xff3fee1c,CalculateBatSenseOffset_FW
0xff4102dc,CalculateInterpolationByLS_FW
0xff40cfd4,CalculateLog2ToApex_FW
0xff40cf9c,CalculatePeakFromLeastSquareResult_FW
0xff41027c,CalculatePeakPosByLS_FW
0xff40cfe8,CalculatePow2FromApex_FW
0xff09f3a4,CalculateTestRecYUVData_FW
0xff411164,CancelAdj_AEMode_FW
0xff40b9d4,CancelAdjCdsMode_FW
0xff40ec64,CancelBPFilterForBP_FW
0xff410a2c,CancelExStrobeMode_FW
0xff35fc3c,CancelFocusLensMaxSpeedLimit_FW
0xff0bdc88,CancelHPTimer
0xff40c31c,CancelImageDrive_FW
0xff154208,CancelImager_FW
0xff416024,CancelLoopGainCalc_FW
0xff038cf4,CancelTimer
0xff1f71a4,Capture.Create_FW
0xff40c33c,CaptureWithParam_FW
0xff31c884,ChangeAdjImgDrvMode_FW
0xff31c8b0,ChangeAEIntegDrvTypeToAdjImgDriveType_FW
0xff2bfaac,ChangeCrossThresholdTable_FW
0xff2c03a0,ChangeDefectRecParam_FW
0xff4129bc,ChangeDistortionSetForLiveImage_FW
0xff415c08,ChangeFilterMode_FW
0xff35fe28,ChangeFocusDistanceToPosition_FW
0xff2bf93c,ChangeGradeTable_FW
0xff40c384,ChangeImageDrive_FW
0xff154284,ChangeImagerToAlternateDraft_FW
0xff154244,ChangeImagerToCombiParallel_FW
0xff15427c,ChangeImagerToDigiconMode_FW
0xff1542f4,ChangeImagerToElectraGlide_FW
0xff1542dc,ChangeImagerToFalconJump_FW
0xff1542bc,ChangeImagerToFantaJungle_FW
0xff154254,ChangeImagerToFocusJet_FW
0xff1542ac,ChangeImagerToHarleyDavidson_FW
0xff1542ec,ChangeImagerToHealthyVegetable_FW
0xff15426c,ChangeImagerToHoneyFlash_FW
0xff1542c4,ChangeImagerToHoneyFlashDark_FW
0xff1542b4,ChangeImagerToMachDashV_FW
0xff15425c,ChangeImagerToMangoPudding_FW
0xff154274,ChangeImagerToMillefeAdjust_FW
0xff15429c,ChangeImagerToMontblancMillefe_FW
0xff1542a4,ChangeImagerToMontblancMovie_FW
0xff154294,ChangeImagerToMontblancWhole_FW
0xff15427c,ChangeImagerToOITA_XAVIER_FW
0xff1542cc,ChangeImagerToRoadKing_FW
0xff1542e4,ChangeImagerToSpriteSunshine_FW
0xff154264,ChangeImagerToSuperWideDraft_FW
0xff15428c,ChangeImagerToUltraGhostQ_FW
0xff15422c,ChangeImagerToWholeParallel_FW
0xff154234,ChangeImagerToWholeParallelBP_FW
0xff15423c,ChangeImagerToWholeParallelBPOne_FW
0xff15424c,ChangeImagerToWideDraft_FW
0xff3602f8,ChangeIrisSpeed_FW
0xff36139c,ChangeParallelMode_FW
0xff415c38,ChangeToISCloseControl_FW
0xff360c50,ChangeZoomLensMagnificationToPoint_FW
0xff360c40,ChangeZoomLensPointToMagnification_FW
0xff410a7c,ChargeStrobe_FW
0xff410ab4,ChargeStrobeForFA_FW
0x0067ef78,CheckAllEventFlag
0x0067ef30,CheckAnyEventFlag
0xff0c13b0,CheckSumAll_FW
0xff032fec,ClearDUIDFixFlag_FW
0xff032f6c,ClearDurianMode_FW
0x0067f198,ClearEventFlag
0xff033118,ClearFactoryMasterFlag_FW
0xff033130,ClearFactoryMasterROMProtection_FW
0xff032f6c,ClearFactoryMode_FW
0xff416014,ClearISCalcZData_FW
0xff361420,ClearISIComponent_FW
0xff361448,ClearISZData_FW
0xff43342c,ClearPMByFs_FW
0xff433414,ClearPMByGpio_FW
0xff032aa8,ClearWLANFactoryMode_FW
0xff31dae8,ClearZoomCommonDriveParam_FW
0xff31d2d0,ClearZoomDriveParam_FW
0xff0341dc,Close
0xff005984,close
0xff0341dc,Close_FW
0xff00a1d0,CloseConsole_FW
0xff33cfd4,closedir
0xff3605ec,CloseMechaShutter_FW
0xff360634,CloseMechaShutterWithTiming_FW
0xff40c640,CloseMShutter_FW
0xff361d74,CommunicateMechaCPU_FW
0xff189498,ConnectPtpIPService_FW
0xff31c81c,ConvertAdjImgDrvModeToAdjImgDriveType_FW
0xff31c7d0,ConvertAEIntegDrvTypeToAdjImgDriveType_FW
0xff40d08c,ConvertApexStdToApex_FW
0xff40d05c,ConvertApexToApexStd_FW
0xff40d660,ConvertCxCyToWBGain_FW
0xff40d750,ConvertToPositionWithDistance_FW
0xff40d72c,ConvertToPositionWithDistanceAndZoomPoint_FW
0xff40c43c,ConvertTvToExposureTime_FW
0xff009f34,CPrintf_FW
