0x006befb4,_dadd
0x006bf8cc,_dcmp
0x006bfb24,_dcmp_reverse
0x006bf28c,_ddiv
0x006bf758,_dfix
0x006bf808,_dfixu
0x006bf890,_dflt
0x006bf8c0,_dfltu
0x006bd0bc,_divmod_signed_int
0x006bd554,_divmod_unsigned_int
0x006bf954,_dmul
0x006bfbc4,_drsb
0x006bfd50,_dsub
0x006c00d4,_f2d
0x006c0258,_fdiv
0x006c043c,_ffix
0x006c04b0,_ffixu
0x006c0510,_fflt
0x006c0544,_ffltu
0x006c054c,_fmul
0xff825fbc,_GetSystemTime
0x006bd900,_log
0x006bde40,_log10
0x006bdfb8,_pow
0x006bef68,_safe_sqrt
0x006c0a4c,_scalbn
0x006bfbdc,_sqrt
0xff824a9c,_uartr_req
0xff9637b0,AbortAEIntegralValue_FW
0x006b8840,AcquireRecursiveLock
0x006b7d78,AcquireRecursiveLockStrictly
0xff9659b4,ActivateAdjLog_FW
0xff91147c,ActivateImager_FW
0xff911514,ActivateImagerXOne_FW
0xffa67208,add_ptp_handler
0xff9b3df0,add_ui_to_dialog
0xff9a1c30,AdditionAgentRAM_FW
0xffa92274,AddTransparentMemory_FW
0xffb55080,AdjAEWithAperturePriority_FW
0xffb55028,AfAEWithAperturePriority_FW
0xffb55230,AfAEWithCompensation_FW
0xff90de18,AFTool.GetEVal_FW
0xffac4674,AllocateMemory
0xffac4674,AllocateMemory_FW
0xff825dec,AllocateUncacheableMemory
0xffa1cdcc,apex2us
0xff836ddc,atol_FW
0xff9645b4,AttachIntegCrawData_FW
0xffa922ac,AttachToTransparentMemory_FW
0xffb393f8,Bat_Calc_FW
0xffb56980,Bat_Save_FW
0xffb5696c,Bat_VIN_FW
0xff866690,BeepDrive_FW
0xff8666b0,BeepDriveComp_FW
0xffb53ff0,CalcLog10
0xffb5402c,CalcLog10_FW
0xffb5d2c4,CalcLoopGain_FW
0xffb56998,CalcLowBatteryOffsetValue_FW
0xffb5411c,CalcSqrt_FW
0xffb393f8,CalculateBatSenseOffset_FW
0xffb5be54,CalculateInterpolationByLS_FW
0xffb53fcc,CalculateLog2ToApex_FW
0xffb53fa4,CalculatePeakFromLeastSquareResult_FW
0xffb5bdfc,CalculatePeakPosByLS_FW
0xffb53fe0,CalculatePow2FromApex_FW
0xff878468,CalculateTestRecYUVData_FW
0xffb54e60,CancelAdj_AEMode_FW
0xffb5927c,CancelAdjCdsMode_FW
0xffb5a85c,CancelBPFilterForBP_FW
0xffb54728,CancelExStrobeMode_FW
0xffabe500,CancelFocusLensMaxSpeedLimit_FW
0xff898edc,CancelHPTimer
0xffb533f0,CancelImageDrive_FW
0xff9116e4,CancelImager_FW
0xffb5d594,CancelLoopGainCalc_FW
0xff8261c4,CancelTimer
0xff995b6c,Capture.Create_FW
0xffb53410,CaptureWithParam_FW
0xffa90ae0,ChangeAdjImgDrvMode_FW
0xffa90b0c,ChangeAEIntegDrvTypeToAdjImgDriveType_FW
0xffa40c14,ChangeDefectRecParam_FW
0xffb566f8,ChangeDistortionSetForLiveImage_FW
0xffb56720,ChangeElectronicRollISSetting_FW
0xffb5d178,ChangeFilterMode_FW
0xffabe6e8,ChangeFocusDistanceToPosition_FW
0xffb53458,ChangeImageDrive_FW
0xff911760,ChangeImagerToAlternateDraft_FW
0xff911720,ChangeImagerToCombiParallel_FW
0xff911758,ChangeImagerToDigiconMode_FW
0xff9117d0,ChangeImagerToElectraGlide_FW
0xff9117b8,ChangeImagerToFalconJump_FW
0xff911798,ChangeImagerToFantaJungle_FW
0xff911730,ChangeImagerToFocusJet_FW
0xff911788,ChangeImagerToHarleyDavidson_FW
0xff9117f8,ChangeImagerToHarleyDavidsonNepal_FW
0xff9117e8,ChangeImagerToHarleySunshine_FW
0xff9117c8,ChangeImagerToHealthyVegetable_FW
0xff911748,ChangeImagerToHoneyFlash_FW
0xff9117a0,ChangeImagerToHoneyFlashDark_FW
0xff9117b0,ChangeImagerToLCWideDraft_FW
0xff911790,ChangeImagerToMachDashV_FW
0xff911738,ChangeImagerToMangoPudding_FW
0xff911750,ChangeImagerToMillefeAdjust_FW
0xff911778,ChangeImagerToMontblancMillefe_FW
0xff911780,ChangeImagerToMontblancMovie_FW
0xff911770,ChangeImagerToMontblancWhole_FW
0xff911758,ChangeImagerToOITA_XAVIER_FW
0xff9117a8,ChangeImagerToRoadKing_FW
0xff911800,ChangeImagerToRoadKingNepal_FW
0xff9117f0,ChangeImagerToRoadQueen_FW
0xff9117c0,ChangeImagerToSpriteSunshine_FW
0xff911740,ChangeImagerToSuperWideDraft_FW
0xff911808,ChangeImagerToSuperWideNepal_FW
0xff911768,ChangeImagerToUltraGhostQ_FW
0xff9117e0,ChangeImagerToVeryFastMangoPudding_FW
0xff9117d8,ChangeImagerToVeryFastWideDraft_FW
0xff911708,ChangeImagerToWholeParallel_FW
0xff911710,ChangeImagerToWholeParallelBP_FW
0xff911728,ChangeImagerToWideDraft_FW
0xff911718,ChangeImagerToWideDraftFinancier_FW
0xffabeca8,ChangeIrisSpeed_FW
0xffabff18,ChangeParallelMode_FW
0xffb5d1a8,ChangeToISCloseControl_FW
0xffabf7c8,ChangeZoomLensMagnificationToPoint_FW
0xffabf7b8,ChangeZoomLensPointToMagnification_FW
0xffb54778,ChargeStrobe_FW
0xffb547b0,ChargeStrobeForFA_FW
0x006b7fd8,CheckAllEventFlag
0x006b7f7c,CheckAnyEventFlag
0xff89aca4,CheckSumAll_FW
0xffa40df0,ClearDefectTurnTable_FW
0xff82c68c,ClearDUIDFixFlag_FW
0xff82c60c,ClearDurianMode_FW
0x006b8234,ClearEventFlag
0xff82c7d8,ClearFactoryMasterFlag_FW
0xff82c7f0,ClearFactoryMasterROMProtection_FW
0xff82c60c,ClearFactoryMode_FW
0xffb5d584,ClearISCalcZData_FW
0xffabff9c,ClearISIComponent_FW
0xffabffc4,ClearISZData_FW
0xffb766d4,ClearPMByFs_FW
0xffb766bc,ClearPMByGpio_FW
0xffa90d6c,ClearSoundDevForRecEvent_FW
0xff82c248,ClearWLANFactoryMode_FW
0xffa91e2c,ClearZoomCommonDriveParam_FW
0xffa91594,ClearZoomDriveParam_FW
0xff827170,Close
0xff823ee4,close
0xff827170,Close_FW
0xff89ba00,CloseConsole_FW
0xffaa3914,closedir
0xffabf140,CloseMechaShutter_FW
0xffabf188,CloseMechaShutterWithTiming_FW
0xffb5788c,CloseMShutter_FW
0xffa90a78,ConvertAdjImgDrvModeToAdjImgDriveType_FW
0xffa90a2c,ConvertAEIntegDrvTypeToAdjImgDriveType_FW
0xffb54084,ConvertApexStdToApex_FW
0xffb54054,ConvertApexToApexStd_FW
0xffb54638,ConvertCxCyToWBGain_FW
0xffb59330,ConvertToPositionWithDistance_FW
0xffb59314,ConvertToPositionWithDistanceAndZoomPoint_FW
0xffb5350c,ConvertTvToExposureTime_FW
0xff89b760,CPrintf_FW
0xff89b7b8,CPutChar_FW
0xff872230,CreateAdjustmentTableMirror_FW
0x006b784c,CreateBinarySemaphore
