0x000dbc90,task_AdditionAgent
0x006b1ae8,DisableDispatch_low
0x006b1b14,EnableDispatch_low
0x006b1b68,get_self_task_id
0x006b21ac,get_task_properties
0x006b5454,RegisterInterruptHandler
0x006b54e4,UnregisterInterruptHandler
0x006b55d0,GetSRAndDisableInterrupt
0x006b55d4,SetSR
0x006b55f4,EnableInterrupt
0x006b562c,CreateTask
0x006b562c,CreateTask_FW
0x006b595c,ExitTask
0x006b595c,ExitTask_FW
0x006b59c0,DebugAssert
0x006b784c,CreateBinarySemaphore
0x006b78d0,CreateCountingSemaphore
0x006b78d0,CreateCountingSemaphore_FW
0x006b7930,DeleteSemaphore
0x006b7930,DeleteSemaphore_FW
0x006b79a4,TryTakeSemaphore
0x006b79f4,TakeSemaphore
0x006b79f4,TakeSemaphore_FW
0x006b7acc,GiveSemaphore
0x006b7acc,GiveSemaphore_FW
0x006b7b1c,GetSemaphoreValue
0x006b7b9c,CreateTaskStrictly
0x006b7bd4,CreateMessageQueueStrictly
0x006b7bfc,CreateEventFlagStrictly
0x006b7c24,CreateBinarySemaphoreStrictly
0x006b7c4c,CreateCountingSemaphoreStrictly
0x006b7c74,CreateRecursiveLockStrictly
0x006b7c9c,TakeSemaphoreStrictly
0x006b7cc8,ReceiveMessageQueueStrictly
0x006b7cf4,PostMessageQueueStrictly
0x006b7d20,WaitForAnyEventFlagStrictly
0x006b7d4c,WaitForAllEventFlagStrictly
0x006b7d78,AcquireRecursiveLockStrictly
0x006b7eb4,CreateEventFlag
0x006b7f14,DeleteEventFlag
0x006b7f7c,CheckAnyEventFlag
0x006b7fd8,CheckAllEventFlag
0x006b8034,WaitForAnyEventFlag
0x006b8120,WaitForAllEventFlag
0x006b81ec,SetEventFlag
0x006b8234,ClearEventFlag
0x006b8280,GetEventFlagValue
0x006b8304,CreateMessageQueue
0x006b83b4,DeleteMessageQueue
0x006b8458,ReceiveMessageQueue
0x006b854c,TryReceiveMessageQueue
0x006b85bc,PostMessageQueue
0x006b8680,TryPostMessageQueue
0x006b86d4,GetNumberOfPostedMessages
0x006b8780,CreateRecursiveLock
0x006b87d8,DeleteRecursiveLock
0x006b8840,AcquireRecursiveLock
0x006b89a8,ReleaseRecursiveLock
0x006b8a4c,DisableDispatch
0x006b8aac,SetValidSystemCalender
0x006b8abc,GetValidSystemCalender
0x006b8adc,IsInvalidTime
0x006b8af4,PauseTimeOfSystem
0x006b8b04,ResumeTimeOfSystem
0x006b8d88,SleepTask
0x006b8d88,SleepTask_FW
0x006b8dd4,EnableDispatch
0x006b927c,time
0x006b9330,GetTimeOfSystem_FW
0x006b9a18,LocalTime
0x006bcf44,dry_memzero
0x006bcf84,dry_memcpy
0x006bd068,bzero
0x006bd0bc,_divmod_signed_int
0x006bd554,_divmod_unsigned_int
0x006bd900,_log
0x006bde40,_log10
0x006bdfb8,_pow
0x006bef68,_safe_sqrt
0x006befb4,_dadd
0x006bf28c,_ddiv
0x006bf758,_dfix
0x006bf808,_dfixu
0x006bf890,_dflt
0x006bf8c0,_dfltu
0x006bf8cc,_dcmp
0x006bf954,_dmul
0x006bfb24,_dcmp_reverse
0x006bfbc4,_drsb
0x006bfbdc,_sqrt
0x006bfd50,_dsub
0x006c00d4,_f2d
0x006c0258,_fdiv
0x006c043c,_ffix
0x006c04b0,_ffixu
0x006c0510,_fflt
0x006c0544,_ffltu
0x006c054c,_fmul
0x006c0a4c,_scalbn
0xff8201bc,icache_flush_and_enable
0xff8201e4,icache_disable_and_flush
0xff82020c,dcache_flush_and_enable
0xff820234,dcache_clean_flush_and_disable
0xff820284,dcache_flush_range
0xff8202a0,dcache_clean_range
0xff820300,dcache_clean_flush_range
0xff820384,icache_flush_range
0xff820b68,memShow_FW
0xff822a54,task_ClockSave
0xff823568,get_self_task_errno_pointer
0xff8235cc,GetMemInfo
0xff823e34,open
0xff823ee4,close
0xff824088,Read
0xff824088,Read_FW
0xff824978,err_init_task
0xff824a9c,_uartr_req
0xff824b2c,task_UartLog
0xff824cd0,StartRedirectUART_FW
0xff824de4,StopRedirectUART_FW
0xff824f6c,sprintf_FW
0xff824f88,strcpy
0xff824f88,strcpy_FW
0xff824fa0,memcmp
0xff824fa0,memcmp_FW
0xff82509c,j_strcmp_FW
0xff82509c,strcmp
0xff8250c4,strcmp_FW
0xff8250e0,strlen
0xff8250e0,strlen_FW
0xff8251c8,malloc
0xff825220,free
0xff825dec,AllocateUncacheableMemory
0xff825e28,FreeUncacheableMemory
0xff825fbc,_GetSystemTime
0xff8260f4,SetTimerAfter
0xff826160,SetTimerWhen
0xff8261c4,CancelTimer
0xff826a68,RenameFile_Fut
0xff826b70,DeleteDirectory_Fut
0xff826bc8,Fopen_Fut
0xff826bc8,Fopen_Fut_FW
0xff826c08,Fclose_Fut
0xff826c08,Fclose_Fut_FW
0xff826cb4,Fread_Fut
0xff826cb4,Fread_Fut_FW
0xff826d08,Fwrite_Fut
0xff826d08,Fwrite_Fut_FW
0xff826d5c,Fgets_Fut
0xff826da8,Fseek_Fut
0xff826da8,Fseek_Fut_FW
0xff826df4,Feof_Fut
0xff826e30,Fflush_Fut
0xff8270a8,Open
0xff8270a8,Open_FW
0xff827170,Close
0xff827170,Close_FW
0xff8271c4,Write
0xff8271c4,Write_FW
0xff827218,j_Open_FW
0xff82721c,j_Close_FW
0xff827294,Remove
0xff82731c,j_Read_FW
0xff827320,j_Write_FW
0xff82738c,Lseek
0xff82738c,lseek
0xff82738c,Lseek_FW
0xff8273ac,OpenForScrip_FW
0xff8273d4,stat
0xff8274fc,SetFileTimeStamp
0xff827574,SetFileAttributes
0xff82760c,mkdir
0xff827814,j_StartCameraLog_FW
0xff827818,j_ShowCameraLog_FW
0xff82781c,j_ShowCameraLogInfo_FW
0xff827820,j_StopCameraLog_FW
0xff827824,j_PutsCameraLogEvent_FW
0xff827828,OpLog.Create_FW
0xff8278a4,j_NewTaskShell_FW
0xff8278a8,j_ExMem.View_FW
0xff8278ac,j_ExMem.AllocUncacheable_FW
0xff8278b0,j_ExMem.FreeUncacheable_FW
0xff8278b4,j_ExMem.AllocCacheable_FW
0xff8278b8,j_ExMem.FreeCacheable_FW
0xff8278bc,ExMem_FW
0xff827bb0,task_Startup
0xff827cc4,vsprintf
0xff827d04,strncpy
0xff8294a4,task_StartupImage
0xff82a578,task_BatteryTask
0xff82ac10,GetVBatVoltage_FW
0xff82ac10,VbattGet
0xff82ac10,VbattGet_FW
0xff82b598,kbd_p2_f
0xff82b8fc,task_PhySw
0xff82bcf0,GetSwitchStatus_FW
0xff82bd5c,GetSDDetect_FW
0xff82bd64,GetSDProtect
0xff82bd64,GetSDProtect_FW
0xff82bd88,GetDialEventId_FW
0xff82bd90,GetLcdPosition_FW
0xff82bd98,GetBatteryCoverClose_FW
0xff82bda0,IsHvSensorExist_FW
0xff82bda8,kbd_read_keys
0xff82bdf8,kbd_p1_f
0xff82be04,kbd_p1_f_cont
0xff82bee4,EngDrvOut
0xff82befc,EngDrvIn
0xff82bf04,EngDrvRead
0xff82bf18,EngDrvBits
0xff82c13c,DisplayFactoryMode_FW
0xff82c148,UndisplayFactoryMode_FW
0xff82c154,task_bomStopPTPIPTask
0xff82c180,StopPtpipServiceForFAWLAN_FW
0xff82c240,SetWLANFactoryMode_FW
0xff82c248,ClearWLANFactoryMode_FW
0xff82c250,SetSSIDForFAWLAN_FW
0xff82c258,DummyUSBConnection_FW
0xff82c5cc,SetDurianMode_FW
0xff82c60c,ClearDurianMode_FW
0xff82c60c,ClearFactoryMode_FW
0xff82c64c,SetFactoryMode_FW
0xff82c68c,ClearDUIDFixFlag_FW
0xff82c6c4,SetDUIDFixFlag_FW
0xff82c7d8,ClearFactoryMasterFlag_FW
0xff82c7e4,SetFactoryMasterFlag_FW
0xff82c7f0,ClearFactoryMasterROMProtection_FW
0xff82c814,SetFactoryMasterROMProtection_FW
0xff82c838,IsFactoryMode_FW
0xff82c8b8,IsDUIDFixFlag_FW
0xff82c900,IsNormalCameraMode_FW
0xff82c918,StartFactoryModeController_FW
0xff82caf0,task_FsIoNotifyTask
0xff82f76c,get_fstype
0xff82f7f4,GetDrive_ClusterSize
0xff830014,GetDrive_TotalClusters
0xff830040,GetDrive_FreeClusters
0xff8304ec,MakeSDCardBootable
0xff830f88,MoveOpticalZoomAt
0xff83121c,SS.GetDigitalZoomPosition_FW
0xff831530,DoAFLock
0xff831560,UnlockAF
0xff8317d0,EnterToCompensationEVF
0xff831818,ExitFromCompensationEVF
0xff83186c,DoAELock
0xff831890,UnlockAE
0xff831e78,MenuIn
0xff831ea4,MenuOut
0xff832a90,drysh_FW
0xff832b48,ExMem.View_FW
0xff832ff4,exmem_ualloc
0xff833040,ExMem.AllocUncacheable_FW
0xff833134,exmem_ufree
0xff833174,ExMem.FreeUncacheable_FW
0xff833188,exmem_alloc
0xff8331e0,ExMem.AllocCacheable_FW
0xff8331f0,exmem_free
0xff833254,ExMem.FreeCacheable_FW
0xff8334d4,RegisterEventProcedure
0xff8335fc,ExecuteEventProcedure
0xff833674,ExecuteEventProcedure_FW
0xff833f34,ExportToEventProcedure_FW
0xff833f40,CreateProxyOfEventProcedure_FW
0xff833f98,DeleteProxyOfEventProcedure_FW
0xff834018,PutsCameraLogEvent_FW
0xff83405c,ShowCameraLogInfo_FW
0xff8340c8,ShowCameraLog_FW
0xff834118,StartCameraLog_FW
0xff8342e0,StopCameraLog_FW
0xff834340,LogCameraEvent
0xff8347ec,task_OpePlay
0xff834940,OpLog.Stop_FW
0xff83496c,OpLog.WriteToROM_FW
0xff83499c,j_OpLog.WriteToROM_FW
0xff8349d0,OpLog.ReadFromROM_FW
0xff834a38,OpLog.ReadFromSD_FW
0xff834e78,OpLog.WriteToSD_FW
0xff8353cc,OpLog.Get_FW
0xff8353ec,OpLog.GetUsrSet_FW
0xff8354ac,OpLog.Play_FW
0xff8356c4,OpLog.Start_FW
0xff8357b0,OpLog.Terminate_FW
0xff836138,task_EvShel
0xff8361ec,NewTaskShell
0xff83624c,NewTaskShell_FW
0xff8363ec,TurnOffE1_FW
0xff8364cc,task_Bye
0xff83669c,Restart
0xff836adc,HardwareDefectWithRestart_FW
0xff836b30,HardwareDefect_FW
0xff836c34,malloc_strictly
0xff836e10,atol_FW
0xff836e1c,strtolx
0xff837018,strtol
0xff83702c,strcat
0xff837068,strncmp
0xff8370b4,strchr
0xff841650,ExpCtrlTool_StartContiAE
0xff8417c4,ExpCtrlTool_StopContiAE
0xff84493c,task_WBCtrl
0xff846d70,task_AFTask
0xff847c54,GetMacroSupportZoomPoint_FW
0xff84964c,ImagerActivate
0xff84aa04,task__imageSensorTask
0xff84b214,SetMontblancVSize_FW
0xff84b228,GetMontblancVSize_FW
0xff84daf8,LiveImageTool.GetDzoomPosition_FW
0xff84df28,GetVRAMHPixelsSize
0xff84df28,GetVRAMHPixelsSize_FW
0xff84df34,GetVRAMVPixelsSize
0xff84df34,GetVRAMVPixelsSize_FW
0xff84df40,GetMovieJpegVRAMHPixelsSize_FW
0xff84df4c,GetMovieJpegVRAMVPixelsSize_FW
0xff855468,cameracon_set_state
0xff855a94,Rec2PB
0xff857008,cameracon_get_state
0xff8570f4,UIFS_CancelStoreLensTimer_FW
0xff8572f4,PB2Rec
0xff857bd0,task_InitFileModules
0xff857c08,task_CommonDrivers
0xff85b4a8,UIFS_StartMovieRecord_FW
0xff85b4cc,UIFS_StopMovieRecord_FW
0xff85d22c,UIFS_GetNumOfOptZoomPos_FW
0xff85d350,UIFS_MoveZoomTo_FW
0xff85fca0,UIFS_IsAvailableShots_FW
0xff8601b8,UIFS_GetStillShotableNumber_FW
0xff8601bc,UIFS_GetMovieRecoadableNumber_FW
0xff862eb0,DispCon_ShowColorBar_FW
0xff862f08,DispCon_ShowFiveStep_FW
0xff862fe8,DispCon_ShowWhiteChart_FW
0xff863020,DispCon_ShowBlackChart_FW
0xff86303c,DispCon_ShowBitmapColorBar
0xff86303c,DispCon_ShowBitmapColorBar_FW
0xff863098,DispCon_ShowCustomColorBar_FW
0xff8630ec,DispCon_SetDisplayType_FW
0xff86310c,DispCon_ShowColorChart_FW
0xff863128,DispCon_ShowWhiteLine_FW
0xff8632fc,DispCon_ShowNStepsChart_FW
0xff86344c,DispCon_TurnOnDisplay_FW
0xff86344c,TurnOnDisplay
0xff86345c,DispCon_TurnOffDisplay_FW
0xff86345c,TurnOffDisplay
0xff86346c,DispCon_TurnOnBackLight_FW
0xff86347c,DispCon_TurnOffBackLight_FW
0xff86348c,DispCon_SetMaxBackLightBrightness_FW
0xff863518,DispCon_SetVideoAdjParameter_FW
0xff8635a0,DispCon_GetVideoAdjParameter_FW
0xff8635fc,DispCon_ShowVideoAdjParameter_FW
0xff863628,DispCon_SaveVideoAdjParameter_FW
0xff86373c,DispCon_SetLcdGainAdjParameter_FW
0xff86378c,DispCon_GetLcdGainAdjParameter_FW
0xff8637c8,DispCon_ShowLcdGainAdjParameter_FW
0xff8637d8,DispCon_SaveLcdGainAdjParameter_FW
0xff8645f0,GetAdVBattBottom_FW
0xff8645f8,GetAdChValue
0xff8645f8,GetAdChValue_FW
0xff865b84,GetTimeFromRTC
0xff8663bc,task_BeepTask
0xff866744,BeepDrive_FW
0xff866764,BeepDriveComp_FW
0xff8676ec,task_LEDCon
0xff868108,kbd_read_keys_r2
0xff86861c,GetKbdState
0xff8687e4,WriteToRom_FW
0xff868858,EraseRom_FW
0xff868938,GetRomID_FW
0xff868be8,task_AudioTsk
0xff86a028,TurnOnVideoOutMode_FW
0xff86a060,TurnOffVideoOutMode_FW
0xff86aab8,GetInputAverageLevel_FW
0xff86aac4,GetNowInputAverageLevel_FW
0xff86bb90,task_Thermometer
0xff86bd88,GetCCDTemperature
0xff86bd88,GetCCDTemperature_FW
0xff86be00,GetBatteryTemperature
0xff86be00,GetBatteryTemperature_FW
0xff86be78,GetOpticalTemperature
0xff86be78,GetOpticalTemperature_FW
0xff86bf24,IsOpticalTemperature_FW
0xff86bf58,IsCCDTemperature_FW
0xff86bf8c,IsBatteryTemperature_FW
0xff86bfdc,j_GetOpticalTemperature_FW
0xff86bfe0,j_GetCCDTemperature_FW
0xff86bfe4,j_GetBatteryTemperature_FW
0xff86bfe8,j_IsOpticalTemperature_FW
0xff86bfec,j_IsCCDTemperature_FW
0xff86bff0,j_IsBatteryTemperature_FW
0xff86de24,task_FrameTask
0xff871a68,EraseAdjustmentArea_FW
0xff871a94,DumpAdjMirror_FW
0xff871abc,GetAdjTableVersion_FW
0xff871af0,j_GetAdjTableVersion_FW
0xff871af4,GetAdjTableMapVersion_FW
0xff871b04,GetAdjTableValueVersion_FW
0xff871b18,ShowDefaultAdjTableVersion_FW
0xff871bb8,LoadAdjustmentTable_FW
0xff871bc8,LoadDefectAdjTable_FW
0xff871f48,SaveAdjustmentTable_FW
0xff871fb4,SaveDefectAdjTable_FW
0xff871fd0,SaveAdjustmentValue_FW
0xff872008,LoadAdjustmentValue_FW
0xff87202c,PrintAdjTableMap_FW
0xff87232c,CreateAdjustmentTableMirror_FW
0xff872334,RefreshAdjustmentTableMirror_FW
0xff87233c,CreateDefectTableMirror_FW
0xff872344,RefreshDefectTableMirror_FW
0xff87234c,j_CreateUserSettingMirror_FW
0xff872350,PrintAdjKabotanInfo_FW
0xff8723e0,WRITEADJTABLETOFROM_FW
0xff872414,j_WRITEADJTABLETOFROM_FW
0xff872418,WRITEADJUSTMENTDATATOFROM_FW
0xff87244c,WRITEUSERSETTINGDATATOFROM_FW
0xff872848,GetDCPAdjOffset_FW
0xff872cf8,GetAdjustmentOffset_FW
0xff872d00,GetProductID_FW
0xff872d1c,GetAdjDataAreaAddress_FW
0xff872d38,CreateUserSettingMirror_FW
0xff876df4,InitializeTestRec_FW
0xff876e60,TerminateTestRec_FW
0xff877820,Initializedccd_FW
0xff877820,InitializeDigicon_FW
0xff87792c,Terminatedccd_FW
0xff87792c,TerminateDigicon_FW
0xff877998,ExecuteDigicon_FW
0xff8780b4,Executedccd_FW
0xff87824c,GetdccdImage_FW
0xff8782e8,GetdccdFilterValue_FW
0xff8783d4,j_InitializeTestRec_FW
0xff8783d8,j_TerminateTestRec_FW
0xff8783dc,ExecuteTestRec_FW
0xff8783f0,ExecuteTestRecCF_FW
0xff8783f0,ExecuteTestRecSD_FW
0xff878408,SetTestRecMasterCxCy_FW
0xff878508,ExecuteTestRecWithInteg_FW
0xff878520,ExecuteTestRecSw1_FW
0xff87856c,GetTestRecCrawAddress_FW
0xff878578,CalculateTestRecYUVData_FW
0xff878588,SetTestRecSkimmingYUV_FW
0xff8785cc,ExecuteTestRecDevelopProcess_FW
0xff878618,j_Initializedccd_FW
0xff878618,j_InitializeDigicon_FW
0xff87861c,j_Terminatedccd_FW
0xff87861c,j_TerminateDigicon_FW
0xff878620,j_ExecuteDigicon_FW
0xff878624,j_Executedccd_FW
0xff878628,j_GetdccdImage_FW
0xff87862c,j_GetdccdFilterValue_FW
0xff878630,ResetRegistNoticeCBR_FW
0xff878640,RegistFirmScanNoticeCBR_FW
0xff87c45c,task_MediaStatusMngr
0xff87e2b8,WriteSDCard
0xff87e988,task_SD1stInit
0xff87f2a8,task_RedEyeCapt
0xff883cac,StartCzTuning_FW
0xff883cb4,MoveCzPeakPositon_FW
0xff883cbc,CzDebugPrint_FW
0xff883cbc,SetCzDebugFocusMode_FW
0xff883cbc,SetCzDebugSubjectDistance_FW
0xff883cd0,CzDebugPrintToFile_FW
0xff884508,GetCurrentAvValue
0xff884508,GetCurrentAvValue_FW
0xff884508,GetIrisAv_FW
0xff8845a8,GetUsableAvRange
0xff884998,task_LensController
0xff88551c,IsLensOutside_FW
0xff885540,GetFocusStartZoomPosition_FW
0xff886618,task_MechaLog
0xff8876d4,task_ISMainTask
0xff887988,ISInitMotion_FW
0xff8882f0,GetISPWMFrequency_FW
0xff8882f4,GetISPWMPeriod_FW
0xff888378,StartISLocalAutoCenter_FW
0xff8883b8,StartISLocalHallAdjust_FW
0xff88875c,GetGyroDataPitch_FW
0xff888784,GetGyroDataYaw_FW
0xff8887c4,GetGyro10BitDACPitch_FW
0xff8887d0,GetGyro10BitDACYaw_FW
0xff8887dc,GetGyroHPFINOffsetPitch_FW
0xff8887e8,GetGyroHPFINOffsetYaw_FW
0xff8887f4,GetGyroHPFINPitch_FW
0xff888800,GetGyroHPFINYaw_FW
0xff888a6c,GetDISModeParameter_FW
0xff888c0c,GetFixedPWMOutA_FW
0xff888c14,GetFixedPWMOutB_FW
0xff88aa98,task_SsStartupTask
0xff88c07c,task_CaptSeq
0xff88c07c,task_CaptSeqTask
0xff8935bc,SSFS_CompleteCaptModeChange_FW
0xff8935bc,SSFS_CompleteFileWrite_FW
0xff8935bc,SSFS_CompletePreCapt_FW
0xff8935bc,SSFS_CompleteShootPicture_FW
0xff8935bc,SSFS_CompleteStopDigZoom_FW
0xff8935bc,SSFS_CompleteStopZoom_FW
0xff8935bc,SSFS_CompleteSynchroWrite_FW
0xff8935bc,SSFS_ShootPicture_FW
0xff89363c,task_SsTask
0xff895f84,GetLogToFile_FW
0xff895fa8,IsRomLogAvailable_FW
0xff895fbc,EraseLogSector_FW
0xff8968ec,GetCurrentMachineTime
0xff8978e8,ExecuteShutDownPropertyService_FW
0xff897adc,get_resource_pointer
0xff897da8,UnLoadScript_FW
0xff897e94,Printf_FW
0xff897ea4,LoadScript_FW
0xff898ed8,SetHPTimerAfterNow
0xff898f58,SetHPTimerAfterTimeout
0xff898fe0,CancelHPTimer
0xff89a9bc,task_WdtPrint
0xff89aa6c,task_WdtReset
0xff89ab2c,StartWDT_FW
0xff89ab8c,StopWDT_FW
0xff89ac8c,GetBuildDate_FW
0xff89ac94,GetBuildTime_FW
0xff89ac9c,GetFirmwareVersion_FW
0xff89ad0c,GetInternalFirmwareVersion_FW
0xff89ada8,CheckSumAll_FW
0xff89af90,RomCheckSum_FW
0xff89b048,task_ConsoleSvr
0xff89b654,RotateConsoleZOder_FW
0xff89b6e4,task_LowConsole
0xff89b864,CPrintf_FW
0xff89b8bc,CPutChar_FW
0xff89b8e4,GetCh_FW
0xff89b934,GetStringWithPrompt_FW
0xff89b9d4,OpenConsole_FW
0xff89bb04,CloseConsole_FW
0xff89c62c,SetPropertyCase
0xff89c7d0,GetPropertyCase
