0x006bca3c,_dadd
0x006bd354,_dcmp
0x006bd5ac,_dcmp_reverse
0x006bcd14,_ddiv
0x006bd1e0,_dfix
0x006bd290,_dfixu
0x006bd318,_dflt
0x006bd348,_dfltu
0x006bab48,_divmod_signed_int
0x006bafe0,_divmod_unsigned_int
0x006bd3dc,_dmul
0x006bd64c,_drsb
0x006bd7d8,_dsub
0x006bdb5c,_f2d
0x006bdce0,_fdiv
0x006bdec4,_ffix
0x006bdf38,_ffixu
0x006bdf98,_fflt
0x006bdfcc,_ffltu
0x006bdfd4,_fmul
0xff826964,_GetSystemTime
0x006bb388,_log
0x006bb8c8,_log10
0x006bba40,_pow
0x006bc9f0,_safe_sqrt
0x006be4d4,_scalbn
0x006bd664,_sqrt
0xff824ea4,_uartr_req
0xff9690fc,AbortAEIntegralValue_FW
0xff82a218,AcquireRecursiveLock
0xff8267f8,AcquireRecursiveLockStrictly
0xff96b7f4,ActivateAdjLog_FW
0xff904d84,ActivateImager_FW
0xff904e1c,ActivateImagerXOne_FW
0xffa7600c,add_ptp_handler
0xff9bb214,add_ui_to_dialog
0xff9a900c,AdditionAgentRAM_FW
0xffaa1704,AddTransparentMemory_FW
0xffb68fac,AdjAEWithAperturePriority_FW
0xffb68f54,AfAEWithAperturePriority_FW
0xffb6915c,AfAEWithCompensation_FW
0xff9016cc,AFTool.GetEVal_FW
0xff90194c,AFTool.SetAFLogType_FW
0xff901924,AFTool.StoreAFixPosition_FW
0xffad451c,AllocateMemory
0xffad451c,AllocateMemory_FW
0xff8261f4,AllocateUncacheableMemory
0xffa2655c,apex2us
0xff838d2c,atol_FW
0xff969f00,AttachIntegCrawData_FW
0xffaa173c,AttachToTransparentMemory_FW
0xffb4d02c,Bat_Calc_FW
0xffb6a900,Bat_Save_FW
0xffb6a8ec,Bat_VIN_FW
0xff869654,BeepDrive_FW
0xff869674,BeepDriveComp_FW
0xffb67f1c,CalcLog10
0xffb67f58,CalcLog10_FW
0xffb713f4,CalcLoopGain_FW
0xffb6a918,CalcLowBatteryOffsetValue_FW
0xffb68048,CalcSqrt_FW
0xffb4d02c,CalculateBatSenseOffset_FW
0xffb70020,CalculateInterpolationByLS_FW
0xffb67eec,CalculateLog2ToApex_FW
