0xff815638,_GetSystemTime
0xffaae9b0,_log
0xffaaf058,_log10
0xffaaf548,_pow
0xffab3894,_sqrt
0xff824b4c,AcquireRecursiveLock
0xff95db40,AddItemToDialogBox_FW
0xff81eb24,AllocateMemory
0xff81eb24,AllocateMemory_FW
0xff896310,Angel.Dump_FW
0xff8962cc,Angel.Test_FW
0xff8a9f58,apex2us
0xff94f864,BugDetect_FW
0xff8166d4,CancelHPTimer
0xff8159dc,CancelTimer
0xff8a23a8,Capture.Delete_FW
0xff8218bc,CheckAllEventFlag
0xff8218ac,CheckAnyEventFlag
0xff81e5ac,CheckSumAll_FW
0xff821cb4,ClearEventFlag
0xffa9d664,ClearScriptDebugMode2_FW
0xffa9d574,ClearScriptDebugMode_FW
0xffac265c,close
0xffac265c,close_FW
0xff81ad1c,CloseConsole_FW
0xffabe490,closedir
0xff95fae0,ControlEventHandler_FW
0xff81a9ac,CPrintf_FW
0xff81aa88,CPutChar_FW
0xffac2c94,creat_FW
0xff822c30,CreateBinarySemaphore
0xff814ffc,CreateBinarySemaphoreStrictly
0xff950e0c,CreateController_FW
0xff822c40,CreateCountingSemaphore
0xff822c40,CreateCountingSemaphore_FW
0xff815068,CreateCountingSemaphoreStrictly
0xff95d6e8,CreateDialogBox_FW
0xff95f83c,CreateDialogItem_FW
0xff9e5d94,CreateDpConnectController_FW
0xff8215bc,CreateEventFlag
0xff814f90,CreateEventFlagStrictly
0xff821f94,CreateMessageQueue
0xff814f2c,CreateMessageQueueStrictly
0xff817f14,CreateProxyOfEventProcedure_FW
0xff824958,CreateRecursiveLock
0xff8150d0,CreateRecursiveLockStrictly
0xff823784,CreateTask
0xff823784,CreateTask_FW
0xff814eac,CreateTaskStrictly
0xff923c68,D_Enable_FW
0xff9fc380,DBG_changeTraceLevel_FW
0xff814c10,DebugAssert
0xff950ec4,DeleteController_FW
0xff95d8cc,DeleteDialogBox_FW
0xff95da78,DeleteDialogBoxAfterGetTopOfControl_FW
0xff95f990,DeleteDialogItem_FW
0xff9e5fc4,DeleteDpConnectController_FW
0xff8216c8,DeleteEventFlag
0xff8699b4,DeleteFile_Fut
0xff95dc14,DeleteItemFromDialogBox_FW
0xff8220e4,DeleteMessageQueue
0xff817f9c,DeleteProxyOfEventProcedure_FW
0xff824a74,DeleteRecursiveLock
0xff822d4c,DeleteSemaphore
0xff822d4c,DeleteSemaphore_FW
0xff94f828,DeviceFailure_FW
0xff8c9eb8,DisableOBClampField_FW
0xff96c3fc,DisableRefreshPhysicalScreen_FW
0xff924d40,DispCon_ShowBitmapColorBar
0xff923c54,DispDev_EnableEventProc_FW
0xff95e140,DisplayDialogBox_FW
0xff93de38,DoAFLock,(stubs_entry_2.s)
0xff81e950,Download_FW
0xff95e52c,DrawBinaryBitmapToDialog_FW
0xff95fa2c,DrawDialogItem_FW
0xff95e3dc,DrawStringToDialog_FW
0xffa9e88c,Dump32_FW
0xff821f48,EnableInterrupt
0xff8c9ea0,EnableOBClampField_FW
0xff96c3e8,EnableRefreshPhysicalScreen_FW
0xff9bc600,EndMarkDpof_FW
0xff885988,EngDrvBits
0xff885954,EngDrvOut
0xff885974,EngDrvRead
0xff8a2208,EngineDriver.Delete_FW
0xff98b5e4,EnterToDisplayOff_FW
0xff8251f8,EraseSectorOfRom_FW
0xff81eba8,EraseSignature_FW
0xffabec5c,errnoOfTaskGet
0xff9559e0,EvntTbl_SetScriptMode_FW
0xff81756c,ExecuteEventProcedure_FW
0xffa99524,ExecuteFirmUpgrade_FW
0xff988cf4,ExecuteResetFactoryWithRomWrite_FW
0xff823b44,ExitTask
