0xff814de8,_GetSystemTime
0xffabffd8,_log
0xffac0680,_log10
0xffac0b70,_pow
0xffac4ebc,_sqrt
0xff822538,AcquireRecursiveLock
0xff96971c,AddItemToDialogBox_FW
0xff81a9f0,AllocateMemory
0xff81a9f0,AllocateMemory_FW
0xff814bb0,AllocateUncacheableMemory
0xff8ab374,apex2us
0xff82a544,BatVoltageToAd_FW
0xff815cac,CancelHPTimer
0xff815050,CancelTimer
0xff8a0860,Capture.Delete_FW
0xff81f918,CheckAllEventFlag
0xff81f908,CheckAnyEventFlag
0xff81a5ec,CheckSumAll_FW
0xff81fd18,ClearEventFlag
0xff86e2c0,Close
0xffad3a58,close
0xff86e2c0,Close_FW
0xff81b8cc,CloseConsole_FW
0xffacf9f8,closedir
0xff96ab40,ControlEventHandler_FW
0xff81b600,CPrintf_FW
0xff81b664,CPutChar_FW
0xff820b18,CreateBinarySemaphore
0xff822708,CreateBinarySemaphoreStrictly
0xff958870,CreateController_FW
0xff820c00,CreateCountingSemaphore
0xff820c00,CreateCountingSemaphore_FW
0xff822734,CreateCountingSemaphoreStrictly
0xff96929c,CreateDialogBox_FW
0xff96a938,CreateDialogItem_FW
0xffa09cb0,CreateDpConnectController_FW
0xff81f61c,CreateEventFlag
0xff8226dc,CreateEventFlagStrictly
0xff81ffa0,CreateMessageQueue
0xff8226b0,CreateMessageQueueStrictly
0xff81747c,CreateProxyOfEventProcedure_FW
0xff822344,CreateRecursiveLock
0xff822760,CreateRecursiveLockStrictly
0xff821508,CreateTask
0xff821508,CreateTask_FW
0xff822670,CreateTaskStrictly
0xffa2151c,DBG_changeTraceLevel_FW
0xff813a80,DebugAssert
0xff958928,DeleteController_FW
0xff9694a8,DeleteDialogBox_FW
0xff969630,DeleteDialogBoxAfterGetTopOfControl_FW
0xff96aa28,DeleteDialogItem_FW
0xffa09f00,DeleteDpConnectController_FW
0xff81f728,DeleteEventFlag
0xff867774,DeleteFile_Fut
0xff9697f0,DeleteItemFromDialogBox_FW
0xff8200f0,DeleteMessageQueue
0xff96e25c,DeletePalette_FW
0xff817504,DeleteProxyOfEventProcedure_FW
0xff822460,DeleteRecursiveLock
0xff820d0c,DeleteSemaphore
0xff820d0c,DeleteSemaphore_FW
0xff95f590,DisableAutoShutdown_FW
0xff8cae28,DisableOBClampField_FW
0xff974ee0,DisableRefreshPhysicalScreen_FW
0xff9224a0,DispCon_ShowBitmapColorBar
0xff969ccc,DisplayDialogBox_FW
0xff94a1d0,DoAFLock
0xff96a0e0,DrawBinaryBitmapToDialog_FW
0xff96aaa8,DrawDialogItem_FW
0xff969f90,DrawStringToDialog_FW
0xff81a8c8,Dump32_FW
0xff95f5a8,EnableAutoShutdown_FW
0xff81ff60,EnableInterrupt
0xff8cae10,EnableOBClampField_FW
0xff974ecc,EnableRefreshPhysicalScreen_FW
0xff87ee00,EngDrvBits
0xff87ede4,EngDrvIn
0xff87edcc,EngDrvOut
0xff87edec,EngDrvRead
0xff8a06c4,EngineDriver.Delete_FW
0xffab8f28,EraseLogSector_FW
0xff822c90,EraseSectorOfRom_FW
0xff81aad4,EraseSignature_FW
0xffad01c4,errnoOfTaskGet
0xff81ab5c,exec_FW
0xff816ac8,ExecuteEventProcedure
0xff816ac8,ExecuteEventProcedure_FW
0xffab0d50,ExecuteFirmUpgrade_FW
0xff98797c,ExecuteResetFactoryWithRomWrite_FW
0xff94c084,ExitFromCompensationEVF,(stubs_entry_2.s)
0xff8218c8,ExitTask
0xff8218c8,ExitTask_FW
0xff8127e0,exmem_alloc
0xff816ce4,ExportToEventProcedure_FW
0xffa849fc,FA.Delete_FW
0xff8678b4,Fclose_Fut
0xff8678b4,Fclose_Fut_FW
0xff867ac8,Feof_Fut
0xff867b00,Fflush_Fut
0xff867a38,Fgets_Fut
0xff969f30,FillRectangleToDialog_FW
0xffa02a84,FmtMenu_ExecuteQuickFormat_FW
0xff867878,Fopen_Fut
0xff867878,Fopen_Fut_FW
0xff867998,Fread_Fut
0xff867998,Fread_Fut_FW
0xff81a9dc,FreeMemory
0xff81a9dc,FreeMemory_FW
0xff814be4,FreeUncacheableMemory
0xff867a80,Fseek_Fut
0xff867a80,Fseek_Fut_FW
0xff8679e8,Fwrite_Fut
0xff8679e8,Fwrite_Fut_FW
0xff828f1c,GetAdChValue_FW
0xff828f5c,GetAdVBattBottom_FW
0xff96ad18,GetAttributeFromDialogItem_FW
0xff82c6d4,GetBatteryTemperature
0xff81a434,GetBuildDate_FW
0xff81a44c,GetBuildTime_FW
0xff82c6c0,GetCCDTemperature
0xff81b698,GetCh_FW
0xffa8aa84,GetCurrentAvValue
0xff98c060,GetCurrentCaptureModeType_FW
0xffa8aa2c,GetCurrentTargetDistance
0xff96a148,GetDialogBoxWindow_FW
0xff96ae78,GetDialogItemPosition_FW
0xff96a3e4,GetDialogItemPositionToDialog_FW
0xff96aef8,GetDialogItemResolution_FW
0xff96a418,GetDialogItemResolutionToDialog_FW
0xff81fd68,GetEventFlagValue
0xff81a470,GetFirmwareVersion_FW
0xff969bf4,GetFocusedItemIDOfDialogItem_FW
0xff96a1d8,GetFocusScopeToDialog_FW
0xff969c2c,GetItemHandleOfDialogBox_FW
0xff8276dc,GetKbdState
0xff82a508,GetLBOffset_FW
0xffab8e48,GetLogToFile_FW
0xff95fad0,GetMainPowerLockCounter_FW
0xff820a98,GetNumberOfPostedMessages
0xff82c6ac,GetOpticalTemperature
0xff96e46c,GetPaletteFromPhysicalScreen_FW
0xff964448,GetParameterData
0xff82447c,GetPropertyCase
0xff96ac30,GetPropertyFromDialogItem_FW
0xff969684,GetPropertyFromDialogItemWithID_FW
0xff958b98,GetSelfControllerHandle_FW
0xff8211d4,GetSemaphoreValue
0xff81ff34,GetSRAndDisableInterrupt
0xff81b6fc,GetStringWithPrompt_FW
0xff81ab04,GetSystemTime_FW
0xff814888,GetTimeOfSystem_FW
0xffa6ec8c,GetZoomLensCurrentPoint
0xffa6eca0,GetZoomLensCurrentPosition
0xff821100,GiveSemaphore
0xff821100,GiveSemaphore_FW
0xffa85250,InitializeAdjustmentFunction_FW
0xffa851c0,InitializeAdjustmentSystem_FW
0xff8a07a0,InPort_FW
0xff96a85c,InstallDialogItem_FW
0xff9f86b4,InstallMyCameraMenu_FW
0xffad4c78,iosDevAdd
0xffad4c50,iosDevDelete
0xffad4f3c,iosDrvInstall
0xffac996c,isalpha
0xff9f9618,IsCalledStopEVF_FW
0xff95d924,IsControlEventActive_FW
0xffac999c,isdigit
0xff95f4a4,IsDisableAutoShutdown_FW
0xff974ef4,IsEnableRefreshPhysicalScreen_FW
0xffac99cc,islower
0xffac99fc,ispunct
0xffac9a14,isspace
0xff8fdd38,IsStrobeChargeCompleted
0xffac9a2c,isupper
0xffac9a44,isxdigit
0xff82647c,kbd_p1_f
0xff826488,kbd_p1_f_cont
0xff826860,kbd_p2_f
0xff826548,kbd_read_keys
0xff827260,kbd_read_keys_r2
0xff96a598,KeepDefaultMoveFocusEventToDialog_FW
0xffab1f3c,LoadScript_FW
0xff814108,LocalTime
0xff95f90c,LockMainPower
0xff95f90c,LockMainPower_FW
0xff974d6c,LockPhysicalScreen_FW
0xff96a494,LockRefreshDialog_FW
0xff817f30,LogCameraEvent
0xff95bc38,LogiEvnt_LoadCameraLog_FW
0xff82a530,LowBat_Result_Print_Off_FW
0xff82a518,LowBat_Result_Print_On_FW
0xff86e3a8,Lseek
0xffad3b9c,lseek
0xff86e3a8,Lseek_FW
0xffab02ec,MakeBootDisk_FW
0xff867800,MakeDirectory_Fut
0xffab0300,MakeScriptDisk_FW
0xffad6a98,malloc_alt
0xffacd598,memchr
0xffacd5cc,memcmp
0xffacd5cc,memcmp_FW
0xffacd608,memcpy
0xffacd608,memcpy_FW
0xffaba1d0,MemoryChecker_FW
0xffad6eb8,memPartInfoGet
0xffacd680,memset
0xffacd680,memset_FW
0xffad6ea8,memShow_FW
0xff86e4a8,mkdir
0xfface3b4,mktime
0xff98227c,ModeLevelMovieRecForScript_FW
0xff982288,ModeLevelPlayForScript_FW
0xff982270,ModeLevelStillRecForScript_FW
0xff81ab24,MonSelEvent_FW
0xff958a60,MoveControllerToTopOfZOrder_FW
0xff969590,MoveDialogBoxPosition_FW
0xff96a2d4,MoveDialogControllerToTopOfZOrder_FW
0xff96ad84,MoveDialogItemPosition_FW
0xff96a37c,MoveDialogItemPositionToDialog_FW
0xffa8acbc,MoveFocusLensToDistance
0xff96a224,MoveViewPortPosition_FW
0xffa6eb6c,MoveZoomLensWithPoint
0xff9528ec,NR_GetDarkSubType
0xff95285c,NR_SetDarkSubType
0xff86e298,Open
0xffad409c,open
0xff86e298,Open_FW
0xff81b780,OpenConsole_FW
0xffacfa2c,opendir
0xff8a078c,OutPort_FW
0xff81aa9c,Peek16_FW
0xff81aa80,Peek32_FW
0xff81aab8,Peek8_FW
0xff81aa38,Poke16_FW
0xff81aa14,Poke32_FW
0xff81aa5c,Poke8_FW
0xff95ba78,PostEventShootSeqToUI_FW
0xff95b954,PostLogicalEventForNotPowerType
0xff95b954,PostLogicalEventForNotPowerType_FW
0xff95b9e0,PostLogicalEventToUI
0xff95b9e0,PostLogicalEventToUI_FW
0xff820744,PostMessageQueue
0xff812c84,printclock_FW
0xffab1f60,Printf_FW
0xff956f50,PT_atoi_FW
0xff9572e4,PT_BatLvChange_Low_FW
0xff9572d4,PT_BatLvChange_PreWeak_FW
0xff9572ec,PT_BatLvChange_SysLow_FW
0xff9572dc,PT_BatLvChange_Weak_FW
0xff956f14,PT_EraseAllFile_FW
0xff957364,PT_FinishBatteryTest_FW
0xff95745c,PT_GetBatteryLevel_FW
0xff957138,PT_GetLocalDateAndTimeString_FW
0xff9570d4,PT_GetLocalDateString_FW
0xff957078,PT_GetLocalTimeString_FW
0xff957524,PT_GetLowBatLv_FW
0xff957474,PT_GetPreWeakBatLv_FW
0xff956fcc,PT_GetPropertyCaseInt_FW
0xff956fb8,PT_GetPropertyCaseString_FW
0xff95757c,PT_GetSysLowBatLv_FW
0xff956f5c,PT_GetSystemTime
0xff956f5c,PT_GetSystemTime_FW
0xff9574cc,PT_GetWeakBatLv_FW
0xff9571e4,PT_LCD_BkColor_FW
0xff9572a0,PT_LCD_BkColorDef_FW
0xff956f44,PT_mod_FW
0xff9571cc,PT_PlaySound
0xff9571cc,PT_PlaySound_FW
0xff957188,PT_SetMessage_FW
0xff956f90,PT_SetPropertyCaseInt_FW
0xff956f7c,PT_SetPropertyCaseString_FW
0xff957304,PT_StartBatteryTest_FW
0xff9571b0,PT_UndispMessage_FW
0xff9626f8,PTM_RestoreUIProperty_FW
0xffa52c70,PTPRspnd.ShowRemoteStg_FW
0xff817f98,PutsCameraLogEvent_FW
0xffacce2c,qsort
0xffacce50,rand
0xff86e354,Read
0xffad3ab8,read
0xff86e354,Read_FW
0xffacf9c4,readdir
0xffab8110,realloc
0xff82032c,ReceiveMessageQueue
0xff974dfc,RefreshPhysicalScreen
0xff974dfc,RefreshPhysicalScreen_FW
0xff969d70,RefreshRectangleToDialog_FW
0xff969ebc,RefreshRegistedRectangleToDialog_FW
0xff96a2f8,RegisterChangeLanguageToDialog_FW
0xff816944,RegisterEventProcedure_FW
0xff81fef8,RegisterInterruptHandler
0xff969df8,RegisterRefreshToDialog_FW
0xff822660,ReleaseRecursiveLock
0xff86e2e0,Remove
0xff8676f4,RenameFile_Fut
0xffa7f1d8,ResetFocusLens
0xffa6ea54,ResetZoomLens
0xff96a288,ResizeDialogBox_FW
0xff96adf8,ResizeDialogItem_FW
0xff96a3b0,ResizeDialogItemToDialog_FW
0xff969564,ResizeVirtualWindow_FW
0xff822ab8,Restart
0xff81a558,RomCheckSum_FW
0xff81b558,RotateConsoleZOder_FW
0xffab1f78,ScriptDisEnabled_FW
0xffab1f8c,ScriptEnabled_FW
