0xff811ba0,wrapped_malloc
0xff812edc,StopClockSaver_FW
0xff812ef8,SetLClk72MHz_FW
0xff812f08,SetLClk36MHz_FW
0xff812f18,SetLClk18MHz_FW
0xff812fc0,SetHClk72MHz_FW
0xff813004,SetHClk36MHz_FW
0xff81302c,SetHClk18MHz_FW
0xff813070,SetMClk72MHz_FW
0xff8130b4,SetMClk36MHz_FW
0xff8130dc,SetMClk18MHz_FW
0xff813e2c,LocalTime
0xff813e68,DebugAssert
0xff813ec0,AllocateUncacheableMemory
0xff813ef4,FreeUncacheableMemory
0xff814248,_GetSystemTime
0xff81439c,SetTimerAfter
0xff814438,SetTimerWhen
0xff8145ec,CancelTimer
0xff814dd4,SetHPTimerAfterNow
0xff814e60,SetHPTimerAfterTimeout
0xff815248,CancelHPTimer
0xff815fe0,RegisterEventProcedure_FW
0xff816164,ExecuteEventProcedure
0xff816164,ExecuteEventProcedure_FW
0xff816380,ExportToEventProcedure_FW
0xff816b50,CreateProxyOfEventProcedure_FW
0xff816bd8,DeleteProxyOfEventProcedure_FW
0xff81772c,LogCameraEvent
0xff817794,PutsCameraLogEvent_FW
0xff81789c,ShowCameraLogInfo_FW
0xff817940,ShowCameraLog_FW
0xff817c20,StopCameraLog_FW
0xff81a1d8,StartWDT_FW
0xff81a254,StopWDT_FW
0xff81a400,GetBuildDate_FW
0xff81a418,GetBuildTime_FW
0xff81a43c,GetFirmwareVersion_FW
0xff81a52c,RomCheckSum_FW
0xff81a5c0,CheckSumAll_FW
0xff81a778,SystemEventDelete_FW
0xff81a894,Dump32_FW
0xff81a9a8,FreeMemory
0xff81a9a8,FreeMemory_FW
0xff81a9bc,AllocateMemory
0xff81a9bc,AllocateMemory_FW
0xff81a9cc,Wait_FW
0xff81a9e0,Poke32_FW
0xff81aa04,Poke16_FW
0xff81aa28,Poke8_FW
0xff81aa4c,Peek32_FW
0xff81aa68,Peek16_FW
0xff81aa84,Peek8_FW
0xff81aaa0,EraseSignature_FW
0xff81aad0,GetSystemTime_FW
0xff81aaf0,MonSelEvent_FW
0xff81b514,RotateConsoleZOder_FW
0xff81b5bc,CPrintf_FW
0xff81b620,CPutChar_FW
0xff81b654,GetCh_FW
0xff81b6b8,GetStringWithPrompt_FW
0xff81b74c,OpenConsole_FW
0xff81b89c,CloseConsole_FW
0xff81f840,CreateEventFlag
0xff81f94c,DeleteEventFlag
0xff81fb2c,CheckAnyEventFlag
0xff81fb3c,CheckAllEventFlag
0xff81fbdc,WaitForEventFlag
0xff81fd80,WaitForAnyEventFlag
0xff81fd90,WaitForAllEventFlag
0xff81fda0,SetEventFlag
0xff81ff3c,ClearEventFlag
0xff81ff8c,GetEventFlagValue
0xff820168,RegisterInterruptHandler
0xff82018c,UnregisterInterruptHandler
0xff8201a4,GetSRAndDisableInterrupt
0xff8201b0,SetSR
0xff8201d0,EnableInterrupt
0xff82021c,CreateMessageQueue
0xff82036c,DeleteMessageQueue
0xff8205a8,ReceiveMessageQueue
0xff82081c,TryReceiveMessageQueue
0xff8209c0,PostMessageQueue
0xff820be8,TryPostMessageQueue
0xff820d14,GetNumberOfPostedMessages
0xff820eb8,CreateBinarySemaphore
0xff820ec8,CreateCountingSemaphore
0xff820ec8,CreateCountingSemaphore_FW
0xff820fd4,DeleteSemaphore
0xff820fd4,DeleteSemaphore_FW
0xff8211e0,TakeSemaphore
0xff8211e0,TakeSemaphore_FW
0xff821364,TryTakeSemaphore
0xff8213c8,GiveSemaphore
0xff8213c8,GiveSemaphore_FW
0xff82149c,GetSemaphoreValue
0xff821870,SleepTask
0xff821870,SleepTask_FW
0xff821a10,CreateTask
0xff821a10,CreateTask_FW
0xff821dd0,ExitTask
0xff821dd0,ExitTask_FW
0xff822a30,GetTimeOfSystem_FW
0xff822be0,CreateRecursiveLock
0xff822cfc,DeleteRecursiveLock
0xff822dd4,AcquireRecursiveLock
0xff822efc,ReleaseRecursiveLock
0xff822fd8,CreateTaskStrictly
0xff823018,CreateMessageQueueStrictly
0xff823044,CreateEventFlagStrictly
0xff823070,CreateBinarySemaphoreStrictly
0xff82309c,CreateCountingSemaphoreStrictly
0xff8230c8,CreateRecursiveLockStrictly
0xff8233a0,Restart,(stubs_entry_2.s)
0xff8234d4,WriteToRom_FW
0xff8235b8,EraseSectorOfRom_FW
0xff825ca4,GetPropertyCase,(stubs_entry_2.s)
0xff8296d4,ShowGPIOGenericInvalue_FW
0xff829774,ShowGPIOControlPropaty_FW
0xff863570,RenameFile_Fut
0xff8635f0,DeleteFile_Fut
0xff86367c,MakeDirectory_Fut
0xff8636f4,Fopen_Fut
0xff863730,Fclose_Fut
0xff863814,Fread_Fut
0xff863864,Fwrite_Fut
0xff8638b4,Fgets_Fut
0xff8638fc,Fseek_Fut
0xff863944,Feof_Fut
0xff86397c,Fflush_Fut
0xff869d34,Unmount_FileSystem
0xff86a1c8,GetDrive_FreeClusters,(stubs_entry_2.s)
0xff86a150,GetDrive_ClusterSize,(stubs_entry_2.s)
0xff86a18c,GetDrive_TotalClusters,(stubs_entry_2.s)
0xff86a938,Open
0xff86a938,Open_FW
0xff86a944,Close
0xff86a944,Close_FW
0xff86a9a4,Read
0xff86a9a4,Read_FW
0xff86a9b0,Write
0xff86a9b0,write
0xff86a9b0,Write_FW
0xff86a9c8,Lseek
0xff86a9c8,Lseek_FW
0xff87ee38,EngDrvOut
0xff87ee58,EngDrvRead
0xff87ee6c,EngDrvBits
0xff88f020,Angel.Test_FW
0xff88f06c,Angel.Dump_FW
0xff89d698,Lucky.Test_FW
0xff89d6d4,Lucky.Dump_FW
